annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
🧠 ML Signal: Importing specific functions from a module indicates selective usage patterns,"[8582, 100, 254, 10373, 26484, 25, 17267, 278, 2176, 5499, 422, 257, 8265, 9217, 21792, 8748, 7572]",1.0,0,ml_signal,2,Importing specific functions from a module indicates selective usage patterns,,0,,[]
🧠 ML Signal: Importing specific configurations and functions from a module indicates selective usage patterns,"[8582, 100, 254, 10373, 26484, 25, 17267, 278, 2176, 25412, 290, 5499, 422, 257, 8265, 9217, 21792, 8748, 7572]",1.0,15,ml_signal,4,Importing specific configurations and functions from a module indicates selective usage patterns,,0,"from jqdatapy.api import get_token, get_bars","[6738, 474, 80, 19608, 12826, 13, 15042, 1330, 651, 62, 30001, 11, 651, 62, 34046]"
🧠 ML Signal: Inheritance from a specific base class indicates a pattern of extending functionality,"[8582, 100, 254, 10373, 26484, 25, 47025, 42942, 422, 257, 2176, 2779, 1398, 9217, 257, 3912, 286, 16610, 11244]",1.0,33,ml_signal,13,Inheritance from a specific base class indicates a pattern of extending functionality,,15,from zvt.utils.pd_utils import pd_is_not_null,"[6738, 1976, 36540, 13, 26791, 13, 30094, 62, 26791, 1330, 279, 67, 62, 271, 62, 1662, 62, 8423]"
🧠 ML Signal: Hardcoded provider name could indicate a pattern of data source usage,"[8582, 100, 254, 10373, 26484, 25, 6912, 40976, 10131, 1438, 714, 7603, 257, 3912, 286, 1366, 2723, 8748]",0.5,33,ml_signal,15,Hardcoded provider name could indicate a pattern of data source usage,,33,,[]
🧠 ML Signal: Association with a specific schema suggests a pattern of data structure usage,"[8582, 100, 254, 10373, 26484, 25, 5396, 351, 257, 2176, 32815, 5644, 257, 3912, 286, 1366, 4645, 8748]",0.5,50,ml_signal,17,Association with a specific schema suggests a pattern of data structure usage,,33,class JqChinaStockKdataRecorder(FixedCycleDataRecorder):,"[4871, 449, 80, 14581, 26207, 42, 7890, 6690, 2875, 7, 13715, 20418, 2375, 6601, 6690, 2875, 2599]"
🧠 ML Signal: Repeated provider name reinforces the pattern of data source usage,"[8582, 100, 254, 10373, 26484, 25, 30558, 515, 10131, 1438, 41125, 262, 3912, 286, 1366, 2723, 8748]",0.5,67,ml_signal,17,Repeated provider name reinforces the pattern of data source usage,,50,class JqChinaStockKdataRecorder(FixedCycleDataRecorder):,"[4871, 449, 80, 14581, 26207, 42, 7890, 6690, 2875, 7, 13715, 20418, 2375, 6601, 6690, 2875, 2599]"
🧠 ML Signal: Use of a common data schema indicates a pattern of standardizing data formats,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 257, 2219, 1366, 32815, 9217, 257, 3912, 286, 3210, 2890, 1366, 17519]",0.5,84,ml_signal,17,Use of a common data schema indicates a pattern of standardizing data formats,,67,class JqChinaStockKdataRecorder(FixedCycleDataRecorder):,"[4871, 449, 80, 14581, 26207, 42, 7890, 6690, 2875, 7, 13715, 20418, 2375, 6601, 6690, 2875, 2599]"
🧠 ML Signal: Use of default parameter values,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 4277, 11507, 3815]",0.5,97,ml_signal,39,Use of default parameter values,,84,"        real_time=False,","[220, 220, 220, 220, 220, 220, 220, 1103, 62, 2435, 28, 25101, 11]"
✅ Best Practice: Explicitly converting level to IntervalLevel,"[26486, 227, 6705, 19939, 25, 11884, 306, 23202, 1241, 284, 4225, 2100, 4971]",0.5,114,best_practice,40,Explicitly converting level to IntervalLevel,,97,"        fix_duplicate_way=""ignore"",","[220, 220, 220, 220, 220, 220, 220, 4259, 62, 646, 489, 5344, 62, 1014, 2625, 46430, 1600]"
✅ Best Practice: Explicitly converting adjust_type to AdjustType,"[26486, 227, 6705, 19939, 25, 11884, 306, 23202, 4532, 62, 4906, 284, 20292, 6030]",0.5,128,best_practice,42,Explicitly converting adjust_type to AdjustType,,114,"        end_timestamp=None,","[220, 220, 220, 220, 220, 220, 220, 886, 62, 16514, 27823, 28, 14202, 11]"
🧠 ML Signal: Use of a function to get a data schema,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 257, 2163, 284, 651, 257, 1366, 32815]",0.5,147,ml_signal,43,Use of a function to get a data schema,,128,"        level=IntervalLevel.LEVEL_1DAY,","[220, 220, 220, 220, 220, 220, 220, 1241, 28, 9492, 2100, 4971, 13, 2538, 18697, 62, 16, 26442, 11]"
🧠 ML Signal: Use of a function to convert level to trading level,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 257, 2163, 284, 10385, 1241, 284, 7313, 1241]",0.5,166,ml_signal,43,Use of a function to convert level to trading level,,147,"        level=IntervalLevel.LEVEL_1DAY,","[220, 220, 220, 220, 220, 220, 220, 1241, 28, 9492, 2100, 4971, 13, 2538, 18697, 62, 16, 26442, 11]"
🧠 ML Signal: Use of super() to initialize parent class,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 2208, 3419, 284, 41216, 2560, 1398]",1.0,185,ml_signal,43,Use of super() to initialize parent class,,166,"        level=IntervalLevel.LEVEL_1DAY,","[220, 220, 220, 220, 220, 220, 220, 1241, 28, 9492, 2100, 4971, 13, 2538, 18697, 62, 16, 26442, 11]"
⚠️ SAST Risk (Medium): Storing sensitive information like username and password in a config,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 31205, 2599, 520, 3255, 8564, 1321, 588, 20579, 290, 9206, 287, 257, 4566]",0.5,205,sast_risk,70,Storing sensitive information like username and password in a config,Medium,185,"            kdata_use_begin_time,","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 479, 7890, 62, 1904, 62, 27471, 62, 2435, 11]"
🧠 ML Signal: Use of a function to get a token,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 257, 2163, 284, 651, 257, 11241]",0.5,226,ml_signal,71,Use of a function to get a token,,205,"            one_day_trading_minutes,","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 530, 62, 820, 62, 2213, 4980, 62, 1084, 1769, 11]"
✅ Best Practice: Call to superclass method ensures proper initialization of inherited attributes or methods.,"[26486, 227, 6705, 19939, 25, 4889, 284, 2208, 4871, 2446, 19047, 1774, 37588, 286, 19552, 12608, 393, 5050, 13]",0.5,245,best_practice,66,Call to superclass method ensures proper initialization of inherited attributes or methods.,,226,"            fix_duplicate_way,","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 4259, 62, 646, 489, 5344, 62, 1014, 11]"
"🧠 ML Signal: Filtering entities based on a condition, indicating a pattern of data validation or cleaning.","[8582, 100, 254, 10373, 26484, 25, 7066, 20212, 12066, 1912, 319, 257, 4006, 11, 12739, 257, 3912, 286, 1366, 21201, 393, 12724, 13]",1.0,261,ml_signal,67,"Filtering entities based on a condition, indicating a pattern of data validation or cleaning.",,245,"            start_timestamp,","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 923, 62, 16514, 27823, 11]"
✅ Best Practice: List comprehension is used for concise and efficient filtering of entities.,"[26486, 227, 6705, 19939, 25, 7343, 35915, 318, 973, 329, 35327, 290, 6942, 25431, 286, 12066, 13]",1.0,274,best_practice,69,List comprehension is used for concise and efficient filtering of entities.,,261,"            level,","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 1241, 11]"
"🧠 ML Signal: Use of conditional logic to filter entities, which can be a pattern for data processing.","[8582, 100, 254, 10373, 26484, 25, 5765, 286, 26340, 9156, 284, 8106, 12066, 11, 543, 460, 307, 257, 3912, 329, 1366, 7587, 13]",0.5,295,ml_signal,71,"Use of conditional logic to filter entities, which can be a pattern for data processing.",,274,"            one_day_trading_minutes,","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 530, 62, 820, 62, 2213, 4980, 62, 1084, 1769, 11]"
⚠️ SAST Risk (Low): Potential risk if `now_pd_timestamp()` is not timezone-aware or consistent.,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 32480, 2526, 611, 4600, 2197, 62, 30094, 62, 16514, 27823, 3419, 63, 318, 407, 640, 11340, 12, 9685, 393, 6414, 13]",1.0,311,sast_risk,72,Potential risk if `now_pd_timestamp()` is not timezone-aware or consistent.,Low,295,"            return_unfinished,","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 1441, 62, 403, 43952, 11]"
🧠 ML Signal: Function definition with parameters indicating a pattern for generating domain IDs,"[8582, 100, 254, 10373, 26484, 25, 15553, 6770, 351, 10007, 12739, 257, 3912, 329, 15453, 7386, 32373]",1.0,331,ml_signal,70,Function definition with parameters indicating a pattern for generating domain IDs,,311,"            kdata_use_begin_time,","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 479, 7890, 62, 1904, 62, 27471, 62, 2435, 11]"
