annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
🧠 ML Signal: Importing specific functions from a module indicates usage patterns,"[8582, 100, 254, 10373, 26484, 25, 17267, 278, 2176, 5499, 422, 257, 8265, 9217, 8748, 7572]",1.0,0,ml_signal,2,Importing specific functions from a module indicates usage patterns,,0,,[]
⚠️ SAST Risk (Low): Ensure that the imported function is from a trusted source to avoid executing malicious code,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 48987, 326, 262, 17392, 2163, 318, 422, 257, 13467, 2723, 284, 3368, 23710, 17412, 2438]",0.5,14,sast_risk,3,Ensure that the imported function is from a trusted source to avoid executing malicious code,Low,0,from zvt.contract.recorder import TimeSeriesDataRecorder,"[6738, 1976, 36540, 13, 28484, 13, 8344, 2875, 1330, 3862, 27996, 6601, 6690, 2875]"
🧠 ML Signal: Importing specific classes from a module indicates usage patterns,"[8582, 100, 254, 10373, 26484, 25, 17267, 278, 2176, 6097, 422, 257, 8265, 9217, 8748, 7572]",1.0,14,ml_signal,6,Importing specific classes from a module indicates usage patterns,,14,,[]
⚠️ SAST Risk (Low): Ensure that the imported class is from a trusted source to avoid executing malicious code,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 48987, 326, 262, 17392, 1398, 318, 422, 257, 13467, 2723, 284, 3368, 23710, 17412, 2438]",0.5,26,sast_risk,7,Ensure that the imported class is from a trusted source to avoid executing malicious code,Low,14,# 聚宽编码,"[2, 5525, 223, 248, 22522, 121, 163, 120, 244, 163, 254, 223]"
🧠 ML Signal: Importing specific classes from a module indicates usage patterns,"[8582, 100, 254, 10373, 26484, 25, 17267, 278, 2176, 6097, 422, 257, 8265, 9217, 8748, 7572]",1.0,26,ml_signal,10,Importing specific classes from a module indicates usage patterns,,26,,[]
⚠️ SAST Risk (Low): Ensure that the imported classes are from a trusted source to avoid executing malicious code,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 48987, 326, 262, 17392, 6097, 389, 422, 257, 13467, 2723, 284, 3368, 23710, 17412, 2438]",0.5,51,sast_risk,11,Ensure that the imported classes are from a trusted source to avoid executing malicious code,Low,26,"code_map_jq = {""000001"": ""XSHG"", ""399106"": ""XSHE""}","[8189, 62, 8899, 62, 73, 80, 796, 19779, 2388, 486, 1298, 366, 55, 9693, 38, 1600, 366, 28771, 15801, 1298, 366, 55, 9693, 36, 20662]"
🧠 ML Signal: Importing specific utility functions indicates usage patterns,"[8582, 100, 254, 10373, 26484, 25, 17267, 278, 2176, 10361, 5499, 9217, 8748, 7572]",1.0,76,ml_signal,11,Importing specific utility functions indicates usage patterns,,51,"code_map_jq = {""000001"": ""XSHG"", ""399106"": ""XSHE""}","[8189, 62, 8899, 62, 73, 80, 796, 19779, 2388, 486, 1298, 366, 55, 9693, 38, 1600, 366, 28771, 15801, 1298, 366, 55, 9693, 36, 20662]"
⚠️ SAST Risk (Low): Ensure that the imported function is from a trusted source to avoid executing malicious code,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 48987, 326, 262, 17392, 2163, 318, 422, 257, 13467, 2723, 284, 3368, 23710, 17412, 2438]",0.5,101,sast_risk,11,Ensure that the imported function is from a trusted source to avoid executing malicious code,Low,76,"code_map_jq = {""000001"": ""XSHG"", ""399106"": ""XSHE""}","[8189, 62, 8899, 62, 73, 80, 796, 19779, 2388, 486, 1298, 366, 55, 9693, 38, 1600, 366, 28771, 15801, 1298, 366, 55, 9693, 36, 20662]"
🧠 ML Signal: Usage of a dictionary to map codes indicates a pattern of data transformation or lookup,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 257, 22155, 284, 3975, 12416, 9217, 257, 3912, 286, 1366, 13389, 393, 35847]",0.5,126,ml_signal,11,Usage of a dictionary to map codes indicates a pattern of data transformation or lookup,,101,"code_map_jq = {""000001"": ""XSHG"", ""399106"": ""XSHE""}","[8189, 62, 8899, 62, 73, 80, 796, 19779, 2388, 486, 1298, 366, 55, 9693, 38, 1600, 366, 28771, 15801, 1298, 366, 55, 9693, 36, 20662]"
✅ Best Practice: Use descriptive variable names for better readability and maintainability,"[26486, 227, 6705, 19939, 25, 5765, 35644, 7885, 3891, 329, 1365, 1100, 1799, 290, 5529, 1799]",1.0,139,best_practice,19,Use descriptive variable names for better readability and maintainability,,126,    data_schema = MarginTradingSummary,"[220, 220, 220, 1366, 62, 15952, 2611, 796, 11899, 259, 2898, 4980, 22093]"
🧠 ML Signal: Inheritance from TimeSeriesDataRecorder indicates a pattern of extending functionality for time series data.,"[8582, 100, 254, 10373, 26484, 25, 47025, 42942, 422, 3862, 27996, 6601, 6690, 2875, 9217, 257, 3912, 286, 16610, 11244, 329, 640, 2168, 1366, 13]",1.0,139,ml_signal,6,Inheritance from TimeSeriesDataRecorder indicates a pattern of extending functionality for time series data.,,139,,[]
🧠 ML Signal: Use of class attributes to define metadata for the recorder.,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 1398, 12608, 284, 8160, 20150, 329, 262, 38156, 13]",0.5,157,ml_signal,8,Use of class attributes to define metadata for the recorder.,,139,# XSHG-上海证券交易所,"[2, 1395, 9693, 38, 12, 41468, 38184, 115, 46237, 223, 26344, 116, 12859, 97, 23626, 241, 33699, 222]"
🧠 ML Signal: Association with a specific schema (Index) for data structure.,"[8582, 100, 254, 10373, 26484, 25, 5396, 351, 257, 2176, 32815, 357, 15732, 8, 329, 1366, 4645, 13]",0.5,157,ml_signal,10,Association with a specific schema (Index) for data structure.,,157,,[]
🧠 ML Signal: Use of a specific data provider indicates a pattern of data source selection.,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 257, 2176, 1366, 10131, 9217, 257, 3912, 286, 1366, 2723, 6356, 13]",0.5,182,ml_signal,11,Use of a specific data provider indicates a pattern of data source selection.,,157,"code_map_jq = {""000001"": ""XSHG"", ""399106"": ""XSHE""}","[8189, 62, 8899, 62, 73, 80, 796, 19779, 2388, 486, 1298, 366, 55, 9693, 38, 1600, 366, 28771, 15801, 1298, 366, 55, 9693, 36, 20662]"
