annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
🧠 ML Signal: Usage of dictionary to map protocol types to their URL prefixes,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 22155, 284, 3975, 8435, 3858, 284, 511, 10289, 21231, 274]",1.0,0,ml_signal,2,Usage of dictionary to map protocol types to their URL prefixes,,0,,[]
🧠 ML Signal: Usage of dictionary to map domain keys to their full domain names,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 22155, 284, 3975, 7386, 8251, 284, 511, 1336, 7386, 3891]",1.0,38,ml_signal,4,Usage of dictionary to map domain keys to their full domain names,,0,"DOMAINS = {'sina':'sina.com.cn','sinahq':'sinajs.cn','ifeng':'ifeng.com'}","[39170, 32, 20913, 796, 1391, 6, 82, 1437, 10354, 6, 82, 1437, 13, 785, 13, 31522, 41707, 31369, 993, 80, 10354, 6, 31369, 1228, 82, 13, 31522, 41707, 361, 1516, 10354, 6, 361, 1516, 13, 785, 6, 92]"
🧠 ML Signal: Usage of list to store macroeconomic data categories,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 1351, 284, 3650, 15021, 17079, 1366, 9376]",1.0,115,ml_signal,6,Usage of list to store macroeconomic data categories,,38,MACRO_URL = '%smoney.finance.%s/mac/api/jsonp.php/SINAREMOTECALLCALLBACK%s/MacPage_Service.get_pagedata?cate=%s&event=%s&from=0&num=%s&condition=&_=%s',"[44721, 13252, 62, 21886, 796, 705, 4, 5796, 1419, 13, 69, 14149, 13, 4, 82, 14, 20285, 14, 15042, 14, 17752, 79, 13, 10121, 14, 50, 1268, 1503, 3620, 2394, 2943, 1847, 5639, 7036, 31098, 4, 82, 14, 14155, 9876, 62, 16177, 13, 1136, 62, 79, 1886, 1045, 30, 66, 378, 28, 4, 82, 5, 15596, 28, 4, 82, 5, 6738, 28, 15, 5, 22510, 28, 4, 82, 5, 31448, 28, 5, 62, 28, 4, 82, 6]"
🧠 ML Signal: Usage of string formatting for constructing URLs,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 4731, 33313, 329, 30580, 32336]",1.0,158,ml_signal,8,Usage of string formatting for constructing URLs,,115,"GDP_QUARTER_COLS = ['quarter','gdp','gdp_yoy','pi','pi_yoy','si','si_yoy','ti','ti_yoy']","[38, 6322, 62, 10917, 1503, 5781, 62, 25154, 50, 796, 37250, 24385, 41707, 21287, 79, 41707, 21287, 79, 62, 88, 726, 41707, 14415, 41707, 14415, 62, 88, 726, 41707, 13396, 41707, 13396, 62, 88, 726, 41707, 20259, 41707, 20259, 62, 88, 726, 20520]"
⚠️ SAST Risk (Low): Potential for URL manipulation if inputs are not validated,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 32480, 329, 10289, 17512, 611, 17311, 389, 407, 31031]",0.5,197,sast_risk,9,Potential for URL manipulation if inputs are not validated,Low,158,"GDP_FOR_COLS = ['year','end_for','for_rate','asset_for','asset_rate','goods_for','goods_rate']","[38, 6322, 62, 13775, 62, 25154, 50, 796, 37250, 1941, 41707, 437, 62, 1640, 41707, 1640, 62, 4873, 41707, 562, 316, 62, 1640, 41707, 562, 316, 62, 4873, 41707, 11274, 82, 62, 1640, 41707, 11274, 82, 62, 4873, 20520]"
🧠 ML Signal: Usage of list to define column names for GDP year data,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 1351, 284, 8160, 5721, 3891, 329, 12396, 614, 1366]",1.0,225,ml_signal,11,Usage of list to define column names for GDP year data,,197,"GDP_CONTRIB_COLS = ['year','gdp_yoy','pi','si','industry','ti']","[38, 6322, 62, 10943, 5446, 9865, 62, 25154, 50, 796, 37250, 1941, 41707, 21287, 79, 62, 88, 726, 41707, 14415, 41707, 13396, 41707, 23213, 563, 41707, 20259, 20520]"
🧠 ML Signal: Usage of list to define column names for GDP quarter data,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 1351, 284, 8160, 5721, 3891, 329, 12396, 3860, 1366]",1.0,263,ml_signal,13,Usage of list to define column names for GDP quarter data,,225,"PPI_COLS = ['month','ppiip','ppi','qm','rmi','pi','cg','food','clothing','roeu','dcg']","[10246, 40, 62, 25154, 50, 796, 37250, 8424, 41707, 381, 72, 541, 41707, 381, 72, 41707, 80, 76, 41707, 81, 11632, 41707, 14415, 41707, 66, 70, 41707, 19425, 41707, 565, 24834, 41707, 305, 12496, 41707, 17896, 70, 20520]"
🧠 ML Signal: Usage of list to define column names for GDP foreign data,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 1351, 284, 8160, 5721, 3891, 329, 12396, 3215, 1366]",1.0,279,ml_signal,15,Usage of list to define column names for GDP foreign data,,263,"LOAN_COLS = ['date','loan_type','rate']","[21982, 1565, 62, 25154, 50, 796, 37250, 4475, 41707, 5439, 272, 62, 4906, 41707, 4873, 20520]"
🧠 ML Signal: Usage of list to define column names for GDP pull data,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 1351, 284, 8160, 5721, 3891, 329, 12396, 2834, 1366]",1.0,360,ml_signal,17,Usage of list to define column names for GDP pull data,,279,"MONEY_SUPPLY_COLS = ['month','m2','m2_yoy','m1','m1_yoy','m0','m0_yoy','cd','cd_yoy','qm','qm_yoy','ftd','ftd_yoy','sd','sd_yoy','rests','rests_yoy']","[44, 48399, 62, 40331, 6489, 56, 62, 25154, 50, 796, 37250, 8424, 41707, 76, 17, 41707, 76, 17, 62, 88, 726, 41707, 76, 16, 41707, 76, 16, 62, 88, 726, 41707, 76, 15, 41707, 76, 15, 62, 88, 726, 41707, 10210, 41707, 10210, 62, 88, 726, 41707, 80, 76, 41707, 80, 76, 62, 88, 726, 41707, 701, 67, 41707, 701, 67, 62, 88, 726, 41707, 21282, 41707, 21282, 62, 88, 726, 41707, 2118, 82, 41707, 2118, 82, 62, 88, 726, 20520]"
🧠 ML Signal: Usage of list to define column names for GDP contribution data,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 1351, 284, 8160, 5721, 3891, 329, 12396, 10156, 1366]",1.0,387,ml_signal,19,Usage of list to define column names for GDP contribution data,,360,"GOLD_AND_FOREIGN_CURRENCY_RESERVES = ['month','gold','foreign_reserves']","[38, 15173, 62, 6981, 62, 30818, 16284, 62, 34, 31302, 45155, 62, 19535, 1137, 53, 1546, 796, 37250, 8424, 41707, 24267, 41707, 38823, 62, 411, 11184, 20520]"
🧠 ML Signal: Usage of list to define column names for CPI data,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 1351, 284, 8160, 5721, 3891, 329, 42103, 1366]",1.0,394,ml_signal,21,Usage of list to define column names for CPI data,,387,def random(n=13):,"[4299, 4738, 7, 77, 28, 1485, 2599]"
🧠 ML Signal: Usage of list to define column names for PPI data,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 1351, 284, 8160, 5721, 3891, 329, 350, 11901, 1366]",1.0,402,ml_signal,22,Usage of list to define column names for PPI data,,394,    from random import randint,"[220, 220, 220, 422, 4738, 1330, 43720, 600]"
🧠 ML Signal: Usage of list to define column names for deposit data,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 1351, 284, 8160, 5721, 3891, 329, 14667, 1366]",1.0,410,ml_signal,22,Usage of list to define column names for deposit data,,402,    from random import randint,"[220, 220, 220, 422, 4738, 1330, 43720, 600]"
🧠 ML Signal: Usage of list to define column names for loan data,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 1351, 284, 8160, 5721, 3891, 329, 8063, 1366]",1.0,418,ml_signal,22,Usage of list to define column names for loan data,,410,    from random import randint,"[220, 220, 220, 422, 4738, 1330, 43720, 600]"
🧠 ML Signal: Usage of list to define column names for RRR data,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 1351, 284, 8160, 5721, 3891, 329, 371, 21095, 1366]",1.0,426,ml_signal,22,Usage of list to define column names for RRR data,,418,    from random import randint,"[220, 220, 220, 422, 4738, 1330, 43720, 600]"
🧠 ML Signal: Usage of list to define column names for money supply data,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 1351, 284, 8160, 5721, 3891, 329, 1637, 5127, 1366]",1.0,434,ml_signal,22,Usage of list to define column names for money supply data,,426,    from random import randint,"[220, 220, 220, 422, 4738, 1330, 43720, 600]"
🧠 ML Signal: Usage of list to define column names for money supply balance data,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 1351, 284, 8160, 5721, 3891, 329, 1637, 5127, 5236, 1366]",1.0,442,ml_signal,22,Usage of list to define column names for money supply balance data,,434,    from random import randint,"[220, 220, 220, 422, 4738, 1330, 43720, 600]"
🧠 ML Signal: Usage of list to define column names for gold and foreign currency reserves data,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 1351, 284, 8160, 5721, 3891, 329, 3869, 290, 3215, 7395, 14072, 1366]",1.0,450,ml_signal,22,Usage of list to define column names for gold and foreign currency reserves data,,442,    from random import randint,"[220, 220, 220, 422, 4738, 1330, 43720, 600]"
