annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
✅ Best Practice: Grouping imports from the same module together improves readability.,"[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 422, 262, 976, 8265, 1978, 19575, 1100, 1799, 13]",1.0,0,best_practice,2,Grouping imports from the same module together improves readability.,,0,,[]
✅ Best Practice: Constants should be named using all uppercase letters with underscores.,"[26486, 227, 6705, 19939, 25, 4757, 1187, 815, 307, 3706, 1262, 477, 334, 39921, 589, 7475, 351, 41731, 13]",0.5,0,best_practice,4,Constants should be named using all uppercase letters with underscores.,,0,,[]
⚠️ SAST Risk (Low): Mutable default arguments like lists can lead to unexpected behavior.,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 13859, 540, 4277, 7159, 588, 8341, 460, 1085, 284, 10059, 4069, 13]",1.0,15,sast_risk,16,Mutable default arguments like lists can lead to unexpected behavior.,Low,0,"        fit_start_time=None,","[220, 220, 220, 220, 220, 220, 220, 4197, 62, 9688, 62, 2435, 28, 14202, 11]"
⚠️ SAST Risk (Low): Mutable default arguments like lists can lead to unexpected behavior.,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 13859, 540, 4277, 7159, 588, 8341, 460, 1085, 284, 10059, 4069, 13]",1.0,28,sast_risk,18,Mutable default arguments like lists can lead to unexpected behavior.,Low,15,"        drop_raw=True,","[220, 220, 220, 220, 220, 220, 220, 4268, 62, 1831, 28, 17821, 11]"
🧠 ML Signal: Usage of 'get_feature_config' suggests a pattern for feature configuration in ML.,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 705, 1136, 62, 30053, 62, 11250, 6, 5644, 257, 3912, 329, 3895, 8398, 287, 10373, 13]",0.5,54,ml_signal,26,Usage of 'get_feature_config' suggests a pattern for feature configuration in ML.,,28,"                ""config"": self.get_feature_config(),","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 366, 11250, 1298, 2116, 13, 1136, 62, 30053, 62, 11250, 22784]"
"🧠 ML Signal: Use of 'super().__init__' indicates inheritance, common in ML model or data pipeline setup.","[8582, 100, 254, 10373, 26484, 25, 5765, 286, 705, 16668, 22446, 834, 15003, 834, 6, 9217, 24155, 11, 2219, 287, 10373, 2746, 393, 1366, 11523, 9058, 13]",0.5,80,ml_signal,26,"Use of 'super().__init__' indicates inheritance, common in ML model or data pipeline setup.",,54,"                ""config"": self.get_feature_config(),","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 366, 11250, 1298, 2116, 13, 1136, 62, 30053, 62, 11250, 22784]"
✅ Best Practice: Use of descriptive variable names improves code readability.,"[26486, 227, 6705, 19939, 25, 5765, 286, 35644, 7885, 3891, 19575, 2438, 1100, 1799, 13]",0.5,99,best_practice,38,Use of descriptive variable names improves code readability.,,80,"            drop_raw=drop_raw,","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 4268, 62, 1831, 28, 14781, 62, 1831, 11]"
✅ Best Practice: Use of descriptive variable names improves code readability.,"[26486, 227, 6705, 19939, 25, 5765, 286, 35644, 7885, 3891, 19575, 2438, 1100, 1799, 13]",0.5,99,best_practice,40,Use of descriptive variable names improves code readability.,,99,,[]
✅ Best Practice: Use of default parameter values for flexibility,"[26486, 227, 6705, 19939, 25, 5765, 286, 4277, 11507, 3815, 329, 13688]",1.0,111,best_practice,41,Use of default parameter values for flexibility,,99,    def get_feature_config(self):,"[220, 220, 220, 825, 651, 62, 30053, 62, 11250, 7, 944, 2599]"
⚠️ SAST Risk (Low): Potential for format string injection if inputs are not sanitized,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 32480, 329, 5794, 4731, 16954, 611, 17311, 389, 407, 5336, 36951]",1.0,142,sast_risk,46,Potential for format string injection if inputs are not sanitized,Low,111,"        template_paused = ""Select(Gt($paused_num, 1.001), {0})""","[220, 220, 220, 220, 220, 220, 220, 11055, 62, 8957, 1484, 796, 366, 17563, 7, 38, 83, 16763, 8957, 1484, 62, 22510, 11, 352, 13, 8298, 828, 1391, 15, 92, 16725]"
🧠 ML Signal: Repeated pattern of adding normalized price features,"[8582, 100, 254, 10373, 26484, 25, 30558, 515, 3912, 286, 4375, 39279, 2756, 3033]",0.5,142,ml_signal,54,Repeated pattern of adding normalized price features,,142,,[]
🧠 ML Signal: Consistent naming pattern for features,"[8582, 100, 254, 10373, 26484, 25, 3515, 7609, 19264, 3912, 329, 3033]",1.0,158,ml_signal,60,Consistent naming pattern for features,,142,                ),"[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 1267]"
⚠️ SAST Risk (Low): Potential for format string injection if inputs are not sanitized,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 32480, 329, 5794, 4731, 16954, 611, 17311, 389, 407, 5336, 36951]",1.0,182,sast_risk,72,Potential for format string injection if inputs are not sanitized,Low,158,"        fields += [get_normalized_price_feature(""$high"", 240)]","[220, 220, 220, 220, 220, 220, 220, 7032, 15853, 685, 1136, 62, 11265, 1143, 62, 20888, 62, 30053, 7203, 3, 8929, 1600, 14956, 15437]"
⚠️ SAST Risk (Low): Potential for format string injection if inputs are not sanitized,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 32480, 329, 5794, 4731, 16954, 611, 17311, 389, 407, 5336, 36951]",1.0,204,sast_risk,82,Potential for format string injection if inputs are not sanitized,Low,182,                template_paused.format(,"[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 11055, 62, 8957, 1484, 13, 18982, 7]"
✅ Best Practice: Consider using immutable default arguments like None instead of mutable ones like lists,"[26486, 227, 6705, 19939, 25, 12642, 1262, 40139, 4277, 7159, 588, 6045, 2427, 286, 4517, 540, 3392, 588, 8341]",1.0,215,best_practice,100,Consider using immutable default arguments like None instead of mutable ones like lists,,204,"        return fields, names","[220, 220, 220, 220, 220, 220, 220, 1441, 7032, 11, 3891]"
⚠️ SAST Risk (Low): Potential issue with mutable default arguments (list),"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 32480, 2071, 351, 4517, 540, 4277, 7159, 357, 4868, 8]",0.5,226,sast_risk,103,Potential issue with mutable default arguments (list),Low,215,class HighFreqGeneralHandler(DataHandlerLP):,"[4871, 3334, 20366, 80, 12218, 25060, 7, 6601, 25060, 19930, 2599]"
⚠️ SAST Risk (Low): Potential issue with mutable default arguments (list),"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 32480, 2071, 351, 4517, 540, 4277, 7159, 357, 4868, 8]",0.5,234,sast_risk,104,Potential issue with mutable default arguments (list),Low,226,    def __init__(,"[220, 220, 220, 825, 11593, 15003, 834, 7]"
🧠 ML Signal: Usage of a method to get feature configuration,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 257, 2446, 284, 651, 3895, 8398]",0.5,247,ml_signal,113,Usage of a method to get feature configuration,,234,"        drop_raw=True,","[220, 220, 220, 220, 220, 220, 220, 4268, 62, 1831, 28, 17821, 11]"
🧠 ML Signal: Use of a superclass constructor with specific parameters,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 257, 2208, 4871, 23772, 351, 2176, 10007]",0.5,260,ml_signal,113,Use of a superclass constructor with specific parameters,,247,"        drop_raw=True,","[220, 220, 220, 220, 220, 220, 220, 4268, 62, 1831, 28, 17821, 11]"
✅ Best Practice: Use of descriptive variable names improves code readability.,"[26486, 227, 6705, 19939, 25, 5765, 286, 35644, 7885, 3891, 19575, 2438, 1100, 1799, 13]",1.0,272,best_practice,125,Use of descriptive variable names improves code readability.,,260,        data_loader = {,"[220, 220, 220, 220, 220, 220, 220, 1366, 62, 29356, 796, 1391]"
✅ Best Practice: Use of f-string for string formatting is more readable and efficient.,"[26486, 227, 6705, 19939, 25, 5765, 286, 277, 12, 8841, 329, 4731, 33313, 318, 517, 31744, 290, 6942, 13]",1.0,288,best_practice,127,Use of f-string for string formatting is more readable and efficient.,,272,"            ""kwargs"": {","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 366, 46265, 22046, 1298, 1391]"
✅ Best Practice: Use of f-strings for string formatting improves readability and performance.,"[26486, 227, 6705, 19939, 25, 5765, 286, 277, 12, 37336, 329, 4731, 33313, 19575, 1100, 1799, 290, 2854, 13]",1.0,314,best_practice,128,Use of f-strings for string formatting improves readability and performance.,,288,"                ""config"": self.get_feature_config(),","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 366, 11250, 1298, 2116, 13, 1136, 62, 30053, 62, 11250, 22784]"
⚠️ SAST Risk (Low): Potential for format string injection if template_paused or template_if are user-controlled.,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 32480, 329, 5794, 4731, 16954, 611, 11055, 62, 8957, 1484, 393, 11055, 62, 361, 389, 2836, 12, 14401, 13]",0.5,322,sast_risk,133,Potential for format string injection if template_paused or template_if are user-controlled.,Low,314,        },"[220, 220, 220, 220, 220, 220, 220, 1782]"
🧠 ML Signal: Iterating over self.columns suggests dynamic feature generation based on data columns.,"[8582, 100, 254, 10373, 26484, 25, 40806, 803, 625, 2116, 13, 28665, 82, 5644, 8925, 3895, 5270, 1912, 319, 1366, 15180, 13]",1.0,341,ml_signal,141,Iterating over self.columns suggests dynamic feature generation based on data columns.,,322,"            drop_raw=drop_raw,","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 4268, 62, 1831, 28, 14781, 62, 1831, 11]"
🧠 ML Signal: Appending features to a list indicates feature engineering for ML models.,"[8582, 100, 254, 10373, 26484, 25, 2034, 1571, 3033, 284, 257, 1351, 9217, 3895, 8705, 329, 10373, 4981, 13]",0.5,341,ml_signal,143,Appending features to a list indicates feature engineering for ML models.,,341,,[]
⚠️ SAST Risk (Low): Use of string formatting with potential for injection if template_paused is user-controlled.,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 5765, 286, 4731, 33313, 351, 2785, 329, 16954, 611, 11055, 62, 8957, 1484, 318, 2836, 12, 14401, 13]",0.5,365,sast_risk,152,Use of string formatting with potential for injection if template_paused is user-controlled.,Low,341,            # norm with the close price of 237th minute of yesterday.,"[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 1303, 2593, 351, 262, 1969, 2756, 286, 34385, 400, 5664, 286, 7415, 13]"
