annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
✅ Best Practice: Import only necessary modules to keep the codebase clean and efficient.,"[26486, 227, 6705, 19939, 25, 17267, 691, 3306, 13103, 284, 1394, 262, 2438, 8692, 3424, 290, 6942, 13]",0.5,3,best_practice,2,Import only necessary modules to keep the codebase clean and efficient.,,0,import argparse,"[11748, 1822, 29572]"
🧠 ML Signal: Importing specific functions or classes can indicate which parts of a library are most frequently used.,"[8582, 100, 254, 10373, 26484, 25, 17267, 278, 2176, 5499, 393, 6097, 460, 7603, 543, 3354, 286, 257, 5888, 389, 749, 6777, 973, 13]",0.5,19,ml_signal,5,Importing specific functions or classes can indicate which parts of a library are most frequently used.,,3,from zvt.autocode.generator import gen_plugin_project,"[6738, 1976, 36540, 13, 2306, 420, 1098, 13, 8612, 1352, 1330, 2429, 62, 33803, 62, 16302]"
🧠 ML Signal: Importing specific functions or classes can indicate which parts of a library are most frequently used.,"[8582, 100, 254, 10373, 26484, 25, 17267, 278, 2176, 5499, 393, 6097, 460, 7603, 543, 3354, 286, 257, 5888, 389, 749, 6777, 973, 13]",0.5,22,ml_signal,8,Importing specific functions or classes can indicate which parts of a library are most frequently used.,,19,def main():,"[4299, 1388, 33529]"
✅ Best Practice: Define the main function to encapsulate script execution logic.,"[26486, 227, 6705, 19939, 25, 2896, 500, 262, 1388, 2163, 284, 32652, 5039, 4226, 9706, 9156, 13]",1.0,34,best_practice,4,Define the main function to encapsulate script execution logic.,,22,from zvt.autocode import gen_exports,"[6738, 1976, 36540, 13, 2306, 420, 1098, 1330, 2429, 62, 1069, 3742]"
✅ Best Practice: Use argparse for command-line argument parsing.,"[26486, 227, 6705, 19939, 25, 5765, 1822, 29572, 329, 3141, 12, 1370, 4578, 32096, 13]",1.0,34,best_practice,6,Use argparse for command-line argument parsing.,,34,,[]
✅ Best Practice: Provide help messages for command-line arguments for better usability.,"[26486, 227, 6705, 19939, 25, 44290, 1037, 6218, 329, 3141, 12, 1370, 7159, 329, 1365, 42863, 13]",1.0,37,best_practice,8,Provide help messages for command-line arguments for better usability.,,34,def main():,"[4299, 1388, 33529]"
"✅ Best Practice: Use nargs=""+"" to allow multiple values for a command-line argument.","[26486, 227, 6705, 19939, 25, 5765, 299, 22046, 2625, 10, 1, 284, 1249, 3294, 3815, 329, 257, 3141, 12, 1370, 4578, 13]",0.5,57,best_practice,12,"Use nargs=""+"" to allow multiple values for a command-line argument.",,37,"    parser.add_argument(""--dir"", help=""project directory"", default=""."")","[220, 220, 220, 30751, 13, 2860, 62, 49140, 7203, 438, 15908, 1600, 1037, 2625, 16302, 8619, 1600, 4277, 2625, 19570]"
🧠 ML Signal: Usage of argparse to parse command-line arguments.,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 1822, 29572, 284, 21136, 3141, 12, 1370, 7159, 13]",1.0,57,ml_signal,14,Usage of argparse to parse command-line arguments.,,57,,[]
🧠 ML Signal: Accessing parsed command-line arguments.,"[8582, 100, 254, 10373, 26484, 25, 8798, 278, 44267, 3141, 12, 1370, 7159, 13]",1.0,57,ml_signal,16,Accessing parsed command-line arguments.,,57,,[]
🧠 ML Signal: Function call with multiple parameters derived from user input.,"[8582, 100, 254, 10373, 26484, 25, 15553, 869, 351, 3294, 10007, 10944, 422, 2836, 5128, 13]",1.0,89,ml_signal,21,Function call with multiple parameters derived from user input.,,57,"    gen_plugin_project(prefix=prefix, dir_path=dir_path, entity_type=entity, providers=providers)","[220, 220, 220, 2429, 62, 33803, 62, 16302, 7, 40290, 28, 40290, 11, 26672, 62, 6978, 28, 15908, 62, 6978, 11, 9312, 62, 4906, 28, 26858, 11, 9549, 28, 15234, 4157, 8]"
✅ Best Practice: Define all imports at the beginning of the file for better readability and maintainability,"[26486, 227, 6705, 19939, 25, 2896, 500, 477, 17944, 379, 262, 3726, 286, 262, 2393, 329, 1365, 1100, 1799, 290, 5529, 1799]",1.0,89,best_practice,16,Define all imports at the beginning of the file for better readability and maintainability,,89,,[]
✅ Best Practice: Use argparse for command-line argument parsing to improve usability and flexibility,"[26486, 227, 6705, 19939, 25, 5765, 1822, 29572, 329, 3141, 12, 1370, 4578, 32096, 284, 2987, 42863, 290, 13688]",1.0,97,best_practice,18,Use argparse for command-line argument parsing to improve usability and flexibility,,89,    entity = args.entity,"[220, 220, 220, 9312, 796, 26498, 13, 26858]"
✅ Best Practice: Provide help messages for command-line arguments to improve user experience,"[26486, 227, 6705, 19939, 25, 44290, 1037, 6218, 329, 3141, 12, 1370, 7159, 284, 2987, 2836, 1998]",1.0,105,best_practice,20,Provide help messages for command-line arguments to improve user experience,,97,    prefix = args.prefix,"[220, 220, 220, 21231, 796, 26498, 13, 40290]"
🧠 ML Signal: Command-line argument parsing is a common pattern in CLI applications,"[8582, 100, 254, 10373, 26484, 25, 9455, 12, 1370, 4578, 32096, 318, 257, 2219, 3912, 287, 43749, 5479]",0.5,105,ml_signal,22,Command-line argument parsing is a common pattern in CLI applications,,105,,[]
🧠 ML Signal: Using parsed command-line arguments to set variables is a common pattern,"[8582, 100, 254, 10373, 26484, 25, 8554, 44267, 3141, 12, 1370, 7159, 284, 900, 9633, 318, 257, 2219, 3912]",0.5,108,ml_signal,24,Using parsed command-line arguments to set variables is a common pattern,,105,def export():,"[4299, 10784, 33529]"
🧠 ML Signal: Function calls with keyword arguments are a common pattern,"[8582, 100, 254, 10373, 26484, 25, 15553, 3848, 351, 21179, 7159, 389, 257, 2219, 3912]",0.5,111,ml_signal,24,Function calls with keyword arguments are a common pattern,,108,def export():,"[4299, 10784, 33529]"
✅ Best Practice: Use the standard Python idiom for making a script executable,"[26486, 227, 6705, 19939, 25, 5765, 262, 3210, 11361, 4686, 29005, 329, 1642, 257, 4226, 28883]",0.5,114,best_practice,24,Use the standard Python idiom for making a script executable,,111,def export():,"[4299, 10784, 33529]"
⚠️ SAST Risk (Medium): Hardcoded directory paths can lead to security issues if not handled properly,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 31205, 2599, 6912, 40976, 8619, 13532, 460, 1085, 284, 2324, 2428, 611, 407, 12118, 6105]",0.5,117,sast_risk,24,Hardcoded directory paths can lead to security issues if not handled properly,Medium,114,def export():,"[4299, 10784, 33529]"
⚠️ SAST Risk (Low): Ensure that the main function is defined before calling it,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 48987, 326, 262, 1388, 2163, 318, 5447, 878, 4585, 340]",0.5,120,sast_risk,24,Ensure that the main function is defined before calling it,Low,117,def export():,"[4299, 10784, 33529]"
