annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
✅ Best Practice: Use of ORJSONResponse for better performance with JSON serialization,"[26486, 227, 6705, 19939, 25, 5765, 286, 6375, 40386, 31077, 329, 1365, 2854, 351, 19449, 11389, 1634]",1.0,13,best_practice,14,Use of ORJSONResponse for better performance with JSON serialization,,0,from zvt.rest.trading import trading_router,"[6738, 1976, 36540, 13, 2118, 13, 2213, 4980, 1330, 7313, 62, 472, 353]"
⚠️ SAST Risk (Low): Allowing all origins can lead to security risks if not properly managed,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 1439, 7855, 477, 15587, 460, 1085, 284, 2324, 7476, 611, 407, 6105, 5257]",1.0,25,sast_risk,15,Allowing all origins can lead to security risks if not properly managed,Low,13,from zvt.rest.work import work_router,"[6738, 1976, 36540, 13, 2118, 13, 1818, 1330, 670, 62, 472, 353]"
"⚠️ SAST Risk (Low): Allowing all origins, methods, and headers can expose the API to CSRF attacks","[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 1439, 7855, 477, 15587, 11, 5050, 11, 290, 24697, 460, 15651, 262, 7824, 284, 9429, 32754, 3434]",0.5,36,sast_risk,23,"Allowing all origins, methods, and headers can expose the API to CSRF attacks",Low,25,"    allow_origins=origins,","[220, 220, 220, 1249, 62, 11612, 1040, 28, 11612, 1040, 11]"
🧠 ML Signal: Simple endpoint returning a static message,"[8582, 100, 254, 10373, 26484, 25, 17427, 36123, 8024, 257, 9037, 3275]",1.0,41,ml_signal,31,Simple endpoint returning a static message,,36,async def root():,"[292, 13361, 825, 6808, 33529]"
🧠 ML Signal: Usage of multiple routers indicates a modular API design,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 3294, 41144, 9217, 257, 26507, 7824, 1486]",1.0,41,ml_signal,34,Usage of multiple routers indicates a modular API design,,41,,[]
"🧠 ML Signal: Adding pagination to the app, indicating handling of large datasets","[8582, 100, 254, 10373, 26484, 25, 18247, 42208, 1883, 284, 262, 598, 11, 12739, 9041, 286, 1588, 40522]",0.5,53,ml_signal,35,"Adding pagination to the app, indicating handling of large datasets",,41,app.include_router(data_router),"[1324, 13, 17256, 62, 472, 353, 7, 7890, 62, 472, 353, 8]"
✅ Best Practice: Define main function to encapsulate script logic,"[26486, 227, 6705, 19939, 25, 2896, 500, 1388, 2163, 284, 32652, 5039, 4226, 9156]",0.5,58,best_practice,31,Define main function to encapsulate script logic,,53,async def root():,"[292, 13361, 825, 6808, 33529]"
"⚠️ SAST Risk (Medium): os.path.join usage without validation of zvt_env[""resource_path""] could lead to path traversal","[158, 248, 254, 37929, 311, 11262, 19602, 357, 31205, 2599, 28686, 13, 6978, 13, 22179, 8748, 1231, 21201, 286, 1976, 36540, 62, 24330, 14692, 31092, 62, 6978, 8973, 714, 1085, 284, 3108, 33038, 282]",0.5,58,sast_risk,33,"os.path.join usage without validation of zvt_env[""resource_path""] could lead to path traversal",Medium,58,,[]
"⚠️ SAST Risk (High): Binding to all interfaces with host=""0.0.0.0"" can expose the server to external attacks","[158, 248, 254, 37929, 311, 11262, 19602, 357, 11922, 2599, 38904, 284, 477, 20314, 351, 2583, 2625, 15, 13, 15, 13, 15, 13, 15, 1, 460, 15651, 262, 4382, 284, 7097, 3434]",0.5,70,sast_risk,35,"Binding to all interfaces with host=""0.0.0.0"" can expose the server to external attacks",High,58,app.include_router(data_router),"[1324, 13, 17256, 62, 472, 353, 7, 7890, 62, 472, 353, 8]"
🧠 ML Signal: Usage of uvicorn.run indicates a pattern of running an ASGI server,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 334, 25531, 1211, 13, 5143, 9217, 257, 3912, 286, 2491, 281, 7054, 18878, 4382]",0.5,82,ml_signal,35,Usage of uvicorn.run indicates a pattern of running an ASGI server,,70,app.include_router(data_router),"[1324, 13, 17256, 62, 472, 353, 7, 7890, 62, 472, 353, 8]"
✅ Best Practice: Use the standard Python idiom to ensure main is only executed when the script is run directly,"[26486, 227, 6705, 19939, 25, 5765, 262, 3210, 11361, 4686, 29005, 284, 4155, 1388, 318, 691, 10945, 618, 262, 4226, 318, 1057, 3264]",0.5,94,best_practice,35,Use the standard Python idiom to ensure main is only executed when the script is run directly,,82,app.include_router(data_router),"[1324, 13, 17256, 62, 472, 353, 7, 7890, 62, 472, 353, 8]"
