annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
🧠 ML Signal: Usage of database connection to load data,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 6831, 4637, 284, 3440, 1366]",0.5,0,ml_signal,8,Usage of database connection to load data,,0,,[]
🧠 ML Signal: Loading historical bar data for analysis,"[8582, 100, 254, 10373, 26484, 25, 12320, 6754, 2318, 1366, 329, 3781]",0.5,10,ml_signal,9,Loading historical bar data for analysis,,0,"if __name__ == ""__main__"":","[361, 11593, 3672, 834, 6624, 366, 834, 12417, 834, 1298]"
🧠 ML Signal: Initialization of a chart widget for data visualization,"[8582, 100, 254, 10373, 26484, 25, 20768, 1634, 286, 257, 8262, 26295, 329, 1366, 32704]",0.5,28,ml_signal,18,Initialization of a chart widget for data visualization,,10,"        end=datetime(2019, 7, 17)","[220, 220, 220, 220, 220, 220, 220, 886, 28, 19608, 8079, 7, 23344, 11, 767, 11, 1596, 8]"
✅ Best Practice: Explicitly naming plots for clarity,"[26486, 227, 6705, 19939, 25, 11884, 306, 19264, 21528, 329, 16287]",0.5,28,best_practice,20,Explicitly naming plots for clarity,,28,,[]
✅ Best Practice: Setting maximum height for volume plot for better visualization,"[26486, 227, 6705, 19939, 25, 25700, 5415, 6001, 329, 6115, 7110, 329, 1365, 32704]",0.5,48,best_practice,22,Setting maximum height for volume plot for better visualization,,28,"    widget.add_plot(""candle"", hide_x_axis=True)","[220, 220, 220, 26295, 13, 2860, 62, 29487, 7203, 46188, 293, 1600, 7808, 62, 87, 62, 22704, 28, 17821, 8]"
✅ Best Practice: Adding items to plots with clear identifiers,"[26486, 227, 6705, 19939, 25, 18247, 3709, 284, 21528, 351, 1598, 42814]",0.5,69,best_practice,24,Adding items to plots with clear identifiers,,48,"    widget.add_item(CandleItem, ""candle"", ""candle"")","[220, 220, 220, 26295, 13, 2860, 62, 9186, 7, 41572, 293, 7449, 11, 366, 46188, 293, 1600, 366, 46188, 293, 4943]"
🧠 ML Signal: Adding a cursor to the chart for interactive data exploration,"[8582, 100, 254, 10373, 26484, 25, 18247, 257, 23493, 284, 262, 8262, 329, 14333, 1366, 13936]",0.5,69,ml_signal,27,Adding a cursor to the chart for interactive data exploration,,69,,[]
🧠 ML Signal: Splitting data into historical and new data for analysis,"[8582, 100, 254, 10373, 26484, 25, 13341, 2535, 1366, 656, 6754, 290, 649, 1366, 329, 3781]",0.5,80,ml_signal,30,Splitting data into historical and new data for analysis,,69,    new_data = bars[n:],"[220, 220, 220, 649, 62, 7890, 796, 9210, 58, 77, 47715]"
🧠 ML Signal: Updating chart with historical data,"[8582, 100, 254, 10373, 26484, 25, 3205, 38734, 8262, 351, 6754, 1366]",0.5,91,ml_signal,32,Updating chart with historical data,,80,    widget.update_history(history),"[220, 220, 220, 26295, 13, 19119, 62, 23569, 7, 23569, 8]"
✅ Best Practice: Type hinting the return type improves code readability and maintainability.,"[26486, 227, 6705, 19939, 25, 5994, 9254, 278, 262, 1441, 2099, 19575, 2438, 1100, 1799, 290, 5529, 1799, 13]",0.5,91,best_practice,27,Type hinting the return type improves code readability and maintainability.,,91,,[]
⚠️ SAST Risk (Medium): Popping from a list without checking if it's empty can lead to IndexError.,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 31205, 2599, 7695, 2105, 422, 257, 1351, 1231, 10627, 611, 340, 338, 6565, 460, 1085, 284, 12901, 12331, 13]",1.0,101,sast_risk,29,Popping from a list without checking if it's empty can lead to IndexError.,Medium,91,    history = bars[:n],"[220, 220, 220, 2106, 796, 9210, 58, 25, 77, 60]"
🧠 ML Signal: Usage of QTimer indicates a pattern for periodic execution in a Qt application.,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 1195, 48801, 9217, 257, 3912, 329, 27458, 9706, 287, 257, 33734, 3586, 13]",0.5,112,ml_signal,32,Usage of QTimer indicates a pattern for periodic execution in a Qt application.,,101,    widget.update_history(history),"[220, 220, 220, 26295, 13, 19119, 62, 23569, 7, 23569, 8]"
🧠 ML Signal: Connecting a function to a signal is a common pattern in event-driven programming.,"[8582, 100, 254, 10373, 26484, 25, 8113, 278, 257, 2163, 284, 257, 6737, 318, 257, 2219, 3912, 287, 1785, 12, 15808, 8300, 13]",0.5,123,ml_signal,32,Connecting a function to a signal is a common pattern in event-driven programming.,,112,    widget.update_history(history),"[220, 220, 220, 26295, 13, 19119, 62, 23569, 7, 23569, 8]"
🧠 ML Signal: Showing a widget is a typical step in GUI applications.,"[8582, 100, 254, 10373, 26484, 25, 5438, 278, 257, 26295, 318, 257, 7226, 2239, 287, 25757, 5479, 13]",0.5,134,ml_signal,32,Showing a widget is a typical step in GUI applications.,,123,    widget.update_history(history),"[220, 220, 220, 26295, 13, 19119, 62, 23569, 7, 23569, 8]"
🧠 ML Signal: Executing the application event loop is a standard pattern in Qt applications.,"[8582, 100, 254, 10373, 26484, 25, 8393, 15129, 262, 3586, 1785, 9052, 318, 257, 3210, 3912, 287, 33734, 5479, 13]",0.5,145,ml_signal,32,Executing the application event loop is a standard pattern in Qt applications.,,134,    widget.update_history(history),"[220, 220, 220, 26295, 13, 19119, 62, 23569, 7, 23569, 8]"
