annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
✅ Best Practice: Grouping related imports together improves readability.,"[26486, 227, 6705, 19939, 25, 4912, 278, 3519, 17944, 1978, 19575, 1100, 1799, 13]",1.0,4,best_practice,4,Grouping related imports together improves readability.,,0,from collections import Counter,"[6738, 17268, 1330, 15034]"
⚠️ SAST Risk (Low): Using os.environ can expose sensitive environment variables if not handled properly.,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 8554, 28686, 13, 268, 2268, 460, 15651, 8564, 2858, 9633, 611, 407, 12118, 6105, 13]",0.5,20,sast_risk,7,Using os.environ can expose sensitive environment variables if not handled properly.,Low,4,"from zvt.domain import BlockStock, Block, Stock, LimitUpInfo","[6738, 1976, 36540, 13, 27830, 1330, 9726, 26207, 11, 9726, 11, 10500, 11, 27272, 4933, 12360]"
✅ Best Practice: Providing a default value for environment variables can prevent runtime errors.,"[26486, 227, 6705, 19939, 25, 7518, 2530, 257, 4277, 1988, 329, 2858, 9633, 460, 2948, 19124, 8563, 13]",0.5,34,best_practice,10,Providing a default value for environment variables can prevent runtime errors.,,20,def get_limit_up_reasons(entity_id):,"[4299, 651, 62, 32374, 62, 929, 62, 260, 2812, 7, 26858, 62, 312, 2599]"
⚠️ SAST Risk (Low): Loading JSON from a file without validation can lead to processing untrusted data.,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 12320, 19449, 422, 257, 2393, 1231, 21201, 460, 1085, 284, 7587, 1418, 81, 8459, 1366, 13]",0.5,34,sast_risk,14,Loading JSON from a file without validation can lead to processing untrusted data.,Low,34,,[]
⚠️ SAST Risk (Low): Saving data to a file without proper permissions can lead to data exposure.,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 34689, 1366, 284, 257, 2393, 1231, 1774, 21627, 460, 1085, 284, 1366, 7111, 13]",0.5,34,sast_risk,19,Saving data to a file without proper permissions can lead to data exposure.,Low,34,,[]
🧠 ML Signal: Counting occurrences of items is a common pattern for frequency analysis.,"[8582, 100, 254, 10373, 26484, 25, 2764, 278, 40279, 286, 3709, 318, 257, 2219, 3912, 329, 8373, 3781, 13]",0.5,61,ml_signal,24,Counting occurrences of items is a common pattern for frequency analysis.,,34,        concepts = [item for sublist in concept_map.values() for item in sublist],"[220, 220, 220, 220, 220, 220, 220, 10838, 796, 685, 9186, 329, 850, 4868, 287, 3721, 62, 8899, 13, 27160, 3419, 329, 2378, 287, 850, 4868, 60]"
🧠 ML Signal: Converting stock codes to IDs is a common pattern in financial data processing.,"[8582, 100, 254, 10373, 26484, 25, 35602, 889, 4283, 12416, 284, 32373, 318, 257, 2219, 3912, 287, 3176, 1366, 7587, 13]",0.5,61,ml_signal,28,Converting stock codes to IDs is a common pattern in financial data processing.,,61,,[]
🧠 ML Signal: Mapping stock codes to exchanges is a common pattern in financial applications.,"[8582, 100, 254, 10373, 26484, 25, 337, 5912, 4283, 12416, 284, 14525, 318, 257, 2219, 3912, 287, 3176, 5479, 13]",0.5,88,ml_signal,32,Mapping stock codes to exchanges is a common pattern in financial applications.,,61,"    if industry in [""半导体"", ""电子化学品""]:","[220, 220, 220, 611, 2831, 287, 14631, 39355, 232, 43380, 120, 19526, 241, 1600, 366, 18796, 113, 36310, 44293, 244, 27764, 99, 161, 241, 223, 1, 5974]"
🧠 ML Signal: Retrieving stocks for a given block is a common pattern in stock market analysis.,"[8582, 100, 254, 10373, 26484, 25, 4990, 37418, 14420, 329, 257, 1813, 2512, 318, 257, 2219, 3912, 287, 4283, 1910, 3781, 13]",0.5,108,ml_signal,36,Retrieving stocks for a given block is a common pattern in stock market analysis.,,88,"    if industry in [""医疗器械""]:","[220, 220, 220, 611, 2831, 287, 14631, 44293, 119, 163, 244, 245, 161, 247, 101, 162, 95, 108, 1, 5974]"
🧠 ML Signal: Fetching limit up information is a common pattern in stock trading analysis.,"[8582, 100, 254, 10373, 26484, 25, 376, 7569, 278, 4179, 510, 1321, 318, 257, 2219, 3912, 287, 4283, 7313, 3781, 13]",0.5,243,ml_signal,40,Fetching limit up information is a common pattern in stock trading analysis.,,108,"    if industry in [""贸易行业"", ""家用轻工"", ""造纸印刷"", ""酿酒行业"", ""珠宝首饰"", ""美容护理"", ""食品饮料"", ""旅游酒店"", ""商业百货"", ""纺织服装"", ""家电行业""]:","[220, 220, 220, 611, 2831, 287, 14631, 164, 112, 116, 23626, 241, 26193, 234, 10310, 248, 1600, 366, 22522, 114, 18796, 101, 164, 121, 119, 32432, 98, 1600, 366, 34460, 254, 163, 118, 116, 39355, 108, 26344, 115, 1600, 366, 165, 227, 123, 165, 227, 240, 26193, 234, 10310, 248, 1600, 366, 163, 237, 254, 22522, 251, 165, 99, 244, 165, 98, 108, 1600, 366, 163, 122, 236, 22522, 117, 162, 232, 97, 49426, 228, 1600, 366, 45617, 253, 161, 241, 223, 165, 98, 106, 23877, 247, 1600, 366, 33768, 227, 162, 116, 116, 165, 227, 240, 41753, 245, 1600, 366, 161, 243, 228, 10310, 248, 163, 247, 122, 164, 112, 100, 1600, 366, 163, 118, 118, 163, 119, 229, 17312, 235, 35318, 1600, 366, 22522, 114, 18796, 113, 26193, 234, 10310, 248, 1, 5974]"
