annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
✅ Best Practice: Grouping imports from the same module together improves readability.,"[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 422, 262, 976, 8265, 1978, 19575, 1100, 1799, 13]",1.0,6,best_practice,2,Grouping imports from the same module together improves readability.,,0,import pandas as pd,"[11748, 19798, 292, 355, 279, 67]"
✅ Best Practice: Grouping imports from the same module together improves readability.,"[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 422, 262, 976, 8265, 1978, 19575, 1100, 1799, 13]",1.0,15,best_practice,4,Grouping imports from the same module together improves readability.,,6,from zvt.contract import IntervalLevel,"[6738, 1976, 36540, 13, 28484, 1330, 4225, 2100, 4971]"
✅ Best Practice: Grouping imports from the same module together improves readability.,"[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 422, 262, 976, 8265, 1978, 19575, 1100, 1799, 13]",1.0,30,best_practice,6,Grouping imports from the same module together improves readability.,,15,from zvt.contract.recorder import FixedCycleDataRecorder,"[6738, 1976, 36540, 13, 28484, 13, 8344, 2875, 1330, 10832, 20418, 2375, 6601, 6690, 2875]"
✅ Best Practice: Grouping imports from the same module together improves readability.,"[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 422, 262, 976, 8265, 1978, 19575, 1100, 1799, 13]",1.0,45,best_practice,8,Grouping imports from the same module together improves readability.,,30,from zvt.domain.macro.monetary import TreasuryYield,"[6738, 1976, 36540, 13, 27830, 13, 20285, 305, 13, 2144, 8527, 1330, 13419, 56, 1164]"
✅ Best Practice: Grouping imports from the same module together improves readability.,"[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 422, 262, 976, 8265, 1978, 19575, 1100, 1799, 13]",1.0,45,best_practice,10,Grouping imports from the same module together improves readability.,,45,,[]
✅ Best Practice: Grouping imports from the same module together improves readability.,"[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 422, 262, 976, 8265, 1978, 19575, 1100, 1799, 13]",1.0,62,best_practice,12,Grouping imports from the same module together improves readability.,,45,class EMTreasuryYieldRecorder(FixedCycleDataRecorder):,"[4871, 412, 13752, 260, 11579, 56, 1164, 6690, 2875, 7, 13715, 20418, 2375, 6601, 6690, 2875, 2599]"
✅ Best Practice: Class definition should be followed by a docstring explaining its purpose and usage,"[26486, 227, 6705, 19939, 25, 5016, 6770, 815, 307, 3940, 416, 257, 2205, 8841, 11170, 663, 4007, 290, 8748]",1.0,77,best_practice,8,Class definition should be followed by a docstring explaining its purpose and usage,,62,from zvt.domain.macro.monetary import TreasuryYield,"[6738, 1976, 36540, 13, 27830, 13, 20285, 305, 13, 2144, 8527, 1330, 13419, 56, 1164]"
✅ Best Practice: Class attributes should be documented to explain their purpose,"[26486, 227, 6705, 19939, 25, 5016, 12608, 815, 307, 12395, 284, 4727, 511, 4007]",1.0,77,best_practice,10,Class attributes should be documented to explain their purpose,,77,,[]
✅ Best Practice: Class attributes should be documented to explain their purpose,"[26486, 227, 6705, 19939, 25, 5016, 12608, 815, 307, 12395, 284, 4727, 511, 4007]",1.0,94,best_practice,12,Class attributes should be documented to explain their purpose,,77,class EMTreasuryYieldRecorder(FixedCycleDataRecorder):,"[4871, 412, 13752, 260, 11579, 56, 1164, 6690, 2875, 7, 13715, 20418, 2375, 6601, 6690, 2875, 2599]"
✅ Best Practice: Class attributes should be documented to explain their purpose,"[26486, 227, 6705, 19939, 25, 5016, 12608, 815, 307, 12395, 284, 4727, 511, 4007]",1.0,103,best_practice,13,Class attributes should be documented to explain their purpose,,94,    entity_schema = Country,"[220, 220, 220, 9312, 62, 15952, 2611, 796, 12946]"
