annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
🧠 ML Signal: Importing specific functions from a module indicates selective usage patterns,"[8582, 100, 254, 10373, 26484, 25, 17267, 278, 2176, 5499, 422, 257, 8265, 9217, 21792, 8748, 7572]",0.5,0,ml_signal,6,Importing specific functions from a module indicates selective usage patterns,,0,,[]
🧠 ML Signal: Importing specific functions from a module indicates selective usage patterns,"[8582, 100, 254, 10373, 26484, 25, 17267, 278, 2176, 5499, 422, 257, 8265, 9217, 21792, 8748, 7572]",0.5,0,ml_signal,8,Importing specific functions from a module indicates selective usage patterns,,0,,[]
🧠 ML Signal: Importing specific functions from a module indicates selective usage patterns,"[8582, 100, 254, 10373, 26484, 25, 17267, 278, 2176, 5499, 422, 257, 8265, 9217, 21792, 8748, 7572]",0.5,18,ml_signal,10,Importing specific functions from a module indicates selective usage patterns,,0,from zvt.api.selector import get_entity_ids_by_filter,"[6738, 1976, 36540, 13, 15042, 13, 19738, 273, 1330, 651, 62, 26858, 62, 2340, 62, 1525, 62, 24455]"
🧠 ML Signal: Importing specific functions from a module indicates selective usage patterns,"[8582, 100, 254, 10373, 26484, 25, 17267, 278, 2176, 5499, 422, 257, 8265, 9217, 21792, 8748, 7572]",0.5,44,ml_signal,13,Importing specific functions from a module indicates selective usage patterns,,18,"from zvt.contract.api import decode_entity_id, get_entity_schema, get_entity_ids","[6738, 1976, 36540, 13, 28484, 13, 15042, 1330, 36899, 62, 26858, 62, 312, 11, 651, 62, 26858, 62, 15952, 2611, 11, 651, 62, 26858, 62, 2340]"
🧠 ML Signal: Importing specific functions from a module indicates selective usage patterns,"[8582, 100, 254, 10373, 26484, 25, 17267, 278, 2176, 5499, 422, 257, 8265, 9217, 21792, 8748, 7572]",0.5,55,ml_signal,14,Importing specific functions from a module indicates selective usage patterns,,44,from zvt.contract.drawer import Drawer,"[6738, 1976, 36540, 13, 28484, 13, 19334, 263, 1330, 15315, 263]"
🧠 ML Signal: Importing specific functions from a module indicates selective usage patterns,"[8582, 100, 254, 10373, 26484, 25, 17267, 278, 2176, 5499, 422, 257, 8265, 9217, 21792, 8748, 7572]",0.5,65,ml_signal,21,Importing specific functions from a module indicates selective usage patterns,,55,"    now_pd_timestamp,","[220, 220, 220, 783, 62, 30094, 62, 16514, 27823, 11]"
🧠 ML Signal: Importing specific functions from a module indicates selective usage patterns,"[8582, 100, 254, 10373, 26484, 25, 17267, 278, 2176, 5499, 422, 257, 8265, 9217, 21792, 8748, 7572]",0.5,75,ml_signal,21,Importing specific functions from a module indicates selective usage patterns,,65,"    now_pd_timestamp,","[220, 220, 220, 783, 62, 30094, 62, 16514, 27823, 11]"
✅ Best Practice: Use of a logger for the module allows for better debugging and monitoring,"[26486, 227, 6705, 19939, 25, 5765, 286, 257, 49706, 329, 262, 8265, 3578, 329, 1365, 28769, 290, 9904]",0.5,84,best_practice,28,Use of a logger for the module allows for better debugging and monitoring,,75,class WindowMethod(enum.Enum):,"[4871, 26580, 17410, 7, 44709, 13, 4834, 388, 2599]"
✅ Best Practice: Use of enum for defining a set of related constants,"[26486, 227, 6705, 19939, 25, 5765, 286, 33829, 329, 16215, 257, 900, 286, 3519, 38491]",0.5,96,best_practice,22,Use of enum for defining a set of related constants,,84,"    date_time_by_interval,","[220, 220, 220, 3128, 62, 2435, 62, 1525, 62, 3849, 2100, 11]"
✅ Best Practice: Enums should inherit from enum.Enum for clarity and consistency,"[26486, 227, 6705, 19939, 25, 2039, 5700, 815, 16955, 422, 33829, 13, 4834, 388, 329, 16287, 290, 15794]",0.5,96,best_practice,26,Enums should inherit from enum.Enum for clarity and consistency,,96,,[]
🧠 ML Signal: Enum members can indicate categorical data usage,"[8582, 100, 254, 10373, 26484, 25, 2039, 388, 1866, 460, 7603, 4253, 12409, 1366, 8748]",0.5,105,ml_signal,28,Enum members can indicate categorical data usage,,96,class WindowMethod(enum.Enum):,"[4871, 26580, 17410, 7, 44709, 13, 4834, 388, 2599]"
🧠 ML Signal: Enum members can indicate categorical data usage,"[8582, 100, 254, 10373, 26484, 25, 2039, 388, 1866, 460, 7603, 4253, 12409, 1366, 8748]",0.5,113,ml_signal,29,Enum members can indicate categorical data usage,,105,"    change = ""change""","[220, 220, 220, 1487, 796, 366, 3803, 1]"
✅ Best Practice: Use of default parameter values for function arguments,"[26486, 227, 6705, 19939, 25, 5765, 286, 4277, 11507, 3815, 329, 2163, 7159]",0.5,121,best_practice,29,Use of default parameter values for function arguments,,113,"    change = ""change""","[220, 220, 220, 1487, 796, 366, 3803, 1]"
🧠 ML Signal: Iterating over a range of dates to process data in chunks,"[8582, 100, 254, 10373, 26484, 25, 40806, 803, 625, 257, 2837, 286, 9667, 284, 1429, 1366, 287, 22716]",0.5,121,ml_signal,37,Iterating over a range of dates to process data in chunks,,121,,[]
🧠 ML Signal: Function call pattern with multiple parameters,"[8582, 100, 254, 10373, 26484, 25, 15553, 869, 3912, 351, 3294, 10007]",0.5,130,ml_signal,40,Function call pattern with multiple parameters,,121,"    entity_type=""stock"",","[220, 220, 220, 9312, 62, 4906, 2625, 13578, 1600]"
🧠 ML Signal: Use of generator to yield results,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 17301, 284, 7800, 2482]",0.5,140,ml_signal,48,Use of generator to yield results,,130,    for month_range in ranges:,"[220, 220, 220, 329, 1227, 62, 9521, 287, 16069, 25]"
✅ Best Practice: Use of default values for function parameters improves function usability and flexibility.,"[26486, 227, 6705, 19939, 25, 5765, 286, 4277, 3815, 329, 2163, 10007, 19575, 2163, 42863, 290, 13688, 13]",0.5,148,best_practice,63,Use of default values for function parameters improves function usability and flexibility.,,140,"    entity_provider,","[220, 220, 220, 9312, 62, 15234, 1304, 11]"
✅ Best Practice: Using dict.fromkeys to remove duplicates while preserving order.,"[26486, 227, 6705, 19939, 25, 8554, 8633, 13, 6738, 13083, 284, 4781, 14184, 16856, 981, 23934, 1502, 13]",0.5,166,best_practice,138,Using dict.fromkeys to remove duplicates while preserving order.,,148,        current_end = trade_days[-1],"[220, 220, 220, 220, 220, 220, 220, 1459, 62, 437, 796, 3292, 62, 12545, 58, 12, 16, 60]"
✅ Best Practice: Check for None to provide default behavior for adjust_type,"[26486, 227, 6705, 19939, 25, 6822, 329, 6045, 284, 2148, 4277, 4069, 329, 4532, 62, 4906]",0.5,183,best_practice,153,Check for None to provide default behavior for adjust_type,,166,        if return_type == TopType.positive:,"[220, 220, 220, 220, 220, 220, 220, 611, 1441, 62, 4906, 6624, 5849, 6030, 13, 24561, 25]"
🧠 ML Signal: Usage of dynamic schema based on entity type and adjust type,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 8925, 32815, 1912, 319, 9312, 2099, 290, 4532, 2099]",1.0,199,ml_signal,156,Usage of dynamic schema based on entity type and adjust type,,183,            df = negative_df,"[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 47764, 796, 4633, 62, 7568]"
✅ Best Practice: Initialize mutable default arguments inside the function,"[26486, 227, 6705, 19939, 25, 20768, 1096, 4517, 540, 4277, 7159, 2641, 262, 2163]",0.5,227,best_practice,158,Initialize mutable default arguments inside the function,,199,            selected = selected + df.index[:top_count].tolist(),"[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 6163, 796, 6163, 1343, 47764, 13, 9630, 58, 25, 4852, 62, 9127, 4083, 83, 349, 396, 3419]"
🧠 ML Signal: Usage of historical data based on list_days,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 6754, 1366, 1912, 319, 1351, 62, 12545]",0.5,227,ml_signal,162,Usage of historical data based on list_days,,227,,[]
🧠 ML Signal: Filtering entities based on dynamic conditions,"[8582, 100, 254, 10373, 26484, 25, 7066, 20212, 12066, 1912, 319, 8925, 3403]",0.5,237,ml_signal,167,Filtering entities based on dynamic conditions,,227,"    pct=0.1,","[220, 220, 220, 279, 310, 28, 15, 13, 16, 11]"
⚠️ SAST Risk (Low): Potential information exposure through logging,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 32480, 1321, 7111, 832, 18931]",0.5,246,sast_risk,173,Potential information exposure through logging,Low,237,"    list_days=None,","[220, 220, 220, 1351, 62, 12545, 28, 14202, 11]"
✅ Best Practice: Initialize mutable default arguments inside the function,"[26486, 227, 6705, 19939, 25, 20768, 1096, 4517, 540, 4277, 7159, 2641, 262, 2163]",0.5,255,best_practice,173,Initialize mutable default arguments inside the function,,246,"    list_days=None,","[220, 220, 220, 1351, 62, 12545, 28, 14202, 11]"
🧠 ML Signal: Combining filters for data retrieval,"[8582, 100, 254, 10373, 26484, 25, 14336, 3191, 16628, 329, 1366, 45069]",0.5,264,ml_signal,173,Combining filters for data retrieval,,255,"    list_days=None,","[220, 220, 220, 1351, 62, 12545, 28, 14202, 11]"
🧠 ML Signal: Usage of top entities retrieval with specific parameters,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 1353, 12066, 45069, 351, 2176, 10007]",0.5,294,ml_signal,185,Usage of top entities retrieval with specific parameters,,264,"        list_date = date_time_by_interval(start_timestamp, -list_days)","[220, 220, 220, 220, 220, 220, 220, 1351, 62, 4475, 796, 3128, 62, 2435, 62, 1525, 62, 3849, 2100, 7, 9688, 62, 16514, 27823, 11, 532, 4868, 62, 12545, 8]"
✅ Best Practice: Defaulting to current timestamp if none is provided,"[26486, 227, 6705, 19939, 25, 15161, 278, 284, 1459, 41033, 611, 4844, 318, 2810]",1.0,294,best_practice,187,Defaulting to current timestamp if none is provided,,294,,[]
🧠 ML Signal: Usage of recent report date for filtering data,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 2274, 989, 3128, 329, 25431, 1366]",0.5,308,ml_signal,189,Usage of recent report date for filtering data,,294,"        provider=entity_provider,","[220, 220, 220, 220, 220, 220, 220, 10131, 28, 26858, 62, 15234, 1304, 11]"
🧠 ML Signal: Querying data with specific filters and columns,"[8582, 100, 254, 10373, 26484, 25, 2264, 263, 1112, 1366, 351, 2176, 16628, 290, 15180]",1.0,322,ml_signal,189,Querying data with specific filters and columns,,308,"        provider=entity_provider,","[220, 220, 220, 220, 220, 220, 220, 10131, 28, 26858, 62, 15234, 1304, 11]"
🧠 ML Signal: Filtering data based on report date and timestamp,"[8582, 100, 254, 10373, 26484, 25, 7066, 20212, 1366, 1912, 319, 989, 3128, 290, 41033]",1.0,322,ml_signal,196,Filtering data based on report date and timestamp,,322,,[]
