annotation,annotation_tokens,confidence,end_token,label,line,reason,start_token,text,tokens
"🧠 ML Signal: Mapping of financial terms to standardized keys, useful for feature extraction in ML models","[8582, 100, 254, 10373, 26484, 25, 337, 5912, 286, 3176, 2846, 284, 25713, 8251, 11, 4465, 329, 3895, 22236, 287, 10373, 4981]",1.0,23,ml_signal,6,"Mapping of financial terms to standardized keys, useful for feature extraction in ML models",0,"from zvt.utils.utils import add_func_to_value, first_item_to_float","[6738, 1976, 36540, 13, 26791, 13, 26791, 1330, 751, 62, 20786, 62, 1462, 62, 8367, 11, 717, 62, 9186, 62, 1462, 62, 22468]"
✅ Best Practice: Using a utility function to apply transformations to dictionary values,"[26486, 227, 6705, 19939, 25, 8554, 257, 10361, 2163, 284, 4174, 38226, 284, 22155, 3815]",1.0,41,best_practice,111,Using a utility function to apply transformations to dictionary values,23,    # 少数股东权益,"[220, 220, 220, 1303, 10263, 108, 239, 46763, 108, 164, 224, 94, 10310, 250, 30266, 225, 33566, 232]"
✅ Best Practice: Adding new keys to the dictionary with transformations for specific use cases,"[26486, 227, 6705, 19939, 25, 18247, 649, 8251, 284, 262, 22155, 351, 38226, 329, 2176, 779, 2663]",1.0,58,best_practice,113,Adding new keys to the dictionary with transformations for specific use cases,41,    # 股东权益合计,"[220, 220, 220, 1303, 5525, 224, 94, 10310, 250, 30266, 225, 33566, 232, 28938, 42062, 106, 94]"
🧠 ML Signal: Class definition for a specific financial data recorder,"[8582, 100, 254, 10373, 26484, 25, 5016, 6770, 329, 257, 2176, 3176, 1366, 38156]",0.5,75,ml_signal,113,Class definition for a specific financial data recorder,58,    # 股东权益合计,"[220, 220, 220, 1303, 5525, 224, 94, 10310, 250, 30266, 225, 33566, 232, 28938, 42062, 106, 94]"
🧠 ML Signal: URL pattern for accessing financial data,"[8582, 100, 254, 10373, 26484, 25, 10289, 3912, 329, 22534, 3176, 1366]",0.5,101,ml_signal,115,URL pattern for accessing financial data,75,    # 负债和股东权益合计,"[220, 220, 220, 1303, 5525, 112, 253, 161, 222, 118, 161, 240, 234, 164, 224, 94, 10310, 250, 30266, 225, 33566, 232, 28938, 42062, 106, 94]"
🧠 ML Signal: Specific type of financial report being recorded,"[8582, 100, 254, 10373, 26484, 25, 17377, 2099, 286, 3176, 989, 852, 6264]",0.5,114,ml_signal,117,Specific type of financial report being recorded,101,    # 银行相关,"[220, 220, 220, 1303, 16268, 241, 114, 26193, 234, 33566, 116, 17739, 111]"
🧠 ML Signal: Data type identifier for the financial data,"[8582, 100, 254, 10373, 26484, 25, 6060, 2099, 27421, 329, 262, 3176, 1366]",0.5,144,ml_signal,119,Data type identifier for the financial data,114,    # 现金及存放中央银行款项,"[220, 220, 220, 1303, 13328, 236, 108, 34932, 239, 20998, 232, 27764, 246, 162, 242, 122, 40792, 13783, 106, 165, 241, 114, 26193, 234, 162, 105, 122, 165, 94, 117]"
🧠 ML Signal: Use of a main guard to execute code conditionally,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 257, 1388, 4860, 284, 12260, 2438, 4006, 453]",0.5,174,ml_signal,119,Use of a main guard to execute code conditionally,144,    # 现金及存放中央银行款项,"[220, 220, 220, 1303, 13328, 236, 108, 34932, 239, 20998, 232, 27764, 246, 162, 242, 122, 40792, 13783, 106, 165, 241, 114, 26193, 234, 162, 105, 122, 165, 94, 117]"
🧠 ML Signal: Instantiation of a class with specific parameters,"[8582, 100, 254, 10373, 26484, 25, 24470, 3920, 286, 257, 1398, 351, 2176, 10007]",1.0,194,ml_signal,121,Instantiation of a class with specific parameters,174,    # 存放同业款项,"[220, 220, 220, 1303, 10263, 255, 246, 162, 242, 122, 28938, 234, 10310, 248, 162, 105, 122, 165, 94, 117]"
🧠 ML Signal: Method invocation on an object,"[8582, 100, 254, 10373, 26484, 25, 11789, 43219, 319, 281, 2134]",0.5,215,ml_signal,122,Method invocation on an object,194,"    ""fi_deposit_in_other_fi"": ""Depositinfi"",","[220, 220, 220, 366, 12463, 62, 10378, 7434, 62, 259, 62, 847, 62, 12463, 1298, 366, 12156, 7434, 10745, 72, 1600]"
✅ Best Practice: Define __all__ to explicitly declare public API of the module,"[26486, 227, 6705, 19939, 25, 2896, 500, 11593, 439, 834, 284, 11777, 13627, 1171, 7824, 286, 262, 8265]",1.0,236,best_practice,122,Define __all__ to explicitly declare public API of the module,215,"    ""fi_deposit_in_other_fi"": ""Depositinfi"",","[220, 220, 220, 366, 12463, 62, 10378, 7434, 62, 259, 62, 847, 62, 12463, 1298, 366, 12156, 7434, 10745, 72, 1600]"
