annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
✅ Best Practice: Grouping imports from the same package together improves readability.,"[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 422, 262, 976, 5301, 1978, 19575, 1100, 1799, 13]",0.5,6,best_practice,2,Grouping imports from the same package together improves readability.,,0,import pandas as pd,"[11748, 19798, 292, 355, 279, 67]"
✅ Best Practice: Grouping imports from the same package together improves readability.,"[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 422, 262, 976, 5301, 1978, 19575, 1100, 1799, 13]",0.5,6,best_practice,4,Grouping imports from the same package together improves readability.,,6,,[]
✅ Best Practice: Grouping imports from the same package together improves readability.,"[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 422, 262, 976, 5301, 1978, 19575, 1100, 1799, 13]",0.5,20,best_practice,6,Grouping imports from the same package together improves readability.,,6,from zvt.contract.recorder import TimeSeriesDataRecorder,"[6738, 1976, 36540, 13, 28484, 13, 8344, 2875, 1330, 3862, 27996, 6601, 6690, 2875]"
✅ Best Practice: Grouping imports from the same package together improves readability.,"[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 422, 262, 976, 5301, 1978, 19575, 1100, 1799, 13]",0.5,35,best_practice,8,Grouping imports from the same package together improves readability.,,20,from zvt.utils.time_utils import to_time_str,"[6738, 1976, 36540, 13, 26791, 13, 2435, 62, 26791, 1330, 284, 62, 2435, 62, 2536]"
✅ Best Practice: Grouping imports from the same package together improves readability.,"[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 422, 262, 976, 5301, 1978, 19575, 1100, 1799, 13]",0.5,35,best_practice,10,Grouping imports from the same package together improves readability.,,35,,[]
🧠 ML Signal: Inheritance from TimeSeriesDataRecorder indicates a pattern of extending functionality for time series data.,"[8582, 100, 254, 10373, 26484, 25, 47025, 42942, 422, 3862, 27996, 6601, 6690, 2875, 9217, 257, 3912, 286, 16610, 11244, 329, 640, 2168, 1366, 13]",1.0,50,ml_signal,8,Inheritance from TimeSeriesDataRecorder indicates a pattern of extending functionality for time series data.,,35,from zvt.utils.time_utils import to_time_str,"[6738, 1976, 36540, 13, 26791, 13, 2435, 62, 26791, 1330, 284, 62, 2435, 62, 2536]"
🧠 ML Signal: Use of a specific data provider can indicate a preference or dependency on certain data sources.,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 257, 2176, 1366, 10131, 460, 7603, 257, 12741, 393, 20203, 319, 1728, 1366, 4237, 13]",0.5,50,ml_signal,10,Use of a specific data provider can indicate a preference or dependency on certain data sources.,,50,,[]
🧠 ML Signal: Association with a specific schema suggests a pattern of data organization and usage.,"[8582, 100, 254, 10373, 26484, 25, 5396, 351, 257, 2176, 32815, 5644, 257, 3912, 286, 1366, 4009, 290, 8748, 13]",1.0,63,ml_signal,12,Association with a specific schema suggests a pattern of data organization and usage.,,50,"    entity_provider = ""joinquant""","[220, 220, 220, 9312, 62, 15234, 1304, 796, 366, 7639, 18934, 415, 1]"
🧠 ML Signal: Repeated use of the same provider name reinforces the dependency pattern on this data source.,"[8582, 100, 254, 10373, 26484, 25, 30558, 515, 779, 286, 262, 976, 10131, 1438, 41125, 262, 20203, 3912, 319, 428, 1366, 2723, 13]",1.0,76,ml_signal,12,Repeated use of the same provider name reinforces the dependency pattern on this data source.,,63,"    entity_provider = ""joinquant""","[220, 220, 220, 9312, 62, 15234, 1304, 796, 366, 7639, 18934, 415, 1]"
🧠 ML Signal: Use of a specific data schema indicates a pattern of handling and processing stock trade day data.,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 257, 2176, 1366, 32815, 9217, 257, 3912, 286, 9041, 290, 7587, 4283, 3292, 1110, 1366, 13]",0.5,89,ml_signal,12,Use of a specific data schema indicates a pattern of handling and processing stock trade day data.,,76,"    entity_provider = ""joinquant""","[220, 220, 220, 9312, 62, 15234, 1304, 796, 366, 7639, 18934, 415, 1]"
✅ Best Practice: Use of super() to call the parent class's __init__ method ensures proper initialization.,"[26486, 227, 6705, 19939, 25, 5765, 286, 2208, 3419, 284, 869, 262, 2560, 1398, 338, 11593, 15003, 834, 2446, 19047, 1774, 37588, 13]",0.5,102,best_practice,26,Use of super() to call the parent class's __init__ method ensures proper initialization.,,89,"        real_time=False,","[220, 220, 220, 220, 220, 220, 220, 1103, 62, 2435, 28, 25101, 11]"
🧠 ML Signal: The use of a boolean flag for force_update indicates a pattern for conditional behavior.,"[8582, 100, 254, 10373, 26484, 25, 383, 779, 286, 257, 25131, 6056, 329, 2700, 62, 19119, 9217, 257, 3912, 329, 26340, 4069, 13]",0.5,115,ml_signal,26,The use of a boolean flag for force_update indicates a pattern for conditional behavior.,,102,"        real_time=False,","[220, 220, 220, 220, 220, 220, 220, 1103, 62, 2435, 28, 25101, 11]"
🧠 ML Signal: The sleeping_time parameter suggests a pattern for rate limiting or throttling.,"[8582, 100, 254, 10373, 26484, 25, 383, 11029, 62, 2435, 11507, 5644, 257, 3912, 329, 2494, 15637, 393, 46692, 1359, 13]",0.5,128,ml_signal,26,The sleeping_time parameter suggests a pattern for rate limiting or throttling.,,115,"        real_time=False,","[220, 220, 220, 220, 220, 220, 220, 1103, 62, 2435, 28, 25101, 11]"
"🧠 ML Signal: Hardcoded default values like codes=[""000001""] can indicate default behavior or settings.","[8582, 100, 254, 10373, 26484, 25, 6912, 40976, 4277, 3815, 588, 12416, 28, 14692, 2388, 486, 8973, 460, 7603, 4277, 4069, 393, 6460, 13]",0.5,145,ml_signal,41,"Hardcoded default values like codes=[""000001""] can indicate default behavior or settings.",,128,"            ignore_failed=True,","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 8856, 62, 47904, 28, 17821, 11]"
🧠 ML Signal: The use of a boolean flag for day_data indicates a pattern for conditional behavior.,"[8582, 100, 254, 10373, 26484, 25, 383, 779, 286, 257, 25131, 6056, 329, 1110, 62, 7890, 9217, 257, 3912, 329, 26340, 4069, 13]",0.5,162,ml_signal,41,The use of a boolean flag for day_data indicates a pattern for conditional behavior.,,145,"            ignore_failed=True,","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 8856, 62, 47904, 28, 17821, 11]"
🧠 ML Signal: The use of a boolean flag for ignore_failed indicates a pattern for error handling.,"[8582, 100, 254, 10373, 26484, 25, 383, 779, 286, 257, 25131, 6056, 329, 8856, 62, 47904, 9217, 257, 3912, 329, 4049, 9041, 13]",0.5,179,ml_signal,41,The use of a boolean flag for ignore_failed indicates a pattern for error handling.,,162,"            ignore_failed=True,","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 8856, 62, 47904, 28, 17821, 11]"
🧠 ML Signal: The use of a boolean flag for real_time indicates a pattern for conditional behavior.,"[8582, 100, 254, 10373, 26484, 25, 383, 779, 286, 257, 25131, 6056, 329, 1103, 62, 2435, 9217, 257, 3912, 329, 26340, 4069, 13]",0.5,198,ml_signal,42,The use of a boolean flag for real_time indicates a pattern for conditional behavior.,,179,"            real_time=real_time,","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 1103, 62, 2435, 28, 5305, 62, 2435, 11]"
🧠 ML Signal: The fix_duplicate_way parameter suggests a pattern for handling duplicate data.,"[8582, 100, 254, 10373, 26484, 25, 383, 4259, 62, 646, 489, 5344, 62, 1014, 11507, 5644, 257, 3912, 329, 9041, 23418, 1366, 13]",1.0,219,ml_signal,44,The fix_duplicate_way parameter suggests a pattern for handling duplicate data.,,198,"            start_timestamp=start_timestamp,","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 923, 62, 16514, 27823, 28, 9688, 62, 16514, 27823, 11]"
✅ Best Practice: Consider checking if 'dates' is empty to avoid potential errors in subsequent operations.,"[26486, 227, 6705, 19939, 25, 12642, 10627, 611, 705, 19581, 6, 318, 6565, 284, 3368, 2785, 8563, 287, 8840, 4560, 13]",0.5,246,best_practice,43,Consider checking if 'dates' is empty to avoid potential errors in subsequent operations.,,219,"            fix_duplicate_way=fix_duplicate_way,","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 4259, 62, 646, 489, 5344, 62, 1014, 28, 13049, 62, 646, 489, 5344, 62, 1014, 11]"
🧠 ML Signal: Logging information about dates can be useful for understanding data processing patterns.,"[8582, 100, 254, 10373, 26484, 25, 5972, 2667, 1321, 546, 9667, 460, 307, 4465, 329, 4547, 1366, 7587, 7572, 13]",1.0,254,ml_signal,46,Logging information about dates can be useful for understanding data processing patterns.,,246,        ),"[220, 220, 220, 220, 220, 220, 220, 1267]"
✅ Best Practice: Ensure that the 'dates' are valid and correctly formatted before conversion.,"[26486, 227, 6705, 19939, 25, 48987, 326, 262, 705, 19581, 6, 389, 4938, 290, 9380, 39559, 878, 11315, 13]",0.5,274,best_practice,48,Ensure that the 'dates' are valid and correctly formatted before conversion.,,254,"    def record(self, entity, start, end, size, timestamps):","[220, 220, 220, 825, 1700, 7, 944, 11, 9312, 11, 923, 11, 886, 11, 2546, 11, 4628, 395, 9430, 2599]"
🧠 ML Signal: Using list comprehensions for data transformation is a common pattern.,"[8582, 100, 254, 10373, 26484, 25, 8554, 1351, 8569, 507, 329, 1366, 13389, 318, 257, 2219, 3912, 13]",0.5,299,ml_signal,50,Using list comprehensions for data transformation is a common pattern.,,274,        dates = get_trade_days(date=to_time_str(start)),"[220, 220, 220, 220, 220, 220, 220, 9667, 796, 651, 62, 25351, 62, 12545, 7, 4475, 28, 1462, 62, 2435, 62, 2536, 7, 9688, 4008]"
⚠️ SAST Risk (Low): Hardcoding 'entity_id' may lead to inflexibility or errors if the entity changes.,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 6912, 66, 7656, 705, 26858, 62, 312, 6, 743, 1085, 284, 1167, 2588, 2247, 393, 8563, 611, 262, 9312, 2458, 13]",1.0,321,sast_risk,52,Hardcoding 'entity_id' may lead to inflexibility or errors if the entity changes.,Low,299,"        self.logger.info(f""add dates:{dates}"")","[220, 220, 220, 220, 220, 220, 220, 2116, 13, 6404, 1362, 13, 10951, 7, 69, 1, 2860, 9667, 29164, 19581, 92, 4943]"
⚠️ SAST Risk (Medium): Ensure 'df_to_db' handles SQL injection and data validation properly.,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 31205, 2599, 48987, 705, 7568, 62, 1462, 62, 9945, 6, 17105, 16363, 16954, 290, 1366, 21201, 6105, 13]",1.0,344,sast_risk,53,Ensure 'df_to_db' handles SQL injection and data validation properly.,Medium,321,"        df[""timestamp""] = pd.to_datetime(dates)","[220, 220, 220, 220, 220, 220, 220, 47764, 14692, 16514, 27823, 8973, 796, 279, 67, 13, 1462, 62, 19608, 8079, 7, 19581, 8]"
🧠 ML Signal: Instantiating and running a class in the main block is a common pattern.,"[8582, 100, 254, 10373, 26484, 25, 2262, 17096, 803, 290, 2491, 257, 1398, 287, 262, 1388, 2512, 318, 257, 2219, 3912, 13]",0.5,367,ml_signal,53,Instantiating and running a class in the main block is a common pattern.,,344,"        df[""timestamp""] = pd.to_datetime(dates)","[220, 220, 220, 220, 220, 220, 220, 47764, 14692, 16514, 27823, 8973, 796, 279, 67, 13, 1462, 62, 19608, 8079, 7, 19581, 8]"
