annotation,annotation_tokens,confidence,end_token,label,line,reason,start_token,text,tokens
🧠 ML Signal: Importing specific modules from a trading library indicates usage patterns in financial applications,"[8582, 100, 254, 10373, 26484, 25, 17267, 278, 2176, 13103, 422, 257, 7313, 5888, 9217, 8748, 7572, 287, 3176, 5479]",1.0,14,ml_signal,9,Importing specific modules from a trading library indicates usage patterns in financial applications,0,# from vnpy_femas import FemasGateway,"[2, 422, 410, 77, 9078, 62, 69, 368, 292, 1330, 31149, 292, 22628, 1014]"
✅ Best Practice: Grouping imports from the same library together improves readability,"[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 422, 262, 976, 5888, 1978, 19575, 1100, 1799]",0.5,27,best_practice,10,Grouping imports from the same library together improves readability,14,# from vnpy_sopt import SoptGateway,"[2, 422, 410, 77, 9078, 62, 82, 8738, 1330, 311, 8738, 22628, 1014]"
"🧠 ML Signal: Initialization of a QApplication object, common in GUI applications","[8582, 100, 254, 10373, 26484, 25, 20768, 1634, 286, 257, 1195, 23416, 2134, 11, 2219, 287, 25757, 5479]",0.5,40,ml_signal,10,"Initialization of a QApplication object, common in GUI applications",27,# from vnpy_sopt import SoptGateway,"[2, 422, 410, 77, 9078, 62, 82, 8738, 1330, 311, 8738, 22628, 1014]"
🧠 ML Signal: Creation of an event-driven architecture component,"[8582, 100, 254, 10373, 26484, 25, 21582, 286, 281, 1785, 12, 15808, 10959, 7515]",0.5,53,ml_signal,12,Creation of an event-driven architecture component,40,# from vnpy_esunny import EsunnyGateway,"[2, 422, 410, 77, 9078, 62, 274, 16948, 1330, 8678, 16948, 22628, 1014]"
"🧠 ML Signal: Initialization of a main engine, likely a core component of the application","[8582, 100, 254, 10373, 26484, 25, 20768, 1634, 286, 257, 1388, 3113, 11, 1884, 257, 4755, 7515, 286, 262, 3586]",0.5,73,ml_signal,14,"Initialization of a main engine, likely a core component of the application",53,"# from vnpy_tora import ToraStockGateway, ToraOptionGateway","[2, 422, 410, 77, 9078, 62, 83, 5799, 1330, 4022, 64, 26207, 22628, 1014, 11, 4022, 64, 19722, 22628, 1014]"
"🧠 ML Signal: Adding a gateway to the main engine, indicating modular architecture","[8582, 100, 254, 10373, 26484, 25, 18247, 257, 24308, 284, 262, 1388, 3113, 11, 12739, 26507, 10959]",1.0,84,ml_signal,16,"Adding a gateway to the main engine, indicating modular architecture",73,# from vnpy_tap import TapGateway,"[2, 422, 410, 77, 9078, 62, 44335, 1330, 16880, 22628, 1014]"
"🧠 ML Signal: Adding applications to the main engine, showing extensibility","[8582, 100, 254, 10373, 26484, 25, 18247, 5479, 284, 262, 1388, 3113, 11, 4478, 1070, 641, 2247]",1.0,97,ml_signal,18,"Adding applications to the main engine, showing extensibility",84,# from vnpy_rohon import RohonGateway,"[2, 422, 410, 77, 9078, 62, 305, 24130, 1330, 32694, 261, 22628, 1014]"
"🧠 ML Signal: Creation of a main window, typical in GUI applications","[8582, 100, 254, 10373, 26484, 25, 21582, 286, 257, 1388, 4324, 11, 7226, 287, 25757, 5479]",1.0,109,ml_signal,21,"Creation of a main window, typical in GUI applications",97,# from vnpy_paperaccount import PaperAccountApp,"[2, 422, 410, 77, 9078, 62, 20189, 23317, 1330, 14962, 30116, 4677]"
"🧠 ML Signal: Maximizing the main window, a common GUI operation","[8582, 100, 254, 10373, 26484, 25, 38962, 2890, 262, 1388, 4324, 11, 257, 2219, 25757, 4905]",1.0,121,ml_signal,21,"Maximizing the main window, a common GUI operation",109,# from vnpy_paperaccount import PaperAccountApp,"[2, 422, 410, 77, 9078, 62, 20189, 23317, 1330, 14962, 30116, 4677]"
"🧠 ML Signal: Execution of the application event loop, standard in GUI applications","[8582, 100, 254, 10373, 26484, 25, 37497, 286, 262, 3586, 1785, 9052, 11, 3210, 287, 25757, 5479]",1.0,133,ml_signal,21,"Execution of the application event loop, standard in GUI applications",121,# from vnpy_paperaccount import PaperAccountApp,"[2, 422, 410, 77, 9078, 62, 20189, 23317, 1330, 14962, 30116, 4677]"
✅ Best Practice: Use the standard Python idiom for script entry point,"[26486, 227, 6705, 19939, 25, 5765, 262, 3210, 11361, 4686, 29005, 329, 4226, 5726, 966]",1.0,145,best_practice,21,Use the standard Python idiom for script entry point,133,# from vnpy_paperaccount import PaperAccountApp,"[2, 422, 410, 77, 9078, 62, 20189, 23317, 1330, 14962, 30116, 4677]"
