annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
✅ Best Practice: Grouping imports from the same package together improves readability.,"[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 422, 262, 976, 5301, 1978, 19575, 1100, 1799, 13]",0.5,6,best_practice,5,Grouping imports from the same package together improves readability.,,0,import pandas as pd,"[11748, 19798, 292, 355, 279, 67]"
✅ Best Practice: Grouping imports from the same package together improves readability.,"[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 422, 262, 976, 5301, 1978, 19575, 1100, 1799, 13]",0.5,6,best_practice,7,Grouping imports from the same package together improves readability.,,6,,[]
✅ Best Practice: Grouping imports from the same package together improves readability.,"[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 422, 262, 976, 5301, 1978, 19575, 1100, 1799, 13]",0.5,19,best_practice,9,Grouping imports from the same package together improves readability.,,6,from zvt.contract.api import df_to_db,"[6738, 1976, 36540, 13, 28484, 13, 15042, 1330, 47764, 62, 1462, 62, 9945]"
✅ Best Practice: Grouping imports from the same package together improves readability.,"[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 422, 262, 976, 5301, 1978, 19575, 1100, 1799, 13]",0.5,32,best_practice,11,Grouping imports from the same package together improves readability.,,19,"from zvt.domain import BlockStock, BlockCategory, Block","[6738, 1976, 36540, 13, 27830, 1330, 9726, 26207, 11, 9726, 27313, 11, 9726]"
✅ Best Practice: Grouping imports from the same package together improves readability.,"[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 422, 262, 976, 5301, 1978, 19575, 1100, 1799, 13]",0.5,32,best_practice,13,Grouping imports from the same package together improves readability.,,32,,[]
"🧠 ML Signal: Class definition with inheritance, useful for understanding class hierarchies and relationships","[8582, 100, 254, 10373, 26484, 25, 5016, 6770, 351, 24155, 11, 4465, 329, 4547, 1398, 28398, 444, 290, 6958]",0.5,49,ml_signal,10,"Class definition with inheritance, useful for understanding class hierarchies and relationships",,32,"from zvt.contract.recorder import Recorder, TimeSeriesDataRecorder","[6738, 1976, 36540, 13, 28484, 13, 8344, 2875, 1330, 3311, 2875, 11, 3862, 27996, 6601, 6690, 2875]"
"🧠 ML Signal: Class attribute indicating a constant value, useful for understanding class-specific configurations","[8582, 100, 254, 10373, 26484, 25, 5016, 11688, 12739, 257, 6937, 1988, 11, 4465, 329, 4547, 1398, 12, 11423, 25412]",1.0,65,ml_signal,12,"Class attribute indicating a constant value, useful for understanding class-specific configurations",,49,from zvt.utils.time_utils import now_pd_timestamp,"[6738, 1976, 36540, 13, 26791, 13, 2435, 62, 26791, 1330, 783, 62, 30094, 62, 16514, 27823]"
"🧠 ML Signal: Class attribute indicating a schema, useful for understanding data structure expectations","[8582, 100, 254, 10373, 26484, 25, 5016, 11688, 12739, 257, 32815, 11, 4465, 329, 4547, 1366, 4645, 9027]",1.0,65,ml_signal,13,"Class attribute indicating a schema, useful for understanding data structure expectations",,65,,[]
"🧠 ML Signal: Mapping of categories to URLs, useful for understanding data source configurations","[8582, 100, 254, 10373, 26484, 25, 337, 5912, 286, 9376, 284, 32336, 11, 4465, 329, 4547, 1366, 2723, 25412]",0.5,74,ml_signal,17,"Mapping of categories to URLs, useful for understanding data source configurations",,65,    data_schema = Block,"[220, 220, 220, 1366, 62, 15952, 2611, 796, 9726]"
"🧠 ML Signal: Enum usage, useful for understanding categorical data handling","[8582, 100, 254, 10373, 26484, 25, 2039, 388, 8748, 11, 4465, 329, 4547, 4253, 12409, 1366, 9041]",0.5,74,ml_signal,18,"Enum usage, useful for understanding categorical data handling",,74,,[]
"⚠️ SAST Risk (Low): Hardcoded URL, potential for misuse if URLs change or are insecure","[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 6912, 40976, 10289, 11, 2785, 329, 29169, 611, 32336, 1487, 393, 389, 31955]",0.5,84,sast_risk,20,"Hardcoded URL, potential for misuse if URLs change or are insecure",Low,74,    category_map_url = {,"[220, 220, 220, 6536, 62, 8899, 62, 6371, 796, 1391]"
⚠️ SAST Risk (Medium): No error handling for network request failures,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 31205, 2599, 1400, 4049, 9041, 329, 3127, 2581, 15536]",1.0,118,sast_risk,19,No error handling for network request failures,Medium,84,    # 用于抓取行业/概念/地域列表,"[220, 220, 220, 1303, 13328, 242, 101, 12859, 236, 162, 232, 241, 20998, 244, 26193, 234, 10310, 248, 14, 162, 99, 224, 33232, 113, 14, 28839, 108, 161, 253, 253, 26344, 245, 26193, 101]"
✅ Best Practice: Set encoding explicitly to ensure correct text decoding,"[26486, 227, 6705, 19939, 25, 5345, 21004, 11777, 284, 4155, 3376, 2420, 39938]",0.5,160,best_practice,21,Set encoding explicitly to ensure correct text decoding,,118,"        BlockCategory.industry: ""http://vip.stock.finance.sina.com.cn/q/view/newSinaHy.php"",","[220, 220, 220, 220, 220, 220, 220, 9726, 27313, 13, 23213, 563, 25, 366, 4023, 1378, 85, 541, 13, 13578, 13, 69, 14149, 13, 82, 1437, 13, 785, 13, 31522, 14, 80, 14, 1177, 14, 3605, 50, 1437, 21217, 13, 10121, 1600]"
"⚠️ SAST Risk (High): Potential for ValueError if ""{"" or ""}"" not found in string","[158, 248, 254, 37929, 311, 11262, 19602, 357, 11922, 2599, 32480, 329, 11052, 12331, 611, 366, 4895, 393, 366, 36786, 407, 1043, 287, 4731]",1.0,164,sast_risk,24,"Potential for ValueError if ""{"" or ""}"" not found in string",High,160,    },"[220, 220, 220, 1782]"
⚠️ SAST Risk (Medium): No error handling for JSON decoding,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 31205, 2599, 1400, 4049, 9041, 329, 19449, 39938]",1.0,172,sast_risk,26,No error handling for JSON decoding,Medium,164,    def run(self):,"[220, 220, 220, 825, 1057, 7, 944, 2599]"
🧠 ML Signal: Pattern of extracting and processing data from JSON,"[8582, 100, 254, 10373, 26484, 25, 23939, 286, 37895, 290, 7587, 1366, 422, 19449]",0.5,194,ml_signal,28,Pattern of extracting and processing data from JSON,,172,"        for category, url in self.category_map_url.items():","[220, 220, 220, 220, 220, 220, 220, 329, 6536, 11, 19016, 287, 2116, 13, 22872, 62, 8899, 62, 6371, 13, 23814, 33529]"
🧠 ML Signal: Pattern of constructing unique identifiers,"[8582, 100, 254, 10373, 26484, 25, 23939, 286, 30580, 3748, 42814]",0.5,216,ml_signal,28,Pattern of constructing unique identifiers,,194,"        for category, url in self.category_map_url.items():","[220, 220, 220, 220, 220, 220, 220, 329, 6536, 11, 19016, 287, 2116, 13, 22872, 62, 8899, 62, 6371, 13, 23814, 33529]"
