annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
"✅ Best Practice: Grouping imports into standard, third-party, and local sections improves readability.","[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 656, 3210, 11, 2368, 12, 10608, 11, 290, 1957, 9004, 19575, 1100, 1799, 13]",1.0,2,best_practice,2,"Grouping imports into standard, third-party, and local sections improves readability.",,0,import logging,"[11748, 18931]"
"✅ Best Practice: Grouping imports into standard, third-party, and local sections improves readability.","[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 656, 3210, 11, 2368, 12, 10608, 11, 290, 1957, 9004, 19575, 1100, 1799, 13]",1.0,19,best_practice,4,"Grouping imports into standard, third-party, and local sections improves readability.",,2,from apscheduler.schedulers.background import BackgroundScheduler,"[6738, 257, 862, 1740, 18173, 13, 1416, 704, 377, 364, 13, 25249, 1330, 25353, 50, 1740, 18173]"
"✅ Best Practice: Grouping imports into standard, third-party, and local sections improves readability.","[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 656, 3210, 11, 2368, 12, 10608, 11, 290, 1957, 9004, 19575, 1100, 1799, 13]",1.0,36,best_practice,4,"Grouping imports into standard, third-party, and local sections improves readability.",,19,from apscheduler.schedulers.background import BackgroundScheduler,"[6738, 257, 862, 1740, 18173, 13, 1416, 704, 377, 364, 13, 25249, 1330, 25353, 50, 1740, 18173]"
"✅ Best Practice: Grouping imports into standard, third-party, and local sections improves readability.","[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 656, 3210, 11, 2368, 12, 10608, 11, 290, 1957, 9004, 19575, 1100, 1799, 13]",1.0,37,best_practice,11,"Grouping imports into standard, third-party, and local sections improves readability.",,36,),[8]
🧠 ML Signal: Usage of logging for tracking application behavior.,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 18931, 329, 9646, 3586, 4069, 13]",1.0,50,ml_signal,14,Usage of logging for tracking application behavior.,,37,logger = logging.getLogger(__name__),"[6404, 1362, 796, 18931, 13, 1136, 11187, 1362, 7, 834, 3672, 834, 8]"
🧠 ML Signal: Usage of a background scheduler for periodic tasks.,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 257, 4469, 6038, 18173, 329, 27458, 8861, 13]",1.0,72,ml_signal,20,Usage of a background scheduler for periodic tasks.,,50,"def record_actor_data(data_provider=""em"", entity_provider=""em""):","[4299, 1700, 62, 11218, 62, 7890, 7, 7890, 62, 15234, 1304, 2625, 368, 1600, 9312, 62, 15234, 1304, 2625, 368, 1, 2599]"
🧠 ML Signal: Usage of cron jobs for scheduling tasks.,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 1067, 261, 3946, 329, 26925, 8861, 13]",0.5,94,ml_signal,20,Usage of cron jobs for scheduling tasks.,,72,"def record_actor_data(data_provider=""em"", entity_provider=""em""):","[4299, 1700, 62, 11218, 62, 7890, 7, 7890, 62, 15234, 1304, 2625, 368, 1600, 9312, 62, 15234, 1304, 2625, 368, 1, 2599]"
⚠️ SAST Risk (Low): Cron jobs can lead to unexpected behavior if not properly managed.,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 31683, 3946, 460, 1085, 284, 10059, 4069, 611, 407, 6105, 5257, 13]",0.5,111,sast_risk,23,Cron jobs can lead to unexpected behavior if not properly managed.,Low,94,"        data_provider=data_provider,","[220, 220, 220, 220, 220, 220, 220, 1366, 62, 15234, 1304, 28, 7890, 62, 15234, 1304, 11]"
🧠 ML Signal: Use of default parameters indicating common usage patterns,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 4277, 10007, 12739, 2219, 8748, 7572]",1.0,124,ml_signal,14,Use of default parameters indicating common usage patterns,,111,logger = logging.getLogger(__name__),"[6404, 1362, 796, 18931, 13, 1136, 11187, 1362, 7, 834, 3672, 834, 8]"
✅ Best Practice: Logging initialization for better traceability and debugging,"[26486, 227, 6705, 19939, 25, 5972, 2667, 37588, 329, 1365, 12854, 1799, 290, 28769]",1.0,165,best_practice,28,Logging initialization for better traceability and debugging,,124,"        domain=StockTopTenFreeHolder, data_provider=data_provider, entity_provider=entity_provider, day_data=True","[220, 220, 220, 220, 220, 220, 220, 7386, 28, 26207, 9126, 24893, 11146, 39, 19892, 11, 1366, 62, 15234, 1304, 28, 7890, 62, 15234, 1304, 11, 9312, 62, 15234, 1304, 28, 26858, 62, 15234, 1304, 11, 1110, 62, 7890, 28, 17821]"
🧠 ML Signal: Function call without arguments indicating default behavior,"[8582, 100, 254, 10373, 26484, 25, 15553, 869, 1231, 7159, 12739, 4277, 4069]",1.0,175,ml_signal,30,Function call without arguments indicating default behavior,,165,    run_data_recorder(,"[220, 220, 220, 1057, 62, 7890, 62, 8344, 2875, 7]"
⚠️ SAST Risk (Low): Potential risk if sched is not properly initialized or managed,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 32480, 2526, 611, 6038, 318, 407, 6105, 23224, 393, 5257]",1.0,185,sast_risk,30,Potential risk if sched is not properly initialized or managed,Low,175,    run_data_recorder(,"[220, 220, 220, 1057, 62, 7890, 62, 8344, 2875, 7]"
⚠️ SAST Risk (Low): Direct access to a protected member of an object,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 4128, 1895, 284, 257, 6861, 2888, 286, 281, 2134]",0.5,195,sast_risk,30,Direct access to a protected member of an object,Low,185,    run_data_recorder(,"[220, 220, 220, 1057, 62, 7890, 62, 8344, 2875, 7]"
