annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
✅ Best Practice: Import only necessary functions or classes to reduce memory usage and improve readability.,"[26486, 227, 6705, 19939, 25, 17267, 691, 3306, 5499, 393, 6097, 284, 4646, 4088, 8748, 290, 2987, 1100, 1799, 13]",0.5,6,best_practice,2,Import only necessary functions or classes to reduce memory usage and improve readability.,,0,import pandas as pd,"[11748, 19798, 292, 355, 279, 67]"
✅ Best Practice: Group related imports together for better organization and readability.,"[26486, 227, 6705, 19939, 25, 4912, 3519, 17944, 1978, 329, 1365, 4009, 290, 1100, 1799, 13]",0.5,19,best_practice,4,Group related imports together for better organization and readability.,,6,from zvt.contract.api import df_to_db,"[6738, 1976, 36540, 13, 28484, 13, 15042, 1330, 47764, 62, 1462, 62, 9945]"
✅ Best Practice: Use specific imports to avoid importing unnecessary modules and to clarify dependencies.,"[26486, 227, 6705, 19939, 25, 5765, 2176, 17944, 284, 3368, 33332, 13114, 13103, 290, 284, 18282, 20086, 13]",0.5,31,best_practice,7,Use specific imports to avoid importing unnecessary modules and to clarify dependencies.,,19,from zvt.recorders.em import em_api,"[6738, 1976, 36540, 13, 8344, 6361, 13, 368, 1330, 795, 62, 15042]"
"🧠 ML Signal: Inheritance from a base class, indicating a common pattern for extending functionality","[8582, 100, 254, 10373, 26484, 25, 47025, 42942, 422, 257, 2779, 1398, 11, 12739, 257, 2219, 3912, 329, 16610, 11244]",1.0,43,ml_signal,7,"Inheritance from a base class, indicating a common pattern for extending functionality",,31,from zvt.recorders.em import em_api,"[6738, 1976, 36540, 13, 8344, 6361, 13, 368, 1330, 795, 62, 15042]"
🧠 ML Signal: Class attribute indicating a constant or configuration value,"[8582, 100, 254, 10373, 26484, 25, 5016, 11688, 12739, 257, 6937, 393, 8398, 1988]",0.5,43,ml_signal,9,Class attribute indicating a constant or configuration value,,43,,[]
"🧠 ML Signal: Usage of a schema or data structure, indicating a pattern for data handling","[8582, 100, 254, 10373, 26484, 25, 29566, 286, 257, 32815, 393, 1366, 4645, 11, 12739, 257, 3912, 329, 1366, 9041]",0.5,51,ml_signal,11,"Usage of a schema or data structure, indicating a pattern for data handling",,43,"    provider = ""em""","[220, 220, 220, 10131, 796, 366, 368, 1]"
🧠 ML Signal: Iterating over a predefined list of categories,"[8582, 100, 254, 10373, 26484, 25, 40806, 803, 625, 257, 2747, 18156, 1351, 286, 9376]",1.0,60,ml_signal,10,Iterating over a predefined list of categories,,51,class EMBlockRecorder(Recorder):,"[4871, 17228, 12235, 6690, 2875, 7, 6690, 2875, 2599]"
🧠 ML Signal: API call to fetch data based on category,"[8582, 100, 254, 10373, 26484, 25, 7824, 869, 284, 21207, 1366, 1912, 319, 6536]",1.0,69,ml_signal,12,API call to fetch data based on category,,60,    data_schema = Block,"[220, 220, 220, 1366, 62, 15952, 2611, 796, 9726]"
✅ Best Practice: Logging data for traceability and debugging,"[26486, 227, 6705, 19939, 25, 5972, 2667, 1366, 329, 12854, 1799, 290, 28769]",1.0,77,best_practice,14,Logging data for traceability and debugging,,69,    def run(self):,"[220, 220, 220, 825, 1057, 7, 944, 2599]"
🧠 ML Signal: Storing data into a database,"[8582, 100, 254, 10373, 26484, 25, 520, 3255, 1366, 656, 257, 6831]",0.5,116,ml_signal,16,Storing data into a database,,77,"            df = em_api.get_tradable_list(entity_type=""block"", block_category=block_category)","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 47764, 796, 795, 62, 15042, 13, 1136, 62, 2213, 324, 540, 62, 4868, 7, 26858, 62, 4906, 2625, 9967, 1600, 2512, 62, 22872, 28, 9967, 62, 22872, 8]"
⚠️ SAST Risk (Medium): Potential risk of SQL injection if df_to_db is not properly handling inputs,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 31205, 2599, 32480, 2526, 286, 16363, 16954, 611, 47764, 62, 1462, 62, 9945, 318, 407, 6105, 9041, 17311]",1.0,136,sast_risk,17,Potential risk of SQL injection if df_to_db is not properly handling inputs,Medium,116,            self.logger.info(df),"[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 2116, 13, 6404, 1362, 13, 10951, 7, 7568, 8]"
🧠 ML Signal: Inheritance from TimeSeriesDataRecorder indicates a pattern of extending functionality for time series data handling,"[8582, 100, 254, 10373, 26484, 25, 47025, 42942, 422, 3862, 27996, 6601, 6690, 2875, 9217, 257, 3912, 286, 16610, 11244, 329, 640, 2168, 1366, 9041]",1.0,144,ml_signal,14,Inheritance from TimeSeriesDataRecorder indicates a pattern of extending functionality for time series data handling,,136,    def run(self):,"[220, 220, 220, 825, 1057, 7, 944, 2599]"
🧠 ML Signal: Use of class attributes to define metadata for the recorder,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 1398, 12608, 284, 8160, 20150, 329, 262, 38156]",0.5,183,ml_signal,16,Use of class attributes to define metadata for the recorder,,144,"            df = em_api.get_tradable_list(entity_type=""block"", block_category=block_category)","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 47764, 796, 795, 62, 15042, 13, 1136, 62, 2213, 324, 540, 62, 4868, 7, 26858, 62, 4906, 2625, 9967, 1600, 2512, 62, 22872, 28, 9967, 62, 22872, 8]"
"🧠 ML Signal: Association of entity_schema with a specific class, indicating a pattern of schema usage","[8582, 100, 254, 10373, 26484, 25, 5396, 286, 9312, 62, 15952, 2611, 351, 257, 2176, 1398, 11, 12739, 257, 3912, 286, 32815, 8748]",0.5,233,ml_signal,18,"Association of entity_schema with a specific class, indicating a pattern of schema usage",,183,"            df_to_db(df=df, data_schema=self.data_schema, provider=self.provider, force_update=self.force_update)","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 47764, 62, 1462, 62, 9945, 7, 7568, 28, 7568, 11, 1366, 62, 15952, 2611, 28, 944, 13, 7890, 62, 15952, 2611, 11, 10131, 28, 944, 13, 15234, 1304, 11, 2700, 62, 19119, 28, 944, 13, 3174, 62, 19119, 8]"
🧠 ML Signal: Use of class attributes to define metadata for the recorder,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 1398, 12608, 284, 8160, 20150, 329, 262, 38156]",0.5,233,ml_signal,20,Use of class attributes to define metadata for the recorder,,233,,[]
"🧠 ML Signal: Association of data_schema with a specific class, indicating a pattern of schema usage","[8582, 100, 254, 10373, 26484, 25, 5396, 286, 1366, 62, 15952, 2611, 351, 257, 2176, 1398, 11, 12739, 257, 3912, 286, 32815, 8748]",0.5,244,ml_signal,22,"Association of data_schema with a specific class, indicating a pattern of schema usage",,233,"    entity_provider = ""em""","[220, 220, 220, 9312, 62, 15234, 1304, 796, 366, 368, 1]"
🧠 ML Signal: Usage of external API to fetch data,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 7097, 7824, 284, 21207, 1366]",1.0,244,ml_signal,20,Usage of external API to fetch data,,244,,[]
🧠 ML Signal: Conversion of list to DataFrame,"[8582, 100, 254, 10373, 26484, 25, 44101, 286, 1351, 284, 6060, 19778]",1.0,253,ml_signal,23,Conversion of list to DataFrame,,244,    entity_schema = Block,"[220, 220, 220, 9312, 62, 15952, 2611, 796, 9726]"
🧠 ML Signal: Data persistence pattern,"[8582, 100, 254, 10373, 26484, 25, 6060, 30802, 3912]",1.0,261,ml_signal,25,Data persistence pattern,,253,"    provider = ""em""","[220, 220, 220, 10131, 796, 366, 368, 1]"
🧠 ML Signal: Logging pattern,"[8582, 100, 254, 10373, 26484, 25, 5972, 2667, 3912]",1.0,261,ml_signal,27,Logging pattern,,261,,[]
🧠 ML Signal: Sleep pattern in execution,"[8582, 100, 254, 10373, 26484, 25, 17376, 3912, 287, 9706]",0.5,290,ml_signal,29,Sleep pattern in execution,,261,"        the_list = em_api.get_block_stocks(entity.id, entity.name)","[220, 220, 220, 220, 220, 220, 220, 262, 62, 4868, 796, 795, 62, 15042, 13, 1136, 62, 9967, 62, 29522, 7, 26858, 13, 312, 11, 9312, 13, 3672, 8]"
🧠 ML Signal: Instantiation of a class with specific parameters,"[8582, 100, 254, 10373, 26484, 25, 24470, 3920, 286, 257, 1398, 351, 2176, 10007]",1.0,319,ml_signal,29,Instantiation of a class with specific parameters,,290,"        the_list = em_api.get_block_stocks(entity.id, entity.name)","[220, 220, 220, 220, 220, 220, 220, 262, 62, 4868, 796, 795, 62, 15042, 13, 1136, 62, 9967, 62, 29522, 7, 26858, 13, 312, 11, 9312, 13, 3672, 8]"
🧠 ML Signal: Execution of a method,"[8582, 100, 254, 10373, 26484, 25, 37497, 286, 257, 2446]",1.0,348,ml_signal,29,Execution of a method,,319,"        the_list = em_api.get_block_stocks(entity.id, entity.name)","[220, 220, 220, 220, 220, 220, 220, 262, 62, 4868, 796, 795, 62, 15042, 13, 1136, 62, 9967, 62, 29522, 7, 26858, 13, 312, 11, 9312, 13, 3672, 8]"
✅ Best Practice: Use of __all__ to define public API of the module,"[26486, 227, 6705, 19939, 25, 5765, 286, 11593, 439, 834, 284, 8160, 1171, 7824, 286, 262, 8265]",1.0,377,best_practice,29,Use of __all__ to define public API of the module,,348,"        the_list = em_api.get_block_stocks(entity.id, entity.name)","[220, 220, 220, 220, 220, 220, 220, 262, 62, 4868, 796, 795, 62, 15042, 13, 1136, 62, 9967, 62, 29522, 7, 26858, 13, 312, 11, 9312, 13, 3672, 8]"
