annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
"✅ Best Practice: Grouping imports by standard library, third-party, and local modules improves readability.","[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 416, 3210, 5888, 11, 2368, 12, 10608, 11, 290, 1957, 13103, 19575, 1100, 1799, 13]",0.5,4,best_practice,9,"Grouping imports by standard library, third-party, and local modules improves readability.",,0,import sqlalchemy,"[11748, 44161, 282, 26599]"
🧠 ML Signal: Use of logging indicates tracking and debugging practices.,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 18931, 9217, 9646, 290, 28769, 6593, 13]",1.0,5,ml_signal,32,Use of logging indicates tracking and debugging practices.,,4,),[8]
🧠 ML Signal: Function signature and parameters can be used to understand API usage patterns,"[8582, 100, 254, 10373, 26484, 25, 15553, 9877, 290, 10007, 460, 307, 973, 284, 1833, 7824, 8748, 7572]",1.0,6,ml_signal,32,Function signature and parameters can be used to understand API usage patterns,,5,),[8]
🧠 ML Signal: API call pattern with specific parameters,"[8582, 100, 254, 10373, 26484, 25, 7824, 869, 3912, 351, 2176, 10007]",1.0,23,ml_signal,33,API call pattern with specific parameters,,6,"from zvt.utils.utils import to_float, json_callback_param","[6738, 1976, 36540, 13, 26791, 13, 26791, 1330, 284, 62, 22468, 11, 33918, 62, 47423, 62, 17143]"
✅ Best Practice: Initialize an empty list before appending items,"[26486, 227, 6705, 19939, 25, 20768, 1096, 281, 6565, 1351, 878, 598, 1571, 3709]",1.0,34,best_practice,45,Initialize an empty list before appending items,,23,"        sort=""desc"",","[220, 220, 220, 220, 220, 220, 220, 3297, 2625, 20147, 1600]"
✅ Best Practice: Use descriptive variable names for clarity,"[26486, 227, 6705, 19939, 25, 5765, 35644, 7885, 3891, 329, 16287]",1.0,46,best_practice,46,Use descriptive variable names for clarity,,34,"        pn=pn,","[220, 220, 220, 220, 220, 220, 220, 279, 77, 28, 21999, 11]"
🧠 ML Signal: Pattern of constructing dictionary with specific keys,"[8582, 100, 254, 10373, 26484, 25, 23939, 286, 30580, 22155, 351, 2176, 8251]",1.0,58,ml_signal,46,Pattern of constructing dictionary with specific keys,,46,"        pn=pn,","[220, 220, 220, 220, 220, 220, 220, 279, 77, 28, 21999, 11]"
🧠 ML Signal: Use of f-string for dynamic string formatting,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 277, 12, 8841, 329, 8925, 4731, 33313]",0.5,86,ml_signal,58,Use of f-string for dynamic string formatting,,58,"                ""timestamp"": to_pd_timestamp(date),","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 366, 16514, 27823, 1298, 284, 62, 30094, 62, 16514, 27823, 7, 4475, 828]"
🧠 ML Signal: Conversion of date to timestamp,"[8582, 100, 254, 10373, 26484, 25, 44101, 286, 3128, 284, 41033]",0.5,114,ml_signal,58,Conversion of date to timestamp,,86,"                ""timestamp"": to_pd_timestamp(date),","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 366, 16514, 27823, 1298, 284, 62, 30094, 62, 16514, 27823, 7, 4475, 828]"
⚠️ SAST Risk (Low): Potential for missing keys in item dictionary,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 32480, 329, 4814, 8251, 287, 2378, 22155]",0.5,142,sast_risk,58,Potential for missing keys in item dictionary,Low,114,"                ""timestamp"": to_pd_timestamp(date),","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 366, 16514, 27823, 1298, 284, 62, 30094, 62, 16514, 27823, 7, 4475, 828]"
🧠 ML Signal: Use of f-string for dynamic string formatting,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 277, 12, 8841, 329, 8925, 4731, 33313]",0.5,170,ml_signal,70,Use of f-string for dynamic string formatting,,142,"                ""timestamp"": to_pd_timestamp(date),","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 366, 16514, 27823, 1298, 284, 62, 30094, 62, 16514, 27823, 7, 4475, 828]"
🧠 ML Signal: Conversion of date to timestamp,"[8582, 100, 254, 10373, 26484, 25, 44101, 286, 3128, 284, 41033]",0.5,191,ml_signal,71,Conversion of date to timestamp,,170,"                ""code"": ""US"",","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 366, 8189, 1298, 366, 2937, 1600]"
⚠️ SAST Risk (Low): Potential for missing keys in item dictionary,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 32480, 329, 4814, 8251, 287, 2378, 22155]",0.5,222,sast_risk,72,Potential for missing keys in item dictionary,Low,191,"                ""yield_2"": item.get(""EMG00001306""),","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 366, 88, 1164, 62, 17, 1298, 2378, 13, 1136, 7203, 3620, 38, 2388, 12952, 21, 12340]"
✅ Best Practice: Return statement at the end of the function,"[26486, 227, 6705, 19939, 25, 8229, 2643, 379, 262, 886, 286, 262, 2163]",1.0,237,best_practice,81,Return statement at the end of the function,,222,# 机构持仓日期,"[2, 42164, 118, 162, 252, 226, 162, 234, 223, 20015, 241, 33768, 98, 17312, 253]"
