annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
✅ Best Practice: Use of specific imports to avoid namespace pollution and improve readability.,"[26486, 227, 6705, 19939, 25, 5765, 286, 2176, 17944, 284, 3368, 25745, 12231, 290, 2987, 1100, 1799, 13]",0.5,9,best_practice,6,Use of specific imports to avoid namespace pollution and improve readability.,,0,from datetime import datetime as Datetime,"[6738, 4818, 8079, 1330, 4818, 8079, 355, 16092, 8079]"
✅ Best Practice: Use of a set for ACTIVE_STATUSES for O(1) average time complexity for lookups.,"[26486, 227, 6705, 19939, 25, 5765, 286, 257, 900, 329, 11741, 9306, 62, 35744, 2937, 1546, 329, 440, 7, 16, 8, 2811, 640, 13357, 329, 804, 4739, 13]",0.5,33,best_practice,8,Use of a set for ACTIVE_STATUSES for O(1) average time complexity for lookups.,,9,"from .constant import Direction, Exchange, Interval, Offset, Status, Product, OptionType, OrderType","[6738, 764, 9979, 415, 1330, 41837, 11, 12516, 11, 4225, 2100, 11, 3242, 2617, 11, 12678, 11, 8721, 11, 16018, 6030, 11, 8284, 6030]"
✅ Best Practice: Use of @dataclass for automatic generation of special methods like __init__().,"[26486, 227, 6705, 19939, 25, 5765, 286, 2488, 19608, 330, 31172, 329, 11353, 5270, 286, 2041, 5050, 588, 11593, 15003, 834, 22446]",0.5,38,best_practice,11,Use of @dataclass for automatic generation of special methods like __init__().,,33,INFO: int = 20,"[10778, 25, 493, 796, 1160]"
✅ Best Practice: Use of docstring to describe the purpose and attributes of the class,"[26486, 227, 6705, 19939, 25, 5765, 286, 2205, 8841, 284, 6901, 262, 4007, 290, 12608, 286, 262, 1398]",1.0,38,best_practice,10,Use of docstring to describe the purpose and attributes of the class,,38,,[]
✅ Best Practice: Type hinting for class attributes improves code readability and maintainability,"[26486, 227, 6705, 19939, 25, 5994, 9254, 278, 329, 1398, 12608, 19575, 2438, 1100, 1799, 290, 5529, 1799]",1.0,38,best_practice,16,Type hinting for class attributes improves code readability and maintainability,,38,,[]
✅ Best Practice: Type hinting for class attributes improves code readability and maintainability,"[26486, 227, 6705, 19939, 25, 5994, 9254, 278, 329, 1398, 12608, 19575, 2438, 1100, 1799, 290, 5529, 1799]",1.0,42,best_practice,18,Type hinting for class attributes improves code readability and maintainability,,38,class BaseData:,"[4871, 7308, 6601, 25]"
⚠️ SAST Risk (Low): Using mutable default arguments like dict can lead to unexpected behavior,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 8554, 4517, 540, 4277, 7159, 588, 8633, 460, 1085, 284, 10059, 4069]",0.5,46,sast_risk,19,Using mutable default arguments like dict can lead to unexpected behavior,Low,42,"    """"""","[220, 220, 220, 37227]"
✅ Best Practice: Use of @dataclass decorator for automatic generation of special methods,"[26486, 227, 6705, 19939, 25, 5765, 286, 2488, 19608, 330, 31172, 11705, 1352, 329, 11353, 5270, 286, 2041, 5050]",1.0,50,best_practice,19,Use of @dataclass decorator for automatic generation of special methods,,46,"    """"""","[220, 220, 220, 37227]"
✅ Best Practice: Type annotations improve code readability and maintainability.,"[26486, 227, 6705, 19939, 25, 5994, 37647, 2987, 2438, 1100, 1799, 290, 5529, 1799, 13]",1.0,50,best_practice,25,Type annotations improve code readability and maintainability.,,50,,[]
✅ Best Practice: Type annotations improve code readability and maintainability.,"[26486, 227, 6705, 19939, 25, 5994, 37647, 2987, 2438, 1100, 1799, 290, 5529, 1799, 13]",1.0,50,best_practice,27,Type annotations improve code readability and maintainability.,,50,,[]
✅ Best Practice: Type annotations improve code readability and maintainability.,"[26486, 227, 6705, 19939, 25, 5994, 37647, 2987, 2438, 1100, 1799, 290, 5529, 1799, 13]",1.0,54,best_practice,29,Type annotations improve code readability and maintainability.,,50,@dataclass,"[31, 19608, 330, 31172]"
✅ Best Practice: Default values for attributes improve code readability and maintainability.,"[26486, 227, 6705, 19939, 25, 15161, 3815, 329, 12608, 2987, 2438, 1100, 1799, 290, 5529, 1799, 13]",1.0,58,best_practice,31,Default values for attributes improve code readability and maintainability.,,54,"    """"""","[220, 220, 220, 37227]"
✅ Best Practice: Default values for attributes improve code readability and maintainability.,"[26486, 227, 6705, 19939, 25, 15161, 3815, 329, 12608, 2987, 2438, 1100, 1799, 290, 5529, 1799, 13]",1.0,70,best_practice,33,Default values for attributes improve code readability and maintainability.,,58,        * last trade in market,"[220, 220, 220, 220, 220, 220, 220, 1635, 938, 3292, 287, 1910]"
✅ Best Practice: Default values for attributes improve code readability and maintainability.,"[26486, 227, 6705, 19939, 25, 15161, 3815, 329, 12608, 2987, 2438, 1100, 1799, 290, 5529, 1799, 13]",1.0,84,best_practice,35,Default values for attributes improve code readability and maintainability.,,70,        * intraday market statistics.,"[220, 220, 220, 220, 220, 220, 220, 1635, 493, 6335, 323, 1910, 7869, 13]"
✅ Best Practice: Default values for attributes improve code readability and maintainability.,"[26486, 227, 6705, 19939, 25, 15161, 3815, 329, 12608, 2987, 2438, 1100, 1799, 290, 5529, 1799, 13]",1.0,84,best_practice,37,Default values for attributes improve code readability and maintainability.,,84,,[]
✅ Best Practice: Default values for attributes improve code readability and maintainability.,"[26486, 227, 6705, 19939, 25, 15161, 3815, 329, 12608, 2987, 2438, 1100, 1799, 290, 5529, 1799, 13]",1.0,90,best_practice,39,Default values for attributes improve code readability and maintainability.,,84,    exchange: Exchange,"[220, 220, 220, 5163, 25, 12516]"
✅ Best Practice: Default values for attributes improve code readability and maintainability.,"[26486, 227, 6705, 19939, 25, 15161, 3815, 329, 12608, 2987, 2438, 1100, 1799, 290, 5529, 1799, 13]",1.0,90,best_practice,41,Default values for attributes improve code readability and maintainability.,,90,,[]
✅ Best Practice: Default values for attributes improve code readability and maintainability.,"[26486, 227, 6705, 19939, 25, 15161, 3815, 329, 12608, 2987, 2438, 1100, 1799, 290, 5529, 1799, 13]",1.0,98,best_practice,43,Default values for attributes improve code readability and maintainability.,,90,    volume: float = 0,"[220, 220, 220, 6115, 25, 12178, 796, 657]"
✅ Best Practice: Default values for attributes improve code readability and maintainability.,"[26486, 227, 6705, 19939, 25, 15161, 3815, 329, 12608, 2987, 2438, 1100, 1799, 290, 5529, 1799, 13]",1.0,108,best_practice,45,Default values for attributes improve code readability and maintainability.,,98,    open_interest: float = 0,"[220, 220, 220, 1280, 62, 9446, 25, 12178, 796, 657]"
✅ Best Practice: Default values for attributes improve code readability and maintainability.,"[26486, 227, 6705, 19939, 25, 15161, 3815, 329, 12608, 2987, 2438, 1100, 1799, 290, 5529, 1799, 13]",1.0,118,best_practice,47,Default values for attributes improve code readability and maintainability.,,108,    last_volume: float = 0,"[220, 220, 220, 938, 62, 29048, 25, 12178, 796, 657]"
✅ Best Practice: Default values for attributes improve code readability and maintainability.,"[26486, 227, 6705, 19939, 25, 15161, 3815, 329, 12608, 2987, 2438, 1100, 1799, 290, 5529, 1799, 13]",1.0,128,best_practice,49,Default values for attributes improve code readability and maintainability.,,118,    limit_down: float = 0,"[220, 220, 220, 4179, 62, 2902, 25, 12178, 796, 657]"
✅ Best Practice: Default values for attributes improve code readability and maintainability.,"[26486, 227, 6705, 19939, 25, 15161, 3815, 329, 12608, 2987, 2438, 1100, 1799, 290, 5529, 1799, 13]",1.0,138,best_practice,51,Default values for attributes improve code readability and maintainability.,,128,    open_price: float = 0,"[220, 220, 220, 1280, 62, 20888, 25, 12178, 796, 657]"
✅ Best Practice: Default values for attributes improve code readability and maintainability.,"[26486, 227, 6705, 19939, 25, 15161, 3815, 329, 12608, 2987, 2438, 1100, 1799, 290, 5529, 1799, 13]",1.0,148,best_practice,53,Default values for attributes improve code readability and maintainability.,,138,    low_price: float = 0,"[220, 220, 220, 1877, 62, 20888, 25, 12178, 796, 657]"
✅ Best Practice: Default values for attributes improve code readability and maintainability.,"[26486, 227, 6705, 19939, 25, 15161, 3815, 329, 12608, 2987, 2438, 1100, 1799, 290, 5529, 1799, 13]",1.0,148,best_practice,55,Default values for attributes improve code readability and maintainability.,,148,,[]
✅ Best Practice: Default values for attributes improve code readability and maintainability.,"[26486, 227, 6705, 19939, 25, 15161, 3815, 329, 12608, 2987, 2438, 1100, 1799, 290, 5529, 1799, 13]",1.0,160,best_practice,57,Default values for attributes improve code readability and maintainability.,,148,    bid_price_2: float = 0,"[220, 220, 220, 8406, 62, 20888, 62, 17, 25, 12178, 796, 657]"
✅ Best Practice: Default values for attributes improve code readability and maintainability.,"[26486, 227, 6705, 19939, 25, 15161, 3815, 329, 12608, 2987, 2438, 1100, 1799, 290, 5529, 1799, 13]",1.0,172,best_practice,59,Default values for attributes improve code readability and maintainability.,,160,    bid_price_4: float = 0,"[220, 220, 220, 8406, 62, 20888, 62, 19, 25, 12178, 796, 657]"
✅ Best Practice: Default values for attributes improve code readability and maintainability.,"[26486, 227, 6705, 19939, 25, 15161, 3815, 329, 12608, 2987, 2438, 1100, 1799, 290, 5529, 1799, 13]",1.0,172,best_practice,61,Default values for attributes improve code readability and maintainability.,,172,,[]
✅ Best Practice: Default values for attributes improve code readability and maintainability.,"[26486, 227, 6705, 19939, 25, 15161, 3815, 329, 12608, 2987, 2438, 1100, 1799, 290, 5529, 1799, 13]",1.0,184,best_practice,63,Default values for attributes improve code readability and maintainability.,,172,    ask_price_2: float = 0,"[220, 220, 220, 1265, 62, 20888, 62, 17, 25, 12178, 796, 657]"
✅ Best Practice: Default values for attributes improve code readability and maintainability.,"[26486, 227, 6705, 19939, 25, 15161, 3815, 329, 12608, 2987, 2438, 1100, 1799, 290, 5529, 1799, 13]",1.0,196,best_practice,65,Default values for attributes improve code readability and maintainability.,,184,    ask_price_4: float = 0,"[220, 220, 220, 1265, 62, 20888, 62, 19, 25, 12178, 796, 657]"
✅ Best Practice: Default values for attributes improve code readability and maintainability.,"[26486, 227, 6705, 19939, 25, 15161, 3815, 329, 12608, 2987, 2438, 1100, 1799, 290, 5529, 1799, 13]",1.0,208,best_practice,66,Default values for attributes improve code readability and maintainability.,,196,    ask_price_5: float = 0,"[220, 220, 220, 1265, 62, 20888, 62, 20, 25, 12178, 796, 657]"
✅ Best Practice: Default values for attributes improve code readability and maintainability.,"[26486, 227, 6705, 19939, 25, 15161, 3815, 329, 12608, 2987, 2438, 1100, 1799, 290, 5529, 1799, 13]",1.0,220,best_practice,69,Default values for attributes improve code readability and maintainability.,,208,    bid_volume_2: float = 0,"[220, 220, 220, 8406, 62, 29048, 62, 17, 25, 12178, 796, 657]"
✅ Best Practice: Default values for attributes improve code readability and maintainability.,"[26486, 227, 6705, 19939, 25, 15161, 3815, 329, 12608, 2987, 2438, 1100, 1799, 290, 5529, 1799, 13]",1.0,232,best_practice,71,Default values for attributes improve code readability and maintainability.,,220,    bid_volume_4: float = 0,"[220, 220, 220, 8406, 62, 29048, 62, 19, 25, 12178, 796, 657]"
✅ Best Practice: Default values for attributes improve code readability and maintainability.,"[26486, 227, 6705, 19939, 25, 15161, 3815, 329, 12608, 2987, 2438, 1100, 1799, 290, 5529, 1799, 13]",1.0,232,best_practice,73,Default values for attributes improve code readability and maintainability.,,232,,[]
✅ Best Practice: Default values for attributes improve code readability and maintainability.,"[26486, 227, 6705, 19939, 25, 15161, 3815, 329, 12608, 2987, 2438, 1100, 1799, 290, 5529, 1799, 13]",1.0,244,best_practice,75,Default values for attributes improve code readability and maintainability.,,232,    ask_volume_2: float = 0,"[220, 220, 220, 1265, 62, 29048, 62, 17, 25, 12178, 796, 657]"
✅ Best Practice: Default values for attributes improve code readability and maintainability.,"[26486, 227, 6705, 19939, 25, 15161, 3815, 329, 12608, 2987, 2438, 1100, 1799, 290, 5529, 1799, 13]",1.0,256,best_practice,77,Default values for attributes improve code readability and maintainability.,,244,    ask_volume_4: float = 0,"[220, 220, 220, 1265, 62, 29048, 62, 19, 25, 12178, 796, 657]"
✅ Best Practice: Default values for attributes improve code readability and maintainability.,"[26486, 227, 6705, 19939, 25, 15161, 3815, 329, 12608, 2987, 2438, 1100, 1799, 290, 5529, 1799, 13]",1.0,256,best_practice,79,Default values for attributes improve code readability and maintainability.,,256,,[]
✅ Best Practice: Default values for attributes improve code readability and maintainability.,"[26486, 227, 6705, 19939, 25, 15161, 3815, 329, 12608, 2987, 2438, 1100, 1799, 290, 5529, 1799, 13]",1.0,256,best_practice,81,Default values for attributes improve code readability and maintainability.,,256,,[]
✅ Best Practice: Default values for attributes improve code readability and maintainability.,"[26486, 227, 6705, 19939, 25, 15161, 3815, 329, 12608, 2987, 2438, 1100, 1799, 290, 5529, 1799, 13]",1.0,271,best_practice,82,Default values for attributes improve code readability and maintainability.,,256,    def __post_init__(self) -> None:,"[220, 220, 220, 825, 11593, 7353, 62, 15003, 834, 7, 944, 8, 4613, 6045, 25]"
✅ Best Practice: Default values for attributes improve code readability and maintainability.,"[26486, 227, 6705, 19939, 25, 15161, 3815, 329, 12608, 2987, 2438, 1100, 1799, 290, 5529, 1799, 13]",1.0,271,best_practice,85,Default values for attributes improve code readability and maintainability.,,271,,[]
✅ Best Practice: Default values for attributes improve code readability and maintainability.,"[26486, 227, 6705, 19939, 25, 15161, 3815, 329, 12608, 2987, 2438, 1100, 1799, 290, 5529, 1799, 13]",1.0,271,best_practice,85,Default values for attributes improve code readability and maintainability.,,271,,[]
✅ Best Practice: Default values for attributes improve code readability and maintainability.,"[26486, 227, 6705, 19939, 25, 15161, 3815, 329, 12608, 2987, 2438, 1100, 1799, 290, 5529, 1799, 13]",1.0,275,best_practice,89,Default values for attributes improve code readability and maintainability.,,271,"    """"""","[220, 220, 220, 37227]"
✅ Best Practice: Default values for attributes improve code readability and maintainability.,"[26486, 227, 6705, 19939, 25, 15161, 3815, 329, 12608, 2987, 2438, 1100, 1799, 290, 5529, 1799, 13]",1.0,279,best_practice,91,Default values for attributes improve code readability and maintainability.,,275,"    """"""","[220, 220, 220, 37227]"
✅ Best Practice: Default values for attributes improve code readability and maintainability.,"[26486, 227, 6705, 19939, 25, 15161, 3815, 329, 12608, 2987, 2438, 1100, 1799, 290, 5529, 1799, 13]",1.0,285,best_practice,93,Default values for attributes improve code readability and maintainability.,,279,    symbol: str,"[220, 220, 220, 6194, 25, 965]"
