annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
"✅ Best Practice: Group imports into standard library, third-party, and local sections for better readability.","[26486, 227, 6705, 19939, 25, 4912, 17944, 656, 3210, 5888, 11, 2368, 12, 10608, 11, 290, 1957, 9004, 329, 1365, 1100, 1799, 13]",1.0,0,best_practice,6,"Group imports into standard library, third-party, and local sections for better readability.",,0,,[]
⚠️ SAST Risk (Medium): os.path.abspath and os.path.join can be manipulated if __file__ is not properly controlled,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 31205, 2599, 28686, 13, 6978, 13, 397, 2777, 776, 290, 28686, 13, 6978, 13, 22179, 460, 307, 25036, 611, 11593, 7753, 834, 318, 407, 6105, 6856]",0.5,21,sast_risk,11,os.path.abspath and os.path.join can be manipulated if __file__ is not properly controlled,Medium,0,"from zvt.domain import FinanceFactor, BalanceSheet, IncomeStatement, Stock, StockActorSummary","[6738, 1976, 36540, 13, 27830, 1330, 15007, 41384, 11, 22924, 3347, 316, 11, 19003, 48682, 11, 10500, 11, 10500, 40277, 22093]"
⚠️ SAST Risk (Medium): os.path.dirname(__file__) can be manipulated if __file__ is not properly controlled,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 31205, 2599, 28686, 13, 6978, 13, 15908, 3672, 7, 834, 7753, 834, 8, 460, 307, 25036, 611, 11593, 7753, 834, 318, 407, 6105, 6856]",0.5,39,sast_risk,12,os.path.dirname(__file__) can be manipulated if __file__ is not properly controlled,Medium,21,from zvt.utils.pd_utils import pd_is_not_null,"[6738, 1976, 36540, 13, 26791, 13, 30094, 62, 26791, 1330, 279, 67, 62, 271, 62, 1662, 62, 8423]"
⚠️ SAST Risk (Medium): Opening files without exception handling can lead to unhandled exceptions,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 31205, 2599, 25522, 3696, 1231, 6631, 9041, 460, 1085, 284, 555, 38788, 13269]",0.5,39,sast_risk,14,Opening files without exception handling can lead to unhandled exceptions,Medium,39,,[]
⚠️ SAST Risk (Medium): json.load can be exploited if the JSON file contains malicious content,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 31205, 2599, 33918, 13, 2220, 460, 307, 21514, 611, 262, 19449, 2393, 4909, 17412, 2695]",0.5,49,sast_risk,16,json.load can be exploited if the JSON file contains malicious content,Medium,39,def get_subscriber_emails():,"[4299, 651, 62, 7266, 1416, 24735, 62, 368, 1768, 33529]"
✅ Best Practice: Default argument values should be immutable to avoid unexpected behavior.,"[26486, 227, 6705, 19939, 25, 15161, 4578, 3815, 815, 307, 40139, 284, 3368, 10059, 4069, 13]",1.0,49,best_practice,15,Default argument values should be immutable to avoid unexpected behavior.,,49,,[]
✅ Best Practice: Use descriptive variable names for better readability.,"[26486, 227, 6705, 19939, 25, 5765, 35644, 7885, 3891, 329, 1365, 1100, 1799, 13]",1.0,63,best_practice,18,Use descriptive variable names for better readability.,,49,    with open(emails_file) as f:,"[220, 220, 220, 351, 1280, 7, 368, 1768, 62, 7753, 8, 355, 277, 25]"
✅ Best Practice: Use consistent comparison operators for clarity.,"[26486, 227, 6705, 19939, 25, 5765, 6414, 7208, 12879, 329, 16287, 13]",0.5,77,best_practice,18,Use consistent comparison operators for clarity.,,63,    with open(emails_file) as f:,"[220, 220, 220, 351, 1280, 7, 368, 1768, 62, 7753, 8, 355, 277, 25]"
🧠 ML Signal: Querying data with specific filters can indicate patterns in data retrieval.,"[8582, 100, 254, 10373, 26484, 25, 2264, 263, 1112, 1366, 351, 2176, 16628, 460, 7603, 7572, 287, 1366, 45069, 13]",1.0,101,ml_signal,27,Querying data with specific filters can indicate patterns in data retrieval.,,77,"        FinanceFactor.op_income_growth_yoy < income_yoy,","[220, 220, 220, 220, 220, 220, 220, 15007, 41384, 13, 404, 62, 12519, 62, 27922, 62, 88, 726, 1279, 3739, 62, 88, 726, 11]"
⚠️ SAST Risk (Low): Ensure pd_is_not_null is correctly implemented to avoid false negatives.,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 48987, 279, 67, 62, 271, 62, 1662, 62, 8423, 318, 9380, 9177, 284, 3368, 3991, 42510, 13]",1.0,113,sast_risk,32,Ensure pd_is_not_null is correctly implemented to avoid false negatives.,Low,101,    df = FinanceFactor.query_data(,"[220, 220, 220, 47764, 796, 15007, 41384, 13, 22766, 62, 7890, 7]"
✅ Best Practice: Use extend() for list concatenation for better performance.,"[26486, 227, 6705, 19939, 25, 5765, 9117, 3419, 329, 1351, 1673, 36686, 341, 329, 1365, 2854, 13]",0.5,125,best_practice,32,Use extend() for list concatenation for better performance.,,113,    df = FinanceFactor.query_data(,"[220, 220, 220, 47764, 796, 15007, 41384, 13, 22766, 62, 7890, 7]"
🧠 ML Signal: Querying data with specific filters can indicate patterns in data retrieval.,"[8582, 100, 254, 10373, 26484, 25, 2264, 263, 1112, 1366, 351, 2176, 16628, 460, 7603, 7572, 287, 1366, 45069, 13]",1.0,125,ml_signal,37,Querying data with specific filters can indicate patterns in data retrieval.,,125,,[]
⚠️ SAST Risk (Low): Ensure pd_is_not_null is correctly implemented to avoid false negatives.,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 48987, 279, 67, 62, 271, 62, 1662, 62, 8423, 318, 9380, 9177, 284, 3368, 3991, 42510, 13]",1.0,138,sast_risk,42,Ensure pd_is_not_null is correctly implemented to avoid false negatives.,Low,125,    df = BalanceSheet.query_data(,"[220, 220, 220, 47764, 796, 22924, 3347, 316, 13, 22766, 62, 7890, 7]"
✅ Best Practice: Use extend() for list concatenation for better performance.,"[26486, 227, 6705, 19939, 25, 5765, 9117, 3419, 329, 1351, 1673, 36686, 341, 329, 1365, 2854, 13]",0.5,142,best_practice,44,Use extend() for list concatenation for better performance.,,138,    ),"[220, 220, 220, 1267]"
