annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
✅ Best Practice: Group related imports together for better readability.,"[26486, 227, 6705, 19939, 25, 4912, 3519, 17944, 1978, 329, 1365, 1100, 1799, 13]",1.0,12,best_practice,3,Group related imports together for better readability.,,0,from sqlalchemy.orm import declarative_base,"[6738, 44161, 282, 26599, 13, 579, 1330, 2377, 283, 876, 62, 8692]"
✅ Best Practice: Naming convention for base classes should be clear and descriptive.,"[26486, 227, 6705, 19939, 25, 399, 3723, 9831, 329, 2779, 6097, 815, 307, 1598, 290, 35644, 13]",1.0,12,best_practice,7,Naming convention for base classes should be clear and descriptive.,,12,,[]
✅ Best Practice: Define a class-level variable for the table name to avoid magic strings,"[26486, 227, 6705, 19939, 25, 2896, 500, 257, 1398, 12, 5715, 7885, 329, 262, 3084, 1438, 284, 3368, 5536, 13042]",0.5,12,best_practice,7,Define a class-level variable for the table name to avoid magic strings,,12,,[]
✅ Best Practice: Specify a maximum length for string columns to prevent excessive data storage,"[26486, 227, 6705, 19939, 25, 18291, 1958, 257, 5415, 4129, 329, 4731, 15180, 284, 2948, 13181, 1366, 6143]",0.5,12,best_practice,9,Specify a maximum length for string columns to prevent excessive data storage,,12,,[]
✅ Best Practice: Specify a maximum length for string columns to prevent excessive data storage,"[26486, 227, 6705, 19939, 25, 18291, 1958, 257, 5415, 4129, 329, 4731, 15180, 284, 2948, 13181, 1366, 6143]",0.5,25,best_practice,11,Specify a maximum length for string columns to prevent excessive data storage,,12,"class HkHolder(HolderBase, Mixin):","[4871, 367, 74, 39, 19892, 7, 39, 19892, 14881, 11, 15561, 259, 2599]"
✅ Best Practice: Specify a maximum length for string columns to prevent excessive data storage,"[26486, 227, 6705, 19939, 25, 18291, 1958, 257, 5415, 4129, 329, 4731, 15180, 284, 2948, 13181, 1366, 6143]",0.5,40,best_practice,13,Specify a maximum length for string columns to prevent excessive data storage,,25,    #: 股票代码,"[220, 220, 220, 1303, 25, 5525, 224, 94, 163, 98, 101, 47987, 163, 254, 223]"
✅ Best Practice: Specify a maximum length for string columns to prevent excessive data storage,"[26486, 227, 6705, 19939, 25, 18291, 1958, 257, 5415, 4129, 329, 4731, 15180, 284, 2948, 13181, 1366, 6143]",0.5,56,best_practice,15,Specify a maximum length for string columns to prevent excessive data storage,,40,    #: 股票名称,"[220, 220, 220, 1303, 25, 5525, 224, 94, 163, 98, 101, 28938, 235, 163, 100, 108]"
⚠️ SAST Risk (Low): Ensure that the Float type is appropriate for financial data to avoid precision issues,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 48987, 326, 262, 48436, 2099, 318, 5035, 329, 3176, 1366, 284, 3368, 15440, 2428]",0.5,56,sast_risk,17,Ensure that the Float type is appropriate for financial data to avoid precision issues,Low,56,,[]
⚠️ SAST Risk (Low): Ensure that the Float type is appropriate for financial data to avoid precision issues,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 48987, 326, 262, 48436, 2099, 318, 5035, 329, 3176, 1366, 284, 3368, 15440, 2428]",0.5,71,sast_risk,19,Ensure that the Float type is appropriate for financial data to avoid precision issues,Low,56,    holder_code = Column(String(length=32)),"[220, 220, 220, 15762, 62, 8189, 796, 29201, 7, 10100, 7, 13664, 28, 2624, 4008]"
🧠 ML Signal: Inheritance from multiple classes indicates a pattern of using mixins or base classes.,"[8582, 100, 254, 10373, 26484, 25, 47025, 42942, 422, 3294, 6097, 9217, 257, 3912, 286, 1262, 5022, 1040, 393, 2779, 6097, 13]",0.5,87,ml_signal,15,Inheritance from multiple classes indicates a pattern of using mixins or base classes.,,71,    #: 股票名称,"[220, 220, 220, 1303, 25, 5525, 224, 94, 163, 98, 101, 28938, 235, 163, 100, 108]"
🧠 ML Signal: Use of SQLAlchemy ORM for database table mapping.,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 16363, 2348, 26599, 6375, 44, 329, 6831, 3084, 16855, 13]",0.5,87,ml_signal,17,Use of SQLAlchemy ORM for database table mapping.,,87,,[]
