annotation,annotation_tokens,confidence,end_token,label,line,reason,start_token,text,tokens
✅ Best Practice: Grouping related imports together improves readability.,"[26486, 227, 6705, 19939, 25, 4912, 278, 3519, 17944, 1978, 19575, 1100, 1799, 13]",1.0,12,best_practice,3,Grouping related imports together improves readability.,0,from sqlalchemy.orm import declarative_base,"[6738, 44161, 282, 26599, 13, 579, 1330, 2377, 283, 876, 62, 8692]"
✅ Best Practice: Naming convention for base classes is clear and descriptive.,"[26486, 227, 6705, 19939, 25, 399, 3723, 9831, 329, 2779, 6097, 318, 1598, 290, 35644, 13]",1.0,24,best_practice,6,Naming convention for base classes is clear and descriptive.,12,from zvt.contract.register import register_schema,"[6738, 1976, 36540, 13, 28484, 13, 30238, 1330, 7881, 62, 15952, 2611]"
✅ Best Practice: Use of class-level variable for table name improves maintainability and readability.,"[26486, 227, 6705, 19939, 25, 5765, 286, 1398, 12, 5715, 7885, 329, 3084, 1438, 19575, 5529, 1799, 290, 1100, 1799, 13]",0.5,24,best_practice,7,Use of class-level variable for table name improves maintainability and readability.,24,,[]
🧠 ML Signal: Use of String type for news_code indicates it might be used as a unique identifier or key.,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 10903, 2099, 329, 1705, 62, 8189, 9217, 340, 1244, 307, 973, 355, 257, 3748, 27421, 393, 1994, 13]",0.5,24,ml_signal,9,Use of String type for news_code indicates it might be used as a unique identifier or key.,24,,[]
"🧠 ML Signal: Use of String type for news_url suggests it stores URLs, which can be used for web scraping or link analysis.","[8582, 100, 254, 10373, 26484, 25, 5765, 286, 10903, 2099, 329, 1705, 62, 6371, 5644, 340, 7000, 32336, 11, 543, 460, 307, 973, 329, 3992, 46743, 393, 2792, 3781, 13]",0.5,34,ml_signal,11,"Use of String type for news_url suggests it stores URLs, which can be used for web scraping or link analysis.",24,"class StockNews(NewsBase, Mixin):","[4871, 10500, 9980, 7, 9980, 14881, 11, 15561, 259, 2599]"
"🧠 ML Signal: Use of String type for news_title indicates it stores titles, which can be used for NLP tasks.","[8582, 100, 254, 10373, 26484, 25, 5765, 286, 10903, 2099, 329, 1705, 62, 7839, 9217, 340, 7000, 8714, 11, 543, 460, 307, 973, 329, 399, 19930, 8861, 13]",0.5,34,ml_signal,13,"Use of String type for news_title indicates it stores titles, which can be used for NLP tasks.",34,,[]
"🧠 ML Signal: Use of String type for news_content suggests it stores large text data, useful for text analysis or NLP.","[8582, 100, 254, 10373, 26484, 25, 5765, 286, 10903, 2099, 329, 1705, 62, 11299, 5644, 340, 7000, 1588, 2420, 1366, 11, 4465, 329, 2420, 3781, 393, 399, 19930, 13]",0.5,45,ml_signal,15,"Use of String type for news_content suggests it stores large text data, useful for text analysis or NLP.",34,    news_code = Column(String),"[220, 220, 220, 1705, 62, 8189, 796, 29201, 7, 10100, 8]"
"🧠 ML Signal: Use of JSON type for news_analysis indicates structured data storage, useful for ML model predictions or analysis.","[8582, 100, 254, 10373, 26484, 25, 5765, 286, 19449, 2099, 329, 1705, 62, 20930, 9217, 20793, 1366, 6143, 11, 4465, 329, 10373, 2746, 16277, 393, 3781, 13]",0.5,56,ml_signal,17,"Use of JSON type for news_analysis indicates structured data storage, useful for ML model predictions or analysis.",45,    news_url = Column(String),"[220, 220, 220, 1705, 62, 6371, 796, 29201, 7, 10100, 8]"
🧠 ML Signal: Use of Boolean type for ignore_by_user suggests binary classification or filtering by user preference.,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 41146, 2099, 329, 8856, 62, 1525, 62, 7220, 5644, 13934, 17923, 393, 25431, 416, 2836, 12741, 13]",0.5,67,ml_signal,19,Use of Boolean type for ignore_by_user suggests binary classification or filtering by user preference.,56,    news_title = Column(String),"[220, 220, 220, 1705, 62, 7839, 796, 29201, 7, 10100, 8]"
✅ Best Practice: Default value for ignore_by_user improves data integrity and consistency.,"[26486, 227, 6705, 19939, 25, 15161, 1988, 329, 8856, 62, 1525, 62, 7220, 19575, 1366, 11540, 290, 15794, 13]",0.5,81,best_practice,20,Default value for ignore_by_user improves data integrity and consistency.,67,    #: 新闻内容,"[220, 220, 220, 1303, 25, 10545, 244, 108, 29785, 119, 37863, 227, 22522, 117]"
✅ Best Practice: Use of Integer for position ensures efficient storage and comparison.,"[26486, 227, 6705, 19939, 25, 5765, 286, 34142, 329, 2292, 19047, 6942, 6143, 290, 7208, 13]",0.5,92,best_practice,17,Use of Integer for position ensures efficient storage and comparison.,81,    news_url = Column(String),"[220, 220, 220, 1705, 62, 6371, 796, 29201, 7, 10100, 8]"
