annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
✅ Best Practice: Use of docstring for module-level documentation,"[26486, 227, 6705, 19939, 25, 5765, 286, 2205, 8841, 329, 8265, 12, 5715, 10314]",0.5,1,best_practice,1,Use of docstring for module-level documentation,,0,"""""""",[37811]
✅ Best Practice: Importing specific classes and functions improves readability and avoids namespace pollution,"[26486, 227, 6705, 19939, 25, 17267, 278, 2176, 6097, 290, 5499, 19575, 1100, 1799, 290, 30940, 25745, 12231]",1.0,2,best_practice,1,Importing specific classes and functions improves readability and avoids namespace pollution,,1,"""""""",[37811]
✅ Best Practice: Importing specific classes and functions improves readability and avoids namespace pollution,"[26486, 227, 6705, 19939, 25, 17267, 278, 2176, 6097, 290, 5499, 19575, 1100, 1799, 290, 30940, 25745, 12231]",1.0,11,best_practice,5,Importing specific classes and functions improves readability and avoids namespace pollution,,2,"from datetime import datetime, timedelta","[6738, 4818, 8079, 1330, 4818, 8079, 11, 28805, 12514]"
⚠️ SAST Risk (Low): Importing from external or less-known modules can introduce security risks if not properly vetted,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 17267, 278, 422, 7097, 393, 1342, 12, 4002, 13103, 460, 10400, 2324, 7476, 611, 407, 6105, 48383]",1.0,11,sast_risk,7,Importing from external or less-known modules can introduce security risks if not properly vetted,Low,11,,[]
✅ Best Practice: Use of self to define instance variables,"[26486, 227, 6705, 19939, 25, 5765, 286, 2116, 284, 8160, 4554, 9633]",1.0,36,best_practice,18,Use of self to define instance variables,,11,            lunar_day {int} -- 农历日,"[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 25572, 62, 820, 1391, 600, 92, 1377, 10263, 228, 250, 43889, 228, 33768, 98]"
✅ Best Practice: Use of self to define instance variables,"[26486, 227, 6705, 19939, 25, 5765, 286, 2116, 284, 8160, 4554, 9633]",1.0,48,best_practice,20,Use of self to define instance variables,,36,        Keyword Arguments:,"[220, 220, 220, 220, 220, 220, 220, 7383, 4775, 20559, 2886, 25]"
✅ Best Practice: Use of self to define instance variables,"[26486, 227, 6705, 19939, 25, 5765, 286, 2116, 284, 8160, 4554, 9633]",1.0,56,best_practice,22,Use of self to define instance variables,,48,"        """"""","[220, 220, 220, 220, 220, 220, 220, 37227]"
✅ Best Practice: Use of self to define instance variables,"[26486, 227, 6705, 19939, 25, 5765, 286, 2116, 284, 8160, 4554, 9633]",1.0,74,best_practice,24,Use of self to define instance variables,,56,        self.lunar_month = lunar_month,"[220, 220, 220, 220, 220, 220, 220, 2116, 13, 75, 403, 283, 62, 8424, 796, 25572, 62, 8424]"
⚠️ SAST Risk (Low): Potential IndexError if lunar_year is out of bounds for CHINESEYEARCODE,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 32480, 12901, 12331, 611, 25572, 62, 1941, 318, 503, 286, 22303, 329, 5870, 1268, 1546, 22348, 17133, 34, 16820]",1.0,91,sast_risk,26,Potential IndexError if lunar_year is out of bounds for CHINESEYEARCODE,Low,74,        self.leap_month = leap_month,"[220, 220, 220, 220, 220, 220, 220, 2116, 13, 293, 499, 62, 8424, 796, 16470, 62, 8424]"
⚠️ SAST Risk (Low): Potential IndexError if lunar_year is out of bounds for CHINESENEWYEAR,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 32480, 12901, 12331, 611, 25572, 62, 1941, 318, 503, 286, 22303, 329, 5870, 1268, 1546, 1677, 6217, 56, 17133]",1.0,122,sast_risk,27,Potential IndexError if lunar_year is out of bounds for CHINESENEWYEAR,Low,91,        self.year_code = CHINESEYEARCODE[self.lunar_year - 1900],"[220, 220, 220, 220, 220, 220, 220, 2116, 13, 1941, 62, 8189, 796, 5870, 1268, 1546, 22348, 17133, 34, 16820, 58, 944, 13, 75, 403, 283, 62, 1941, 532, 21489, 60]"
🧠 ML Signal: Custom validation logic for lunar date,"[8582, 100, 254, 10373, 26484, 25, 8562, 21201, 9156, 329, 25572, 3128]",0.5,122,ml_signal,31,Custom validation logic for lunar date,,122,,[]
⚠️ SAST Risk (Low): TypeError might not be the most appropriate exception type,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 5994, 12331, 1244, 407, 307, 262, 749, 5035, 6631, 2099]",1.0,122,sast_risk,31,TypeError might not be the most appropriate exception type,Low,122,,[]
✅ Best Practice: Use of timedelta for date arithmetic is a clear and standard approach.,"[26486, 227, 6705, 19939, 25, 5765, 286, 28805, 12514, 329, 3128, 34768, 318, 257, 1598, 290, 3210, 3164, 13]",1.0,122,best_practice,31,Use of timedelta for date arithmetic is a clear and standard approach.,,122,,[]
✅ Best Practice: Use of descriptive variable names improves code readability.,"[26486, 227, 6705, 19939, 25, 5765, 286, 35644, 7885, 3891, 19575, 2438, 1100, 1799, 13]",1.0,128,best_practice,40,Use of descriptive variable names improves code readability.,,122,    @staticmethod,"[220, 220, 220, 2488, 12708, 24396]"
⚠️ SAST Risk (Low): Potential for incorrect date handling if CHINESENEWYEAR data is not validated.,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 32480, 329, 11491, 3128, 9041, 611, 5870, 1268, 1546, 1677, 6217, 56, 17133, 1366, 318, 407, 31031, 13]",1.0,168,sast_risk,42,Potential for incorrect date handling if CHINESENEWYEAR data is not validated.,Low,128,"        """"""静态方法，从公历日期生成农历日期","[220, 220, 220, 220, 220, 220, 220, 37227, 165, 251, 247, 45250, 223, 43095, 37345, 243, 171, 120, 234, 20015, 236, 17739, 105, 43889, 228, 33768, 98, 17312, 253, 37955, 22755, 238, 37863, 250, 43889, 228, 33768, 98, 17312, 253]"
⚠️ SAST Risk (Low): Potential for incorrect date handling if CHINESENEWYEAR data is not validated.,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 32480, 329, 11491, 3128, 9041, 611, 5870, 1268, 1546, 1677, 6217, 56, 17133, 1366, 318, 407, 31031, 13]",1.0,178,sast_risk,44,Potential for incorrect date handling if CHINESENEWYEAR data is not validated.,Low,168,        Arguments:,"[220, 220, 220, 220, 220, 220, 220, 20559, 2886, 25]"
⚠️ SAST Risk (Low): Potential for incorrect year code handling if CHINESEYEARCODE data is not validated.,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 32480, 329, 11491, 614, 2438, 9041, 611, 5870, 1268, 1546, 22348, 17133, 34, 16820, 1366, 318, 407, 31031, 13]",1.0,187,sast_risk,47,Potential for incorrect year code handling if CHINESEYEARCODE data is not validated.,Low,178,        Returns:,"[220, 220, 220, 220, 220, 220, 220, 16409, 25]"
🧠 ML Signal: Use of custom decoding logic for year codes.,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 2183, 39938, 9156, 329, 614, 12416, 13]",1.0,195,ml_signal,49,Use of custom decoding logic for year codes.,,187,"        """"""","[220, 220, 220, 220, 220, 220, 220, 37227]"
✅ Best Practice: Use of enumerate and accumulate for iteration is efficient and readable.,"[26486, 227, 6705, 19939, 25, 5765, 286, 27056, 378, 290, 29915, 329, 24415, 318, 6942, 290, 31744, 13]",1.0,243,best_practice,51,Use of enumerate and accumulate for iteration is efficient and readable.,,195,        # 如果还没有到农历正月初一 农历年份减去1,"[220, 220, 220, 220, 220, 220, 220, 1303, 10263, 99, 224, 162, 252, 250, 32573, 246, 162, 110, 94, 17312, 231, 26344, 108, 37863, 250, 43889, 228, 29826, 96, 17312, 230, 26344, 251, 31660, 10263, 228, 250, 43889, 228, 33176, 112, 20015, 121, 49035, 237, 43889, 119, 16]"
✅ Best Practice: Clear conditional logic for determining lunar month.,"[26486, 227, 6705, 19939, 25, 11459, 26340, 9156, 329, 13213, 25572, 1227, 13]",0.5,270,best_practice,58,Clear conditional logic for determining lunar month.,,243,        year_code = CHINESEYEARCODE[lunar_year - 1900],"[220, 220, 220, 220, 220, 220, 220, 614, 62, 8189, 796, 5870, 1268, 1546, 22348, 17133, 34, 16820, 58, 75, 403, 283, 62, 1941, 532, 21489, 60]"
