annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
"✅ Best Practice: Function name is prefixed with an underscore, indicating intended private use.","[26486, 227, 6705, 19939, 25, 15553, 1438, 318, 7694, 2966, 351, 281, 44810, 11, 12739, 5292, 2839, 779, 13]",0.5,22,best_practice,11,"Function name is prefixed with an underscore, indicating intended private use.",,0,"from zvt.domain.emotion.emotion import LimitUpInfo, LimitDownInfo, Emotion","[6738, 1976, 36540, 13, 27830, 13, 368, 9650, 13, 368, 9650, 1330, 27272, 4933, 12360, 11, 27272, 8048, 12360, 11, 2295, 9650]"
✅ Best Practice: Checks for None or empty string input.,"[26486, 227, 6705, 19939, 25, 47719, 329, 6045, 393, 6565, 4731, 5128, 13]",1.0,57,best_practice,13,Checks for None or empty string input.,,22,"from zvt.utils.time_utils import to_time_str, date_time_by_interval, current_date, to_pd_timestamp","[6738, 1976, 36540, 13, 26791, 13, 2435, 62, 26791, 1330, 284, 62, 2435, 62, 2536, 11, 3128, 62, 2435, 62, 1525, 62, 3849, 2100, 11, 1459, 62, 4475, 11, 284, 62, 30094, 62, 16514, 27823]"
✅ Best Practice: Use of raw string for regex pattern.,"[26486, 227, 6705, 19939, 25, 5765, 286, 8246, 4731, 329, 40364, 3912, 13]",1.0,75,best_practice,16,Use of raw string for regex pattern.,,57,def _get_high_days_count(high_days_str: str):,"[4299, 4808, 1136, 62, 8929, 62, 12545, 62, 9127, 7, 8929, 62, 12545, 62, 2536, 25, 965, 2599]"
⚠️ SAST Risk (Low): Potential for unexpected behavior if input is not validated before regex operation.,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 32480, 329, 10059, 4069, 611, 5128, 318, 407, 31031, 878, 40364, 4905, 13]",0.5,84,sast_risk,18,Potential for unexpected behavior if input is not validated before regex operation.,Low,75,        return 1,"[220, 220, 220, 220, 220, 220, 220, 1441, 352]"
⚠️ SAST Risk (Low): Assumes result is non-empty; potential IndexError if assumption is wrong.,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 2195, 8139, 1255, 318, 1729, 12, 28920, 26, 2785, 12901, 12331, 611, 13196, 318, 2642, 13]",0.5,102,sast_risk,20,Assumes result is non-empty; potential IndexError if assumption is wrong.,Low,84,"    result = re.findall(pattern, high_days_str)","[220, 220, 220, 1255, 796, 302, 13, 19796, 439, 7, 33279, 11, 1029, 62, 12545, 62, 2536, 8]"
✅ Best Practice: Use of class attributes for configuration and metadata,"[26486, 227, 6705, 19939, 25, 5765, 286, 1398, 12608, 329, 8398, 290, 20150]",0.5,111,best_practice,18,Use of class attributes for configuration and metadata,,102,        return 1,"[220, 220, 220, 220, 220, 220, 220, 1441, 352]"
✅ Best Practice: Clear association of schema with the entity,"[26486, 227, 6705, 19939, 25, 11459, 8112, 286, 32815, 351, 262, 9312]",0.5,129,best_practice,20,Clear association of schema with the entity,,111,"    result = re.findall(pattern, high_days_str)","[220, 220, 220, 1255, 796, 302, 13, 19796, 439, 7, 33279, 11, 1029, 62, 12545, 62, 2536, 8]"
✅ Best Practice: Use of class attributes for configuration and metadata,"[26486, 227, 6705, 19939, 25, 5765, 286, 1398, 12608, 329, 8398, 290, 20150]",0.5,129,best_practice,22,Use of class attributes for configuration and metadata,,129,,[]
✅ Best Practice: Clear association of schema with the data,"[26486, 227, 6705, 19939, 25, 11459, 8112, 286, 32815, 351, 262, 1366]",0.5,145,best_practice,24,Clear association of schema with the data,,129,class JqkaLimitUpRecorder(TimestampsDataRecorder):,"[4871, 449, 80, 4914, 39184, 4933, 6690, 2875, 7, 14967, 395, 9430, 6601, 6690, 2875, 2599]"
🧠 ML Signal: Initialization of a list with a specific object type,"[8582, 100, 254, 10373, 26484, 25, 20768, 1634, 286, 257, 1351, 351, 257, 2176, 2134, 2099]",0.5,145,ml_signal,23,Initialization of a list with a specific object type,,145,,[]
✅ Best Practice: Use of a method to initialize or reset class attributes,"[26486, 227, 6705, 19939, 25, 5765, 286, 257, 2446, 284, 41216, 393, 13259, 1398, 12608]",0.5,161,best_practice,24,Use of a method to initialize or reset class attributes,,145,class JqkaLimitUpRecorder(TimestampsDataRecorder):,"[4871, 449, 80, 4914, 39184, 4933, 6690, 2875, 7, 14967, 395, 9430, 6601, 6690, 2875, 2599]"
🧠 ML Signal: Use of a hardcoded identifier for an entity,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 257, 1327, 40976, 27421, 329, 281, 9312]",0.5,172,ml_signal,25,Use of a hardcoded identifier for an entity,,161,"    entity_provider = ""em""","[220, 220, 220, 9312, 62, 15234, 1304, 796, 366, 368, 1]"
✅ Best Practice: Consider adding type hints for the method parameters for better readability and maintainability.,"[26486, 227, 6705, 19939, 25, 12642, 4375, 2099, 20269, 329, 262, 2446, 10007, 329, 1365, 1100, 1799, 290, 5529, 1799, 13]",0.5,188,best_practice,24,Consider adding type hints for the method parameters for better readability and maintainability.,,172,class JqkaLimitUpRecorder(TimestampsDataRecorder):,"[4871, 449, 80, 4914, 39184, 4933, 6690, 2875, 7, 14967, 395, 9430, 6601, 6690, 2875, 2599]"
🧠 ML Signal: Usage of a query method to fetch data from a database.,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 257, 12405, 2446, 284, 21207, 1366, 422, 257, 6831, 13]",1.0,199,ml_signal,25,Usage of a query method to fetch data from a database.,,188,"    entity_provider = ""em""","[220, 220, 220, 9312, 62, 15234, 1304, 796, 366, 368, 1]"
