annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
✅ Best Practice: Grouping imports from the same module in a single line improves readability.,"[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 422, 262, 976, 8265, 287, 257, 2060, 1627, 19575, 1100, 1799, 13]",1.0,5,best_practice,8,Grouping imports from the same module in a single line improves readability.,,0,import numpy as np,"[11748, 299, 32152, 355, 45941]"
✅ Best Practice: Grouping imports from the same module in a single line improves readability.,"[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 422, 262, 976, 8265, 287, 257, 2060, 1627, 19575, 1100, 1799, 13]",1.0,17,best_practice,11,Grouping imports from the same module in a single line improves readability.,,5,"from zvt.contract import IntervalLevel, AdjustType","[6738, 1976, 36540, 13, 28484, 1330, 4225, 2100, 4971, 11, 20292, 6030]"
✅ Best Practice: Grouping imports from the same module in a single line improves readability.,"[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 422, 262, 976, 8265, 287, 257, 2060, 1627, 19575, 1100, 1799, 13]",1.0,27,best_practice,15,Grouping imports from the same module in a single line improves readability.,,17,from zvt.contract.drawer import Rect,"[6738, 1976, 36540, 13, 28484, 13, 19334, 263, 1330, 48599]"
✅ Best Practice: Grouping imports from the same module in a single line improves readability.,"[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 422, 262, 976, 8265, 287, 257, 2060, 1627, 19575, 1100, 1799, 13]",1.0,37,best_practice,17,Grouping imports from the same module in a single line improves readability.,,27,from zvt.contract.factor import Transformer,"[6738, 1976, 36540, 13, 28484, 13, 31412, 1330, 3602, 16354]"
✅ Best Practice: Grouping imports from the same module in a single line improves readability.,"[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 422, 262, 976, 8265, 287, 257, 2060, 1627, 19575, 1100, 1799, 13]",1.0,47,best_practice,17,Grouping imports from the same module in a single line improves readability.,,37,from zvt.contract.factor import Transformer,"[6738, 1976, 36540, 13, 28484, 13, 31412, 1330, 3602, 16354]"
✅ Best Practice: Grouping imports from the same module in a single line improves readability.,"[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 422, 262, 976, 8265, 287, 257, 2060, 1627, 19575, 1100, 1799, 13]",1.0,60,best_practice,35,Grouping imports from the same module in a single line improves readability.,,47,logger = logging.getLogger(__name__),"[6404, 1362, 796, 18931, 13, 1136, 11187, 1362, 7, 834, 3672, 834, 8]"
✅ Best Practice: Using a logger is a good practice for handling log messages.,"[26486, 227, 6705, 19939, 25, 8554, 257, 49706, 318, 257, 922, 3357, 329, 9041, 2604, 6218, 13]",1.0,60,best_practice,37,Using a logger is a good practice for handling log messages.,,60,,[]
✅ Best Practice: Inheriting from json.JSONEncoder to create a custom encoder,"[26486, 227, 6705, 19939, 25, 47025, 1780, 422, 33918, 13, 40386, 27195, 12342, 284, 2251, 257, 2183, 2207, 12342]",1.0,78,best_practice,32,Inheriting from json.JSONEncoder to create a custom encoder,,60,from zvt.utils.pd_utils import pd_is_not_null,"[6738, 1976, 36540, 13, 26791, 13, 30094, 62, 26791, 1330, 279, 67, 62, 271, 62, 1662, 62, 8423]"
✅ Best Practice: Consider adding type hints for the function parameters and return type for better readability and maintainability.,"[26486, 227, 6705, 19939, 25, 12642, 4375, 2099, 20269, 329, 262, 2163, 10007, 290, 1441, 2099, 329, 1365, 1100, 1799, 290, 5529, 1799, 13]",0.5,102,best_practice,33,Consider adding type hints for the function parameters and return type for better readability and maintainability.,,78,"from zvt.utils.time_utils import TIME_FORMAT_ISO8601, to_time_str","[6738, 1976, 36540, 13, 26791, 13, 2435, 62, 26791, 1330, 20460, 62, 21389, 1404, 62, 40734, 4521, 486, 11, 284, 62, 2435, 62, 2536]"
✅ Best Practice: Using isinstance to check the type of an object is a common and clear pattern.,"[26486, 227, 6705, 19939, 25, 8554, 318, 39098, 284, 2198, 262, 2099, 286, 281, 2134, 318, 257, 2219, 290, 1598, 3912, 13]",0.5,115,best_practice,35,Using isinstance to check the type of an object is a common and clear pattern.,,102,logger = logging.getLogger(__name__),"[6404, 1362, 796, 18931, 13, 1136, 11187, 1362, 7, 834, 3672, 834, 8]"
🧠 ML Signal: Converting a pandas Series to a dictionary is a common pattern.,"[8582, 100, 254, 10373, 26484, 25, 35602, 889, 257, 19798, 292, 7171, 284, 257, 22155, 318, 257, 2219, 3912, 13]",1.0,115,ml_signal,37,Converting a pandas Series to a dictionary is a common pattern.,,115,,[]
🧠 ML Signal: Converting a pandas Timestamp to a string with a specific format is a common pattern.,"[8582, 100, 254, 10373, 26484, 25, 35602, 889, 257, 19798, 292, 5045, 27823, 284, 257, 4731, 351, 257, 2176, 5794, 318, 257, 2219, 3912, 13]",1.0,133,ml_signal,40,Converting a pandas Timestamp to a string with a specific format is a common pattern.,,115,"        if isinstance(object, pd.Series):","[220, 220, 220, 220, 220, 220, 220, 611, 318, 39098, 7, 15252, 11, 279, 67, 13, 27996, 2599]"
🧠 ML Signal: Accessing the value of an Enum is a common pattern.,"[8582, 100, 254, 10373, 26484, 25, 8798, 278, 262, 1988, 286, 281, 2039, 388, 318, 257, 2219, 3912, 13]",1.0,164,ml_signal,43,Accessing the value of an Enum is a common pattern.,,133,"            return to_time_str(object, fmt=TIME_FORMAT_ISO8601)","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 1441, 284, 62, 2435, 62, 2536, 7, 15252, 11, 46996, 28, 34694, 62, 21389, 1404, 62, 40734, 4521, 486, 8]"
🧠 ML Signal: Converting a custom object to a dictionary is a common pattern.,"[8582, 100, 254, 10373, 26484, 25, 35602, 889, 257, 2183, 2134, 284, 257, 22155, 318, 257, 2219, 3912, 13]",0.5,180,ml_signal,46,Converting a custom object to a dictionary is a common pattern.,,164,"        elif isinstance(object, Bean):","[220, 220, 220, 220, 220, 220, 220, 1288, 361, 318, 39098, 7, 15252, 11, 26510, 2599]"
✅ Best Practice: Using super() to call a method from the parent class is a common and clear pattern.,"[26486, 227, 6705, 19939, 25, 8554, 2208, 3419, 284, 869, 257, 2446, 422, 262, 2560, 1398, 318, 257, 2219, 290, 1598, 3912, 13]",0.5,189,best_practice,48,Using super() to call a method from the parent class is a common and clear pattern.,,180,        else:,"[220, 220, 220, 220, 220, 220, 220, 2073, 25]"
✅ Best Practice: Use isinstance() instead of type() for type checking,"[26486, 227, 6705, 19939, 25, 5765, 318, 39098, 3419, 2427, 286, 2099, 3419, 329, 2099, 10627]",1.0,204,best_practice,45,Use isinstance() instead of type() for type checking,,189,            return object.value,"[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 1441, 2134, 13, 8367]"
🧠 ML Signal: Usage of string formatting to create dynamic schema names,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 4731, 33313, 284, 2251, 8925, 32815, 3891]",0.5,213,ml_signal,48,Usage of string formatting to create dynamic schema names,,204,        else:,"[220, 220, 220, 220, 220, 220, 220, 2073, 25]"
🧠 ML Signal: Function call pattern to retrieve schema by name,"[8582, 100, 254, 10373, 26484, 25, 15553, 869, 3912, 284, 19818, 32815, 416, 1438]",0.5,213,ml_signal,50,Function call pattern to retrieve schema by name,,213,,[]
⚠️ SAST Risk (Low): Potential misuse of decorators if not properly defined,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 32480, 29169, 286, 11705, 2024, 611, 407, 6105, 5447]",0.5,250,sast_risk,52,Potential misuse of decorators if not properly defined,Low,213,"def get_zen_factor_schema(entity_type: str, level: Union[IntervalLevel, str] = IntervalLevel.LEVEL_1DAY):","[4299, 651, 62, 4801, 62, 31412, 62, 15952, 2611, 7, 26858, 62, 4906, 25, 965, 11, 1241, 25, 4479, 58, 9492, 2100, 4971, 11, 965, 60, 796, 4225, 2100, 4971, 13, 2538, 18697, 62, 16, 26442, 2599]"
🧠 ML Signal: Inheritance from a class named 'Bean' suggests a pattern of using a specific framework or library,"[8582, 100, 254, 10373, 26484, 25, 47025, 42942, 422, 257, 1398, 3706, 705, 3856, 272, 6, 5644, 257, 3912, 286, 1262, 257, 2176, 9355, 393, 5888]",1.0,250,ml_signal,51,Inheritance from a class named 'Bean' suggests a pattern of using a specific framework or library,,250,,[]
