annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
"✅ Best Practice: Grouping imports into standard, third-party, and local sections improves readability.","[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 656, 3210, 11, 2368, 12, 10608, 11, 290, 1957, 9004, 19575, 1100, 1799, 13]",0.5,2,best_practice,2,"Grouping imports into standard, third-party, and local sections improves readability.",,0,import logging,"[11748, 18931]"
✅ Best Practice: Using a logger instead of print statements for logging is a best practice.,"[26486, 227, 6705, 19939, 25, 8554, 257, 49706, 2427, 286, 3601, 6299, 329, 18931, 318, 257, 1266, 3357, 13]",0.5,12,best_practice,12,Using a logger instead of print statements for logging is a best practice.,,2,from zvt.informer import EmailInformer,"[6738, 1976, 36540, 13, 259, 16354, 1330, 9570, 818, 16354]"
🧠 ML Signal: Usage of a background scheduler indicates a pattern of periodic task execution.,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 257, 4469, 6038, 18173, 9217, 257, 3912, 286, 27458, 4876, 9706, 13]",1.0,12,ml_signal,15,Usage of a background scheduler indicates a pattern of periodic task execution.,,12,,[]
🧠 ML Signal: Instantiation of an EmailInformer suggests a pattern of sending notifications or alerts.,"[8582, 100, 254, 10373, 26484, 25, 24470, 3920, 286, 281, 9570, 818, 16354, 5644, 257, 3912, 286, 7216, 19605, 393, 21675, 13]",0.5,21,ml_signal,17,Instantiation of an EmailInformer suggests a pattern of sending notifications or alerts.,,12,email_informer = EmailInformer(),"[12888, 62, 259, 16354, 796, 9570, 818, 16354, 3419]"
🧠 ML Signal: Use of a cron job pattern for scheduling tasks at specific times.,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 257, 1067, 261, 1693, 3912, 329, 26925, 8861, 379, 2176, 1661, 13]",0.5,30,ml_signal,17,Use of a cron job pattern for scheduling tasks at specific times.,,21,email_informer = EmailInformer(),"[12888, 62, 259, 16354, 796, 9570, 818, 16354, 3419]"
⚠️ SAST Risk (Low): Ensure that the scheduled job does not execute sensitive operations without proper validation.,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 48987, 326, 262, 7530, 1693, 857, 407, 12260, 8564, 4560, 1231, 1774, 21201, 13]",0.5,39,sast_risk,17,Ensure that the scheduled job does not execute sensitive operations without proper validation.,Low,30,email_informer = EmailInformer(),"[12888, 62, 259, 16354, 796, 9570, 818, 16354, 3419]"
🧠 ML Signal: Usage of external data source and specific parameters for data retrieval,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 7097, 1366, 2723, 290, 2176, 10007, 329, 1366, 45069]",1.0,39,ml_signal,15,Usage of external data source and specific parameters for data retrieval,,39,,[]
🧠 ML Signal: Pattern of retrieving specific stock data based on a timestamp,"[8582, 100, 254, 10373, 26484, 25, 23939, 286, 50122, 2176, 4283, 1366, 1912, 319, 257, 41033]",0.5,48,ml_signal,17,Pattern of retrieving specific stock data based on a timestamp,,39,email_informer = EmailInformer(),"[12888, 62, 259, 16354, 796, 9570, 818, 16354, 3419]"
🧠 ML Signal: Pattern of reporting targets with specific parameters,"[8582, 100, 254, 10373, 26484, 25, 23939, 286, 6447, 6670, 351, 2176, 10007]",0.5,57,ml_signal,17,Pattern of reporting targets with specific parameters,,48,email_informer = EmailInformer(),"[12888, 62, 259, 16354, 796, 9570, 818, 16354, 3419]"
🧠 ML Signal: Repeated pattern of reporting targets with different parameters,"[8582, 100, 254, 10373, 26484, 25, 30558, 515, 3912, 286, 6447, 6670, 351, 1180, 10007]",0.5,74,ml_signal,33,Repeated pattern of reporting targets with different parameters,,57,"        em_group_over_write=False,","[220, 220, 220, 220, 220, 220, 220, 795, 62, 8094, 62, 2502, 62, 13564, 28, 25101, 11]"
✅ Best Practice: Use of main guard to prevent code from running on import,"[26486, 227, 6705, 19939, 25, 5765, 286, 1388, 4860, 284, 2948, 2438, 422, 2491, 319, 1330]",1.0,92,best_practice,52,Use of main guard to prevent code from running on import,,74,"        start_timestamp=""2019-01-01"",","[220, 220, 220, 220, 220, 220, 220, 923, 62, 16514, 27823, 2625, 23344, 12, 486, 12, 486, 1600]"
✅ Best Practice: Logging initialization for better traceability,"[26486, 227, 6705, 19939, 25, 5972, 2667, 37588, 329, 1365, 12854, 1799]",1.0,110,best_practice,52,Logging initialization for better traceability,,92,"        start_timestamp=""2019-01-01"",","[220, 220, 220, 220, 220, 220, 220, 923, 62, 16514, 27823, 2625, 23344, 12, 486, 12, 486, 1600]"
⚠️ SAST Risk (Low): Potential risk if sched is not properly configured or stopped,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 32480, 2526, 611, 6038, 318, 407, 6105, 17839, 393, 5025]",0.5,128,sast_risk,52,Potential risk if sched is not properly configured or stopped,Low,110,"        start_timestamp=""2019-01-01"",","[220, 220, 220, 220, 220, 220, 220, 923, 62, 16514, 27823, 2625, 23344, 12, 486, 12, 486, 1600]"
⚠️ SAST Risk (Low): Potential risk of blocking the main thread indefinitely,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 32480, 2526, 286, 12013, 262, 1388, 4704, 24391]",0.5,146,sast_risk,52,Potential risk of blocking the main thread indefinitely,Low,128,"        start_timestamp=""2019-01-01"",","[220, 220, 220, 220, 220, 220, 220, 923, 62, 16514, 27823, 2625, 23344, 12, 486, 12, 486, 1600]"
