annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
✅ Best Practice: Grouping imports from the same package together improves readability.,"[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 422, 262, 976, 5301, 1978, 19575, 1100, 1799, 13]",0.5,0,best_practice,4,Grouping imports from the same package together improves readability.,,0,,[]
✅ Best Practice: Grouping imports from the same package together improves readability.,"[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 422, 262, 976, 5301, 1978, 19575, 1100, 1799, 13]",0.5,0,best_practice,6,Grouping imports from the same package together improves readability.,,0,,[]
✅ Best Practice: Use of Enum for defining a set of related constants,"[26486, 227, 6705, 19939, 25, 5765, 286, 2039, 388, 329, 16215, 257, 900, 286, 3519, 38491]",0.5,0,best_practice,6,Use of Enum for defining a set of related constants,,0,,[]
✅ Best Practice: Use of Enum for defining a set of related constants improves code readability and maintainability.,"[26486, 227, 6705, 19939, 25, 5765, 286, 2039, 388, 329, 16215, 257, 900, 286, 3519, 38491, 19575, 2438, 1100, 1799, 290, 5529, 1799, 13]",1.0,12,best_practice,13,Use of Enum for defining a set of related constants improves code readability and maintainability.,,0,"    open_short = ""open_short""","[220, 220, 220, 1280, 62, 19509, 796, 366, 9654, 62, 19509, 1]"
"🧠 ML Signal: Function maps trading signal types to order types, useful for learning trading behavior patterns","[8582, 100, 254, 10373, 26484, 25, 15553, 8739, 7313, 6737, 3858, 284, 1502, 3858, 11, 4465, 329, 4673, 7313, 4069, 7572]",1.0,12,ml_signal,19,"Function maps trading signal types to order types, useful for learning trading behavior patterns",,12,,[]
⚠️ SAST Risk (Low): Missing else clause could lead to unexpected behavior if an unknown trading_signal_type is passed,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 25639, 2073, 13444, 714, 1085, 284, 10059, 4069, 611, 281, 6439, 7313, 62, 12683, 282, 62, 4906, 318, 3804]",0.5,32,sast_risk,28,Missing else clause could lead to unexpected behavior if an unknown trading_signal_type is passed,Low,12,    if trading_signal_type == TradingSignalType.open_long:,"[220, 220, 220, 611, 7313, 62, 12683, 282, 62, 4906, 6624, 25469, 11712, 282, 6030, 13, 9654, 62, 6511, 25]"
✅ Best Practice: Consider adding an else clause to handle unexpected trading_signal_type values,"[26486, 227, 6705, 19939, 25, 12642, 4375, 281, 2073, 13444, 284, 5412, 10059, 7313, 62, 12683, 282, 62, 4906, 3815]",1.0,46,best_practice,29,Consider adding an else clause to handle unexpected trading_signal_type values,,32,        return OrderType.order_long,"[220, 220, 220, 220, 220, 220, 220, 1441, 8284, 6030, 13, 2875, 62, 6511]"
"⚠️ SAST Risk (Low): The decorator @to_string is used without context, which could lead to unexpected behavior if not properly defined","[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 383, 11705, 1352, 2488, 1462, 62, 8841, 318, 973, 1231, 4732, 11, 543, 714, 1085, 284, 10059, 4069, 611, 407, 6105, 5447]",1.0,60,sast_risk,29,"The decorator @to_string is used without context, which could lead to unexpected behavior if not properly defined",Low,46,        return OrderType.order_long,"[220, 220, 220, 220, 220, 220, 220, 1441, 8284, 6030, 13, 2875, 62, 6511]"
✅ Best Practice: Ensure that the @to_string decorator is defined and used appropriately,"[26486, 227, 6705, 19939, 25, 48987, 326, 262, 2488, 1462, 62, 8841, 11705, 1352, 318, 5447, 290, 973, 20431]",1.0,74,best_practice,29,Ensure that the @to_string decorator is defined and used appropriately,,60,        return OrderType.order_long,"[220, 220, 220, 220, 220, 220, 220, 1441, 8284, 6030, 13, 2875, 62, 6511]"
🧠 ML Signal: Initialization of object with multiple parameters,"[8582, 100, 254, 10373, 26484, 25, 20768, 1634, 286, 2134, 351, 3294, 10007]",1.0,78,ml_signal,50,Initialization of object with multiple parameters,,74,    ):,"[220, 220, 220, 15179]"
