annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
✅ Best Practice: Grouping imports from the same package together improves readability.,"[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 422, 262, 976, 5301, 1978, 19575, 1100, 1799, 13]",0.5,4,best_practice,6,Grouping imports from the same package together improves readability.,,0,import demjson3,"[11748, 1357, 17752, 18]"
✅ Best Practice: Class should have a docstring explaining its purpose and usage,"[26486, 227, 6705, 19939, 25, 5016, 815, 423, 257, 2205, 8841, 11170, 663, 4007, 290, 8748]",0.5,15,best_practice,12,Class should have a docstring explaining its purpose and usage,,4,from zvt.contract.recorder import Recorder,"[6738, 1976, 36540, 13, 28484, 13, 8344, 2875, 1330, 3311, 2875]"
✅ Best Practice: Class attributes should be documented or initialized in __init__,"[26486, 227, 6705, 19939, 25, 5016, 12608, 815, 307, 12395, 393, 23224, 287, 11593, 15003, 834]",0.5,36,best_practice,14,Class attributes should be documented or initialized in __init__,,15,from zvt.recorders.consts import DEFAULT_SH_ETF_LIST_HEADER,"[6738, 1976, 36540, 13, 8344, 6361, 13, 1102, 6448, 1330, 5550, 38865, 62, 9693, 62, 22274, 62, 45849, 62, 37682, 1137]"
✅ Best Practice: Use of default parameter values for flexibility and ease of use,"[26486, 227, 6705, 19939, 25, 5765, 286, 4277, 11507, 3815, 329, 13688, 290, 10152, 286, 779]",0.5,52,best_practice,15,Use of default parameter values for flexibility and ease of use,,36,from zvt.utils.time_utils import now_pd_timestamp,"[6738, 1976, 36540, 13, 26791, 13, 2435, 62, 26791, 1330, 783, 62, 30094, 62, 16514, 27823]"
✅ Best Practice: Proper use of super() to initialize the parent class,"[26486, 227, 6705, 19939, 25, 45989, 779, 286, 2208, 3419, 284, 41216, 262, 2560, 1398]",0.5,52,best_practice,17,Proper use of super() to initialize the parent class,,52,,[]
⚠️ SAST Risk (Medium): Hardcoded URL can lead to security risks if the endpoint changes or is compromised.,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 31205, 2599, 6912, 40976, 10289, 460, 1085, 284, 2324, 7476, 611, 262, 36123, 2458, 393, 318, 19066, 13]",1.0,63,sast_risk,19,Hardcoded URL can lead to security risks if the endpoint changes or is compromised.,Medium,52,    data_schema = EtfStock,"[220, 220, 220, 1366, 62, 15952, 2611, 796, 17906, 69, 26207]"
"⚠️ SAST Risk (Medium): No error handling for the HTTP request, which can lead to unhandled exceptions.","[158, 248, 254, 37929, 311, 11262, 19602, 357, 31205, 2599, 1400, 4049, 9041, 329, 262, 14626, 2581, 11, 543, 460, 1085, 284, 555, 38788, 13269, 13]",0.5,95,sast_risk,21,"No error handling for the HTTP request, which can lead to unhandled exceptions.",Medium,63,"    def __init__(self, force_update=False, sleeping_time=10.0, provider=""exchange"") -> None:","[220, 220, 220, 825, 11593, 15003, 834, 7, 944, 11, 2700, 62, 19119, 28, 25101, 11, 11029, 62, 2435, 28, 940, 13, 15, 11, 10131, 2625, 1069, 3803, 4943, 4613, 6045, 25]"
"⚠️ SAST Risk (Medium): No validation of the response before decoding, which can lead to security issues.","[158, 248, 254, 37929, 311, 11262, 19602, 357, 31205, 2599, 1400, 21201, 286, 262, 2882, 878, 39938, 11, 543, 460, 1085, 284, 2324, 2428, 13]",0.5,116,sast_risk,23,"No validation of the response before decoding, which can lead to security issues.",Medium,95,"        super().__init__(force_update, sleeping_time)","[220, 220, 220, 220, 220, 220, 220, 2208, 22446, 834, 15003, 834, 7, 3174, 62, 19119, 11, 11029, 62, 2435, 8]"
🧠 ML Signal: Usage of pandas DataFrame indicates data processing or analysis.,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 19798, 292, 6060, 19778, 9217, 1366, 7587, 393, 3781, 13]",0.5,124,ml_signal,25,Usage of pandas DataFrame indicates data processing or analysis.,,116,    def run(self):,"[220, 220, 220, 825, 1057, 7, 944, 2599]"
"🧠 ML Signal: Method call with a DataFrame and exchange parameter, indicating data persistence.","[8582, 100, 254, 10373, 26484, 25, 11789, 869, 351, 257, 6060, 19778, 290, 5163, 11507, 11, 12739, 1366, 30802, 13]",0.5,172,ml_signal,27,"Method call with a DataFrame and exchange parameter, indicating data persistence.",,124,"        url = ""http://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_ZQPZ_ETFLB_L_NEW""","[220, 220, 220, 220, 220, 220, 220, 19016, 796, 366, 4023, 1378, 22766, 13, 82, 325, 13, 785, 13, 31522, 14, 11321, 20746, 13, 4598, 30, 25410, 7390, 28, 9858, 27857, 62, 50, 5188, 62, 57, 48, 47, 57, 62, 2767, 3697, 33, 62, 43, 62, 13965, 1]"
