annotation,annotation_tokens,confidence,end_token,label,line,reason,start_token,text,tokens
🧠 ML Signal: Importing specific functions and classes indicates usage patterns and dependencies,"[8582, 100, 254, 10373, 26484, 25, 17267, 278, 2176, 5499, 290, 6097, 9217, 8748, 7572, 290, 20086]",0.5,11,ml_signal,6,Importing specific functions and classes indicates usage patterns and dependencies,0,from zvt.utils.utils import to_float,"[6738, 1976, 36540, 13, 26791, 13, 26791, 1330, 284, 62, 22468]"
"🧠 ML Signal: Inherits from a base class, indicating a pattern of using inheritance for code reuse","[8582, 100, 254, 10373, 26484, 25, 47025, 896, 422, 257, 2779, 1398, 11, 12739, 257, 3912, 286, 1262, 24155, 329, 2438, 32349]",0.5,22,ml_signal,6,"Inherits from a base class, indicating a pattern of using inheritance for code reuse",11,from zvt.utils.utils import to_float,"[6738, 1976, 36540, 13, 26791, 13, 26791, 1330, 284, 62, 22468]"
"🧠 ML Signal: Class attribute indicating a constant value, useful for identifying configuration patterns","[8582, 100, 254, 10373, 26484, 25, 5016, 11688, 12739, 257, 6937, 1988, 11, 4465, 329, 13720, 8398, 7572]",0.5,22,ml_signal,8,"Class attribute indicating a constant value, useful for identifying configuration patterns",22,,[]
"🧠 ML Signal: Class attribute indicating a constant value, useful for identifying configuration patterns","[8582, 100, 254, 10373, 26484, 25, 5016, 11688, 12739, 257, 6937, 1988, 11, 4465, 329, 13720, 8398, 7572]",0.5,31,ml_signal,10,"Class attribute indicating a constant value, useful for identifying configuration patterns",22,"    provider = ""eastmoney""","[220, 220, 220, 10131, 796, 366, 23316, 26316, 1]"
"🧠 ML Signal: Class attribute indicating a constant value, useful for identifying configuration patterns","[8582, 100, 254, 10373, 26484, 25, 5016, 11688, 12739, 257, 6937, 1988, 11, 4465, 329, 13720, 8398, 7572]",0.5,31,ml_signal,12,"Class attribute indicating a constant value, useful for identifying configuration patterns",31,,[]
"🧠 ML Signal: Class attribute indicating a constant value, useful for identifying configuration patterns","[8582, 100, 254, 10373, 26484, 25, 5016, 11688, 12739, 257, 6937, 1988, 11, 4465, 329, 13720, 8398, 7572]",0.5,47,ml_signal,14,"Class attribute indicating a constant value, useful for identifying configuration patterns",31,"    path_fields = [""ShiDaGuDongList""]","[220, 220, 220, 3108, 62, 25747, 796, 14631, 2484, 72, 26531, 8205, 35, 506, 8053, 8973]"
"🧠 ML Signal: Class attribute indicating a constant value, useful for identifying configuration patterns","[8582, 100, 254, 10373, 26484, 25, 5016, 11688, 12739, 257, 6937, 1988, 11, 4465, 329, 13720, 8398, 7572]",0.5,47,ml_signal,15,"Class attribute indicating a constant value, useful for identifying configuration patterns",47,,[]
"🧠 ML Signal: Class attribute indicating a constant value, useful for identifying configuration patterns","[8582, 100, 254, 10373, 26484, 25, 5016, 11688, 12739, 257, 6937, 1988, 11, 4465, 329, 13720, 8398, 7572]",0.5,47,ml_signal,15,"Class attribute indicating a constant value, useful for identifying configuration patterns",47,,[]
"🧠 ML Signal: Class attribute indicating a constant value, useful for identifying configuration patterns","[8582, 100, 254, 10373, 26484, 25, 5016, 11688, 12739, 257, 6937, 1988, 11, 4465, 329, 13720, 8398, 7572]",0.5,47,ml_signal,15,"Class attribute indicating a constant value, useful for identifying configuration patterns",47,,[]
✅ Best Practice: Use of a dictionary to map keys to tuples for structured data transformation,"[26486, 227, 6705, 19939, 25, 5765, 286, 257, 22155, 284, 3975, 8251, 284, 12777, 2374, 329, 20793, 1366, 13389]",1.0,47,best_practice,15,Use of a dictionary to map keys to tuples for structured data transformation,47,,[]
