annotation,annotation_tokens,confidence,end_token,label,line,reason,start_token,text,tokens
🧠 ML Signal: Importing specific modules and classes indicates usage patterns and dependencies,"[8582, 100, 254, 10373, 26484, 25, 17267, 278, 2176, 13103, 290, 6097, 9217, 8748, 7572, 290, 20086]",0.5,15,ml_signal,6,Importing specific modules and classes indicates usage patterns and dependencies,0,from vnpy_ctastrategy import CtaStrategyApp,"[6738, 410, 77, 9078, 62, 310, 459, 81, 4338, 1330, 327, 8326, 13290, 4338, 4677]"
"🧠 ML Signal: Function call to create_qapp, indicating a pattern of initializing a Qt application","[8582, 100, 254, 10373, 26484, 25, 15553, 869, 284, 2251, 62, 80, 1324, 11, 12739, 257, 3912, 286, 4238, 2890, 257, 33734, 3586]",0.5,15,ml_signal,8,"Function call to create_qapp, indicating a pattern of initializing a Qt application",15,,[]
"🧠 ML Signal: Instantiation of EventEngine, a common pattern in event-driven architectures","[8582, 100, 254, 10373, 26484, 25, 24470, 3920, 286, 8558, 13798, 11, 257, 2219, 3912, 287, 1785, 12, 15808, 45619]",0.5,21,ml_signal,10,"Instantiation of EventEngine, a common pattern in event-driven architectures",15,"    """"""""""""","[220, 220, 220, 13538, 15931, 15931]"
"🧠 ML Signal: Instantiation of MainEngine with event_engine, indicating a pattern of engine initialization","[8582, 100, 254, 10373, 26484, 25, 24470, 3920, 286, 8774, 13798, 351, 1785, 62, 18392, 11, 12739, 257, 3912, 286, 3113, 37588]",0.5,21,ml_signal,12,"Instantiation of MainEngine with event_engine, indicating a pattern of engine initialization",21,,[]
"🧠 ML Signal: Adding a gateway to the main engine, a pattern in plugin or modular architectures","[8582, 100, 254, 10373, 26484, 25, 18247, 257, 24308, 284, 262, 1388, 3113, 11, 257, 3912, 287, 13877, 393, 26507, 45619]",0.5,21,ml_signal,14,"Adding a gateway to the main engine, a pattern in plugin or modular architectures",21,,[]
"🧠 ML Signal: Adding an application to the main engine, indicating extensibility or modularity","[8582, 100, 254, 10373, 26484, 25, 18247, 281, 3586, 284, 262, 1388, 3113, 11, 12739, 1070, 641, 2247, 393, 26507, 414]",0.5,21,ml_signal,16,"Adding an application to the main engine, indicating extensibility or modularity",21,,[]
"🧠 ML Signal: Instantiation of MainWindow with main_engine and event_engine, a pattern in GUI applications","[8582, 100, 254, 10373, 26484, 25, 24470, 3920, 286, 8774, 27703, 351, 1388, 62, 18392, 290, 1785, 62, 18392, 11, 257, 3912, 287, 25757, 5479]",0.5,38,ml_signal,17,"Instantiation of MainWindow with main_engine and event_engine, a pattern in GUI applications",21,    main_engine.add_gateway(RpcGateway),"[220, 220, 220, 1388, 62, 18392, 13, 2860, 62, 10494, 1014, 7, 49, 14751, 22628, 1014, 8]"
"🧠 ML Signal: Maximizing the main window, a common pattern in GUI applications","[8582, 100, 254, 10373, 26484, 25, 38962, 2890, 262, 1388, 4324, 11, 257, 2219, 3912, 287, 25757, 5479]",1.0,55,ml_signal,17,"Maximizing the main window, a common pattern in GUI applications",38,    main_engine.add_gateway(RpcGateway),"[220, 220, 220, 1388, 62, 18392, 13, 2860, 62, 10494, 1014, 7, 49, 14751, 22628, 1014, 8]"
"🧠 ML Signal: Executing the Qt application, indicating the start of the event loop","[8582, 100, 254, 10373, 26484, 25, 8393, 15129, 262, 33734, 3586, 11, 12739, 262, 923, 286, 262, 1785, 9052]",0.5,72,ml_signal,17,"Executing the Qt application, indicating the start of the event loop",55,    main_engine.add_gateway(RpcGateway),"[220, 220, 220, 1388, 62, 18392, 13, 2860, 62, 10494, 1014, 7, 49, 14751, 22628, 1014, 8]"
✅ Best Practice: Use the standard Python idiom for script entry point,"[26486, 227, 6705, 19939, 25, 5765, 262, 3210, 11361, 4686, 29005, 329, 4226, 5726, 966]",0.5,89,best_practice,17,Use the standard Python idiom for script entry point,72,    main_engine.add_gateway(RpcGateway),"[220, 220, 220, 1388, 62, 18392, 13, 2860, 62, 10494, 1014, 7, 49, 14751, 22628, 1014, 8]"
