annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
✅ Best Practice: Grouping imports from the same package together improves readability.,"[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 422, 262, 976, 5301, 1978, 19575, 1100, 1799, 13]",1.0,2,best_practice,3,Grouping imports from the same package together improves readability.,,0,import requests,"[11748, 7007]"
"🧠 ML Signal: Use of a dictionary to map categories to URLs, indicating a pattern of categorization","[8582, 100, 254, 10373, 26484, 25, 5765, 286, 257, 22155, 284, 3975, 9376, 284, 32336, 11, 12739, 257, 3912, 286, 17851, 1634]",1.0,2,ml_signal,13,"Use of a dictionary to map categories to URLs, indicating a pattern of categorization",,2,,[]
⚠️ SAST Risk (Low): Hardcoded URLs can lead to maintenance issues if the URLs change,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 6912, 40976, 32336, 460, 1085, 284, 9262, 2428, 611, 262, 32336, 1487]",1.0,2,sast_risk,13,Hardcoded URLs can lead to maintenance issues if the URLs change,Low,2,,[]
⚠️ SAST Risk (Low): Hardcoded URLs can lead to maintenance issues if the URLs change,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 6912, 40976, 32336, 460, 1085, 284, 9262, 2428, 611, 262, 32336, 1487]",1.0,2,sast_risk,17,Hardcoded URLs can lead to maintenance issues if the URLs change,Low,2,,[]
⚠️ SAST Risk (Medium): No error handling for network request,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 31205, 2599, 1400, 4049, 9041, 329, 3127, 2581]",1.0,12,sast_risk,19,No error handling for network request,Medium,2,    category_map_url = {,"[220, 220, 220, 6536, 62, 8899, 62, 6371, 796, 1391]"
⚠️ SAST Risk (Medium): Potential risk if json_callback_param is not properly validated,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 31205, 2599, 32480, 2526, 611, 33918, 62, 47423, 62, 17143, 318, 407, 6105, 31031]",0.5,146,sast_risk,21,Potential risk if json_callback_param is not properly validated,Medium,12,"        BlockCategory.concept: ""https://nufm.dfcfw.com/EM_Finance2014NumericApplication/JS.aspx?type=CT&cmd=C._BKGN&sty=DCRRBKCPAL&st=(ChangePercent)&sr=-1&p=1&ps=300&lvl=&cb=jsonp_3071689CC1E6486A80027D69E8B33F26&token=4f1862fc3b5e77c150a2b985b12db0fd&_=08251"",","[220, 220, 220, 220, 220, 220, 220, 9726, 27313, 13, 43169, 25, 366, 5450, 1378, 77, 3046, 76, 13, 7568, 12993, 86, 13, 785, 14, 3620, 62, 37, 14149, 4967, 45, 39223, 23416, 14, 20120, 13, 31740, 30, 4906, 28, 4177, 5, 28758, 28, 34, 13557, 33, 42, 16630, 5, 34365, 28, 35, 9419, 27912, 42, 8697, 1847, 5, 301, 16193, 19400, 31905, 8, 5, 27891, 10779, 16, 5, 79, 28, 16, 5, 862, 28, 6200, 5, 47147, 28, 5, 21101, 28, 17752, 79, 62, 22996, 1433, 4531, 4093, 16, 36, 2414, 4521, 32, 7410, 1983, 35, 3388, 36, 23, 33, 2091, 37, 2075, 5, 30001, 28, 19, 69, 1507, 5237, 16072, 18, 65, 20, 68, 3324, 66, 8628, 64, 17, 65, 42250, 65, 1065, 9945, 15, 16344, 5, 62, 28, 2919, 28072, 1600]"
🧠 ML Signal: Splitting strings by a delimiter,"[8582, 100, 254, 10373, 26484, 25, 13341, 2535, 13042, 416, 257, 46728, 2676]",0.5,154,ml_signal,25,Splitting strings by a delimiter,,146,    def run(self):,"[220, 220, 220, 825, 1057, 7, 944, 2599]"
🧠 ML Signal: Accessing list elements by index,"[8582, 100, 254, 10373, 26484, 25, 8798, 278, 1351, 4847, 416, 6376]",0.5,181,ml_signal,27,Accessing list elements by index,,154,"            resp = requests.get(url, headers=DEFAULT_HEADER)","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 1217, 796, 7007, 13, 1136, 7, 6371, 11, 24697, 28, 7206, 38865, 62, 37682, 1137, 8]"
🧠 ML Signal: String formatting for ID creation,"[8582, 100, 254, 10373, 26484, 25, 10903, 33313, 329, 4522, 6282]",0.5,208,ml_signal,27,String formatting for ID creation,,181,"            resp = requests.get(url, headers=DEFAULT_HEADER)","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 1217, 796, 7007, 13, 1136, 7, 6371, 11, 24697, 28, 7206, 38865, 62, 37682, 1137, 8]"
🧠 ML Signal: Accessing object properties,"[8582, 100, 254, 10373, 26484, 25, 8798, 278, 2134, 6608]",0.5,238,ml_signal,40,Accessing object properties,,208,"                        ""exchange"": ""cn"",","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 366, 1069, 3803, 1298, 366, 31522, 1600]"
