annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
⚠️ SAST Risk (Low): Modifying sys.path can lead to import conflicts or security issues if not handled carefully.,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 3401, 4035, 25064, 13, 6978, 460, 1085, 284, 1330, 12333, 393, 2324, 2428, 611, 407, 12118, 7773, 13]",1.0,6,sast_risk,11,Modifying sys.path can lead to import conflicts or security issues if not handled carefully.,Low,0,import pandas as pd,"[11748, 19798, 292, 355, 279, 67]"
🧠 ML Signal: Importing utility functions indicates a pattern of code reuse and modular design.,"[8582, 100, 254, 10373, 26484, 25, 17267, 278, 10361, 5499, 9217, 257, 3912, 286, 2438, 32349, 290, 26507, 1486, 13]",0.5,6,ml_signal,14,Importing utility functions indicates a pattern of code reuse and modular design.,,6,,[]
✅ Best Practice: Constants are defined at the class level for easy configuration and readability.,"[26486, 227, 6705, 19939, 25, 4757, 1187, 389, 5447, 379, 262, 1398, 1241, 329, 2562, 8398, 290, 1100, 1799, 13]",0.5,6,best_practice,14,Constants are defined at the class level for easy configuration and readability.,,6,,[]
✅ Best Practice: Default start datetime constants are defined for both quarterly and annual intervals.,"[26486, 227, 6705, 19939, 25, 15161, 923, 4818, 8079, 38491, 389, 5447, 329, 1111, 27868, 290, 5079, 20016, 13]",0.5,23,best_practice,16,Default start datetime constants are defined for both quarterly and annual intervals.,,6,sys.path.append(str(BASE_DIR.parent.parent)),"[17597, 13, 6978, 13, 33295, 7, 2536, 7, 33, 11159, 62, 34720, 13, 8000, 13, 8000, 4008]"
⚠️ SAST Risk (Low): Using current datetime can lead to non-deterministic behavior in tests or logs.,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 8554, 1459, 4818, 8079, 460, 1085, 284, 1729, 12, 67, 2357, 49228, 4069, 287, 5254, 393, 17259, 13]",1.0,47,sast_risk,19,Using current datetime can lead to non-deterministic behavior in tests or logs.,Low,23,"from data_collector.utils import get_hs_stock_symbols, get_calendar_list","[6738, 1366, 62, 33327, 273, 13, 26791, 1330, 651, 62, 11994, 62, 13578, 62, 1837, 2022, 10220, 11, 651, 62, 9948, 9239, 62, 4868]"
⚠️ SAST Risk (Low): Using current datetime can lead to non-deterministic behavior in tests or logs.,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 8554, 1459, 4818, 8079, 460, 1085, 284, 1729, 12, 67, 2357, 49228, 4069, 287, 5254, 393, 17259, 13]",1.0,47,sast_risk,21,Using current datetime can lead to non-deterministic behavior in tests or logs.,Low,47,,[]
✅ Best Practice: Constants for interval types improve code readability and reduce the risk of typos.,"[26486, 227, 6705, 19939, 25, 4757, 1187, 329, 16654, 3858, 2987, 2438, 1100, 1799, 290, 4646, 262, 2526, 286, 1259, 1930, 13]",0.5,47,best_practice,21,Constants for interval types improve code readability and reduce the risk of typos.,,47,,[]
✅ Best Practice: Docstring provides clear parameter descriptions and default values,"[26486, 227, 6705, 19939, 25, 14432, 8841, 3769, 1598, 11507, 16969, 290, 4277, 3815]",1.0,63,best_practice,34,Docstring provides clear parameter descriptions and default values,,47,"        start: Optional[str] = None,","[220, 220, 220, 220, 220, 220, 220, 923, 25, 32233, 58, 2536, 60, 796, 6045, 11]"
🧠 ML Signal: Usage of regex for filtering symbols,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 40364, 329, 25431, 14354]",0.5,73,ml_signal,59,Usage of regex for filtering symbols,,63,        end: str,"[220, 220, 220, 220, 220, 220, 220, 886, 25, 965]"
✅ Best Practice: Use of super() to initialize parent class,"[26486, 227, 6705, 19939, 25, 5765, 286, 2208, 3419, 284, 41216, 2560, 1398]",0.5,83,best_practice,59,Use of super() to initialize parent class,,73,        end: str,"[220, 220, 220, 220, 220, 220, 220, 886, 25, 965]"
✅ Best Practice: Logging the start of a function can help in tracing and debugging.,"[26486, 227, 6705, 19939, 25, 5972, 2667, 262, 923, 286, 257, 2163, 460, 1037, 287, 35328, 290, 28769, 13]",0.5,98,best_practice,71,Logging the start of a function can help in tracing and debugging.,,83,"            start=start,","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 923, 28, 9688, 11]"
🧠 ML Signal: Usage of a function to retrieve stock symbols indicates a pattern of data retrieval.,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 257, 2163, 284, 19818, 4283, 14354, 9217, 257, 3912, 286, 1366, 45069, 13]",0.5,114,ml_signal,73,Usage of a function to retrieve stock symbols indicates a pattern of data retrieval.,,98,"            interval=interval,","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 16654, 28, 3849, 2100, 11]"
