annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
✅ Best Practice: Ensures compatibility with future Python versions for type annotations.,"[26486, 227, 6705, 19939, 25, 48221, 942, 17764, 351, 2003, 11361, 6300, 329, 2099, 37647, 13]",1.0,7,best_practice,2,Ensures compatibility with future Python versions for type annotations.,,0,# Licensed under the MIT License.,"[2, 49962, 739, 262, 17168, 13789, 13]"
✅ Best Practice: Imports from typing module improve code readability and maintainability.,"[26486, 227, 6705, 19939, 25, 1846, 3742, 422, 19720, 8265, 2987, 2438, 1100, 1799, 290, 5529, 1799, 13]",0.5,7,best_practice,5,Imports from typing module improve code readability and maintainability.,,7,,[]
"✅ Best Practice: Importing 'final' can be used to prevent further subclassing, improving code stability.","[26486, 227, 6705, 19939, 25, 17267, 278, 705, 20311, 6, 460, 307, 973, 284, 2948, 2252, 47611, 278, 11, 10068, 2438, 10159, 13]",0.5,16,best_practice,8,"Importing 'final' can be used to prevent further subclassing, improving code stability.",,7,from qlib.typehint import final,"[6738, 10662, 8019, 13, 4906, 71, 600, 1330, 2457]"
✅ Best Practice: Explicit relative import clarifies module structure and dependencies.,"[26486, 227, 6705, 19939, 25, 11884, 3585, 1330, 10212, 6945, 8265, 4645, 290, 20086, 13]",0.5,16,best_practice,11,Explicit relative import clarifies module structure and dependencies.,,16,,[]
✅ Best Practice: TYPE_CHECKING is used to avoid circular imports and improve performance during runtime.,"[26486, 227, 6705, 19939, 25, 41876, 62, 50084, 2751, 318, 973, 284, 3368, 18620, 17944, 290, 2987, 2854, 1141, 19124, 13]",1.0,16,best_practice,15,TYPE_CHECKING is used to avoid circular imports and improve performance during runtime.,,16,,[]
"✅ Best Practice: Defines the public API of the module, improving code maintainability.","[26486, 227, 6705, 19939, 25, 2896, 1127, 262, 1171, 7824, 286, 262, 8265, 11, 10068, 2438, 5529, 1799, 13]",1.0,28,best_practice,16,"Defines the public API of the module, improving code maintainability.",,16,"__all__ = [""AuxiliaryInfoCollector""]","[834, 439, 834, 796, 14631, 32, 2821, 28129, 12360, 31337, 273, 8973]"
"✅ Best Practice: TypeVar is used for generic programming, enhancing code flexibility and reusability.","[26486, 227, 6705, 19939, 25, 5994, 19852, 318, 973, 329, 14276, 8300, 11, 27496, 2438, 13688, 290, 302, 385, 1799, 13]",0.5,40,best_practice,16,"TypeVar is used for generic programming, enhancing code flexibility and reusability.",,28,"__all__ = [""AuxiliaryInfoCollector""]","[834, 439, 834, 796, 14631, 32, 2821, 28129, 12360, 31337, 273, 8973]"
✅ Best Practice: Type hinting for class attributes improves code readability and maintainability.,"[26486, 227, 6705, 19939, 25, 5994, 9254, 278, 329, 1398, 12608, 19575, 2438, 1100, 1799, 290, 5529, 1799, 13]",1.0,40,best_practice,11,Type hinting for class attributes improves code readability and maintainability.,,40,,[]
"✅ Best Practice: Use of __call__ method makes the class instances callable, improving flexibility.","[26486, 227, 6705, 19939, 25, 5765, 286, 11593, 13345, 834, 2446, 1838, 262, 1398, 10245, 869, 540, 11, 10068, 13688, 13]",0.5,55,best_practice,13,"Use of __call__ method makes the class instances callable, improving flexibility.",,40,    from .utils.env_wrapper import EnvWrapper,"[220, 220, 220, 422, 764, 26791, 13, 24330, 62, 48553, 1330, 2039, 85, 36918, 2848]"
"🧠 ML Signal: Method delegation pattern, where __call__ delegates to another method.","[8582, 100, 254, 10373, 26484, 25, 11789, 22635, 3912, 11, 810, 11593, 13345, 834, 15265, 284, 1194, 2446, 13]",0.5,55,ml_signal,15,"Method delegation pattern, where __call__ delegates to another method.",,55,,[]
✅ Best Practice: Docstring provides clear documentation of method purpose and parameters,"[26486, 227, 6705, 19939, 25, 14432, 8841, 3769, 1598, 10314, 286, 2446, 4007, 290, 10007]",0.5,67,best_practice,16,Docstring provides clear documentation of method purpose and parameters,,55,"__all__ = [""AuxiliaryInfoCollector""]","[834, 439, 834, 796, 14631, 32, 2821, 28129, 12360, 31337, 273, 8973]"
"⚠️ SAST Risk (Low): Method raises NotImplementedError, indicating it must be overridden in subclasses","[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 11789, 12073, 1892, 3546, 1154, 12061, 12331, 11, 12739, 340, 1276, 307, 23170, 4651, 287, 850, 37724]",0.5,72,sast_risk,26,"Method raises NotImplementedError, indicating it must be overridden in subclasses",Low,67,    @final,"[220, 220, 220, 2488, 20311]"
