annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
🧠 ML Signal: Importing specific functions from a module indicates usage patterns and dependencies,"[8582, 100, 254, 10373, 26484, 25, 17267, 278, 2176, 5499, 422, 257, 8265, 9217, 8748, 7572, 290, 20086]",1.0,0,ml_signal,2,Importing specific functions from a module indicates usage patterns and dependencies,,0,,[]
🧠 ML Signal: Importing specific classes from a module indicates usage patterns and dependencies,"[8582, 100, 254, 10373, 26484, 25, 17267, 278, 2176, 6097, 422, 257, 8265, 9217, 8748, 7572, 290, 20086]",1.0,11,ml_signal,4,Importing specific classes from a module indicates usage patterns and dependencies,,0,"from zvt.domain import Index, CrossMarketSummary","[6738, 1976, 36540, 13, 27830, 1330, 12901, 11, 6372, 27470, 22093]"
🧠 ML Signal: Importing specific classes from a module indicates usage patterns and dependencies,"[8582, 100, 254, 10373, 26484, 25, 17267, 278, 2176, 6097, 422, 257, 8265, 9217, 8748, 7572, 290, 20086]",1.0,22,ml_signal,6,Importing specific classes from a module indicates usage patterns and dependencies,,11,from zvt.utils.utils import multiple_number,"[6738, 1976, 36540, 13, 26791, 13, 26791, 1330, 3294, 62, 17618]"
🧠 ML Signal: Importing specific functions from a module indicates usage patterns and dependencies,"[8582, 100, 254, 10373, 26484, 25, 17267, 278, 2176, 5499, 422, 257, 8265, 9217, 8748, 7572, 290, 20086]",1.0,22,ml_signal,8,Importing specific functions from a module indicates usage patterns and dependencies,,22,,[]
🧠 ML Signal: Importing specific functions from a module indicates usage patterns and dependencies,"[8582, 100, 254, 10373, 26484, 25, 17267, 278, 2176, 5499, 422, 257, 8265, 9217, 8748, 7572, 290, 20086]",1.0,35,ml_signal,10,Importing specific functions from a module indicates usage patterns and dependencies,,22,"    entity_provider = ""joinquant""","[220, 220, 220, 9312, 62, 15234, 1304, 796, 366, 7639, 18934, 415, 1]"
✅ Best Practice: Class attributes are defined at the top for clarity and maintainability,"[26486, 227, 6705, 19939, 25, 5016, 12608, 389, 5447, 379, 262, 1353, 329, 16287, 290, 5529, 1799]",0.5,35,best_practice,7,Class attributes are defined at the top for clarity and maintainability,,35,,[]
🧠 ML Signal: Use of a specific entity schema indicates a pattern in data handling,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 257, 2176, 9312, 32815, 9217, 257, 3912, 287, 1366, 9041]",0.5,48,ml_signal,9,Use of a specific entity schema indicates a pattern in data handling,,35,class CrossMarketSummaryRecorder(TimeSeriesDataRecorder):,"[4871, 6372, 27470, 22093, 6690, 2875, 7, 7575, 27996, 6601, 6690, 2875, 2599]"
🧠 ML Signal: Consistent use of provider name suggests a pattern in data source usage,"[8582, 100, 254, 10373, 26484, 25, 3515, 7609, 779, 286, 10131, 1438, 5644, 257, 3912, 287, 1366, 2723, 8748]",0.5,57,ml_signal,11,Consistent use of provider name suggests a pattern in data source usage,,48,    entity_schema = Index,"[220, 220, 220, 9312, 62, 15952, 2611, 796, 12901]"
🧠 ML Signal: Use of a specific data schema indicates a pattern in data handling,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 257, 2176, 1366, 32815, 9217, 257, 3912, 287, 1366, 9041]",0.5,67,ml_signal,13,Use of a specific data schema indicates a pattern in data handling,,57,"    provider = ""joinquant""","[220, 220, 220, 10131, 796, 366, 7639, 18934, 415, 1]"
✅ Best Practice: Use of default values for function parameters improves usability and flexibility.,"[26486, 227, 6705, 19939, 25, 5765, 286, 4277, 3815, 329, 2163, 10007, 19575, 42863, 290, 13688, 13]",0.5,67,best_practice,12,Use of default values for function parameters improves usability and flexibility.,,67,,[]
🧠 ML Signal: Hardcoded list of codes could indicate specific domain knowledge or usage pattern.,"[8582, 100, 254, 10373, 26484, 25, 6912, 40976, 1351, 286, 12416, 714, 7603, 2176, 7386, 3725, 393, 8748, 3912, 13]",0.5,77,ml_signal,13,Hardcoded list of codes could indicate specific domain knowledge or usage pattern.,,67,"    provider = ""joinquant""","[220, 220, 220, 10131, 796, 366, 7639, 18934, 415, 1]"
✅ Best Practice: Use of super() to call the parent class's __init__ method ensures proper initialization.,"[26486, 227, 6705, 19939, 25, 5765, 286, 2208, 3419, 284, 869, 262, 2560, 1398, 338, 11593, 15003, 834, 2446, 19047, 1774, 37588, 13]",1.0,105,best_practice,25,Use of super() to call the parent class's __init__ method ensures proper initialization.,,77,"        codes = [""310001"", ""310002"", ""310003"", ""310004""]","[220, 220, 220, 220, 220, 220, 220, 12416, 796, 14631, 18, 3064, 486, 1600, 366, 3132, 34215, 1600, 366, 3132, 830, 18, 1600, 366, 3132, 830, 19, 8973]"
🧠 ML Signal: The parameters passed to super().__init__() can indicate configuration or setup patterns.,"[8582, 100, 254, 10373, 26484, 25, 383, 10007, 3804, 284, 2208, 22446, 834, 15003, 834, 3419, 460, 7603, 8398, 393, 9058, 7572, 13]",0.5,118,ml_signal,26,The parameters passed to super().__init__() can indicate configuration or setup patterns.,,105,        super().__init__(,"[220, 220, 220, 220, 220, 220, 220, 2208, 22446, 834, 15003, 834, 7]"
