annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
✅ Best Practice: Use of type annotations for variable 'format' improves code readability and maintainability.,"[26486, 227, 6705, 19939, 25, 5765, 286, 2099, 37647, 329, 7885, 705, 18982, 6, 19575, 2438, 1100, 1799, 290, 5529, 1799, 13]",1.0,6,best_practice,16,Use of type annotations for variable 'format' improves code readability and maintainability.,,0,"    ""ERROR"",","[220, 220, 220, 366, 24908, 1600]"
🧠 ML Signal: Custom logger configuration indicates a specific logging pattern.,"[8582, 100, 254, 10373, 26484, 25, 8562, 49706, 8398, 9217, 257, 2176, 18931, 3912, 13]",0.5,28,ml_signal,26,Custom logger configuration indicates a specific logging pattern.,,6,"    ""| <cyan>{extra[gateway_name]}</cyan> ""","[220, 220, 220, 366, 91, 1279, 948, 272, 29, 90, 26086, 58, 10494, 1014, 62, 3672, 48999, 3556, 948, 272, 29, 366]"
🧠 ML Signal: Dynamic logging level configuration based on settings.,"[8582, 100, 254, 10373, 26484, 25, 26977, 18931, 1241, 8398, 1912, 319, 6460, 13]",0.5,28,ml_signal,29,Dynamic logging level configuration based on settings.,,28,,[]
🧠 ML Signal: Removing default log handlers to customize logging behavior.,"[8582, 100, 254, 10373, 26484, 25, 3982, 5165, 4277, 2604, 32847, 284, 24184, 18931, 4069, 13]",0.5,47,ml_signal,32,Removing default log handlers to customize logging behavior.,,28,"logger.configure(extra={""gateway_name"": ""Logger""})","[6404, 1362, 13, 11250, 495, 7, 26086, 28, 4895, 10494, 1014, 62, 3672, 1298, 366, 11187, 1362, 20662, 8]"
🧠 ML Signal: Conditional logging to console based on settings.,"[8582, 100, 254, 10373, 26484, 25, 9724, 1859, 18931, 284, 8624, 1912, 319, 6460, 13]",1.0,66,ml_signal,32,Conditional logging to console based on settings.,,47,"logger.configure(extra={""gateway_name"": ""Logger""})","[6404, 1362, 13, 11250, 495, 7, 26086, 28, 4895, 10494, 1014, 62, 3672, 1298, 366, 11187, 1362, 20662, 8]"
⚠️ SAST Risk (Low): Potential exposure of sensitive information if logging to console in production.,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 32480, 7111, 286, 8564, 1321, 611, 18931, 284, 8624, 287, 3227, 13]",0.5,85,sast_risk,32,Potential exposure of sensitive information if logging to console in production.,Low,66,"logger.configure(extra={""gateway_name"": ""Logger""})","[6404, 1362, 13, 11250, 495, 7, 26086, 28, 4895, 10494, 1014, 62, 3672, 1298, 366, 11187, 1362, 20662, 8]"
🧠 ML Signal: Conditional logging to file based on settings.,"[8582, 100, 254, 10373, 26484, 25, 9724, 1859, 18931, 284, 2393, 1912, 319, 6460, 13]",1.0,104,ml_signal,32,Conditional logging to file based on settings.,,85,"logger.configure(extra={""gateway_name"": ""Logger""})","[6404, 1362, 13, 11250, 495, 7, 26086, 28, 4895, 10494, 1014, 62, 3672, 1298, 366, 11187, 1362, 20662, 8]"
✅ Best Practice: Use of type annotations for variable 'today_date' improves code readability and maintainability.,"[26486, 227, 6705, 19939, 25, 5765, 286, 2099, 37647, 329, 7885, 705, 40838, 62, 4475, 6, 19575, 2438, 1100, 1799, 290, 5529, 1799, 13]",1.0,123,best_practice,32,Use of type annotations for variable 'today_date' improves code readability and maintainability.,,104,"logger.configure(extra={""gateway_name"": ""Logger""})","[6404, 1362, 13, 11250, 495, 7, 26086, 28, 4895, 10494, 1014, 62, 3672, 1298, 366, 11187, 1362, 20662, 8]"
✅ Best Practice: Use of type annotations for variable 'filename' improves code readability and maintainability.,"[26486, 227, 6705, 19939, 25, 5765, 286, 2099, 37647, 329, 7885, 705, 34345, 6, 19575, 2438, 1100, 1799, 290, 5529, 1799, 13]",1.0,142,best_practice,32,Use of type annotations for variable 'filename' improves code readability and maintainability.,,123,"logger.configure(extra={""gateway_name"": ""Logger""})","[6404, 1362, 13, 11250, 495, 7, 26086, 28, 4895, 10494, 1014, 62, 3672, 1298, 366, 11187, 1362, 20662, 8]"
✅ Best Practice: Use of type annotations for variable 'log_path' improves code readability and maintainability.,"[26486, 227, 6705, 19939, 25, 5765, 286, 2099, 37647, 329, 7885, 705, 6404, 62, 6978, 6, 19575, 2438, 1100, 1799, 290, 5529, 1799, 13]",1.0,161,best_practice,32,Use of type annotations for variable 'log_path' improves code readability and maintainability.,,142,"logger.configure(extra={""gateway_name"": ""Logger""})","[6404, 1362, 13, 11250, 495, 7, 26086, 28, 4895, 10494, 1014, 62, 3672, 1298, 366, 11187, 1362, 20662, 8]"
✅ Best Practice: Use of type annotations for variable 'file_path' improves code readability and maintainability.,"[26486, 227, 6705, 19939, 25, 5765, 286, 2099, 37647, 329, 7885, 705, 7753, 62, 6978, 6, 19575, 2438, 1100, 1799, 290, 5529, 1799, 13]",1.0,180,best_practice,32,Use of type annotations for variable 'file_path' improves code readability and maintainability.,,161,"logger.configure(extra={""gateway_name"": ""Logger""})","[6404, 1362, 13, 11250, 495, 7, 26086, 28, 4895, 10494, 1014, 62, 3672, 1298, 366, 11187, 1362, 20662, 8]"
⚠️ SAST Risk (Low): Ensure proper file permissions to prevent unauthorized access to log files.,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 48987, 1774, 2393, 21627, 284, 2948, 22959, 1895, 284, 2604, 3696, 13]",0.5,199,sast_risk,32,Ensure proper file permissions to prevent unauthorized access to log files.,Low,180,"logger.configure(extra={""gateway_name"": ""Logger""})","[6404, 1362, 13, 11250, 495, 7, 26086, 28, 4895, 10494, 1014, 62, 3672, 1298, 366, 11187, 1362, 20662, 8]"
