annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
⚠️ SAST Risk (Low): Modifying sys.path can lead to import conflicts or security issues if not handled carefully.,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 3401, 4035, 25064, 13, 6978, 460, 1085, 284, 1330, 12333, 393, 2324, 2428, 611, 407, 12118, 7773, 13]",1.0,6,sast_risk,13,Modifying sys.path can lead to import conflicts or security issues if not handled carefully.,Low,0,import pandas as pd,"[11748, 19798, 292, 355, 279, 67]"
⚠️ SAST Risk (Low): Hardcoded URLs can lead to security risks if the URL changes or is compromised.,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 6912, 40976, 32336, 460, 1085, 284, 2324, 7476, 611, 262, 10289, 2458, 393, 318, 19066, 13]",0.5,21,sast_risk,18,Hardcoded URLs can lead to security risks if the URL changes or is compromised.,Low,6,CUR_DIR = Path(__file__).resolve().parent,"[34, 4261, 62, 34720, 796, 10644, 7, 834, 7753, 834, 737, 411, 6442, 22446, 8000]"
"🧠 ML Signal: Dictionary mapping for index names to URLs, useful for pattern recognition in ML models.","[8582, 100, 254, 10373, 26484, 25, 28261, 16855, 329, 6376, 3891, 284, 32336, 11, 4465, 329, 3912, 9465, 287, 10373, 4981, 13]",0.5,36,ml_signal,18,"Dictionary mapping for index names to URLs, useful for pattern recognition in ML models.",,21,CUR_DIR = Path(__file__).resolve().parent,"[34, 4261, 62, 34720, 796, 10644, 7, 834, 7753, 834, 737, 411, 6442, 22446, 8000]"
✅ Best Practice: Class names should follow the CapWords convention for readability.,"[26486, 227, 6705, 19939, 25, 5016, 3891, 815, 1061, 262, 4476, 37117, 9831, 329, 1100, 1799, 13]",1.0,36,best_practice,24,Class names should follow the CapWords convention for readability.,,36,,[]
✅ Best Practice: Class variables should be documented or initialized with meaningful default values.,"[26486, 227, 6705, 19939, 25, 5016, 9633, 815, 307, 12395, 393, 23224, 351, 11570, 4277, 3815, 13]",1.0,53,best_practice,26,Class variables should be documented or initialized with meaningful default values.,,36,"WIKI_URL = ""https://en.wikipedia.org/wiki""","[54, 18694, 40, 62, 21886, 796, 366, 5450, 1378, 268, 13, 31266, 13, 2398, 14, 15466, 1]"
✅ Best Practice: Call to super() ensures proper initialization of the base class,"[26486, 227, 6705, 19939, 25, 4889, 284, 2208, 3419, 19047, 1774, 37588, 286, 262, 2779, 1398]",0.5,53,best_practice,34,Call to super() ensures proper initialization of the base class,,53,,[]
🧠 ML Signal: Use of f-string for URL construction,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 277, 12, 8841, 329, 10289, 5103]",0.5,83,ml_signal,37,Use of f-string for URL construction,,53,"    # NOTE: The US stock code contains ""PRN"", and the directory cannot be created on Windows system, use the ""_"" prefix","[220, 220, 220, 1303, 24550, 25, 383, 1294, 4283, 2438, 4909, 366, 4805, 45, 1600, 290, 262, 8619, 2314, 307, 2727, 319, 3964, 1080, 11, 779, 262, 45434, 1, 21231]"
✅ Best Practice: Use of @property decorator for defining a read-only attribute,"[26486, 227, 6705, 19939, 25, 5765, 286, 2488, 26745, 11705, 1352, 329, 16215, 257, 1100, 12, 8807, 11688]",0.5,91,best_practice,41,Use of @property decorator for defining a read-only attribute,,83,    def __init__(,"[220, 220, 220, 825, 11593, 15003, 834, 7]"
✅ Best Practice: Include type hints for return values to improve code readability and maintainability,"[26486, 227, 6705, 19939, 25, 40348, 2099, 20269, 329, 1441, 3815, 284, 2987, 2438, 1100, 1799, 290, 5529, 1799]",0.5,99,best_practice,41,Include type hints for return values to improve code readability and maintainability,,91,    def __init__(,"[220, 220, 220, 825, 11593, 15003, 834, 7]"
⚠️ SAST Risk (Low): Using NotImplementedError without implementation can lead to runtime errors if not properly handled,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 8554, 1892, 3546, 1154, 12061, 12331, 1231, 7822, 460, 1085, 284, 19124, 8563, 611, 407, 6105, 12118]",0.5,103,sast_risk,48,Using NotImplementedError without implementation can lead to runtime errors if not properly handled,Low,99,    ):,"[220, 220, 220, 15179]"
