annotation,annotation_tokens,confidence,end_token,label,line,reason,start_token,text,tokens
✅ Best Practice: Grouping imports from the same module together improves readability.,"[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 422, 262, 976, 8265, 1978, 19575, 1100, 1799, 13]",1.0,0,best_practice,2,Grouping imports from the same module together improves readability.,0,,[]
✅ Best Practice: Grouping imports from the same module together improves readability.,"[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 422, 262, 976, 8265, 1978, 19575, 1100, 1799, 13]",1.0,11,best_practice,4,Grouping imports from the same module together improves readability.,0,from zvt.contract.recorder import Recorder,"[6738, 1976, 36540, 13, 28484, 13, 8344, 2875, 1330, 3311, 2875]"
✅ Best Practice: Grouping imports from the same module together improves readability.,"[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 422, 262, 976, 8265, 1978, 19575, 1100, 1799, 13]",1.0,23,best_practice,6,Grouping imports from the same module together improves readability.,11,from zvt.recorders.em import em_api,"[6738, 1976, 36540, 13, 8344, 6361, 13, 368, 1330, 795, 62, 15042]"
"✅ Best Practice: Class definition should follow PEP 8 naming conventions, using CamelCase for class names.","[26486, 227, 6705, 19939, 25, 5016, 6770, 815, 1061, 350, 8905, 807, 19264, 21396, 11, 1262, 43281, 20448, 329, 1398, 3891, 13]",1.0,40,best_practice,5,"Class definition should follow PEP 8 naming conventions, using CamelCase for class names.",23,from zvt.domain.meta.stockhk_meta import Stockhk,"[6738, 1976, 36540, 13, 27830, 13, 28961, 13, 13578, 71, 74, 62, 28961, 1330, 10500, 71, 74]"
✅ Best Practice: Class attributes should be defined at the top of the class for better readability.,"[26486, 227, 6705, 19939, 25, 5016, 12608, 815, 307, 5447, 379, 262, 1353, 286, 262, 1398, 329, 1365, 1100, 1799, 13]",1.0,40,best_practice,7,Class attributes should be defined at the top of the class for better readability.,40,,[]
✅ Best Practice: Class attributes should be defined at the top of the class for better readability.,"[26486, 227, 6705, 19939, 25, 5016, 12608, 815, 307, 5447, 379, 262, 1353, 286, 262, 1398, 329, 1365, 1100, 1799, 13]",1.0,51,best_practice,9,Class attributes should be defined at the top of the class for better readability.,40,class EMStockhkRecorder(Recorder):,"[4871, 17228, 26207, 71, 74, 6690, 2875, 7, 6690, 2875, 2599]"
🧠 ML Signal: Usage of external API to fetch data,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 7097, 7824, 284, 21207, 1366]",1.0,62,ml_signal,9,Usage of external API to fetch data,51,class EMStockhkRecorder(Recorder):,"[4871, 17228, 26207, 71, 74, 6690, 2875, 7, 6690, 2875, 2599]"
✅ Best Practice: Setting index for DataFrame for efficient data manipulation,"[26486, 227, 6705, 19939, 25, 25700, 6376, 329, 6060, 19778, 329, 6942, 1366, 17512]",1.0,73,best_practice,11,Setting index for DataFrame for efficient data manipulation,62,    data_schema = Stockhk,"[220, 220, 220, 1366, 62, 15952, 2611, 796, 10500, 71, 74]"
✅ Best Practice: Adding a new column to DataFrame to indicate a specific attribute,"[26486, 227, 6705, 19939, 25, 18247, 257, 649, 5721, 284, 6060, 19778, 284, 7603, 257, 2176, 11688]",0.5,81,best_practice,13,Adding a new column to DataFrame to indicate a specific attribute,73,    def run(self):,"[220, 220, 220, 825, 1057, 7, 944, 2599]"
🧠 ML Signal: Usage of external API to fetch data,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 7097, 7824, 284, 21207, 1366]",1.0,106,ml_signal,15,Usage of external API to fetch data,81,"        df_south = df_south.set_index(""code"", drop=False)","[220, 220, 220, 220, 220, 220, 220, 47764, 62, 35782, 796, 47764, 62, 35782, 13, 2617, 62, 9630, 7203, 8189, 1600, 4268, 28, 25101, 8]"
