annotation,annotation_tokens,confidence,end_token,label,line,reason,start_token,text,tokens
🧠 ML Signal: Importing specific functions or classes indicates usage patterns and dependencies,"[8582, 100, 254, 10373, 26484, 25, 17267, 278, 2176, 5499, 393, 6097, 9217, 8748, 7572, 290, 20086]",0.5,0,ml_signal,2,Importing specific functions or classes indicates usage patterns and dependencies,0,,[]
✅ Best Practice: Grouping imports from the same module together improves readability,"[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 422, 262, 976, 8265, 1978, 19575, 1100, 1799]",1.0,13,best_practice,3,Grouping imports from the same module together improves readability,0,from zvt.contract.api import df_to_db,"[6738, 1976, 36540, 13, 28484, 13, 15042, 1330, 47764, 62, 1462, 62, 9945]"
🧠 ML Signal: Importing specific functions or classes indicates usage patterns and dependencies,"[8582, 100, 254, 10373, 26484, 25, 17267, 278, 2176, 5499, 393, 6097, 9217, 8748, 7572, 290, 20086]",0.5,25,ml_signal,6,Importing specific functions or classes indicates usage patterns and dependencies,13,from zvt.recorders.em import em_api,"[6738, 1976, 36540, 13, 8344, 6361, 13, 368, 1330, 795, 62, 15042]"
✅ Best Practice: Grouping imports from the same module together improves readability,"[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 422, 262, 976, 8265, 1978, 19575, 1100, 1799]",1.0,25,best_practice,7,Grouping imports from the same module together improves readability,25,,[]
🧠 ML Signal: Importing specific functions or classes indicates usage patterns and dependencies,"[8582, 100, 254, 10373, 26484, 25, 17267, 278, 2176, 5499, 393, 6097, 9217, 8748, 7572, 290, 20086]",0.5,33,ml_signal,10,Importing specific functions or classes indicates usage patterns and dependencies,25,"    provider = ""em""","[220, 220, 220, 10131, 796, 366, 368, 1]"
✅ Best Practice: Grouping imports from the same module together improves readability,"[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 422, 262, 976, 8265, 1978, 19575, 1100, 1799]",1.0,42,best_practice,11,Grouping imports from the same module together improves readability,33,    data_schema = Index,"[220, 220, 220, 1366, 62, 15952, 2611, 796, 12901]"
🧠 ML Signal: Importing specific functions or classes indicates usage patterns and dependencies,"[8582, 100, 254, 10373, 26484, 25, 17267, 278, 2176, 5499, 393, 6097, 9217, 8748, 7572, 290, 20086]",0.5,69,ml_signal,14,Importing specific functions or classes indicates usage patterns and dependencies,42,"        df = em_api.get_tradable_list(entity_type=""index"")","[220, 220, 220, 220, 220, 220, 220, 47764, 796, 795, 62, 15042, 13, 1136, 62, 2213, 324, 540, 62, 4868, 7, 26858, 62, 4906, 2625, 9630, 4943]"
✅ Best Practice: Grouping imports from the same module together improves readability,"[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 422, 262, 976, 8265, 1978, 19575, 1100, 1799]",1.0,85,best_practice,15,Grouping imports from the same module together improves readability,69,        self.logger.info(df),"[220, 220, 220, 220, 220, 220, 220, 2116, 13, 6404, 1362, 13, 10951, 7, 7568, 8]"
✅ Best Practice: Class definition should include a docstring to describe its purpose and usage.,"[26486, 227, 6705, 19939, 25, 5016, 6770, 815, 2291, 257, 2205, 8841, 284, 6901, 663, 4007, 290, 8748, 13]",0.5,92,best_practice,5,Class definition should include a docstring to describe its purpose and usage.,85,from zvt.domain import Index,"[6738, 1976, 36540, 13, 27830, 1330, 12901]"
✅ Best Practice: Class attributes should be documented to explain their purpose.,"[26486, 227, 6705, 19939, 25, 5016, 12608, 815, 307, 12395, 284, 4727, 511, 4007, 13]",1.0,92,best_practice,7,Class attributes should be documented to explain their purpose.,92,,[]
