annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
"✅ Best Practice: Grouping imports into standard library, third-party, and local can improve readability.","[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 656, 3210, 5888, 11, 2368, 12, 10608, 11, 290, 1957, 460, 2987, 1100, 1799, 13]",1.0,0,best_practice,3,"Grouping imports into standard library, third-party, and local can improve readability.",,0,,[]
🧠 ML Signal: Inheritance from TimestampsDataRecorder indicates a pattern of extending functionality,"[8582, 100, 254, 10373, 26484, 25, 47025, 42942, 422, 5045, 395, 9430, 6601, 6690, 2875, 9217, 257, 3912, 286, 16610, 11244]",0.5,26,ml_signal,12,Inheritance from TimestampsDataRecorder indicates a pattern of extending functionality,,0,"from zvt.recorders.em.em_api import get_holder_report_dates, get_free_holders","[6738, 1976, 36540, 13, 8344, 6361, 13, 368, 13, 368, 62, 15042, 1330, 651, 62, 13829, 62, 13116, 62, 19581, 11, 651, 62, 5787, 62, 10476]"
🧠 ML Signal: Use of class-level attributes for configuration,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 1398, 12, 5715, 12608, 329, 8398]",0.5,26,ml_signal,14,Use of class-level attributes for configuration,,26,,[]
🧠 ML Signal: Use of class-level attributes for configuration,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 1398, 12, 5715, 12608, 329, 8398]",0.5,42,ml_signal,16,Use of class-level attributes for configuration,,26,class EMStockTopTenFreeRecorder(TimestampsDataRecorder):,"[4871, 17228, 26207, 9126, 24893, 11146, 6690, 2875, 7, 14967, 395, 9430, 6601, 6690, 2875, 2599]"
🧠 ML Signal: Use of class-level attributes for configuration,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 1398, 12, 5715, 12608, 329, 8398]",0.5,51,ml_signal,18,Use of class-level attributes for configuration,,42,    entity_schema = Stock,"[220, 220, 220, 9312, 62, 15952, 2611, 796, 10500]"
🧠 ML Signal: Use of class-level attributes for configuration,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 1398, 12, 5715, 12608, 329, 8398]",0.5,59,ml_signal,20,Use of class-level attributes for configuration,,51,"    provider = ""em""","[220, 220, 220, 10131, 796, 366, 368, 1]"
✅ Best Practice: Consider adding type hints for the entity_item parameter for better code clarity.,"[26486, 227, 6705, 19939, 25, 12642, 4375, 2099, 20269, 329, 262, 9312, 62, 9186, 11507, 329, 1365, 2438, 16287, 13]",0.5,70,best_practice,17,Consider adding type hints for the entity_item parameter for better code clarity.,,59,"    entity_provider = ""em""","[220, 220, 220, 9312, 62, 15234, 1304, 796, 366, 368, 1]"
🧠 ML Signal: Checking if a result is truthy before processing is a common pattern.,"[8582, 100, 254, 10373, 26484, 25, 39432, 611, 257, 1255, 318, 3872, 88, 878, 7587, 318, 257, 2219, 3912, 13]",0.5,70,ml_signal,19,Checking if a result is truthy before processing is a common pattern.,,70,,[]
🧠 ML Signal: List comprehension is a common pattern for transforming lists.,"[8582, 100, 254, 10373, 26484, 25, 7343, 35915, 318, 257, 2219, 3912, 329, 25449, 8341, 13]",0.5,84,ml_signal,21,List comprehension is a common pattern for transforming lists.,,70,    data_schema = StockTopTenFreeHolder,"[220, 220, 220, 1366, 62, 15952, 2611, 796, 10500, 9126, 24893, 11146, 39, 19892]"
"⚠️ SAST Risk (Low): Ensure that item[""END_DATE""] exists and is of the expected format to avoid runtime errors.","[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 48987, 326, 2378, 14692, 10619, 62, 35, 6158, 8973, 7160, 290, 318, 286, 262, 2938, 5794, 284, 3368, 19124, 8563, 13]",0.5,84,sast_risk,22,"Ensure that item[""END_DATE""] exists and is of the expected format to avoid runtime errors.",Low,84,,[]
