annotation,annotation_tokens,confidence,end_token,label,line,reason,start_token,text,tokens
✅ Best Practice: Importing specific items from a module using '*' can lead to namespace pollution and make it unclear which items are being used.,"[26486, 227, 6705, 19939, 25, 17267, 278, 2176, 3709, 422, 257, 8265, 1262, 705, 9, 6, 460, 1085, 284, 25745, 12231, 290, 787, 340, 10061, 543, 3709, 389, 852, 973, 13]",0.5,0,best_practice,2,Importing specific items from a module using '*' can lead to namespace pollution and make it unclear which items are being used.,0,,[]
🧠 ML Signal: Usage of __all__ to manage exports can indicate module design patterns.,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 11593, 439, 834, 284, 6687, 15319, 460, 7603, 8265, 1486, 7572, 13]",0.5,7,ml_signal,4,Usage of __all__ to manage exports can indicate module design patterns.,0,# the __all__ is generated,"[2, 262, 11593, 439, 834, 318, 7560]"
✅ Best Practice: Importing specific items from a module using '*' can lead to namespace pollution and make it unclear which items are being used.,"[26486, 227, 6705, 19939, 25, 17267, 278, 2176, 3709, 422, 257, 8265, 1262, 705, 9, 6, 460, 1085, 284, 25745, 12231, 290, 787, 340, 10061, 543, 3709, 389, 852, 973, 13]",0.5,15,best_practice,7,Importing specific items from a module using '*' can lead to namespace pollution and make it unclear which items are being used.,7,# __init__.py structure:,"[2, 11593, 15003, 834, 13, 9078, 4645, 25]"
🧠 ML Signal: Usage of __all__ to manage exports can indicate module design patterns.,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 11593, 439, 834, 284, 6687, 15319, 460, 7603, 8265, 1486, 7572, 13]",0.5,31,ml_signal,9,Usage of __all__ to manage exports can indicate module design patterns.,15,# export interface in __all__ which contains __all__ of its sub modules,"[2, 10784, 7071, 287, 11593, 439, 834, 543, 4909, 11593, 439, 834, 286, 663, 850, 13103]"
✅ Best Practice: Importing specific items from a module using '*' can lead to namespace pollution and make it unclear which items are being used.,"[26486, 227, 6705, 19939, 25, 17267, 278, 2176, 3709, 422, 257, 8265, 1262, 705, 9, 6, 460, 1085, 284, 25745, 12231, 290, 787, 340, 10061, 543, 3709, 389, 852, 973, 13]",0.5,45,best_practice,12,Importing specific items from a module using '*' can lead to namespace pollution and make it unclear which items are being used.,31,from .eastmoney_finance_factor_recorder import *,"[6738, 764, 23316, 26316, 62, 69, 14149, 62, 31412, 62, 8344, 2875, 1330, 1635]"
🧠 ML Signal: Usage of __all__ to manage exports can indicate module design patterns.,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 11593, 439, 834, 284, 6687, 15319, 460, 7603, 8265, 1486, 7572, 13]",0.5,45,ml_signal,14,Usage of __all__ to manage exports can indicate module design patterns.,45,,[]
✅ Best Practice: Importing specific items from a module using '*' can lead to namespace pollution and make it unclear which items are being used.,"[26486, 227, 6705, 19939, 25, 17267, 278, 2176, 3709, 422, 257, 8265, 1262, 705, 9, 6, 460, 1085, 284, 25745, 12231, 290, 787, 340, 10061, 543, 3709, 389, 852, 973, 13]",0.5,45,best_practice,16,Importing specific items from a module using '*' can lead to namespace pollution and make it unclear which items are being used.,45,,[]
🧠 ML Signal: Usage of __all__ to manage exports can indicate module design patterns.,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 11593, 439, 834, 284, 6687, 15319, 460, 7603, 8265, 1486, 7572, 13]",0.5,45,ml_signal,16,Usage of __all__ to manage exports can indicate module design patterns.,45,,[]
✅ Best Practice: Importing specific items from a module using '*' can lead to namespace pollution and make it unclear which items are being used.,"[26486, 227, 6705, 19939, 25, 17267, 278, 2176, 3709, 422, 257, 8265, 1262, 705, 9, 6, 460, 1085, 284, 25745, 12231, 290, 787, 340, 10061, 543, 3709, 389, 852, 973, 13]",0.5,45,best_practice,16,Importing specific items from a module using '*' can lead to namespace pollution and make it unclear which items are being used.,45,,[]
🧠 ML Signal: Usage of __all__ to manage exports can indicate module design patterns.,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 11593, 439, 834, 284, 6687, 15319, 460, 7603, 8265, 1486, 7572, 13]",0.5,45,ml_signal,16,Usage of __all__ to manage exports can indicate module design patterns.,45,,[]
