annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
✅ Best Practice: Use of lru_cache to optimize repeated function calls by caching results.,"[26486, 227, 6705, 19939, 25, 5765, 286, 300, 622, 62, 23870, 284, 27183, 5100, 2163, 3848, 416, 40918, 2482, 13]",1.0,0,best_practice,11,Use of lru_cache to optimize repeated function calls by caching results.,,0,,[]
✅ Best Practice: Use of pathlib for file path operations improves code readability and maintainability.,"[26486, 227, 6705, 19939, 25, 5765, 286, 3108, 8019, 329, 2393, 3108, 4560, 19575, 2438, 1100, 1799, 290, 5529, 1799, 13]",0.5,27,best_practice,13,Use of pathlib for file path operations improves code readability and maintainability.,,0,See `PEP 574 <https://peps.python.org/pep-0574/>`__ for details.,"[6214, 4600, 47, 8905, 642, 4524, 1279, 5450, 1378, 431, 862, 13, 29412, 13, 2398, 14, 431, 79, 12, 2713, 4524, 15913, 63, 834, 329, 3307, 13]"
✅ Best Practice: Use of Literal for type hinting improves code readability and reduces errors.,"[26486, 227, 6705, 19939, 25, 5765, 286, 25659, 1691, 329, 2099, 9254, 278, 19575, 2438, 1100, 1799, 290, 12850, 8563, 13]",0.5,36,best_practice,22,Use of Literal for type hinting improves code readability and reduces errors.,,27,from functools import lru_cache,"[6738, 1257, 310, 10141, 1330, 300, 622, 62, 23870]"
✅ Best Practice: Consider using a more descriptive function name for clarity,"[26486, 227, 6705, 19939, 25, 12642, 1262, 257, 517, 35644, 2163, 1438, 329, 16287]",0.5,41,best_practice,27,Consider using a more descriptive function name for clarity,,36,import numpy as np,"[11748, 299, 32152, 355, 45941]"
✅ Best Practice: Use consistent ordering of return statements for readability,"[26486, 227, 6705, 19939, 25, 5765, 6414, 16216, 286, 1441, 6299, 329, 1100, 1799]",0.5,50,best_practice,29,Use consistent ordering of return statements for readability,,41,from cachetools.keys import hashkey,"[6738, 40428, 3202, 10141, 13, 13083, 1330, 12234, 2539]"
✅ Best Practice: Use consistent ordering of return statements for readability,"[26486, 227, 6705, 19939, 25, 5765, 6414, 16216, 286, 1441, 6299, 329, 1100, 1799]",0.5,64,best_practice,49,Use consistent ordering of return statements for readability,,50,"            ""$close"",","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 17971, 19836, 1600]"
✅ Best Practice: Use consistent ordering of return statements for readability,"[26486, 227, 6705, 19939, 25, 5765, 6414, 16216, 286, 1441, 6299, 329, 1100, 1799]",0.5,78,best_practice,52,Use consistent ordering of return statements for readability,,64,"            ""$ask"",","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 17971, 2093, 1600]"
⚠️ SAST Risk (Low): Potential information disclosure if the exception message is exposed to users,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 32480, 1321, 13019, 611, 262, 6631, 3275, 318, 7362, 284, 2985]",0.5,94,sast_risk,55,Potential information disclosure if the exception message is exposed to users,Low,78,"            ""$bidV1"",","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 17971, 14065, 53, 16, 1600]"
✅ Best Practice: Use of lru_cache to cache results and improve performance for repeated calls,"[26486, 227, 6705, 19939, 25, 5765, 286, 300, 622, 62, 23870, 284, 12940, 2482, 290, 2987, 2854, 329, 5100, 3848]",1.0,108,best_practice,52,Use of lru_cache to cache results and improve performance for repeated calls,,94,"            ""$ask"",","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 17971, 2093, 1600]"
🧠 ML Signal: Checking for file existence is a common pattern in file handling,"[8582, 100, 254, 10373, 26484, 25, 39432, 329, 2393, 6224, 318, 257, 2219, 3912, 287, 2393, 9041]",0.5,123,ml_signal,58,Checking for file existence is a common pattern in file handling,,108,"            ""$askV"",","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 17971, 2093, 53, 1600]"
⚠️ SAST Risk (Low): Raising a generic FileNotFoundError without logging the error,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 7567, 1710, 257, 14276, 9220, 3673, 21077, 12331, 1231, 18931, 262, 4049]",1.0,139,sast_risk,61,Raising a generic FileNotFoundError without logging the error,Low,123,"            ""$askV5"",","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 17971, 2093, 53, 20, 1600]"
⚠️ SAST Risk (Low): Raising a generic ValueError without logging the error,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 7567, 1710, 257, 14276, 11052, 12331, 1231, 18931, 262, 4049]",1.0,147,sast_risk,63,Raising a generic ValueError without logging the error,Low,139,    if shape == 6:,"[220, 220, 220, 611, 5485, 6624, 718, 25]"
