annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
"✅ Best Practice: Group imports into standard library, third-party, and local sections","[26486, 227, 6705, 19939, 25, 4912, 17944, 656, 3210, 5888, 11, 2368, 12, 10608, 11, 290, 1957, 9004]",0.5,6,best_practice,9,"Group imports into standard library, third-party, and local sections",,0,from __future__ import division,"[6738, 11593, 37443, 834, 1330, 7297]"
"✅ Best Practice: Group imports into standard library, third-party, and local sections","[26486, 227, 6705, 19939, 25, 4912, 17944, 656, 3210, 5888, 11, 2368, 12, 10608, 11, 290, 1957, 9004]",0.5,12,best_practice,12,"Group imports into standard library, third-party, and local sections",,6,import pandas as pd,"[11748, 19798, 292, 355, 279, 67]"
"✅ Best Practice: Group imports into standard library, third-party, and local sections","[26486, 227, 6705, 19939, 25, 4912, 17944, 656, 3210, 5888, 11, 2368, 12, 10608, 11, 290, 1957, 9004]",0.5,23,best_practice,21,"Group imports into standard library, third-party, and local sections",,12,from tushare.util.netbase import Client,"[6738, 256, 1530, 533, 13, 22602, 13, 3262, 8692, 1330, 20985]"
✅ Best Practice: Handle both Python 2 and 3 imports for compatibility,"[26486, 227, 6705, 19939, 25, 33141, 1111, 11361, 362, 290, 513, 17944, 329, 17764]",0.5,36,best_practice,25,Handle both Python 2 and 3 imports for compatibility,,23,"    from urllib2 import urlopen, Request","[220, 220, 220, 422, 2956, 297, 571, 17, 1330, 19016, 9654, 11, 19390]"
✅ Best Practice: Handle both Python 2 and 3 imports for compatibility,"[26486, 227, 6705, 19939, 25, 33141, 1111, 11361, 362, 290, 513, 17944, 329, 17764]",0.5,36,best_practice,27,Handle both Python 2 and 3 imports for compatibility,,36,,[]
✅ Best Practice: Consider using a constant or configuration for the default value 'all',"[26486, 227, 6705, 19939, 25, 12642, 1262, 257, 6937, 393, 8398, 329, 262, 4277, 1988, 705, 439, 6]",0.5,51,best_practice,47,Consider using a constant or configuration for the default value 'all',,36,    report_date:公布日期,"[220, 220, 220, 989, 62, 4475, 25, 17739, 105, 30585, 225, 33768, 98, 17312, 253]"
🧠 ML Signal: Usage of a custom function to write headers,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 257, 2183, 2163, 284, 3551, 24697]",0.5,85,ml_signal,49,Usage of a custom function to write headers,,51,    shares:转增和送股数（每10股）,"[220, 220, 220, 7303, 25, 164, 121, 105, 161, 95, 252, 161, 240, 234, 34460, 223, 164, 224, 94, 46763, 108, 171, 120, 230, 162, 107, 237, 940, 164, 224, 94, 171, 120, 231]"
🧠 ML Signal: Custom function call with retry and pause parameters,"[8582, 100, 254, 10373, 26484, 25, 8562, 2163, 869, 351, 1005, 563, 290, 14985, 10007]",0.5,89,ml_signal,51,Custom function call with retry and pause parameters,,85,    ,"[220, 220, 220, 220]"
🧠 ML Signal: Appending data to a DataFrame in a loop,"[8582, 100, 254, 10373, 26484, 25, 2034, 1571, 1366, 284, 257, 6060, 19778, 287, 257, 9052]",0.5,117,ml_signal,54,Appending data to a DataFrame in a loop,,89,"        df, pages = _dist_cotent(year, 0, retry_count, pause)","[220, 220, 220, 220, 220, 220, 220, 47764, 11, 5468, 796, 4808, 17080, 62, 25557, 298, 7, 1941, 11, 657, 11, 1005, 563, 62, 9127, 11, 14985, 8]"
🧠 ML Signal: Conditional logic based on the 'top' parameter,"[8582, 100, 254, 10373, 26484, 25, 9724, 1859, 9156, 1912, 319, 262, 705, 4852, 6, 11507]",0.5,126,ml_signal,59,Conditional logic based on the 'top' parameter,,117,    elif top <= 25:,"[220, 220, 220, 1288, 361, 1353, 19841, 1679, 25]"
