annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
✅ Best Practice: Use a list to store extensions for better readability and maintainability,"[26486, 227, 6705, 19939, 25, 5765, 257, 1351, 284, 3650, 18366, 329, 1365, 1100, 1799, 290, 5529, 1799]",1.0,0,best_practice,4,Use a list to store extensions for better readability and maintainability,,0,,[]
✅ Best Practice: Use a list to store template paths for better readability and maintainability,"[26486, 227, 6705, 19939, 25, 5765, 257, 1351, 284, 3650, 11055, 13532, 329, 1365, 1100, 1799, 290, 5529, 1799]",1.0,12,best_practice,11,Use a list to store template paths for better readability and maintainability,,0,# Note that not all possible configuration values are present in this,"[2, 5740, 326, 407, 477, 1744, 8398, 3815, 389, 1944, 287, 428]"
⚠️ SAST Risk (Low): Potential for exception if 'pyqlib' is not installed,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 32480, 329, 6631, 611, 705, 9078, 80, 8019, 6, 318, 407, 6589]",0.5,29,sast_risk,18,Potential for exception if 'pyqlib' is not installed,Low,12,# add these directories to sys.path here. If the directory is relative to the,"[2, 751, 777, 29196, 284, 25064, 13, 6978, 994, 13, 1002, 262, 8619, 318, 3585, 284, 262]"
⚠️ SAST Risk (Low): Potential for exception if 'pyqlib' is not installed,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 32480, 329, 6631, 611, 705, 9078, 80, 8019, 6, 318, 407, 6589]",0.5,30,sast_risk,20,Potential for exception if 'pyqlib' is not installed,Low,29,#,[2]
✅ Best Practice: Use a list to store exclude patterns for better readability and maintainability,"[26486, 227, 6705, 19939, 25, 5765, 257, 1351, 284, 3650, 19607, 7572, 329, 1365, 1100, 1799, 290, 5529, 1799]",1.0,30,best_practice,23,Use a list to store exclude patterns for better readability and maintainability,,30,,[]
"⚠️ SAST Risk (Low): Redundant assignment, 'todo_include_todos' is set twice","[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 2297, 917, 415, 16237, 11, 705, 83, 24313, 62, 17256, 62, 83, 375, 418, 6, 318, 900, 5403]",1.0,36,sast_risk,27,"Redundant assignment, 'todo_include_todos' is set twice",Low,30,# -- General configuration ------------------------------------------------,"[2, 1377, 3611, 8398, 20368, 1783]"
✅ Best Practice: Use a dictionary to store theme options for better readability and maintainability,"[26486, 227, 6705, 19939, 25, 5765, 257, 22155, 284, 3650, 7505, 3689, 329, 1365, 1100, 1799, 290, 5529, 1799]",1.0,36,best_practice,32,Use a dictionary to store theme options for better readability and maintainability,,36,,[]
✅ Best Practice: Use a dictionary to store sidebar configurations for better readability and maintainability,"[26486, 227, 6705, 19939, 25, 5765, 257, 22155, 284, 3650, 40217, 25412, 329, 1365, 1100, 1799, 290, 5529, 1799]",1.0,50,best_practice,40,Use a dictionary to store sidebar configurations for better readability and maintainability,,36,"    ""sphinx.ext.napoleon"",","[220, 220, 220, 366, 82, 746, 28413, 13, 2302, 13, 77, 499, 25637, 1600]"
✅ Best Practice: Use a dictionary to store LaTeX elements for better readability and maintainability,"[26486, 227, 6705, 19939, 25, 5765, 257, 22155, 284, 3650, 4689, 49568, 4847, 329, 1365, 1100, 1799, 290, 5529, 1799]",1.0,62,best_practice,47,Use a dictionary to store LaTeX elements for better readability and maintainability,,50,# You can specify multiple suffix as a list of string:,"[2, 921, 460, 11986, 3294, 35488, 355, 257, 1351, 286, 4731, 25]"
✅ Best Practice: Use a list to store LaTeX documents for better readability and maintainability,"[26486, 227, 6705, 19939, 25, 5765, 257, 1351, 284, 3650, 4689, 49568, 4963, 329, 1365, 1100, 1799, 290, 5529, 1799]",1.0,74,best_practice,47,Use a list to store LaTeX documents for better readability and maintainability,,62,# You can specify multiple suffix as a list of string:,"[2, 921, 460, 11986, 3294, 35488, 355, 257, 1351, 286, 4731, 25]"
✅ Best Practice: Use a list to store man pages for better readability and maintainability,"[26486, 227, 6705, 19939, 25, 5765, 257, 1351, 284, 3650, 582, 5468, 329, 1365, 1100, 1799, 290, 5529, 1799]",1.0,80,best_practice,58,Use a list to store man pages for better readability and maintainability,,74,"copyright = ""Microsoft""","[22163, 4766, 796, 366, 15905, 1]"
✅ Best Practice: Use a list to store Texinfo documents for better readability and maintainability,"[26486, 227, 6705, 19939, 25, 5765, 257, 1351, 284, 3650, 3567, 10951, 4963, 329, 1365, 1100, 1799, 290, 5529, 1799]",1.0,86,best_practice,58,Use a list to store Texinfo documents for better readability and maintainability,,80,"copyright = ""Microsoft""","[22163, 4766, 796, 366, 15905, 1]"
✅ Best Practice: Use a list to store EPUB exclude files for better readability and maintainability,"[26486, 227, 6705, 19939, 25, 5765, 257, 1351, 284, 3650, 412, 5105, 33, 19607, 3696, 329, 1365, 1100, 1799, 290, 5529, 1799]",1.0,94,best_practice,65,Use a list to store EPUB exclude files for better readability and maintainability,,86,# The short X.Y version.,"[2, 383, 1790, 1395, 13, 56, 2196, 13]"
✅ Best Practice: Use a list to store autodoc default flags for better readability and maintainability,"[26486, 227, 6705, 19939, 25, 5765, 257, 1351, 284, 3650, 1960, 375, 420, 4277, 9701, 329, 1365, 1100, 1799, 290, 5529, 1799]",1.0,102,best_practice,65,Use a list to store autodoc default flags for better readability and maintainability,,94,# The short X.Y version.,"[2, 383, 1790, 1395, 13, 56, 2196, 13]"
✅ Best Practice: Use a dictionary to store autodoc default options for better readability and maintainability,"[26486, 227, 6705, 19939, 25, 5765, 257, 22155, 284, 3650, 1960, 375, 420, 4277, 3689, 329, 1365, 1100, 1799, 290, 5529, 1799]",1.0,110,best_practice,65,Use a dictionary to store autodoc default options for better readability and maintainability,,102,# The short X.Y version.,"[2, 383, 1790, 1395, 13, 56, 2196, 13]"
