annotation,annotation_tokens,confidence,end_token,label,line,reason,start_token,text,tokens
✅ Best Practice: Grouping related imports together improves readability.,"[26486, 227, 6705, 19939, 25, 4912, 278, 3519, 17944, 1978, 19575, 1100, 1799, 13]",1.0,12,best_practice,3,Grouping related imports together improves readability.,0,from sqlalchemy.orm import declarative_base,"[6738, 44161, 282, 26599, 13, 579, 1330, 2377, 283, 876, 62, 8692]"
✅ Best Practice: Naming convention for base classes should be consistent and descriptive.,"[26486, 227, 6705, 19939, 25, 399, 3723, 9831, 329, 2779, 6097, 815, 307, 6414, 290, 35644, 13]",1.0,24,best_practice,6,Naming convention for base classes should be consistent and descriptive.,12,from zvt.contract.register import register_schema,"[6738, 1976, 36540, 13, 28484, 13, 30238, 1330, 7881, 62, 15952, 2611]"
🧠 ML Signal: Use of SQLAlchemy ORM for database interaction,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 16363, 2348, 26599, 6375, 44, 329, 6831, 10375]",1.0,37,ml_signal,8,Use of SQLAlchemy ORM for database interaction,24,DividendFinancingBase = declarative_base(),"[35, 1699, 437, 18467, 5077, 14881, 796, 2377, 283, 876, 62, 8692, 3419]"
🧠 ML Signal: Use of SQLAlchemy ORM for database interaction,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 16363, 2348, 26599, 6375, 44, 329, 6831, 10375]",1.0,37,ml_signal,10,Use of SQLAlchemy ORM for database interaction,37,,[]
🧠 ML Signal: Use of SQLAlchemy ORM for database interaction,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 16363, 2348, 26599, 6375, 44, 329, 6831, 10375]",1.0,54,ml_signal,12,Use of SQLAlchemy ORM for database interaction,37,"    __tablename__ = ""dividend_financing""","[220, 220, 220, 11593, 8658, 11925, 480, 834, 796, 366, 67, 1699, 437, 62, 15643, 5077, 1]"
🧠 ML Signal: Use of SQLAlchemy ORM for database interaction,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 16363, 2348, 26599, 6375, 44, 329, 6831, 10375]",1.0,67,ml_signal,14,Use of SQLAlchemy ORM for database interaction,54,    provider = Column(String(length=32)),"[220, 220, 220, 10131, 796, 29201, 7, 10100, 7, 13664, 28, 2624, 4008]"
🧠 ML Signal: Use of SQLAlchemy ORM for database interaction,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 16363, 2348, 26599, 6375, 44, 329, 6831, 10375]",1.0,67,ml_signal,16,Use of SQLAlchemy ORM for database interaction,67,,[]
🧠 ML Signal: Use of SQLAlchemy ORM for database interaction,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 16363, 2348, 26599, 6375, 44, 329, 6831, 10375]",1.0,78,ml_signal,18,Use of SQLAlchemy ORM for database interaction,67,    dividend_money = Column(Float),"[220, 220, 220, 30494, 62, 26316, 796, 29201, 7, 43879, 8]"
🧠 ML Signal: Use of SQLAlchemy ORM for database interaction,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 16363, 2348, 26599, 6375, 44, 329, 6831, 10375]",1.0,89,ml_signal,20,Use of SQLAlchemy ORM for database interaction,78,    #: 新股,"[220, 220, 220, 1303, 25, 10545, 244, 108, 164, 224, 94]"
🧠 ML Signal: Use of SQLAlchemy ORM for database interaction,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 16363, 2348, 26599, 6375, 44, 329, 6831, 10375]",1.0,103,ml_signal,22,Use of SQLAlchemy ORM for database interaction,89,    ipo_raising_fund = Column(Float),"[220, 220, 220, 20966, 78, 62, 32741, 62, 10990, 796, 29201, 7, 43879, 8]"
🧠 ML Signal: Use of SQLAlchemy ORM for database interaction,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 16363, 2348, 26599, 6375, 44, 329, 6831, 10375]",1.0,113,ml_signal,24,Use of SQLAlchemy ORM for database interaction,103,    #: 增发,"[220, 220, 220, 1303, 25, 10263, 95, 252, 20998, 239]"
✅ Best Practice: Define a table name for ORM mapping to ensure clarity and avoid errors.,"[26486, 227, 6705, 19939, 25, 2896, 500, 257, 3084, 1438, 329, 6375, 44, 16855, 284, 4155, 16287, 290, 3368, 8563, 13]",0.5,124,best_practice,18,Define a table name for ORM mapping to ensure clarity and avoid errors.,113,    dividend_money = Column(Float),"[220, 220, 220, 30494, 62, 26316, 796, 29201, 7, 43879, 8]"
🧠 ML Signal: Usage of SQLAlchemy's Column to define database schema.,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 16363, 2348, 26599, 338, 29201, 284, 8160, 6831, 32815, 13]",0.5,135,ml_signal,20,Usage of SQLAlchemy's Column to define database schema.,124,    #: 新股,"[220, 220, 220, 1303, 25, 10545, 244, 108, 164, 224, 94]"
🧠 ML Signal: Usage of SQLAlchemy's Column to define database schema.,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 16363, 2348, 26599, 338, 29201, 284, 8160, 6831, 32815, 13]",0.5,149,ml_signal,22,Usage of SQLAlchemy's Column to define database schema.,135,    ipo_raising_fund = Column(Float),"[220, 220, 220, 20966, 78, 62, 32741, 62, 10990, 796, 29201, 7, 43879, 8]"
🧠 ML Signal: Usage of SQLAlchemy's Column to define database schema.,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 16363, 2348, 26599, 338, 29201, 284, 8160, 6831, 32815, 13]",0.5,159,ml_signal,24,Usage of SQLAlchemy's Column to define database schema.,149,    #: 增发,"[220, 220, 220, 1303, 25, 10263, 95, 252, 20998, 239]"
🧠 ML Signal: Usage of SQLAlchemy's Column to define database schema.,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 16363, 2348, 26599, 338, 29201, 284, 8160, 6831, 32815, 13]",0.5,172,ml_signal,26,Usage of SQLAlchemy's Column to define database schema.,159,    spo_raising_fund = Column(Float),"[220, 220, 220, 15106, 62, 32741, 62, 10990, 796, 29201, 7, 43879, 8]"
