annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
"🧠 ML Signal: Use of abstract base class pattern, indicating a design choice for extensibility","[8582, 100, 254, 10373, 26484, 25, 5765, 286, 12531, 2779, 1398, 3912, 11, 12739, 257, 1486, 3572, 329, 1070, 641, 2247]",0.5,0,ml_signal,2,"Use of abstract base class pattern, indicating a design choice for extensibility",,0,,[]
"🧠 ML Signal: Importing specific classes from a module, indicating selective usage","[8582, 100, 254, 10373, 26484, 25, 17267, 278, 2176, 6097, 422, 257, 8265, 11, 12739, 21792, 8748]",0.5,11,ml_signal,3,"Importing specific classes from a module, indicating selective usage",,0,"from vnpy.event import Event, EventEngine","[6738, 410, 77, 9078, 13, 15596, 1330, 8558, 11, 8558, 13798]"
"🧠 ML Signal: Importing constants, indicating event-driven architecture","[8582, 100, 254, 10373, 26484, 25, 17267, 278, 38491, 11, 12739, 1785, 12, 15808, 10959]",0.5,12,ml_signal,13,"Importing constants, indicating event-driven architecture",,11,),[8]
"🧠 ML Signal: Importing multiple data structures and request types, indicating a complex system","[8582, 100, 254, 10373, 26484, 25, 17267, 278, 3294, 1366, 8573, 290, 2581, 3858, 11, 12739, 257, 3716, 1080]",0.5,12,ml_signal,31,"Importing multiple data structures and request types, indicating a complex system",,12,,[]
✅ Best Practice: Use of type hints for class attributes improves code readability and maintainability.,"[26486, 227, 6705, 19939, 25, 5765, 286, 2099, 20269, 329, 1398, 12608, 19575, 2438, 1100, 1799, 290, 5529, 1799, 13]",1.0,19,best_practice,56,Use of type hints for class attributes improves code readability and maintainability.,,12,    * on_tick,"[220, 220, 220, 1635, 319, 62, 42298]"
✅ Best Practice: Use of type hints for class attributes improves code readability and maintainability.,"[26486, 227, 6705, 19939, 25, 5765, 286, 2099, 20269, 329, 1398, 12608, 19575, 2438, 1100, 1799, 290, 5529, 1799, 13]",1.0,26,best_practice,58,Use of type hints for class attributes improves code readability and maintainability.,,19,    * on_order,"[220, 220, 220, 1635, 319, 62, 2875]"
⚠️ SAST Risk (Low): Mutable default value for class attribute can lead to unexpected behavior if modified.,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 13859, 540, 4277, 1988, 329, 1398, 11688, 460, 1085, 284, 10059, 4069, 611, 9518, 13]",1.0,33,sast_risk,60,Mutable default value for class attribute can lead to unexpected behavior if modified.,Low,26,    * on_account,"[220, 220, 220, 1635, 319, 62, 23317]"
✅ Best Practice: Type annotations for constructor parameters improve code readability and maintainability.,"[26486, 227, 6705, 19939, 25, 5994, 37647, 329, 23772, 10007, 2987, 2438, 1100, 1799, 290, 5529, 1799, 13]",0.5,40,best_practice,61,Type annotations for constructor parameters improve code readability and maintainability.,,33,    * on_contract,"[220, 220, 220, 1635, 319, 62, 28484]"
✅ Best Practice: Type annotations for instance variables improve code readability and maintainability.,"[26486, 227, 6705, 19939, 25, 5994, 37647, 329, 4554, 9633, 2987, 2438, 1100, 1799, 290, 5529, 1799, 13]",0.5,58,best_practice,63,Type annotations for instance variables improve code readability and maintainability.,,40,"    All the XxxData passed to callback should be constant, which means that","[220, 220, 220, 1439, 262, 1395, 5324, 6601, 3804, 284, 23838, 815, 307, 6937, 11, 543, 1724, 326]"
✅ Best Practice: Use of type hints for function parameters and return type improves code readability and maintainability.,"[26486, 227, 6705, 19939, 25, 5765, 286, 2099, 20269, 329, 2163, 10007, 290, 1441, 2099, 19575, 2438, 1100, 1799, 290, 5529, 1799, 13]",0.5,78,best_practice,64,Use of type hints for function parameters and return type improves code readability and maintainability.,,58,        the object should not be modified after passing to on_xxxx.,"[220, 220, 220, 220, 220, 220, 220, 262, 2134, 815, 407, 307, 9518, 706, 6427, 284, 319, 62, 12343, 13]"
🧠 ML Signal: Instantiation of an Event object with type and data parameters could indicate a pattern of event-driven architecture.,"[8582, 100, 254, 10373, 26484, 25, 24470, 3920, 286, 281, 8558, 2134, 351, 2099, 290, 1366, 10007, 714, 7603, 257, 3912, 286, 1785, 12, 15808, 10959, 13]",0.5,78,ml_signal,69,Instantiation of an Event object with type and data parameters could indicate a pattern of event-driven architecture.,,78,,[]
🧠 ML Signal: Usage of an event engine to handle events suggests a pattern of decoupled system components.,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 281, 1785, 3113, 284, 5412, 2995, 5644, 257, 3912, 286, 875, 280, 10137, 1080, 6805, 13]",0.5,82,ml_signal,70,Usage of an event engine to handle events suggests a pattern of decoupled system components.,,78,"    """"""","[220, 220, 220, 37227]"
"🧠 ML Signal: Method handling tick data, useful for learning event-driven patterns","[8582, 100, 254, 10373, 26484, 25, 11789, 9041, 4378, 1366, 11, 4465, 329, 4673, 1785, 12, 15808, 7572]",1.0,82,ml_signal,74,"Method handling tick data, useful for learning event-driven patterns",,82,,[]
✅ Best Practice: Use of descriptive method name and type hints for clarity,"[26486, 227, 6705, 19939, 25, 5765, 286, 35644, 2446, 1438, 290, 2099, 20269, 329, 16287]",1.0,95,best_practice,75,Use of descriptive method name and type hints for clarity,,82,    # Fields required in setting dict for connect function.,"[220, 220, 220, 1303, 23948, 2672, 287, 4634, 8633, 329, 2018, 2163, 13]"
🧠 ML Signal: Usage of event-driven architecture with dynamic event identifiers,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 1785, 12, 15808, 10959, 351, 8925, 1785, 42814]",0.5,95,ml_signal,77,Usage of event-driven architecture with dynamic event identifiers,,95,,[]
⚠️ SAST Risk (Low): Potential risk if EVENT_TICK or tick.vt_symbol are user-controlled and not validated,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 32480, 2526, 611, 49261, 62, 51, 11860, 393, 4378, 13, 36540, 62, 1837, 23650, 389, 2836, 12, 14401, 290, 407, 31031]",0.5,95,sast_risk,77,Potential risk if EVENT_TICK or tick.vt_symbol are user-controlled and not validated,Low,95,,[]
"🧠 ML Signal: Handling events with specific identifiers, useful for learning event handling patterns","[8582, 100, 254, 10373, 26484, 25, 49500, 2995, 351, 2176, 42814, 11, 4465, 329, 4673, 1785, 9041, 7572]",0.5,121,ml_signal,81,"Handling events with specific identifiers, useful for learning event handling patterns",,95,"    def __init__(self, event_engine: EventEngine, gateway_name: str) -> None:","[220, 220, 220, 825, 11593, 15003, 834, 7, 944, 11, 1785, 62, 18392, 25, 8558, 13798, 11, 24308, 62, 3672, 25, 965, 8, 4613, 6045, 25]"
⚠️ SAST Risk (Low): Potential risk if tick.vt_symbol is user-controlled and not validated,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 32480, 2526, 611, 4378, 13, 36540, 62, 1837, 23650, 318, 2836, 12, 14401, 290, 407, 31031]",0.5,147,sast_risk,81,Potential risk if tick.vt_symbol is user-controlled and not validated,Low,121,"    def __init__(self, event_engine: EventEngine, gateway_name: str) -> None:","[220, 220, 220, 825, 11593, 15003, 834, 7, 944, 11, 1785, 62, 18392, 25, 8558, 13798, 11, 24308, 62, 3672, 25, 965, 8, 4613, 6045, 25]"
"🧠 ML Signal: Method handling trade events, useful for learning event-driven patterns","[8582, 100, 254, 10373, 26484, 25, 11789, 9041, 3292, 2995, 11, 4465, 329, 4673, 1785, 12, 15808, 7572]",1.0,173,ml_signal,81,"Method handling trade events, useful for learning event-driven patterns",,147,"    def __init__(self, event_engine: EventEngine, gateway_name: str) -> None:","[220, 220, 220, 825, 11593, 15003, 834, 7, 944, 11, 1785, 62, 18392, 25, 8558, 13798, 11, 24308, 62, 3672, 25, 965, 8, 4613, 6045, 25]"
✅ Best Practice: Use of descriptive method name and type hinting for clarity,"[26486, 227, 6705, 19939, 25, 5765, 286, 35644, 2446, 1438, 290, 2099, 9254, 278, 329, 16287]",1.0,183,best_practice,82,Use of descriptive method name and type hinting for clarity,,173,"        """"""""""""","[220, 220, 220, 220, 220, 220, 220, 13538, 15931, 15931]"
🧠 ML Signal: Pattern of event handling with dynamic event identifiers,"[8582, 100, 254, 10373, 26484, 25, 23939, 286, 1785, 9041, 351, 8925, 1785, 42814]",1.0,202,ml_signal,84,Pattern of event handling with dynamic event identifiers,,183,        self.gateway_name: str = gateway_name,"[220, 220, 220, 220, 220, 220, 220, 2116, 13, 10494, 1014, 62, 3672, 25, 965, 796, 24308, 62, 3672]"
⚠️ SAST Risk (Low): Potential risk if EVENT_TRADE or trade.vt_symbol are not validated,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 32480, 2526, 611, 49261, 62, 5446, 19266, 393, 3292, 13, 36540, 62, 1837, 23650, 389, 407, 31031]",1.0,221,sast_risk,84,Potential risk if EVENT_TRADE or trade.vt_symbol are not validated,Low,202,        self.gateway_name: str = gateway_name,"[220, 220, 220, 220, 220, 220, 220, 2116, 13, 10494, 1014, 62, 3672, 25, 965, 796, 24308, 62, 3672]"
"🧠 ML Signal: Handling events with specific identifiers, useful for learning event-driven patterns","[8582, 100, 254, 10373, 26484, 25, 49500, 2995, 351, 2176, 42814, 11, 4465, 329, 4673, 1785, 12, 15808, 7572]",1.0,232,ml_signal,88,"Handling events with specific identifiers, useful for learning event-driven patterns",,221,        General event push.,"[220, 220, 220, 220, 220, 220, 220, 3611, 1785, 4574, 13]"
⚠️ SAST Risk (Low): Potential risk if EVENT_TRADE or trade.vt_symbol are not validated,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 32480, 2526, 611, 49261, 62, 5446, 19266, 393, 3292, 13, 36540, 62, 1837, 23650, 389, 407, 31031]",1.0,243,sast_risk,88,Potential risk if EVENT_TRADE or trade.vt_symbol are not validated,Low,232,        General event push.,"[220, 220, 220, 220, 220, 220, 220, 3611, 1785, 4574, 13]"
"🧠 ML Signal: Method handling order events, useful for learning event-driven patterns.","[8582, 100, 254, 10373, 26484, 25, 11789, 9041, 1502, 2995, 11, 4465, 329, 4673, 1785, 12, 15808, 7572, 13]",1.0,254,ml_signal,88,"Method handling order events, useful for learning event-driven patterns.",,243,        General event push.,"[220, 220, 220, 220, 220, 220, 220, 3611, 1785, 4574, 13]"
✅ Best Practice: Use of descriptive method name and docstring for clarity.,"[26486, 227, 6705, 19939, 25, 5765, 286, 35644, 2446, 1438, 290, 2205, 8841, 329, 16287, 13]",1.0,262,best_practice,89,Use of descriptive method name and docstring for clarity.,,254,"        """"""","[220, 220, 220, 220, 220, 220, 220, 37227]"
"🧠 ML Signal: Usage of event-driven architecture, useful for learning event handling patterns.","[8582, 100, 254, 10373, 26484, 25, 29566, 286, 1785, 12, 15808, 10959, 11, 4465, 329, 4673, 1785, 9041, 7572, 13]",0.5,279,ml_signal,91,"Usage of event-driven architecture, useful for learning event handling patterns.",,262,        self.event_engine.put(event),"[220, 220, 220, 220, 220, 220, 220, 2116, 13, 15596, 62, 18392, 13, 1996, 7, 15596, 8]"
