annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
✅ Best Practice: Grouping imports from the same module together improves readability.,"[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 422, 262, 976, 8265, 1978, 19575, 1100, 1799, 13]",1.0,0,best_practice,6,Grouping imports from the same module together improves readability.,,0,,[]
✅ Best Practice: Grouping imports from the same module together improves readability.,"[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 422, 262, 976, 8265, 1978, 19575, 1100, 1799, 13]",1.0,6,best_practice,8,Grouping imports from the same module together improves readability.,,0,import pandas as pd,"[11748, 19798, 292, 355, 279, 67]"
✅ Best Practice: Grouping imports from the same module together improves readability.,"[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 422, 262, 976, 8265, 1978, 19575, 1100, 1799, 13]",1.0,9,best_practice,10,Grouping imports from the same module together improves readability.,,6,import qlib,"[11748, 10662, 8019]"
✅ Best Practice: Grouping imports from the same module together improves readability.,"[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 422, 262, 976, 8265, 1978, 19575, 1100, 1799, 13]",1.0,9,best_practice,12,Grouping imports from the same module together improves readability.,,9,,[]
✅ Best Practice: Grouping imports from the same module together improves readability.,"[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 422, 262, 976, 8265, 1978, 19575, 1100, 1799, 13]",1.0,19,best_practice,14,Grouping imports from the same module together improves readability.,,9,from ...log import get_module_logger,"[6738, 2644, 6404, 1330, 651, 62, 21412, 62, 6404, 1362]"
✅ Best Practice: Grouping imports from the same module together improves readability.,"[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 422, 262, 976, 8265, 1978, 19575, 1100, 1799, 13]",1.0,26,best_practice,16,Grouping imports from the same module together improves readability.,,19,from ..evaluate import risk_analysis,"[6738, 11485, 49786, 1330, 2526, 62, 20930]"
✅ Best Practice: Grouping imports from the same module together improves readability.,"[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 422, 262, 976, 8265, 1978, 19575, 1100, 1799, 13]",1.0,26,best_practice,18,Grouping imports from the same module together improves readability.,,26,,[]
✅ Best Practice: Grouping imports from the same module together improves readability.,"[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 422, 262, 976, 8265, 1978, 19575, 1100, 1799, 13]",1.0,32,best_practice,19,Grouping imports from the same module together improves readability.,,26,from .manager import UserManager,"[6738, 764, 37153, 1330, 11787, 13511]"
✅ Best Practice: Grouping imports from the same module together improves readability.,"[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 422, 262, 976, 8265, 1978, 19575, 1100, 1799, 13]",1.0,38,best_practice,19,Grouping imports from the same module together improves readability.,,32,from .manager import UserManager,"[6738, 764, 37153, 1330, 11787, 13511]"
✅ Best Practice: Grouping imports from the same module together improves readability.,"[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 422, 262, 976, 8265, 1978, 19575, 1100, 1799, 13]",1.0,38,best_practice,25,Grouping imports from the same module together improves readability.,,38,,[]
✅ Best Practice: Grouping imports from the same module together improves readability.,"[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 422, 262, 976, 8265, 1978, 19575, 1100, 1799, 13]",1.0,38,best_practice,26,Grouping imports from the same module together improves readability.,,38,,[]
✅ Best Practice: Use of a logger for logging information is a good practice for debugging and monitoring.,"[26486, 227, 6705, 19939, 25, 5765, 286, 257, 49706, 329, 18931, 1321, 318, 257, 922, 3357, 329, 28769, 290, 9904, 13]",0.5,38,best_practice,25,Use of a logger for logging information is a good practice for debugging and monitoring.,,38,,[]
"🧠 ML Signal: Storing client configuration, which could be used to understand user behavior or preferences.","[8582, 100, 254, 10373, 26484, 25, 520, 3255, 5456, 8398, 11, 543, 714, 307, 973, 284, 1833, 2836, 4069, 393, 15387, 13]",0.5,38,ml_signal,26,"Storing client configuration, which could be used to understand user behavior or preferences.",,38,,[]
"⚠️ SAST Risk (Low): No validation on 'client' input, could lead to incorrect file access","[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 1400, 21201, 319, 705, 16366, 6, 5128, 11, 714, 1085, 284, 11491, 2393, 1895]",0.5,64,sast_risk,44,"No validation on 'client' input, could lead to incorrect file access",Low,38,                The qlib client config file(.yaml),"[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 383, 10662, 8019, 5456, 4566, 2393, 7, 13, 88, 43695, 8]"
"⚠️ SAST Risk (Low): No validation on 'path' input, could lead to incorrect file access","[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 1400, 21201, 319, 705, 6978, 6, 5128, 11, 714, 1085, 284, 11491, 2393, 1895]",0.5,85,sast_risk,46,"No validation on 'path' input, could lead to incorrect file access",Low,64,                Path to save user account.,"[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 10644, 284, 3613, 2836, 1848, 13]"
"🧠 ML Signal: Loading user data, indicative of user management operations","[8582, 100, 254, 10373, 26484, 25, 12320, 2836, 1366, 11, 29105, 286, 2836, 4542, 4560]",0.5,112,ml_signal,48,"Loading user data, indicative of user management operations",,85,"                Trade date, when the generated order list will be traded.","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 9601, 3128, 11, 618, 262, 7560, 1502, 1351, 481, 307, 14018, 13]"
"⚠️ SAST Risk (Low): No validation on 'date' format, could lead to runtime errors","[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 1400, 21201, 319, 705, 4475, 6, 5794, 11, 714, 1085, 284, 19124, 8563]",0.5,132,sast_risk,53,"No validation on 'date' format, could lead to runtime errors",Low,112,            trade_date: pd.Timestamp,"[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 3292, 62, 4475, 25, 279, 67, 13, 14967, 27823]"
⚠️ SAST Risk (Medium): Potential for incorrect date handling if 'is_tradable_date' logic is flawed,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 31205, 2599, 32480, 329, 11491, 3128, 9041, 611, 705, 271, 62, 2213, 324, 540, 62, 4475, 6, 9156, 318, 19556]",0.5,153,sast_risk,55,Potential for incorrect date handling if 'is_tradable_date' logic is flawed,Medium,132,        qlib.init_from_yaml_conf(client),"[220, 220, 220, 220, 220, 220, 220, 10662, 8019, 13, 15003, 62, 6738, 62, 88, 43695, 62, 10414, 7, 16366, 8]"
✅ Best Practice: Use f-string for better readability and performance,"[26486, 227, 6705, 19939, 25, 5765, 277, 12, 8841, 329, 1365, 1100, 1799, 290, 2854]",0.5,178,best_practice,56,Use f-string for better readability and performance,,153,        um = UserManager(user_data_path=pathlib.Path(path)),"[220, 220, 220, 220, 220, 220, 220, 23781, 796, 11787, 13511, 7, 7220, 62, 7890, 62, 6978, 28, 6978, 8019, 13, 15235, 7, 6978, 4008]"
"🧠 ML Signal: Predicting previous trading date, indicative of financial operations","[8582, 100, 254, 10373, 26484, 25, 49461, 278, 2180, 7313, 3128, 11, 29105, 286, 3176, 4560]",0.5,203,ml_signal,56,"Predicting previous trading date, indicative of financial operations",,178,        um = UserManager(user_data_path=pathlib.Path(path)),"[220, 220, 220, 220, 220, 220, 220, 23781, 796, 11787, 13511, 7, 7220, 62, 7890, 62, 6978, 28, 6978, 8019, 13, 15235, 7, 6978, 4008]"
✅ Best Practice: Ensure the path exists or handle exceptions if it doesn't,"[26486, 227, 6705, 19939, 25, 48987, 262, 3108, 7160, 393, 5412, 13269, 611, 340, 1595, 470]",0.5,226,best_practice,68,Ensure the path exists or handle exceptions if it doesn't,,203,"        """"""Add a new user into the a folder to run 'online' module.","[220, 220, 220, 220, 220, 220, 220, 37227, 4550, 257, 649, 2836, 656, 262, 257, 9483, 284, 1057, 705, 25119, 6, 8265, 13]"
⚠️ SAST Risk (Medium): Ensure the YAML file is trusted to prevent code execution vulnerabilities,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 31205, 2599, 48987, 262, 575, 2390, 43, 2393, 318, 13467, 284, 2948, 2438, 9706, 23805]",1.0,234,sast_risk,70,Ensure the YAML file is trusted to prevent code execution vulnerabilities,Medium,226,        Parameters,"[220, 220, 220, 220, 220, 220, 220, 40117]"
🧠 ML Signal: Usage of UserManager class could indicate user management operations,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 11787, 13511, 1398, 714, 7603, 2836, 4542, 4560]",0.5,244,ml_signal,72,Usage of UserManager class could indicate user management operations,,234,        id : str,"[220, 220, 220, 220, 220, 220, 220, 4686, 1058, 965]"
🧠 ML Signal: Usage of date manipulation and validation,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 3128, 17512, 290, 21201]",1.0,254,ml_signal,74,Usage of date manipulation and validation,,244,        config : str,"[220, 220, 220, 220, 220, 220, 220, 4566, 1058, 965]"
⚠️ SAST Risk (Low): Ensure the date validation logic is correct to prevent logical errors,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 48987, 262, 3128, 21201, 9156, 318, 3376, 284, 2948, 12219, 8563]",1.0,264,sast_risk,76,Ensure the date validation logic is correct to prevent logical errors,Low,254,        path : str,"[220, 220, 220, 220, 220, 220, 220, 3108, 1058, 965]"
⚠️ SAST Risk (Low): Potential for format string vulnerability if add_date is not sanitized,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 32480, 329, 5794, 4731, 15131, 611, 751, 62, 4475, 318, 407, 5336, 36951]",0.5,274,sast_risk,76,Potential for format string vulnerability if add_date is not sanitized,Low,264,        path : str,"[220, 220, 220, 220, 220, 220, 220, 3108, 1058, 965]"
🧠 ML Signal: Adding a user with specific configurations,"[8582, 100, 254, 10373, 26484, 25, 18247, 257, 2836, 351, 2176, 25412]",1.0,284,ml_signal,76,Adding a user with specific configurations,,274,        path : str,"[220, 220, 220, 220, 220, 220, 220, 3108, 1058, 965]"
✅ Best Practice: Include a docstring to describe the function's purpose and parameters,"[26486, 227, 6705, 19939, 25, 40348, 257, 2205, 8841, 284, 6901, 262, 2163, 338, 4007, 290, 10007]",1.0,294,best_practice,76,Include a docstring to describe the function's purpose and parameters,,284,        path : str,"[220, 220, 220, 220, 220, 220, 220, 3108, 1058, 965]"
🧠 ML Signal: Usage of UserManager class to manage user data,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 11787, 13511, 1398, 284, 6687, 2836, 1366]",0.5,315,ml_signal,85,Usage of UserManager class to manage user data,,294,        if not is_tradable_date(add_date):,"[220, 220, 220, 220, 220, 220, 220, 611, 407, 318, 62, 2213, 324, 540, 62, 4475, 7, 2860, 62, 4475, 2599]"
🧠 ML Signal: Method call to remove a user by id,"[8582, 100, 254, 10373, 26484, 25, 11789, 869, 284, 4781, 257, 2836, 416, 4686]",1.0,348,ml_signal,87,Method call to remove a user by id,,315,"        um.add_user(user_id=id, config_file=config, add_date=add_date)","[220, 220, 220, 220, 220, 220, 220, 23781, 13, 2860, 62, 7220, 7, 7220, 62, 312, 28, 312, 11, 4566, 62, 7753, 28, 11250, 11, 751, 62, 4475, 28, 2860, 62, 4475, 8]"
✅ Best Practice: Descriptive variable names improve code readability.,"[26486, 227, 6705, 19939, 25, 2935, 6519, 425, 7885, 3891, 2987, 2438, 1100, 1799, 13]",0.5,366,best_practice,95,Descriptive variable names improve code readability.,,348,"            User id, should be unique.","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 11787, 4686, 11, 815, 307, 3748, 13]"
🧠 ML Signal: Iterating over users to generate predictions is a common pattern in ML applications.,"[8582, 100, 254, 10373, 26484, 25, 40806, 803, 625, 2985, 284, 7716, 16277, 318, 257, 2219, 3912, 287, 10373, 5479, 13]",0.5,374,ml_signal,98,Iterating over users to generate predictions is a common pattern in ML applications.,,366,"        """"""","[220, 220, 220, 220, 220, 220, 220, 37227]"
🧠 ML Signal: Accessing model data with a specific date is a common pattern in time-series ML models.,"[8582, 100, 254, 10373, 26484, 25, 8798, 278, 2746, 1366, 351, 257, 2176, 3128, 318, 257, 2219, 3912, 287, 640, 12, 25076, 10373, 4981, 13]",0.5,393,ml_signal,100,Accessing model data with a specific date is a common pattern in time-series ML models.,,374,        um.remove_user(user_id=id),"[220, 220, 220, 220, 220, 220, 220, 23781, 13, 28956, 62, 7220, 7, 7220, 62, 312, 28, 312, 8]"
🧠 ML Signal: Predicting using a model is a core ML operation.,"[8582, 100, 254, 10373, 26484, 25, 49461, 278, 1262, 257, 2746, 318, 257, 4755, 10373, 4905, 13]",0.5,405,ml_signal,102,Predicting using a model is a core ML operation.,,393,"    def generate(self, date, path):","[220, 220, 220, 825, 7716, 7, 944, 11, 3128, 11, 3108, 2599]"
⚠️ SAST Risk (Low): Ensure the path is validated to prevent path traversal vulnerabilities.,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 48987, 262, 3108, 318, 31031, 284, 2948, 3108, 33038, 282, 23805, 13]",1.0,417,sast_risk,102,Ensure the path is validated to prevent path traversal vulnerabilities.,Low,405,"    def generate(self, date, path):","[220, 220, 220, 825, 7716, 7, 944, 11, 3128, 11, 3108, 2599]"
🧠 ML Signal: Updating strategy based on model predictions is a common pattern in algorithmic trading.,"[8582, 100, 254, 10373, 26484, 25, 3205, 38734, 4811, 1912, 319, 2746, 16277, 318, 257, 2219, 3912, 287, 8385, 9383, 7313, 13]",0.5,440,ml_signal,108,Updating strategy based on model predictions is a common pattern in algorithmic trading.,,417,"            Trade date, when the generated order list will be traded.","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 9601, 3128, 11, 618, 262, 7560, 1502, 1351, 481, 307, 14018, 13]"
🧠 ML Signal: Generating trade decisions based on predictions is a key step in trading algorithms.,"[8582, 100, 254, 10373, 26484, 25, 2980, 803, 3292, 5370, 1912, 319, 16277, 318, 257, 1994, 2239, 287, 7313, 16113, 13]",0.5,463,ml_signal,108,Generating trade decisions based on predictions is a key step in trading algorithms.,,440,"            Trade date, when the generated order list will be traded.","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 9601, 3128, 11, 618, 262, 7560, 1502, 1351, 481, 307, 14018, 13]"
⚠️ SAST Risk (Low): Ensure the path is validated to prevent path traversal vulnerabilities.,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 48987, 262, 3108, 318, 31031, 284, 2948, 3108, 33038, 282, 23805, 13]",1.0,483,sast_risk,115,Ensure the path is validated to prevent path traversal vulnerabilities.,Low,463,            # get and save the score at predict date,"[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 1303, 651, 290, 3613, 262, 4776, 379, 4331, 3128]"
✅ Best Practice: Logging important actions helps in monitoring and debugging.,"[26486, 227, 6705, 19939, 25, 5972, 2667, 1593, 4028, 5419, 287, 9904, 290, 28769, 13]",0.5,514,best_practice,116,Logging important actions helps in monitoring and debugging.,,483,            input_data = user.model.get_data_with_date(pred_date),"[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 5128, 62, 7890, 796, 2836, 13, 19849, 13, 1136, 62, 7890, 62, 4480, 62, 4475, 7, 28764, 62, 4475, 8]"
🧠 ML Signal: Saving user data after processing is a common pattern in user-centric applications.,"[8582, 100, 254, 10373, 26484, 25, 34689, 2836, 1366, 706, 7587, 318, 257, 2219, 3912, 287, 2836, 12, 28577, 5479, 13]",0.5,539,ml_signal,126,Saving user data after processing is a common pattern in user-centric applications.,,514,"                current=user.account.current_position,","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 1459, 28, 7220, 13, 23317, 13, 14421, 62, 9150, 11]"
✅ Best Practice: Consider adding type hints for the method parameters for better readability and maintainability.,"[26486, 227, 6705, 19939, 25, 12642, 4375, 2099, 20269, 329, 262, 2446, 10007, 329, 1365, 1100, 1799, 290, 5529, 1799, 13]",0.5,564,best_practice,126,Consider adding type hints for the method parameters for better readability and maintainability.,,539,"                current=user.account.current_position,","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 1459, 28, 7220, 13, 23317, 13, 14421, 62, 9150, 11]"
🧠 ML Signal: Iterating over user data could indicate a pattern of user-specific operations.,"[8582, 100, 254, 10373, 26484, 25, 40806, 803, 625, 2836, 1366, 714, 7603, 257, 3912, 286, 2836, 12, 11423, 4560, 13]",0.5,576,ml_signal,129,Iterating over user data could indicate a pattern of user-specific operations.,,564,            ),"[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 1267]"
⚠️ SAST Risk (Low): Potential for ValueError to be raised; ensure this is handled where the method is called.,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 32480, 329, 11052, 12331, 284, 307, 4376, 26, 4155, 428, 318, 12118, 810, 262, 2446, 318, 1444, 13]",0.5,599,sast_risk,131,Potential for ValueError to be raised; ensure this is handled where the method is called.,Low,576,"                order_list=order_list,","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 1502, 62, 4868, 28, 2875, 62, 4868, 11]"
🧠 ML Signal: Loading order lists for users could be a pattern for user-specific trading behavior.,"[8582, 100, 254, 10373, 26484, 25, 12320, 1502, 8341, 329, 2985, 714, 307, 257, 3912, 329, 2836, 12, 11423, 7313, 4069, 13]",0.5,615,ml_signal,138,Loading order lists for users could be a pattern for user-specific trading behavior.,,599,"    def execute(self, date, exchange_config, path):","[220, 220, 220, 825, 12260, 7, 944, 11, 3128, 11, 5163, 62, 11250, 11, 3108, 2599]"
🧠 ML Signal: Executing trades for users could indicate a pattern of user-specific trading actions.,"[8582, 100, 254, 10373, 26484, 25, 8393, 15129, 17674, 329, 2985, 714, 7603, 257, 3912, 286, 2836, 12, 11423, 7313, 4028, 13]",0.5,636,ml_signal,143,Executing trades for users could indicate a pattern of user-specific trading actions.,,615,           date : str (YYYY-MM-DD),"[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 3128, 1058, 965, 357, 26314, 26314, 12, 12038, 12, 16458, 8]"
🧠 ML Signal: Logging user-specific actions could be used to track user behavior patterns.,"[8582, 100, 254, 10373, 26484, 25, 5972, 2667, 2836, 12, 11423, 4028, 714, 307, 973, 284, 2610, 2836, 4069, 7572, 13]",0.5,651,ml_signal,145,Logging user-specific actions could be used to track user behavior patterns.,,636,           exchange_config: str,"[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 5163, 62, 11250, 25, 965]"
✅ Best Practice: Use a more descriptive variable name than 'type' to avoid shadowing built-in names.,"[26486, 227, 6705, 19939, 25, 5765, 257, 517, 35644, 7885, 1438, 621, 705, 4906, 6, 284, 3368, 9082, 278, 3170, 12, 259, 3891, 13]",0.5,688,best_practice,156,Use a more descriptive variable name than 'type' to avoid shadowing built-in names.,,651,"                    ""The account data is not newest! last trading date {}, today {}"".format(","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 366, 464, 1848, 1366, 318, 407, 15530, 0, 938, 7313, 3128, 1391, 5512, 1909, 23884, 1911, 18982, 7]"
⚠️ SAST Risk (Low): Potential for format string vulnerability if 'type' is user-controlled.,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 32480, 329, 5794, 4731, 15131, 611, 705, 4906, 6, 318, 2836, 12, 14401, 13]",0.5,708,sast_risk,158,Potential for format string vulnerability if 'type' is user-controlled.,Low,688,                    ),"[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 1267]"
🧠 ML Signal: Usage of a method named 'init' suggests initialization pattern.,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 257, 2446, 3706, 705, 15003, 6, 5644, 37588, 3912, 13]",0.5,708,ml_signal,160,Usage of a method named 'init' suggests initialization pattern.,,708,,[]
🧠 ML Signal: Iterating over users suggests a pattern of processing multiple entities.,"[8582, 100, 254, 10373, 26484, 25, 40806, 803, 625, 2985, 5644, 257, 3912, 286, 7587, 3294, 12066, 13]",0.5,729,ml_signal,162,Iterating over users suggests a pattern of processing multiple entities.,,708,            # will not modify the trade_account after executing,"[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 1303, 481, 407, 13096, 262, 3292, 62, 23317, 706, 23710]"
🧠 ML Signal: Conditional logic based on 'type' indicates a decision-making pattern.,"[8582, 100, 254, 10373, 26484, 25, 9724, 1859, 9156, 1912, 319, 705, 4906, 6, 9217, 257, 2551, 12, 8601, 3912, 13]",0.5,752,ml_signal,166,Conditional logic based on 'type' indicates a decision-making pattern.,,729,"                trade_info=trade_info,","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 3292, 62, 10951, 28, 25351, 62, 10951, 11]"
⚠️ SAST Risk (Low): Potential for logic error if date comparison is incorrect.,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 32480, 329, 9156, 4049, 611, 3128, 7208, 318, 11491, 13]",0.5,752,sast_risk,171,Potential for logic error if date comparison is incorrect.,Low,752,,[]
🧠 ML Signal: Loading trade information suggests a data retrieval pattern.,"[8582, 100, 254, 10373, 26484, 25, 12320, 3292, 1321, 5644, 257, 1366, 45069, 3912, 13]",0.5,770,ml_signal,177,Loading trade information suggests a data retrieval pattern.,,752,        date : str (YYYY-MM-DD),"[220, 220, 220, 220, 220, 220, 220, 3128, 1058, 965, 357, 26314, 26314, 12, 12038, 12, 16458, 8]"
🧠 ML Signal: Loading score series indicates a pattern of data processing.,"[8582, 100, 254, 10373, 26484, 25, 12320, 4776, 2168, 9217, 257, 3912, 286, 1366, 7587, 13]",0.5,780,ml_signal,181,Loading score series indicates a pattern of data processing.,,770,        type : str,"[220, 220, 220, 220, 220, 220, 220, 2099, 1058, 965]"
🧠 ML Signal: Updating account suggests a pattern of state modification.,"[8582, 100, 254, 10373, 26484, 25, 3205, 38734, 1848, 5644, 257, 3912, 286, 1181, 17613, 13]",0.5,790,ml_signal,181,Updating account suggests a pattern of state modification.,,780,        type : str,"[220, 220, 220, 220, 220, 220, 220, 2099, 1058, 965]"
🧠 ML Signal: Generating portfolio metrics indicates a pattern of data analysis.,"[8582, 100, 254, 10373, 26484, 25, 2980, 803, 15320, 20731, 9217, 257, 3912, 286, 1366, 3781, 13]",0.5,800,ml_signal,181,Generating portfolio metrics indicates a pattern of data analysis.,,790,        type : str,"[220, 220, 220, 220, 220, 220, 220, 2099, 1058, 965]"
