annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
"✅ Best Practice: Grouping imports into standard library, third-party, and local can improve readability.","[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 656, 3210, 5888, 11, 2368, 12, 10608, 11, 290, 1957, 460, 2987, 1100, 1799, 13]",1.0,0,best_practice,3,"Grouping imports into standard library, third-party, and local can improve readability.",,0,,[]
✅ Best Practice: Consider importing Union from typing for type hinting,"[26486, 227, 6705, 19939, 25, 12642, 33332, 4479, 422, 19720, 329, 2099, 9254, 278]",0.5,19,best_practice,11,Consider importing Union from typing for type hinting,,0,"from zvt.factors.algorithm import MaTransformer, MaAndVolumeTransformer","[6738, 1976, 36540, 13, 22584, 669, 13, 282, 42289, 1330, 6669, 8291, 16354, 11, 6669, 1870, 31715, 8291, 16354]"
✅ Best Practice: Use isinstance() instead of type() for type checking,"[26486, 227, 6705, 19939, 25, 5765, 318, 39098, 3419, 2427, 286, 2099, 3419, 329, 2099, 10627]",0.5,35,best_practice,13,Use isinstance() instead of type() for type checking,,19,from zvt.utils.time_utils import now_pd_timestamp,"[6738, 1976, 36540, 13, 26791, 13, 2435, 62, 26791, 1330, 783, 62, 30094, 62, 16514, 27823]"
✅ Best Practice: Consider handling exceptions when converting string to IntervalLevel,"[26486, 227, 6705, 19939, 25, 12642, 9041, 13269, 618, 23202, 4731, 284, 4225, 2100, 4971]",0.5,35,best_practice,15,Consider handling exceptions when converting string to IntervalLevel,,35,,[]
🧠 ML Signal: Usage of string formatting to create schema names,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 4731, 33313, 284, 2251, 32815, 3891]",0.5,46,ml_signal,17,Usage of string formatting to create schema names,,35,    if type(level) == str:,"[220, 220, 220, 611, 2099, 7, 5715, 8, 6624, 965, 25]"
🧠 ML Signal: Function call pattern to retrieve schema by name,"[8582, 100, 254, 10373, 26484, 25, 15553, 869, 3912, 284, 19818, 32815, 416, 1438]",0.5,57,ml_signal,17,Function call pattern to retrieve schema by name,,46,    if type(level) == str:,"[220, 220, 220, 611, 2099, 7, 5715, 8, 6624, 965, 25]"
"✅ Best Practice: Class definition should follow PEP 8 naming conventions, which is CamelCase.","[26486, 227, 6705, 19939, 25, 5016, 6770, 815, 1061, 350, 8905, 807, 19264, 21396, 11, 543, 318, 43281, 20448, 13]",0.5,94,best_practice,16,"Class definition should follow PEP 8 naming conventions, which is CamelCase.",,57,"def get_ma_factor_schema(entity_type: str, level: Union[IntervalLevel, str] = IntervalLevel.LEVEL_1DAY):","[4299, 651, 62, 2611, 62, 31412, 62, 15952, 2611, 7, 26858, 62, 4906, 25, 965, 11, 1241, 25, 4479, 58, 9492, 2100, 4971, 11, 965, 60, 796, 4225, 2100, 4971, 13, 2538, 18697, 62, 16, 26442, 2599]"
⚠️ SAST Risk (Low): Potential risk if `need_persist` is set to True without proper validation of `entity_schema`.,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 32480, 2526, 611, 4600, 31227, 62, 19276, 396, 63, 318, 900, 284, 6407, 1231, 1774, 21201, 286, 4600, 26858, 62, 15952, 2611, 44646]",0.5,109,sast_risk,46,Potential risk if `need_persist` is set to True without proper validation of `entity_schema`.,Low,94,"        effective_number: int = None,","[220, 220, 220, 220, 220, 220, 220, 4050, 62, 17618, 25, 493, 796, 6045, 11]"
🧠 ML Signal: Usage of dynamic schema generation based on entity type and level.,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 8925, 32815, 5270, 1912, 319, 9312, 2099, 290, 1241, 13]",0.5,127,ml_signal,48,Usage of dynamic schema generation based on entity type and level.,,109,"        only_compute_factor: bool = False,","[220, 220, 220, 220, 220, 220, 220, 691, 62, 5589, 1133, 62, 31412, 25, 20512, 796, 10352, 11]"
✅ Best Practice: Defaulting `windows` to a list of integers if not provided.,"[26486, 227, 6705, 19939, 25, 15161, 278, 4600, 28457, 63, 284, 257, 1351, 286, 37014, 611, 407, 2810, 13]",1.0,142,best_practice,50,Defaulting `windows` to a list of integers if not provided.,,127,"        clear_state: bool = False,","[220, 220, 220, 220, 220, 220, 220, 1598, 62, 5219, 25, 20512, 796, 10352, 11]"
