annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
✅ Best Practice: Use of APIRouter for organizing routes in FastAPI applications,"[26486, 227, 6705, 19939, 25, 5765, 286, 3486, 4663, 39605, 329, 16924, 11926, 287, 12549, 17614, 5479]",1.0,1,best_practice,25,Use of APIRouter for organizing routes in FastAPI applications,,0,),[8]
✅ Best Practice: Use of type hinting for response_model improves code readability and maintainability,"[26486, 227, 6705, 19939, 25, 5765, 286, 2099, 9254, 278, 329, 2882, 62, 19849, 19575, 2438, 1100, 1799, 290, 5529, 1799]",1.0,2,best_practice,32,Use of type hinting for response_model improves code readability and maintainability,,1,),[8]
🧠 ML Signal: Function that interacts with a service to query data,"[8582, 100, 254, 10373, 26484, 25, 15553, 326, 44020, 351, 257, 2139, 284, 12405, 1366]",1.0,3,ml_signal,32,Function that interacts with a service to query data,,2,),[8]
✅ Best Practice: Use of type hinting for response_model improves code readability and maintainability,"[26486, 227, 6705, 19939, 25, 5765, 286, 2099, 9254, 278, 329, 2882, 62, 19849, 19575, 2438, 1100, 1799, 290, 5529, 1799]",0.5,31,best_practice,35,Use of type hinting for response_model improves code readability and maintainability,,3,"@trading_router.post(""/query_kdata"", response_model=Optional[List[KdataModel]])","[31, 2213, 4980, 62, 472, 353, 13, 7353, 7203, 14, 22766, 62, 74, 7890, 1600, 2882, 62, 19849, 28, 30719, 58, 8053, 58, 42, 7890, 17633, 11907, 8]"
"🧠 ML Signal: Function that interacts with a service, indicating a pattern of service usage.","[8582, 100, 254, 10373, 26484, 25, 15553, 326, 44020, 351, 257, 2139, 11, 12739, 257, 3912, 286, 2139, 8748, 13]",0.5,59,ml_signal,35,"Function that interacts with a service, indicating a pattern of service usage.",,31,"@trading_router.post(""/query_kdata"", response_model=Optional[List[KdataModel]])","[31, 2213, 4980, 62, 472, 353, 13, 7353, 7203, 14, 22766, 62, 74, 7890, 1600, 2882, 62, 19849, 28, 30719, 58, 8053, 58, 42, 7890, 17633, 11907, 8]"
"🧠 ML Signal: Function returning a service call result, indicating a pattern of service interaction","[8582, 100, 254, 10373, 26484, 25, 15553, 8024, 257, 2139, 869, 1255, 11, 12739, 257, 3912, 286, 2139, 10375]",0.5,59,ml_signal,38,"Function returning a service call result, indicating a pattern of service interaction",,59,,[]
✅ Best Practice: Use of a decorator to define a route in a web framework,"[26486, 227, 6705, 19939, 25, 5765, 286, 257, 11705, 1352, 284, 8160, 257, 6339, 287, 257, 3992, 9355]",1.0,75,best_practice,41,Use of a decorator to define a route in a web framework,,59,def query_kdata(ts_request_model: TSRequestModel):,"[4299, 12405, 62, 74, 7890, 7, 912, 62, 25927, 62, 19849, 25, 26136, 18453, 17633, 2599]"
🧠 ML Signal: Use of context manager for database session handling,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 4732, 4706, 329, 6831, 6246, 9041]",1.0,91,ml_signal,41,Use of context manager for database session handling,,75,def query_kdata(ts_request_model: TSRequestModel):,"[4299, 12405, 62, 74, 7890, 7, 912, 62, 25927, 62, 19849, 25, 26136, 18453, 17633, 2599]"
🧠 ML Signal: Querying data from a database,"[8582, 100, 254, 10373, 26484, 25, 2264, 263, 1112, 1366, 422, 257, 6831]",1.0,109,ml_signal,42,Querying data from a database,,91,    return trading_service.query_ts(ts_request_model),"[220, 220, 220, 1441, 7313, 62, 15271, 13, 22766, 62, 912, 7, 912, 62, 25927, 62, 19849, 8]"
⚠️ SAST Risk (Low): Potential exposure of sensitive data through API endpoint,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 32480, 7111, 286, 8564, 1366, 832, 7824, 36123]",1.0,141,sast_risk,50,Potential exposure of sensitive data through API endpoint,Low,109,"@trading_router.get(""/get_query_stock_quote_setting"", response_model=Optional[QueryStockQuoteSettingModel])","[31, 2213, 4980, 62, 472, 353, 13, 1136, 7203, 14, 1136, 62, 22766, 62, 13578, 62, 22708, 62, 33990, 1600, 2882, 62, 19849, 28, 30719, 58, 20746, 26207, 25178, 34149, 17633, 12962]"
"🧠 ML Signal: Function uses a service to build a query, indicating a pattern of service delegation","[8582, 100, 254, 10373, 26484, 25, 15553, 3544, 257, 2139, 284, 1382, 257, 12405, 11, 12739, 257, 3912, 286, 2139, 22635]",0.5,173,ml_signal,50,"Function uses a service to build a query, indicating a pattern of service delegation",,141,"@trading_router.get(""/get_query_stock_quote_setting"", response_model=Optional[QueryStockQuoteSettingModel])","[31, 2213, 4980, 62, 472, 353, 13, 1136, 7203, 14, 1136, 62, 22766, 62, 13578, 62, 22708, 62, 33990, 1600, 2882, 62, 19849, 28, 30719, 58, 20746, 26207, 25178, 34149, 17633, 12962]"
✅ Best Practice: Use of decorators to define HTTP endpoints improves code organization and readability,"[26486, 227, 6705, 19939, 25, 5765, 286, 11705, 2024, 284, 8160, 14626, 886, 13033, 19575, 2438, 4009, 290, 1100, 1799]",0.5,201,best_practice,53,Use of decorators to define HTTP endpoints improves code organization and readability,,173,        query_setting: List[QueryStockQuoteSetting] = QueryStockQuoteSetting.query_data(,"[220, 220, 220, 220, 220, 220, 220, 12405, 62, 33990, 25, 7343, 58, 20746, 26207, 25178, 34149, 60, 796, 43301, 26207, 25178, 34149, 13, 22766, 62, 7890, 7]"
"🧠 ML Signal: Function uses a service to query data, indicating a pattern of data retrieval.","[8582, 100, 254, 10373, 26484, 25, 15553, 3544, 257, 2139, 284, 12405, 1366, 11, 12739, 257, 3912, 286, 1366, 45069, 13]",0.5,229,ml_signal,53,"Function uses a service to query data, indicating a pattern of data retrieval.",,201,        query_setting: List[QueryStockQuoteSetting] = QueryStockQuoteSetting.query_data(,"[220, 220, 220, 220, 220, 220, 220, 12405, 62, 33990, 25, 7343, 58, 20746, 26207, 25178, 34149, 60, 796, 43301, 26207, 25178, 34149, 13, 22766, 62, 7890, 7]"
✅ Best Practice: Use of decorators to define HTTP endpoints improves code organization and readability.,"[26486, 227, 6705, 19939, 25, 5765, 286, 11705, 2024, 284, 8160, 14626, 886, 13033, 19575, 2438, 4009, 290, 1100, 1799, 13]",0.5,241,best_practice,56,Use of decorators to define HTTP endpoints improves code organization and readability.,,229,        if query_setting:,"[220, 220, 220, 220, 220, 220, 220, 611, 12405, 62, 33990, 25]"
🧠 ML Signal: Function signature indicates a pattern of querying stock quotes,"[8582, 100, 254, 10373, 26484, 25, 15553, 9877, 9217, 257, 3912, 286, 42517, 1112, 4283, 13386]",0.5,253,ml_signal,56,Function signature indicates a pattern of querying stock quotes,,241,        if query_setting:,"[220, 220, 220, 220, 220, 220, 220, 611, 12405, 62, 33990, 25]"
"🧠 ML Signal: Usage of a service to query stock quotes, indicating a common pattern in trading applications","[8582, 100, 254, 10373, 26484, 25, 29566, 286, 257, 2139, 284, 12405, 4283, 13386, 11, 12739, 257, 2219, 3912, 287, 7313, 5479]",0.5,262,ml_signal,58,"Usage of a service to query stock quotes, indicating a common pattern in trading applications",,253,        return None,"[220, 220, 220, 220, 220, 220, 220, 1441, 6045]"
