annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
✅ Best Practice: Ensures compatibility with future Python versions for type annotations.,"[26486, 227, 6705, 19939, 25, 48221, 942, 17764, 351, 2003, 11361, 6300, 329, 2099, 37647, 13]",0.5,7,best_practice,2,Ensures compatibility with future Python versions for type annotations.,,0,# Licensed under the MIT License.,"[2, 49962, 739, 262, 17168, 13789, 13]"
✅ Best Practice: Grouping imports from the same module on a single line improves readability.,"[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 422, 262, 976, 8265, 319, 257, 2060, 1627, 19575, 1100, 1799, 13]",0.5,9,best_practice,6,Grouping imports from the same module on a single line improves readability.,,7,import typing,"[11748, 19720]"
✅ Best Practice: Importing libraries with common aliases improves code readability.,"[26486, 227, 6705, 19939, 25, 17267, 278, 12782, 351, 2219, 47217, 19575, 2438, 1100, 1799, 13]",0.5,15,best_practice,10,Importing libraries with common aliases improves code readability.,,9,import pandas as pd,"[11748, 19798, 292, 355, 279, 67]"
🧠 ML Signal: Importing specific classes from a module indicates focused usage of the library.,"[8582, 100, 254, 10373, 26484, 25, 17267, 278, 2176, 6097, 422, 257, 8265, 9217, 5670, 8748, 286, 262, 5888, 13]",0.5,23,ml_signal,11,Importing specific classes from a module indicates focused usage of the library.,,15,from qlib.backtest import Order,"[6738, 10662, 8019, 13, 1891, 9288, 1330, 8284]"
🧠 ML Signal: Usage of TypedDict suggests structured data handling.,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 17134, 276, 35, 713, 5644, 20793, 1366, 9041, 13]",0.5,35,ml_signal,18,Usage of TypedDict suggests structured data handling.,,23,class SAOEMetrics(TypedDict):,"[4871, 14719, 46, 3620, 316, 10466, 7, 31467, 276, 35, 713, 2599]"
✅ Best Practice: Conditional imports for type checking improve performance and avoid circular dependencies.,"[26486, 227, 6705, 19939, 25, 9724, 1859, 17944, 329, 2099, 10627, 2987, 2854, 290, 3368, 18620, 20086, 13]",1.0,66,best_practice,20,Conditional imports for type checking improve performance and avoid circular dependencies.,,35,"    It could be accumulated for a day, or a period of time (e.g., 30min), or calculated separately for every minute.","[220, 220, 220, 632, 714, 307, 22425, 329, 257, 1110, 11, 393, 257, 2278, 286, 640, 357, 68, 13, 70, 1539, 1542, 1084, 828, 393, 10488, 13869, 329, 790, 5664, 13]"
✅ Best Practice: Use of type hints improves code readability and maintainability.,"[26486, 227, 6705, 19939, 25, 5765, 286, 2099, 20269, 19575, 2438, 1100, 1799, 290, 5529, 1799, 13]",0.5,78,best_practice,18,Use of type hints improves code readability and maintainability.,,66,class SAOEMetrics(TypedDict):,"[4871, 14719, 46, 3620, 316, 10466, 7, 31467, 276, 35, 713, 2599]"
✅ Best Practice: Use of type hints improves code readability and maintainability.,"[26486, 227, 6705, 19939, 25, 5765, 286, 2099, 20269, 19575, 2438, 1100, 1799, 290, 5529, 1799, 13]",0.5,78,best_practice,21,Use of type hints improves code readability and maintainability.,,78,,[]
✅ Best Practice: Use of type hints improves code readability and maintainability.,"[26486, 227, 6705, 19939, 25, 5765, 286, 2099, 20269, 19575, 2438, 1100, 1799, 290, 5529, 1799, 13]",0.5,100,best_practice,24,Use of type hints improves code readability and maintainability.,,78,"    The type hints are for single elements. In lots of times, they can be vectorized.","[220, 220, 220, 383, 2099, 20269, 389, 329, 2060, 4847, 13, 554, 6041, 286, 1661, 11, 484, 460, 307, 15879, 1143, 13]"
✅ Best Practice: Use of type hints improves code readability and maintainability.,"[26486, 227, 6705, 19939, 25, 5765, 286, 2099, 20269, 19575, 2438, 1100, 1799, 290, 5529, 1799, 13]",0.5,100,best_practice,27,Use of type hints improves code readability and maintainability.,,100,,[]
✅ Best Practice: Use of type hints improves code readability and maintainability.,"[26486, 227, 6705, 19939, 25, 5765, 286, 2099, 20269, 19575, 2438, 1100, 1799, 290, 5529, 1799, 13]",0.5,118,best_practice,30,Use of type hints improves code readability and maintainability.,,100,    datetime: pd.Timestamp | pd.DatetimeIndex,"[220, 220, 220, 4818, 8079, 25, 279, 67, 13, 14967, 27823, 930, 279, 67, 13, 27354, 8079, 15732]"
