annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
✅ Best Practice: Consider adding a module-level docstring to describe the purpose and usage of the module.,"[26486, 227, 6705, 19939, 25, 12642, 4375, 257, 8265, 12, 5715, 2205, 8841, 284, 6901, 262, 4007, 290, 8748, 286, 262, 8265, 13]",0.5,8,best_practice,1,Consider adding a module-level docstring to describe the purpose and usage of the module.,,0,# Copyright (c) Microsoft Corporation.,"[2, 15069, 357, 66, 8, 5413, 10501, 13]"
✅ Best Practice: Import only necessary components to avoid unnecessary dependencies.,"[26486, 227, 6705, 19939, 25, 17267, 691, 3306, 6805, 284, 3368, 13114, 20086, 13]",0.5,37,best_practice,11,Import only necessary components to avoid unnecessary dependencies.,,8,"reduce: {(A,B): {C1: object, C2: object}} -> {(A,B): object}","[445, 7234, 25, 1391, 7, 32, 11, 33, 2599, 1391, 34, 16, 25, 2134, 11, 327, 17, 25, 2134, 11709, 4613, 1391, 7, 32, 11, 33, 2599, 2134, 92]"
✅ Best Practice: Import only necessary components to avoid unnecessary dependencies.,"[26486, 227, 6705, 19939, 25, 17267, 691, 3306, 6805, 284, 3368, 13114, 20086, 13]",0.5,38,best_practice,13,Import only necessary components to avoid unnecessary dependencies.,,37,"""""""",[37811]
✅ Best Practice: Use of docstring to describe the purpose of the class,"[26486, 227, 6705, 19939, 25, 5765, 286, 2205, 8841, 284, 6901, 262, 4007, 286, 262, 1398]",0.5,39,best_practice,13,Use of docstring to describe the purpose of the class,,38,"""""""",[37811]
✅ Best Practice: Use of descriptive variable names improves code readability.,"[26486, 227, 6705, 19939, 25, 5765, 286, 35644, 7885, 3891, 19575, 2438, 1100, 1799, 13]",1.0,39,best_practice,22,Use of descriptive variable names improves code readability.,,39,,[]
✅ Best Practice: Use of type hints for 'ens' parameter improves code readability and maintainability.,"[26486, 227, 6705, 19939, 25, 5765, 286, 2099, 20269, 329, 705, 641, 6, 11507, 19575, 2438, 1100, 1799, 290, 5529, 1799, 13]",1.0,47,best_practice,24,Use of type hints for 'ens' parameter improves code readability and maintainability.,,39,"        """"""","[220, 220, 220, 220, 220, 220, 220, 37227]"
✅ Best Practice: Use of isinstance to check if _group_func is a Callable ensures type safety.,"[26486, 227, 6705, 19939, 25, 5765, 286, 318, 39098, 284, 2198, 611, 4808, 8094, 62, 20786, 318, 257, 4889, 540, 19047, 2099, 3747, 13]",1.0,47,best_practice,31,Use of isinstance to check if _group_func is a Callable ensures type safety.,,47,,[]
🧠 ML Signal: Dynamic function calls using instance attributes.,"[8582, 100, 254, 10373, 26484, 25, 26977, 2163, 3848, 1262, 4554, 12608, 13]",0.5,63,ml_signal,32,Dynamic function calls using instance attributes.,,47,            Defaults to None.,"[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 2896, 13185, 284, 6045, 13]"
⚠️ SAST Risk (Low): Use of f-string for exception message could expose internal attribute names.,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 5765, 286, 277, 12, 8841, 329, 6631, 3275, 714, 15651, 5387, 11688, 3891, 13]",0.5,79,sast_risk,36,Use of f-string for exception message could expose internal attribute names.,Low,63,        self._group_func = group_func,"[220, 220, 220, 220, 220, 220, 220, 2116, 13557, 8094, 62, 20786, 796, 1448, 62, 20786]"
✅ Best Practice: Use of isinstance to check if an attribute is a Callable,"[26486, 227, 6705, 19939, 25, 5765, 286, 318, 39098, 284, 2198, 611, 281, 11688, 318, 257, 4889, 540]",1.0,79,best_practice,42,Use of isinstance to check if an attribute is a Callable,,79,,[]
