annotation,annotation_tokens,confidence,end_token,label,line,reason,start_token,text,tokens
✅ Best Practice: Import only necessary functions or classes to improve readability and performance,"[26486, 227, 6705, 19939, 25, 17267, 691, 3306, 5499, 393, 6097, 284, 2987, 1100, 1799, 290, 2854]",0.5,0,best_practice,2,Import only necessary functions or classes to improve readability and performance,0,,[]
✅ Best Practice: Avoid using private modules or functions as they may change without notice,"[26486, 227, 6705, 19939, 25, 24390, 1262, 2839, 13103, 393, 5499, 355, 484, 743, 1487, 1231, 4003]",0.5,13,best_practice,4,Avoid using private modules or functions as they may change without notice,0,from jqdatapy.api import get_fundamentals,"[6738, 474, 80, 19608, 12826, 13, 15042, 1330, 651, 62, 10990, 3263, 874]"
🧠 ML Signal: Inheritance from TimeSeriesDataRecorder indicates a pattern for time series data handling,"[8582, 100, 254, 10373, 26484, 25, 47025, 42942, 422, 3862, 27996, 6601, 6690, 2875, 9217, 257, 3912, 329, 640, 2168, 1366, 9041]",0.5,34,ml_signal,10,Inheritance from TimeSeriesDataRecorder indicates a pattern for time series data handling,13,from zvt.recorders.joinquant.common import to_jq_entity_id,"[6738, 1976, 36540, 13, 8344, 6361, 13, 7639, 18934, 415, 13, 11321, 1330, 284, 62, 73, 80, 62, 26858, 62, 312]"
🧠 ML Signal: Use of a specific entity provider suggests a pattern for data source selection,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 257, 2176, 9312, 10131, 5644, 257, 3912, 329, 1366, 2723, 6356]",0.5,34,ml_signal,12,Use of a specific entity provider suggests a pattern for data source selection,34,,[]
🧠 ML Signal: Association with a specific schema indicates a pattern for data structure,"[8582, 100, 254, 10373, 26484, 25, 5396, 351, 257, 2176, 32815, 9217, 257, 3912, 329, 1366, 4645]",0.5,50,ml_signal,14,Association with a specific schema indicates a pattern for data structure,34,class JqChinaStockValuationRecorder(TimeSeriesDataRecorder):,"[4871, 449, 80, 14581, 26207, 7762, 2288, 6690, 2875, 7, 7575, 27996, 6601, 6690, 2875, 2599]"
🧠 ML Signal: Consistent use of provider name suggests a pattern for data source consistency,"[8582, 100, 254, 10373, 26484, 25, 3515, 7609, 779, 286, 10131, 1438, 5644, 257, 3912, 329, 1366, 2723, 15794]",0.5,59,ml_signal,16,Consistent use of provider name suggests a pattern for data source consistency,50,    entity_schema = Stock,"[220, 220, 220, 9312, 62, 15952, 2611, 796, 10500]"
🧠 ML Signal: Use of a specific data schema indicates a pattern for data organization,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 257, 2176, 1366, 32815, 9217, 257, 3912, 329, 1366, 4009]",0.5,76,ml_signal,18,Use of a specific data schema indicates a pattern for data organization,59,    # 数据来自jq,"[220, 220, 220, 1303, 10545, 243, 108, 162, 235, 106, 30266, 98, 164, 229, 103, 73, 80]"
✅ Best Practice: Use of max() ensures start date is not before a specific date,"[26486, 227, 6705, 19939, 25, 5765, 286, 3509, 3419, 19047, 923, 3128, 318, 407, 878, 257, 2176, 3128]",1.0,89,best_practice,15,Use of max() ensures start date is not before a specific date,76,"    entity_provider = ""joinquant""","[220, 220, 220, 9312, 62, 15234, 1304, 796, 366, 7639, 18934, 415, 1]"
✅ Best Practice: Use of min() ensures end date does not exceed a specific range,"[26486, 227, 6705, 19939, 25, 5765, 286, 949, 3419, 19047, 886, 3128, 857, 407, 7074, 257, 2176, 2837]",1.0,89,best_practice,17,Use of min() ensures end date does not exceed a specific range,89,,[]
✅ Best Practice: Type hinting for count variable improves code readability,"[26486, 227, 6705, 19939, 25, 5994, 9254, 278, 329, 954, 7885, 19575, 2438, 1100, 1799]",0.5,106,best_practice,18,Type hinting for count variable improves code readability,89,    # 数据来自jq,"[220, 220, 220, 1303, 10545, 243, 108, 162, 235, 106, 30266, 98, 164, 229, 103, 73, 80]"
