annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
✅ Best Practice: Grouping related imports together improves readability and maintainability.,"[26486, 227, 6705, 19939, 25, 4912, 278, 3519, 17944, 1978, 19575, 1100, 1799, 290, 5529, 1799, 13]",0.5,5,best_practice,5,Grouping related imports together improves readability and maintainability.,,0,from typing import Iterable,"[6738, 19720, 1330, 40806, 540]"
"🧠 ML Signal: Function signature with multiple parameters, including optional ones","[8582, 100, 254, 10373, 26484, 25, 15553, 9877, 351, 3294, 10007, 11, 1390, 11902, 3392]",0.5,11,ml_signal,7,"Function signature with multiple parameters, including optional ones",,5,import pandas as pd,"[11748, 19798, 292, 355, 279, 67]"
🧠 ML Signal: Use of a helper function to get data,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 257, 31904, 2163, 284, 651, 1366]",0.5,15,ml_signal,22,Use of a helper function to get data,,11,"    """"""","[220, 220, 220, 37227]"
✅ Best Practice: Use of .copy() to avoid modifying the original DataFrame,"[26486, 227, 6705, 19939, 25, 5765, 286, 764, 30073, 3419, 284, 3368, 30620, 262, 2656, 6060, 19778]",1.0,19,best_practice,22,Use of .copy() to avoid modifying the original DataFrame,,15,"    """"""","[220, 220, 220, 37227]"
✅ Best Practice: Clear and concise DataFrame column operations,"[26486, 227, 6705, 19939, 25, 11459, 290, 35327, 6060, 19778, 5721, 4560]",0.5,30,best_practice,32,Clear and concise DataFrame column operations,,19,"        position=position,","[220, 220, 220, 220, 220, 220, 220, 2292, 28, 9150, 11]"
✅ Best Practice: Use of .dropna() to handle missing data,"[26486, 227, 6705, 19939, 25, 5765, 286, 764, 14781, 2616, 3419, 284, 5412, 4814, 1366]",0.5,45,best_practice,34,Use of .dropna() to handle missing data,,30,"        label_data=label_data,","[220, 220, 220, 220, 220, 220, 220, 6167, 62, 7890, 28, 18242, 62, 7890, 11]"
🧠 ML Signal: Grouping data by a specific level,"[8582, 100, 254, 10373, 26484, 25, 4912, 278, 1366, 416, 257, 2176, 1241]",0.5,60,ml_signal,36,Grouping data by a specific level,,45,"        end_date=end_date,","[220, 220, 220, 220, 220, 220, 220, 886, 62, 4475, 28, 437, 62, 4475, 11]"
🧠 ML Signal: Filtering data based on a specific column value,"[8582, 100, 254, 10373, 26484, 25, 7066, 20212, 1366, 1912, 319, 257, 2176, 5721, 1988]",0.5,68,ml_signal,42,Filtering data based on a specific column value,,60,    result_list = [],"[220, 220, 220, 1255, 62, 4868, 796, 17635]"
✅ Best Practice: Use of vectorized operations for performance,"[26486, 227, 6705, 19939, 25, 5765, 286, 15879, 1143, 4560, 329, 2854]",1.0,68,best_practice,46,Use of vectorized operations for performance,,68,,[]
✅ Best Practice: Conditional expression for division to avoid ZeroDivisionError,"[26486, 227, 6705, 19939, 25, 9724, 1859, 5408, 329, 7297, 284, 3368, 12169, 24095, 1166, 12331]",0.5,93,best_practice,48,Conditional expression for division to avoid ZeroDivisionError,,68,"        _buy_df = day_df[day_df[""status""] == 1]","[220, 220, 220, 220, 220, 220, 220, 4808, 17846, 62, 7568, 796, 1110, 62, 7568, 58, 820, 62, 7568, 14692, 13376, 8973, 6624, 352, 60]"
