annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
✅ Best Practice: Group standard library imports together at the top.,"[26486, 227, 6705, 19939, 25, 4912, 3210, 5888, 17944, 1978, 379, 262, 1353, 13]",1.0,0,best_practice,3,Group standard library imports together at the top.,,0,,[]
✅ Best Practice: Group third-party library imports together.,"[26486, 227, 6705, 19939, 25, 4912, 2368, 12, 10608, 5888, 17944, 1978, 13]",1.0,3,best_practice,5,Group third-party library imports together.,,0,import importlib,"[11748, 1330, 8019]"
✅ Best Practice: Class attributes should be documented to explain their purpose,"[26486, 227, 6705, 19939, 25, 5016, 12608, 815, 307, 12395, 284, 4727, 511, 4007]",0.5,3,best_practice,9,Class attributes should be documented to explain their purpose,,3,,[]
✅ Best Practice: Use of a single underscore indicates intended private use,"[26486, 227, 6705, 19939, 25, 5765, 286, 257, 2060, 44810, 9217, 5292, 2839, 779]",0.5,13,best_practice,11,Use of a single underscore indicates intended private use,,3,import plotly.graph_objs as go,"[11748, 7110, 306, 13, 34960, 62, 672, 8457, 355, 467]"
✅ Best Practice: Use of default mutable arguments (dict) is avoided by using None and initializing inside the method.,"[26486, 227, 6705, 19939, 25, 5765, 286, 4277, 4517, 540, 7159, 357, 11600, 8, 318, 13941, 416, 1262, 6045, 290, 4238, 2890, 2641, 262, 2446, 13]",1.0,24,best_practice,25,Use of default mutable arguments (dict) is avoided by using None and initializing inside the method.,,13,        :param df:,"[220, 220, 220, 220, 220, 220, 220, 1058, 17143, 47764, 25]"
✅ Best Practice: Use of default mutable arguments (dict) is avoided by using None and initializing inside the method.,"[26486, 227, 6705, 19939, 25, 5765, 286, 4277, 4517, 540, 7159, 357, 11600, 8, 318, 13941, 416, 1262, 6045, 290, 4238, 2890, 2641, 262, 2446, 13]",1.0,38,best_practice,27,Use of default mutable arguments (dict) is avoided by using None and initializing inside the method.,,24,        :param graph_kwargs:,"[220, 220, 220, 220, 220, 220, 220, 1058, 17143, 4823, 62, 46265, 22046, 25]"
✅ Best Practice: Use of default mutable arguments (dict) is avoided by using None and initializing inside the method.,"[26486, 227, 6705, 19939, 25, 5765, 286, 4277, 4517, 540, 7159, 357, 11600, 8, 318, 13941, 416, 1262, 6045, 290, 4238, 2890, 2641, 262, 2446, 13]",1.0,51,best_practice,29,Use of default mutable arguments (dict) is avoided by using None and initializing inside the method.,,38,        :param kwargs:,"[220, 220, 220, 220, 220, 220, 220, 1058, 17143, 479, 86, 22046, 25]"
"🧠 ML Signal: Method call with variable arguments, indicating dynamic behavior.","[8582, 100, 254, 10373, 26484, 25, 11789, 869, 351, 7885, 7159, 11, 12739, 8925, 4069, 13]",1.0,81,ml_signal,33,"Method call with variable arguments, indicating dynamic behavior.",,51,"                Graph parameters, eg: go.Bar(**graph_kwargs)","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 29681, 10007, 11, 29206, 25, 467, 13, 10374, 7, 1174, 34960, 62, 46265, 22046, 8]"
🧠 ML Signal: Method call indicating initialization or setup pattern.,"[8582, 100, 254, 10373, 26484, 25, 11789, 869, 12739, 37588, 393, 9058, 3912, 13]",1.0,81,ml_signal,36,Method call indicating initialization or setup pattern.,,81,,[]
"⚠️ SAST Risk (Low): The function assumes self._df is defined and has an 'empty' attribute, which may not be the case.","[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 383, 2163, 18533, 2116, 13557, 7568, 318, 5447, 290, 468, 281, 705, 28920, 6, 11688, 11, 543, 743, 407, 307, 262, 1339, 13]",0.5,81,sast_risk,36,"The function assumes self._df is defined and has an 'empty' attribute, which may not be the case.",Low,81,,[]
