annotation,annotation_tokens,confidence,end_token,label,line,reason,start_token,text,tokens
✅ Best Practice: Grouping imports from the same module together improves readability.,"[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 422, 262, 976, 8265, 1978, 19575, 1100, 1799, 13]",0.5,0,best_practice,3,Grouping imports from the same module together improves readability.,0,,[]
✅ Best Practice: Grouping imports from the same module together improves readability.,"[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 422, 262, 976, 8265, 1978, 19575, 1100, 1799, 13]",0.5,0,best_practice,5,Grouping imports from the same module together improves readability.,0,,[]
🧠 ML Signal: Function definition with specific parameter types indicates usage patterns,"[8582, 100, 254, 10373, 26484, 25, 15553, 6770, 351, 2176, 11507, 3858, 9217, 8748, 7572]",0.5,0,ml_signal,5,Function definition with specific parameter types indicates usage patterns,0,,[]
🧠 ML Signal: Conversion function usage indicates data normalization pattern,"[8582, 100, 254, 10373, 26484, 25, 44101, 2163, 8748, 9217, 1366, 3487, 1634, 3912]",0.5,16,ml_signal,7,Conversion function usage indicates data normalization pattern,0,from zvt.utils.time_utils import to_pd_timestamp,"[6738, 1976, 36540, 13, 26791, 13, 2435, 62, 26791, 1330, 284, 62, 30094, 62, 16514, 27823]"
🧠 ML Signal: Conversion function usage indicates data normalization pattern,"[8582, 100, 254, 10373, 26484, 25, 44101, 2163, 8748, 9217, 1366, 3487, 1634, 3912]",0.5,16,ml_signal,9,Conversion function usage indicates data normalization pattern,16,,[]
✅ Best Practice: Use of enum for level improves code readability and maintainability,"[26486, 227, 6705, 19939, 25, 5765, 286, 33829, 329, 1241, 19575, 2438, 1100, 1799, 290, 5529, 1799]",0.5,32,best_practice,11,Use of enum for level improves code readability and maintainability,16,    t1 = to_pd_timestamp(t1),"[220, 220, 220, 256, 16, 796, 284, 62, 30094, 62, 16514, 27823, 7, 83, 16, 8]"
✅ Best Practice: Direct comparison of attributes for logic clarity,"[26486, 227, 6705, 19939, 25, 4128, 7208, 286, 12608, 329, 9156, 16287]",0.5,49,best_practice,13,Direct comparison of attributes for logic clarity,32,    if level == IntervalLevel.LEVEL_1WEEK:,"[220, 220, 220, 611, 1241, 6624, 4225, 2100, 4971, 13, 2538, 18697, 62, 16, 54, 33823, 25]"
✅ Best Practice: Use of enum for level improves code readability and maintainability,"[26486, 227, 6705, 19939, 25, 5765, 286, 33829, 329, 1241, 19575, 2438, 1100, 1799, 290, 5529, 1799]",0.5,66,best_practice,16,Use of enum for level improves code readability and maintainability,49,        return t1.month == t2.month,"[220, 220, 220, 220, 220, 220, 220, 1441, 256, 16, 13, 8424, 6624, 256, 17, 13, 8424]"
✅ Best Practice: Direct comparison of attributes for logic clarity,"[26486, 227, 6705, 19939, 25, 4128, 7208, 286, 12608, 329, 9156, 16287]",0.5,83,best_practice,16,Direct comparison of attributes for logic clarity,66,        return t1.month == t2.month,"[220, 220, 220, 220, 220, 220, 220, 1441, 256, 16, 13, 8424, 6624, 256, 17, 13, 8424]"
✅ Best Practice: Use of method calls for abstraction and reusability,"[26486, 227, 6705, 19939, 25, 5765, 286, 2446, 3848, 329, 34651, 290, 302, 385, 1799]",0.5,100,best_practice,16,Use of method calls for abstraction and reusability,83,        return t1.month == t2.month,"[220, 220, 220, 220, 220, 220, 220, 1441, 256, 16, 13, 8424, 6624, 256, 17, 13, 8424]"
