annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
"🧠 ML Signal: Mapping of financial terms to their corresponding codes, useful for feature extraction in ML models","[8582, 100, 254, 10373, 26484, 25, 337, 5912, 286, 3176, 2846, 284, 511, 11188, 12416, 11, 4465, 329, 3895, 22236, 287, 10373, 4981]",1.0,19,ml_signal,6,"Mapping of financial terms to their corresponding codes, useful for feature extraction in ML models",,0,"from zvt.utils.utils import add_func_to_value, to_float","[6738, 1976, 36540, 13, 26791, 13, 26791, 1330, 751, 62, 20786, 62, 1462, 62, 8367, 11, 284, 62, 22468]"
✅ Best Practice: Using a utility function to apply transformations to dictionary values,"[26486, 227, 6705, 19939, 25, 8554, 257, 10361, 2163, 284, 4174, 38226, 284, 22155, 3815]",1.0,38,best_practice,67,Using a utility function to apply transformations to dictionary values,,19,    # 财务风险指标,"[220, 220, 220, 1303, 5525, 112, 95, 27950, 94, 45617, 236, 165, 247, 102, 162, 234, 229, 43718, 229]"
✅ Best Practice: Adding additional keys with tuple values for complex transformations,"[26486, 227, 6705, 19939, 25, 18247, 3224, 8251, 351, 46545, 3815, 329, 3716, 38226]",0.5,53,best_practice,70,Adding additional keys with tuple values for complex transformations,,38,"    ""current_ratio"": ""Liquidityratio"",","[220, 220, 220, 366, 14421, 62, 10366, 952, 1298, 366, 41966, 414, 10366, 952, 1600]"
"🧠 ML Signal: Class definition with inheritance, useful for understanding class hierarchies and relationships","[8582, 100, 254, 10373, 26484, 25, 5016, 6770, 351, 24155, 11, 4465, 329, 4547, 1398, 28398, 444, 290, 6958]",0.5,57,ml_signal,68,"Class definition with inheritance, useful for understanding class hierarchies and relationships",,53,    #,"[220, 220, 220, 1303]"
"⚠️ SAST Risk (Low): Hardcoded URL, potential for misuse if URL changes or is sensitive","[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 6912, 40976, 10289, 11, 2785, 329, 29169, 611, 10289, 2458, 393, 318, 8564]",0.5,72,sast_risk,70,"Hardcoded URL, potential for misuse if URL changes or is sensitive",Low,57,"    ""current_ratio"": ""Liquidityratio"",","[220, 220, 220, 366, 14421, 62, 10366, 952, 1298, 366, 41966, 414, 10366, 952, 1600]"
"🧠 ML Signal: Hardcoded URL, useful for identifying API endpoints and network interactions","[8582, 100, 254, 10373, 26484, 25, 6912, 40976, 10289, 11, 4465, 329, 13720, 7824, 886, 13033, 290, 3127, 12213]",0.5,87,ml_signal,71,"Hardcoded URL, useful for identifying API endpoints and network interactions",,72,    # 速动比率,"[220, 220, 220, 1303, 16268, 222, 253, 27950, 101, 162, 107, 242, 163, 236, 229]"
"🧠 ML Signal: Hardcoded string, useful for understanding constant values and configurations","[8582, 100, 254, 10373, 26484, 25, 6912, 40976, 4731, 11, 4465, 329, 4547, 6937, 3815, 290, 25412]",0.5,106,ml_signal,73,"Hardcoded string, useful for understanding constant values and configurations",,87,    # 现金流量比率,"[220, 220, 220, 1303, 13328, 236, 108, 34932, 239, 38184, 223, 34932, 237, 162, 107, 242, 163, 236, 229]"
"🧠 ML Signal: Assignment of a class to a variable, useful for understanding data models and schemas","[8582, 100, 254, 10373, 26484, 25, 50144, 286, 257, 1398, 284, 257, 7885, 11, 4465, 329, 4547, 1366, 4981, 290, 3897, 5356]",0.5,124,ml_signal,75,"Assignment of a class to a variable, useful for understanding data models and schemas",,106,    # 资产负债率,"[220, 220, 220, 1303, 5525, 113, 226, 12859, 100, 164, 112, 253, 161, 222, 118, 163, 236, 229]"
"🧠 ML Signal: Hardcoded integer, useful for understanding constant values and configurations","[8582, 100, 254, 10373, 26484, 25, 6912, 40976, 18253, 11, 4465, 329, 4547, 6937, 3815, 290, 25412]",0.5,137,ml_signal,77,"Hardcoded integer, useful for understanding constant values and configurations",,124,    # 权益乘数,"[220, 220, 220, 1303, 10545, 251, 225, 33566, 232, 20046, 246, 46763, 108]"
✅ Best Practice: Method should have a docstring to describe its purpose and behavior,"[26486, 227, 6705, 19939, 25, 11789, 815, 423, 257, 2205, 8841, 284, 6901, 663, 4007, 290, 4069]",0.5,151,best_practice,72,Method should have a docstring to describe its purpose and behavior,,137,"    ""quick_ratio"": ""Quickratio"",","[220, 220, 220, 366, 24209, 62, 10366, 952, 1298, 366, 21063, 10366, 952, 1600]"
⚠️ SAST Risk (Low): finance_factor_map is used without being defined in this scope,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 9604, 62, 31412, 62, 8899, 318, 973, 1231, 852, 5447, 287, 428, 8354]",0.5,168,sast_risk,74,finance_factor_map is used without being defined in this scope,Low,151,"    ""cash_flow_ratio"": ""Cashflowratio"",","[220, 220, 220, 366, 30350, 62, 11125, 62, 10366, 952, 1298, 366, 35361, 11125, 10366, 952, 1600]"
