annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
✅ Best Practice: Use of logging module for logging is a good practice for tracking and debugging.,"[26486, 227, 6705, 19939, 25, 5765, 286, 18931, 8265, 329, 18931, 318, 257, 922, 3357, 329, 9646, 290, 28769, 13]",1.0,17,best_practice,11,Use of logging module for logging is a good practice for tracking and debugging.,,0,from zvt.recorders.qmt.meta import QMTStockRecorder,"[6738, 1976, 36540, 13, 8344, 6361, 13, 80, 16762, 13, 28961, 1330, 1195, 13752, 26207, 6690, 2875]"
🧠 ML Signal: Function with a boolean parameter indicating optional behavior,"[8582, 100, 254, 10373, 26484, 25, 15553, 351, 257, 25131, 11507, 12739, 11902, 4069]",0.5,34,ml_signal,11,Function with a boolean parameter indicating optional behavior,,17,from zvt.recorders.qmt.meta import QMTStockRecorder,"[6738, 1976, 36540, 13, 8344, 6361, 13, 80, 16762, 13, 28961, 1330, 1195, 13752, 26207, 6690, 2875]"
"🧠 ML Signal: External library function call, indicating dependency on xtdata","[8582, 100, 254, 10373, 26484, 25, 34579, 5888, 2163, 869, 11, 12739, 20203, 319, 220, 742, 7890]",1.0,47,ml_signal,14,"External library function call, indicating dependency on xtdata",,34,logger = logging.getLogger(__name__),"[6404, 1362, 796, 18931, 13, 1136, 11187, 1362, 7, 834, 3672, 834, 8]"
"🧠 ML Signal: Function call to retrieve stock codes, indicating data retrieval pattern","[8582, 100, 254, 10373, 26484, 25, 15553, 869, 284, 19818, 4283, 12416, 11, 12739, 1366, 45069, 3912]",1.0,47,ml_signal,16,"Function call to retrieve stock codes, indicating data retrieval pattern",,47,,[]
✅ Best Practice: Sorting data for consistent processing,"[26486, 227, 6705, 19939, 25, 311, 24707, 1366, 329, 6414, 7587]",1.0,56,best_practice,18,Sorting data for consistent processing,,47,"    period = ""1d""","[220, 220, 220, 2278, 796, 366, 16, 67, 1]"
"🧠 ML Signal: Counting elements in a list, indicating data size measurement","[8582, 100, 254, 10373, 26484, 25, 2764, 278, 4847, 287, 257, 1351, 11, 12739, 1366, 2546, 15558]",1.0,70,ml_signal,20,"Counting elements in a list, indicating data size measurement",,56,    stock_codes = get_qmt_stocks(),"[220, 220, 220, 4283, 62, 40148, 796, 651, 62, 80, 16762, 62, 29522, 3419]"
"🧠 ML Signal: Use of a dictionary to track status, indicating state management pattern","[8582, 100, 254, 10373, 26484, 25, 5765, 286, 257, 22155, 284, 2610, 3722, 11, 12739, 1181, 4542, 3912]",0.5,81,ml_signal,22,"Use of a dictionary to track status, indicating state management pattern",,70,    count = len(stock_codes),"[220, 220, 220, 954, 796, 18896, 7, 13578, 62, 40148, 8]"
"⚠️ SAST Risk (Medium): Default argument value is mutable, which can lead to unexpected behavior","[158, 248, 254, 37929, 311, 11262, 19602, 357, 31205, 2599, 15161, 4578, 1988, 318, 4517, 540, 11, 543, 460, 1085, 284, 10059, 4069]",0.5,94,sast_risk,19,"Default argument value is mutable, which can lead to unexpected behavior",Medium,81,    xtdata.download_sector_data(),"[220, 220, 220, 220, 742, 7890, 13, 15002, 62, 34914, 62, 7890, 3419]"
🧠 ML Signal: Usage of callback pattern,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 23838, 3912]",1.0,107,ml_signal,28,Usage of callback pattern,,94,"        total = data[""total""]","[220, 220, 220, 220, 220, 220, 220, 2472, 796, 1366, 14692, 23350, 8973]"
🧠 ML Signal: Usage of custom recorder classes,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 2183, 38156, 6097]",0.5,122,ml_signal,40,Usage of custom recorder classes,,107,"        if download_status[""ok""]:","[220, 220, 220, 220, 220, 220, 220, 611, 4321, 62, 13376, 14692, 482, 1, 5974]"
