annotation,annotation_tokens,confidence,end_token,label,line,reason,start_token,text,tokens
✅ Best Practice: Grouping imports from the same module together improves readability.,"[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 422, 262, 976, 8265, 1978, 19575, 1100, 1799, 13]",1.0,0,best_practice,2,Grouping imports from the same module together improves readability.,0,,[]
✅ Best Practice: Class definition should include a docstring to describe its purpose and usage.,"[26486, 227, 6705, 19939, 25, 5016, 6770, 815, 2291, 257, 2205, 8841, 284, 6901, 663, 4007, 290, 8748, 13]",1.0,15,best_practice,5,Class definition should include a docstring to describe its purpose and usage.,0,from zvt.domain.meta.cbond_meta import CBond,"[6738, 1976, 36540, 13, 27830, 13, 28961, 13, 21101, 623, 62, 28961, 1330, 10078, 623]"
✅ Best Practice: Class attributes should be documented to explain their purpose.,"[26486, 227, 6705, 19939, 25, 5016, 12608, 815, 307, 12395, 284, 4727, 511, 4007, 13]",1.0,15,best_practice,7,Class attributes should be documented to explain their purpose.,15,,[]
✅ Best Practice: Class attributes should be documented to explain their purpose.,"[26486, 227, 6705, 19939, 25, 5016, 12608, 815, 307, 12395, 284, 4727, 511, 4007, 13]",1.0,26,best_practice,9,Class attributes should be documented to explain their purpose.,15,class EMCBondRecorder(Recorder):,"[4871, 412, 9655, 33, 623, 6690, 2875, 7, 6690, 2875, 2599]"
🧠 ML Signal: Usage of external API to fetch data,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 7097, 7824, 284, 21207, 1366]",1.0,37,ml_signal,9,Usage of external API to fetch data,26,class EMCBondRecorder(Recorder):,"[4871, 412, 9655, 33, 623, 6690, 2875, 7, 6690, 2875, 2599]"
🧠 ML Signal: Logging of data for monitoring or debugging,"[8582, 100, 254, 10373, 26484, 25, 5972, 2667, 286, 1366, 329, 9904, 393, 28769]",1.0,47,ml_signal,11,Logging of data for monitoring or debugging,37,    data_schema = CBond,"[220, 220, 220, 1366, 62, 15952, 2611, 796, 10078, 623]"
🧠 ML Signal: Data persistence pattern,"[8582, 100, 254, 10373, 26484, 25, 6060, 30802, 3912]",1.0,55,ml_signal,13,Data persistence pattern,47,    def run(self):,"[220, 220, 220, 825, 1057, 7, 944, 2599]"
🧠 ML Signal: Entry point for script execution,"[8582, 100, 254, 10373, 26484, 25, 21617, 966, 329, 4226, 9706]",0.5,71,ml_signal,15,Entry point for script execution,55,        self.logger.info(df),"[220, 220, 220, 220, 220, 220, 220, 2116, 13, 6404, 1362, 13, 10951, 7, 7568, 8]"
🧠 ML Signal: Method invocation on an object,"[8582, 100, 254, 10373, 26484, 25, 11789, 43219, 319, 281, 2134]",1.0,87,ml_signal,15,Method invocation on an object,71,        self.logger.info(df),"[220, 220, 220, 220, 220, 220, 220, 2116, 13, 6404, 1362, 13, 10951, 7, 7568, 8]"
✅ Best Practice: Use of __all__ to define public API of the module,"[26486, 227, 6705, 19939, 25, 5765, 286, 11593, 439, 834, 284, 8160, 1171, 7824, 286, 262, 8265]",1.0,103,best_practice,15,Use of __all__ to define public API of the module,87,        self.logger.info(df),"[220, 220, 220, 220, 220, 220, 220, 2116, 13, 6404, 1362, 13, 10951, 7, 7568, 8]"
