annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
✅ Best Practice: Consider using new-style classes by inheriting from 'object' for Python 2 compatibility.,"[26486, 227, 6705, 19939, 25, 12642, 1262, 649, 12, 7635, 6097, 416, 10639, 1780, 422, 705, 15252, 6, 329, 11361, 362, 17764, 13]",0.5,18,best_practice,12,Consider using new-style classes by inheriting from 'object' for Python 2 compatibility.,,0,from zvt.utils.pd_utils import pd_is_not_null,"[6738, 1976, 36540, 13, 26791, 13, 30094, 62, 26791, 1330, 279, 67, 62, 271, 62, 1662, 62, 8423]"
✅ Best Practice: Include a docstring to describe the parameters and return type,"[26486, 227, 6705, 19939, 25, 40348, 257, 2205, 8841, 284, 6901, 262, 10007, 290, 1441, 2099]",0.5,41,best_practice,13,Include a docstring to describe the parameters and return type,,18,"from zvt.utils.time_utils import to_pd_timestamp, now_pd_timestamp","[6738, 1976, 36540, 13, 26791, 13, 2435, 62, 26791, 1330, 284, 62, 30094, 62, 16514, 27823, 11, 783, 62, 30094, 62, 16514, 27823]"
✅ Best Practice: Raise NotImplementedError to indicate that this method should be overridden,"[26486, 227, 6705, 19939, 25, 35123, 1892, 3546, 1154, 12061, 12331, 284, 7603, 326, 428, 2446, 815, 307, 23170, 4651]",0.5,64,best_practice,17,Raise NotImplementedError to indicate that this method should be overridden,,41,"    def on_data_loaded(self, data: pd.DataFrame) -> object:","[220, 220, 220, 825, 319, 62, 7890, 62, 14578, 7, 944, 11, 1366, 25, 279, 67, 13, 6601, 19778, 8, 4613, 2134, 25]"
✅ Best Practice: Method docstring is present but should describe parameters and return value,"[26486, 227, 6705, 19939, 25, 11789, 2205, 8841, 318, 1944, 475, 815, 6901, 10007, 290, 1441, 1988]",0.5,87,best_practice,17,Method docstring is present but should describe parameters and return value,,64,"    def on_data_loaded(self, data: pd.DataFrame) -> object:","[220, 220, 220, 825, 319, 62, 7890, 62, 14578, 7, 944, 11, 1366, 25, 279, 67, 13, 6601, 19778, 8, 4613, 2134, 25]"
✅ Best Practice: Type hinting for parameters and return value improves code readability,"[26486, 227, 6705, 19939, 25, 5994, 9254, 278, 329, 10007, 290, 1441, 1988, 19575, 2438, 1100, 1799]",0.5,95,best_practice,18,Type hinting for parameters and return value improves code readability,,87,"        """"""","[220, 220, 220, 220, 220, 220, 220, 37227]"
✅ Best Practice: Placeholder for method implementation indicates intentional design,"[26486, 227, 6705, 19939, 25, 8474, 13829, 329, 2446, 7822, 9217, 21391, 1486]",0.5,95,best_practice,23,Placeholder for method implementation indicates intentional design,,95,,[]
✅ Best Practice: Consider adding a docstring description for the return value,"[26486, 227, 6705, 19939, 25, 12642, 4375, 257, 2205, 8841, 6764, 329, 262, 1441, 1988]",1.0,108,best_practice,22,Consider adding a docstring description for the return value,,95,        raise NotImplementedError,"[220, 220, 220, 220, 220, 220, 220, 5298, 1892, 3546, 1154, 12061, 12331]"
✅ Best Practice: Implement the function or raise NotImplementedError to indicate it's a placeholder,"[26486, 227, 6705, 19939, 25, 48282, 262, 2163, 393, 5298, 1892, 3546, 1154, 12061, 12331, 284, 7603, 340, 338, 257, 46076]",1.0,116,best_practice,28,Implement the function or raise NotImplementedError to indicate it's a placeholder,,108,"        """"""","[220, 220, 220, 220, 220, 220, 220, 37227]"
✅ Best Practice: Class should inherit from 'object' explicitly in Python 2.x for new-style classes,"[26486, 227, 6705, 19939, 25, 5016, 815, 16955, 422, 705, 15252, 6, 11777, 287, 11361, 362, 13, 87, 329, 649, 12, 7635, 6097]",0.5,124,best_practice,28,Class should inherit from 'object' explicitly in Python 2.x for new-style classes,,116,"        """"""","[220, 220, 220, 220, 220, 220, 220, 37227]"
"🧠 ML Signal: Custom class definition, useful for model training on class usage patterns","[8582, 100, 254, 10373, 26484, 25, 8562, 1398, 6770, 11, 4465, 329, 2746, 3047, 319, 1398, 8748, 7572]",0.5,137,ml_signal,29,"Custom class definition, useful for model training on class usage patterns",,124,        raise NotImplementedError,"[220, 220, 220, 220, 220, 220, 220, 5298, 1892, 3546, 1154, 12061, 12331]"
