annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
🧠 ML Signal: Usage of logging can indicate important events or errors in the application flow.,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 18931, 460, 7603, 1593, 2995, 393, 8563, 287, 262, 3586, 5202, 13]",0.5,0,ml_signal,6,Usage of logging can indicate important events or errors in the application flow.,,0,,[]
✅ Best Practice: Raising NotImplementedError in abstract methods is a common pattern to enforce implementation in subclasses.,"[26486, 227, 6705, 19939, 25, 7567, 1710, 1892, 3546, 1154, 12061, 12331, 287, 12531, 5050, 318, 257, 2219, 3912, 284, 4605, 7822, 287, 850, 37724, 13]",0.5,0,best_practice,10,Raising NotImplementedError in abstract methods is a common pattern to enforce implementation in subclasses.,,0,,[]
✅ Best Practice: Raising NotImplementedError in abstract methods is a common pattern to enforce implementation in subclasses.,"[26486, 227, 6705, 19939, 25, 7567, 1710, 1892, 3546, 1154, 12061, 12331, 287, 12531, 5050, 318, 257, 2219, 3912, 284, 4605, 7822, 287, 850, 37724, 13]",0.5,0,best_practice,10,Raising NotImplementedError in abstract methods is a common pattern to enforce implementation in subclasses.,,0,,[]
✅ Best Practice: Raising NotImplementedError in abstract methods is a common pattern to enforce implementation in subclasses.,"[26486, 227, 6705, 19939, 25, 7567, 1710, 1892, 3546, 1154, 12061, 12331, 287, 12531, 5050, 318, 257, 2219, 3912, 284, 4605, 7822, 287, 850, 37724, 13]",0.5,0,best_practice,50,Raising NotImplementedError in abstract methods is a common pattern to enforce implementation in subclasses.,,0,,[]
✅ Best Practice: Use of @property decorator for getter method,"[26486, 227, 6705, 19939, 25, 5765, 286, 2488, 26745, 11705, 1352, 329, 651, 353, 2446]",1.0,0,best_practice,50,Use of @property decorator for getter method,,0,,[]
✅ Best Practice: Storing file path as an instance variable,"[26486, 227, 6705, 19939, 25, 520, 3255, 2393, 3108, 355, 281, 4554, 7885]",0.5,8,best_practice,58,Storing file path as an instance variable,,0,        -------,"[220, 220, 220, 220, 220, 220, 220, 35656]"
✅ Best Practice: Lazy loading pattern for connection,"[26486, 227, 6705, 19939, 25, 406, 12582, 11046, 3912, 329, 4637]",0.5,16,best_practice,61,Lazy loading pattern for connection,,8,        Notes,"[220, 220, 220, 220, 220, 220, 220, 11822]"
🧠 ML Signal: Checking for attribute existence before initialization,"[8582, 100, 254, 10373, 26484, 25, 39432, 329, 11688, 6224, 878, 37588]",0.5,35,ml_signal,64,Checking for attribute existence before initialization,,16,"            if isinstance(i, int):","[220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 220, 611, 318, 39098, 7, 72, 11, 493, 2599]"
🧠 ML Signal: Private method for encapsulating connection logic,"[8582, 100, 254, 10373, 26484, 25, 15348, 2446, 329, 32652, 8306, 4637, 9156]",0.5,49,ml_signal,70,Private method for encapsulating connection logic,,35,        raise NotImplementedError(,"[220, 220, 220, 220, 220, 220, 220, 5298, 1892, 3546, 1154, 12061, 12331, 7]"
⚠️ SAST Risk (Low): Potential file handling risk if file_path is not validated,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 32480, 2393, 9041, 2526, 611, 2393, 62, 6978, 318, 407, 31031]",0.5,63,sast_risk,70,Potential file handling risk if file_path is not validated,Low,49,        raise NotImplementedError(,"[220, 220, 220, 220, 220, 220, 220, 5298, 1892, 3546, 1154, 12061, 12331, 7]"
