annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
"✅ Best Practice: Group imports into standard library, third-party, and local sections for readability","[26486, 227, 6705, 19939, 25, 4912, 17944, 656, 3210, 5888, 11, 2368, 12, 10608, 11, 290, 1957, 9004, 329, 1100, 1799]",1.0,0,best_practice,2,"Group imports into standard library, third-party, and local sections for readability",,0,,[]
🧠 ML Signal: Custom class definition for stock recording,"[8582, 100, 254, 10373, 26484, 25, 8562, 1398, 6770, 329, 4283, 8296]",0.5,25,ml_signal,8,Custom class definition for stock recording,,0,from zvt.recorders.exchange.exchange_stock_meta_recorder import ExchangeStockMetaRecorder,"[6738, 1976, 36540, 13, 8344, 6361, 13, 1069, 3803, 13, 1069, 3803, 62, 13578, 62, 28961, 62, 8344, 2875, 1330, 12516, 26207, 48526, 6690, 2875]"
🧠 ML Signal: Class attribute for data schema,"[8582, 100, 254, 10373, 26484, 25, 5016, 11688, 329, 1366, 32815]",0.5,43,ml_signal,10,Class attribute for data schema,,25,"from zvt.utils.utils import to_float, pct_to_float","[6738, 1976, 36540, 13, 26791, 13, 26791, 1330, 284, 62, 22468, 11, 279, 310, 62, 1462, 62, 22468]"
🧠 ML Signal: Class attribute for provider information,"[8582, 100, 254, 10373, 26484, 25, 5016, 11688, 329, 10131, 1321]",0.5,43,ml_signal,12,Class attribute for provider information,,43,,[]
"✅ Best Practice: Class definition should follow PEP 8 naming conventions, using CamelCase for class names.","[26486, 227, 6705, 19939, 25, 5016, 6770, 815, 1061, 350, 8905, 807, 19264, 21396, 11, 1262, 43281, 20448, 329, 1398, 3891, 13]",0.5,43,best_practice,11,"Class definition should follow PEP 8 naming conventions, using CamelCase for class names.",,43,,[]
✅ Best Practice: Class attributes should be defined at the top of the class for better readability.,"[26486, 227, 6705, 19939, 25, 5016, 12608, 815, 307, 5447, 379, 262, 1353, 286, 262, 1398, 329, 1365, 1100, 1799, 13]",0.5,57,best_practice,13,Class attributes should be defined at the top of the class for better readability.,,43,class EastmoneyStockRecorder(ExchangeStockMetaRecorder):,"[4871, 3687, 26316, 26207, 6690, 2875, 7, 3109, 3803, 26207, 48526, 6690, 2875, 2599]"
✅ Best Practice: Class attributes should be defined at the top of the class for better readability.,"[26486, 227, 6705, 19939, 25, 5016, 12608, 815, 307, 5447, 379, 262, 1353, 286, 262, 1398, 329, 1365, 1100, 1799, 13]",0.5,66,best_practice,15,Class attributes should be defined at the top of the class for better readability.,,57,"    provider = ""eastmoney""","[220, 220, 220, 10131, 796, 366, 23316, 26316, 1]"
✅ Best Practice: Explicitly call the superclass's __init__ method to ensure proper initialization.,"[26486, 227, 6705, 19939, 25, 11884, 306, 869, 262, 2208, 4871, 338, 11593, 15003, 834, 2446, 284, 4155, 1774, 37588, 13]",1.0,75,best_practice,15,Explicitly call the superclass's __init__ method to ensure proper initialization.,,66,"    provider = ""eastmoney""","[220, 220, 220, 10131, 796, 366, 23316, 26316, 1]"
"🧠 ML Signal: Instantiating and running a specific recorder class, indicating a pattern of data collection.","[8582, 100, 254, 10373, 26484, 25, 2262, 17096, 803, 290, 2491, 257, 2176, 38156, 1398, 11, 12739, 257, 3912, 286, 1366, 4947, 13]",1.0,75,ml_signal,17,"Instantiating and running a specific recorder class, indicating a pattern of data collection.",,75,,[]
✅ Best Practice: Use of conditional logic to handle mutually exclusive parameters.,"[26486, 227, 6705, 19939, 25, 5765, 286, 26340, 9156, 284, 5412, 26519, 8568, 10007, 13]",0.5,87,best_practice,18,Use of conditional logic to handle mutually exclusive parameters.,,75,class EastmoneyStockDetailRecorder(Recorder):,"[4871, 3687, 26316, 26207, 11242, 603, 6690, 2875, 7, 6690, 2875, 2599]"
