annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
"✅ Best Practice: Import statements should be grouped and ordered by standard library, third-party, and local imports","[26486, 227, 6705, 19939, 25, 17267, 6299, 815, 307, 32824, 290, 6149, 416, 3210, 5888, 11, 2368, 12, 10608, 11, 290, 1957, 17944]",0.5,8,best_practice,1,"Import statements should be grouped and ordered by standard library, third-party, and local imports",,0,# Copyright (c) Microsoft Corporation.,"[2, 15069, 357, 66, 8, 5413, 10501, 13]"
✅ Best Practice: Constants should be defined in uppercase,"[26486, 227, 6705, 19939, 25, 4757, 1187, 815, 307, 5447, 287, 334, 39921, 589]",0.5,16,best_practice,15,Constants should be defined in uppercase,,8,from tqdm import tqdm,"[6738, 256, 80, 36020, 1330, 256, 80, 36020]"
✅ Best Practice: Avoid modifying sys.path; consider using a virtual environment or package management,"[26486, 227, 6705, 19939, 25, 24390, 30620, 25064, 13, 6978, 26, 2074, 1262, 257, 7166, 2858, 393, 5301, 4542]",1.0,31,best_practice,18,Avoid modifying sys.path; consider using a virtual environment or package management,,16,CUR_DIR = Path(__file__).resolve().parent,"[34, 4261, 62, 34720, 796, 10644, 7, 834, 7753, 834, 737, 411, 6442, 22446, 8000]"
"✅ Best Practice: Import statements should be grouped and ordered by standard library, third-party, and local imports","[26486, 227, 6705, 19939, 25, 17267, 6299, 815, 307, 32824, 290, 6149, 416, 3210, 5888, 11, 2368, 12, 10608, 11, 290, 1957, 17944]",0.5,41,best_practice,21,"Import statements should be grouped and ordered by standard library, third-party, and local imports",,31,from data_collector.index import IndexBase,"[6738, 1366, 62, 33327, 273, 13, 9630, 1330, 12901, 14881]"
✅ Best Practice: Constants should be defined in uppercase,"[26486, 227, 6705, 19939, 25, 4757, 1187, 815, 307, 5447, 287, 334, 39921, 589]",0.5,51,best_practice,26,Constants should be defined in uppercase,,41,NEW_COMPANIES_URL = (,"[13965, 62, 9858, 47, 1565, 11015, 62, 21886, 796, 357]"
✅ Best Practice: Constants should be defined in uppercase,"[26486, 227, 6705, 19939, 25, 4757, 1187, 815, 307, 5447, 287, 334, 39921, 589]",0.5,254,best_practice,31,Constants should be defined in uppercase,,51,"INDEX_CHANGES_URL = ""https://www.csindex.com.cn/csindex-home/search/search-content?lang=cn&searchInput=%E5%85%B3%E4%BA%8E%E8%B0%83%E6%95%B4%E6%B2%AA%E6%B7%B1300%E5%92%8C%E4%B8%AD%E8%AF%81%E9%A6%99%E6%B8%AF100%E7%AD%89%E6%8C%87%E6%95%B0%E6%A0%B7%E6%9C%AC&pageNum={page_num}&pageSize={page_size}&sortField=date&dateRange=all&contentType=announcement""","[12115, 6369, 62, 3398, 15567, 1546, 62, 21886, 796, 366, 5450, 1378, 2503, 13, 6359, 9630, 13, 785, 13, 31522, 14, 6359, 9630, 12, 11195, 14, 12947, 14, 12947, 12, 11299, 30, 17204, 28, 31522, 5, 12947, 20560, 28, 4, 36, 20, 4, 5332, 4, 33, 18, 4, 36, 19, 4, 4339, 4, 23, 36, 4, 36, 23, 4, 33, 15, 4, 5999, 4, 36, 21, 4, 3865, 4, 33, 19, 4, 36, 21, 4, 33, 17, 4, 3838, 4, 36, 21, 4, 33, 22, 4, 33, 1485, 405, 4, 36, 20, 4, 5892, 4, 23, 34, 4, 36, 19, 4, 33, 23, 4, 2885, 4, 36, 23, 4, 8579, 4, 6659, 4, 36, 24, 4, 32, 21, 4, 2079, 4, 36, 21, 4, 33, 23, 4, 8579, 3064, 4, 36, 22, 4, 2885, 4, 4531, 4, 36, 21, 4, 23, 34, 4, 5774, 4, 36, 21, 4, 3865, 4, 33, 15, 4, 36, 21, 4, 32, 15, 4, 33, 22, 4, 36, 21, 4, 24, 34, 4, 2246, 5, 7700, 33111, 34758, 7700, 62, 22510, 92, 5, 7700, 10699, 34758, 7700, 62, 7857, 92, 5, 30619, 15878, 28, 4475, 5, 4475, 17257, 28, 439, 5, 11299, 6030, 28, 1236, 8652, 434, 1]"
✅ Best Practice: Constants should be defined in uppercase,"[26486, 227, 6705, 19939, 25, 4757, 1187, 815, 307, 5447, 287, 334, 39921, 589]",0.5,324,best_practice,34,Constants should be defined in uppercase,,254,"    ""User-Agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.101 Safari/537.36 Edg/91.0.864.48""","[220, 220, 220, 366, 12982, 12, 36772, 1298, 366, 44, 8590, 5049, 14, 20, 13, 15, 357, 11209, 24563, 838, 13, 15, 26, 7178, 2414, 26, 2124, 2414, 8, 4196, 13908, 20827, 14, 46096, 13, 2623, 357, 42, 28656, 11, 588, 2269, 37549, 8, 13282, 14, 6420, 13, 15, 13, 2598, 4761, 13, 8784, 23298, 14, 46096, 13, 2623, 1717, 70, 14, 6420, 13, 15, 13, 39570, 13, 2780, 1]"
🧠 ML Signal: Usage of decorators can indicate patterns in function behavior or error handling,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 11705, 2024, 460, 7603, 7572, 287, 2163, 4069, 393, 4049, 9041]",0.5,330,ml_signal,38,Usage of decorators can indicate patterns in function behavior or error handling,,324,@deco_retry,"[31, 12501, 78, 62, 1186, 563]"
✅ Best Practice: Use type hinting for the return type of the function,"[26486, 227, 6705, 19939, 25, 5765, 2099, 9254, 278, 329, 262, 1441, 2099, 286, 262, 2163]",1.0,340,best_practice,26,Use type hinting for the return type of the function,,330,NEW_COMPANIES_URL = (,"[13965, 62, 9858, 47, 1565, 11015, 62, 21886, 796, 357]"
"✅ Best Practice: Use a more specific type hint for exclude_status, e.g., List[int]","[26486, 227, 6705, 19939, 25, 5765, 257, 517, 2176, 2099, 9254, 329, 19607, 62, 13376, 11, 304, 13, 70, 1539, 7343, 58, 600, 60]",0.5,341,best_practice,28,"Use a more specific type hint for exclude_status, e.g., List[int]",,340,),[8]
"⚠️ SAST Risk (Medium): getattr can be dangerous if method is not validated, leading to potential security risks","[158, 248, 254, 37929, 311, 11262, 19602, 357, 31205, 2599, 651, 35226, 460, 307, 4923, 611, 2446, 318, 407, 31031, 11, 3756, 284, 2785, 2324, 7476]",0.5,544,sast_risk,31,"getattr can be dangerous if method is not validated, leading to potential security risks",Medium,341,"INDEX_CHANGES_URL = ""https://www.csindex.com.cn/csindex-home/search/search-content?lang=cn&searchInput=%E5%85%B3%E4%BA%8E%E8%B0%83%E6%95%B4%E6%B2%AA%E6%B7%B1300%E5%92%8C%E4%B8%AD%E8%AF%81%E9%A6%99%E6%B8%AF100%E7%AD%89%E6%8C%87%E6%95%B0%E6%A0%B7%E6%9C%AC&pageNum={page_num}&pageSize={page_size}&sortField=date&dateRange=all&contentType=announcement""","[12115, 6369, 62, 3398, 15567, 1546, 62, 21886, 796, 366, 5450, 1378, 2503, 13, 6359, 9630, 13, 785, 13, 31522, 14, 6359, 9630, 12, 11195, 14, 12947, 14, 12947, 12, 11299, 30, 17204, 28, 31522, 5, 12947, 20560, 28, 4, 36, 20, 4, 5332, 4, 33, 18, 4, 36, 19, 4, 4339, 4, 23, 36, 4, 36, 23, 4, 33, 15, 4, 5999, 4, 36, 21, 4, 3865, 4, 33, 19, 4, 36, 21, 4, 33, 17, 4, 3838, 4, 36, 21, 4, 33, 22, 4, 33, 1485, 405, 4, 36, 20, 4, 5892, 4, 23, 34, 4, 36, 19, 4, 33, 23, 4, 2885, 4, 36, 23, 4, 8579, 4, 6659, 4, 36, 24, 4, 32, 21, 4, 2079, 4, 36, 21, 4, 33, 23, 4, 8579, 3064, 4, 36, 22, 4, 2885, 4, 4531, 4, 36, 21, 4, 23, 34, 4, 5774, 4, 36, 21, 4, 3865, 4, 33, 15, 4, 36, 21, 4, 32, 15, 4, 33, 22, 4, 36, 21, 4, 24, 34, 4, 2246, 5, 7700, 33111, 34758, 7700, 62, 22510, 92, 5, 7700, 10699, 34758, 7700, 62, 7857, 92, 5, 30619, 15878, 28, 4475, 5, 4475, 17257, 28, 439, 5, 11299, 6030, 28, 1236, 8652, 434, 1]"
"⚠️ SAST Risk (Medium): No timeout specified for the request, which can lead to hanging connections","[158, 248, 254, 37929, 311, 11262, 19602, 357, 31205, 2599, 1400, 26827, 7368, 329, 262, 2581, 11, 543, 460, 1085, 284, 10938, 8787]",0.5,551,sast_risk,33,"No timeout specified for the request, which can lead to hanging connections",Medium,544,REQ_HEADERS = {,"[2200, 48, 62, 37682, 4877, 796, 1391]"
🧠 ML Signal: Pattern of checking status codes for retry logic,"[8582, 100, 254, 10373, 26484, 25, 23939, 286, 10627, 3722, 12416, 329, 1005, 563, 9156]",0.5,552,ml_signal,35,Pattern of checking status codes for retry logic,,551,},[92]
