annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
"✅ Best Practice: Grouping imports by standard, third-party, and local can improve readability.","[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 416, 3210, 11, 2368, 12, 10608, 11, 290, 1957, 460, 2987, 1100, 1799, 13]",0.5,0,best_practice,3,"Grouping imports by standard, third-party, and local can improve readability.",,0,,[]
🧠 ML Signal: Function with default parameter value,"[8582, 100, 254, 10373, 26484, 25, 15553, 351, 4277, 11507, 1988]",0.5,15,ml_signal,10,Function with default parameter value,,0,from zvt.factors.algorithm import live_or_dead,"[6738, 1976, 36540, 13, 22584, 669, 13, 282, 42289, 1330, 2107, 62, 273, 62, 25124]"
✅ Best Practice: Use isinstance() instead of type() for type checking,"[26486, 227, 6705, 19939, 25, 5765, 318, 39098, 3419, 2427, 286, 2099, 3419, 329, 2099, 10627]",1.0,33,best_practice,12,Use isinstance() instead of type() for type checking,,15,from zvt.utils.pd_utils import pd_is_not_null,"[6738, 1976, 36540, 13, 26791, 13, 30094, 62, 26791, 1330, 279, 67, 62, 271, 62, 1662, 62, 8423]"
✅ Best Practice: Use f-string for better readability and performance,"[26486, 227, 6705, 19939, 25, 5765, 277, 12, 8841, 329, 1365, 1100, 1799, 290, 2854]",0.5,72,best_practice,15,Use f-string for better readability and performance,,33,"def get_ma_stats_factor_schema(entity_type: str, level: Union[IntervalLevel, str] = IntervalLevel.LEVEL_1DAY):","[4299, 651, 62, 2611, 62, 34242, 62, 31412, 62, 15952, 2611, 7, 26858, 62, 4906, 25, 965, 11, 1241, 25, 4479, 58, 9492, 2100, 4971, 11, 965, 60, 796, 4225, 2100, 4971, 13, 2538, 18697, 62, 16, 26442, 2599]"
🧠 ML Signal: Function call with dynamic string argument,"[8582, 100, 254, 10373, 26484, 25, 15553, 869, 351, 8925, 4731, 4578]",0.5,87,ml_signal,17,Function call with dynamic string argument,,72,        level = IntervalLevel(level),"[220, 220, 220, 220, 220, 220, 220, 1241, 796, 4225, 2100, 4971, 7, 5715, 8]"
"✅ Best Practice: Class definition should follow PEP 8 naming conventions, which this does.","[26486, 227, 6705, 19939, 25, 5016, 6770, 815, 1061, 350, 8905, 807, 19264, 21396, 11, 543, 428, 857, 13]",0.5,126,best_practice,15,"Class definition should follow PEP 8 naming conventions, which this does.",,87,"def get_ma_stats_factor_schema(entity_type: str, level: Union[IntervalLevel, str] = IntervalLevel.LEVEL_1DAY):","[4299, 651, 62, 2611, 62, 34242, 62, 31412, 62, 15952, 2611, 7, 26858, 62, 4906, 25, 965, 11, 1241, 25, 4479, 58, 9492, 2100, 4971, 11, 965, 60, 796, 4225, 2100, 4971, 13, 2538, 18697, 62, 16, 26442, 2599]"
✅ Best Practice: Use of type hints for function parameters and return type,"[26486, 227, 6705, 19939, 25, 5765, 286, 2099, 20269, 329, 2163, 10007, 290, 1441, 2099]",1.0,141,best_practice,17,Use of type hints for function parameters and return type,,126,        level = IntervalLevel(level),"[220, 220, 220, 220, 220, 220, 220, 1241, 796, 4225, 2100, 4971, 7, 5715, 8]"
✅ Best Practice: Explicitly calling the superclass's __init__ method,"[26486, 227, 6705, 19939, 25, 11884, 306, 4585, 262, 2208, 4871, 338, 11593, 15003, 834, 2446]",1.0,171,best_practice,19,Explicitly calling the superclass's __init__ method,,141,"    schema_str = ""{}{}MaStatsFactor"".format(entity_type.capitalize(), level.value.capitalize())","[220, 220, 220, 32815, 62, 2536, 796, 45144, 18477, 92, 21467, 29668, 41384, 1911, 18982, 7, 26858, 62, 4906, 13, 27544, 1096, 22784, 1241, 13, 8367, 13, 27544, 1096, 28955]"
🧠 ML Signal: Storing parameters in instance variables,"[8582, 100, 254, 10373, 26484, 25, 520, 3255, 10007, 287, 4554, 9633]",1.0,189,ml_signal,21,Storing parameters in instance variables,,171,    return get_schema_by_name(schema_str),"[220, 220, 220, 1441, 651, 62, 15952, 2611, 62, 1525, 62, 3672, 7, 15952, 2611, 62, 2536, 8]"
🧠 ML Signal: Storing parameters in instance variables,"[8582, 100, 254, 10373, 26484, 25, 520, 3255, 10007, 287, 4554, 9633]",1.0,189,ml_signal,23,Storing parameters in instance variables,,189,,[]
🧠 ML Signal: Logging usage pattern for tracking function execution,"[8582, 100, 254, 10373, 26484, 25, 5972, 2667, 8748, 3912, 329, 9646, 2163, 9706]",1.0,207,ml_signal,21,Logging usage pattern for tracking function execution,,189,    return get_schema_by_name(schema_str),"[220, 220, 220, 1441, 651, 62, 15952, 2611, 62, 1525, 62, 3672, 7, 15952, 2611, 62, 2536, 8]"
