annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
🧠 ML Signal: Importing specific modules from a package indicates usage patterns,"[8582, 100, 254, 10373, 26484, 25, 17267, 278, 2176, 13103, 422, 257, 5301, 9217, 8748, 7572]",0.5,4,ml_signal,2,Importing specific modules from a package indicates usage patterns,,0,from typing import Optional,"[6738, 19720, 1330, 32233]"
🧠 ML Signal: Importing specific classes from a module indicates usage patterns,"[8582, 100, 254, 10373, 26484, 25, 17267, 278, 2176, 6097, 422, 257, 8265, 9217, 8748, 7572]",0.5,12,ml_signal,4,Importing specific classes from a module indicates usage patterns,,4,from zvt import zvt_env,"[6738, 1976, 36540, 1330, 1976, 36540, 62, 24330]"
✅ Best Practice: Inheriting from 'object' is unnecessary in Python 3,"[26486, 227, 6705, 19939, 25, 47025, 1780, 422, 705, 15252, 6, 318, 13114, 287, 11361, 513]",1.0,31,best_practice,5,Inheriting from 'object' is unnecessary in Python 3,,12,from zvt.broker.qmt.qmt_account import QmtStockAccount,"[6738, 1976, 36540, 13, 7957, 6122, 13, 80, 16762, 13, 80, 16762, 62, 23317, 1330, 1195, 16762, 26207, 30116]"
✅ Best Practice: Initialize instance variables in the constructor for clarity and maintainability.,"[26486, 227, 6705, 19939, 25, 20768, 1096, 4554, 9633, 287, 262, 23772, 329, 16287, 290, 5529, 1799, 13]",0.5,31,best_practice,6,Initialize instance variables in the constructor for clarity and maintainability.,,31,,[]
"🧠 ML Signal: Instantiation of a class object, which can be used to understand object creation patterns.","[8582, 100, 254, 10373, 26484, 25, 24470, 3920, 286, 257, 1398, 2134, 11, 543, 460, 307, 973, 284, 1833, 2134, 6282, 7572, 13]",1.0,38,ml_signal,8,"Instantiation of a class object, which can be used to understand object creation patterns.",,31,class QmtContext(object):,"[4871, 1195, 16762, 21947, 7, 15252, 2599]"
✅ Best Practice: Use of default arguments to allow flexibility in function calls,"[26486, 227, 6705, 19939, 25, 5765, 286, 4277, 7159, 284, 1249, 13688, 287, 2163, 3848]",1.0,48,best_practice,9,Use of default arguments to allow flexibility in function calls,,38,    def __init__(self):,"[220, 220, 220, 825, 11593, 15003, 834, 7, 944, 2599]"
⚠️ SAST Risk (Low): Potential use of unvalidated external configuration data,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 32480, 779, 286, 555, 12102, 515, 7097, 8398, 1366]",1.0,48,sast_risk,11,Potential use of unvalidated external configuration data,Low,48,,[]
⚠️ SAST Risk (Low): Potential use of unvalidated external configuration data,"[158, 248, 254, 37929, 311, 11262, 19602, 357, 20535, 2599, 32480, 779, 286, 555, 12102, 515, 7097, 8398, 1366]",1.0,57,sast_risk,13,Potential use of unvalidated external configuration data,Low,48,qmt_context = QmtContext(),"[80, 16762, 62, 22866, 796, 1195, 16762, 21947, 3419]"
🧠 ML Signal: Pattern of initializing an account with specific parameters,"[8582, 100, 254, 10373, 26484, 25, 23939, 286, 4238, 2890, 281, 1848, 351, 2176, 10007]",1.0,85,ml_signal,16,Pattern of initializing an account with specific parameters,,57,"def init_qmt_account(qmt_mini_data_path=None, qmt_account_id=None):","[4299, 2315, 62, 80, 16762, 62, 23317, 7, 80, 16762, 62, 45313, 62, 7890, 62, 6978, 28, 14202, 11, 10662, 16762, 62, 23317, 62, 312, 28, 14202, 2599]"
🧠 ML Signal: Function call without arguments to rely on default behavior,"[8582, 100, 254, 10373, 26484, 25, 15553, 869, 1231, 7159, 284, 8814, 319, 4277, 4069]",1.0,99,ml_signal,17,Function call without arguments to rely on default behavior,,85,    if not qmt_mini_data_path:,"[220, 220, 220, 611, 407, 10662, 16762, 62, 45313, 62, 7890, 62, 6978, 25]"
✅ Best Practice: Use of __all__ to define public API of the module,"[26486, 227, 6705, 19939, 25, 5765, 286, 11593, 439, 834, 284, 8160, 1171, 7824, 286, 262, 8265]",1.0,113,best_practice,17,Use of __all__ to define public API of the module,,99,    if not qmt_mini_data_path:,"[220, 220, 220, 611, 407, 10662, 16762, 62, 45313, 62, 7890, 62, 6978, 25]"
