annotation,annotation_tokens,confidence,end_token,label,line,reason,severity,start_token,text,tokens
✅ Best Practice: Initialize lists to store account and order readers for later use,"[26486, 227, 6705, 19939, 25, 20768, 1096, 8341, 284, 3650, 1848, 290, 1502, 7183, 329, 1568, 779]",0.5,10,best_practice,17,Initialize lists to store account and order readers for later use,,0,from zvt.ui import zvt_app,"[6738, 1976, 36540, 13, 9019, 1330, 1976, 36540, 62, 1324]"
✅ Best Practice: Initialize lists to store account and order readers for later use,"[26486, 227, 6705, 19939, 25, 20768, 1096, 8341, 284, 3650, 1848, 290, 1502, 7183, 329, 1568, 779]",0.5,28,best_practice,19,Initialize lists to store account and order readers for later use,,10,from zvt.utils.pd_utils import pd_is_not_null,"[6738, 1976, 36540, 13, 26791, 13, 30094, 62, 26791, 1330, 279, 67, 62, 271, 62, 1662, 62, 8423]"
🧠 ML Signal: Usage of type hinting for lists of custom objects,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 2099, 9254, 278, 329, 8341, 286, 2183, 5563]",0.5,34,ml_signal,21,Usage of type hinting for lists of custom objects,,28,account_readers = [],"[23317, 62, 961, 364, 796, 17635]"
🧠 ML Signal: Usage of type hinting for lists of strings,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 2099, 9254, 278, 329, 8341, 286, 13042]",0.5,34,ml_signal,23,Usage of type hinting for lists of strings,,34,,[]
🧠 ML Signal: Function with conditional logic based on input values,"[8582, 100, 254, 10373, 26484, 25, 15553, 351, 26340, 9156, 1912, 319, 5128, 3815]",0.5,40,ml_signal,21,Function with conditional logic based on input values,,34,account_readers = [],"[23317, 62, 961, 364, 796, 17635]"
✅ Best Practice: Use of clear and descriptive variable names,"[26486, 227, 6705, 19939, 25, 5765, 286, 1598, 290, 35644, 7885, 3891]",0.5,40,best_practice,23,Use of clear and descriptive variable names,,40,,[]
🧠 ML Signal: Function uses conditional logic to determine return value based on input,"[8582, 100, 254, 10373, 26484, 25, 15553, 3544, 26340, 9156, 284, 5004, 1441, 1988, 1912, 319, 5128]",1.0,40,ml_signal,26,Function uses conditional logic to determine return value based on input,,40,,[]
🧠 ML Signal: Checks specific string values to determine behavior,"[8582, 100, 254, 10373, 26484, 25, 47719, 2176, 4731, 3815, 284, 5004, 4069]",1.0,40,ml_signal,28,Checks specific string values to determine behavior,,40,,[]
🧠 ML Signal: Returns a specific color code based on condition,"[8582, 100, 254, 10373, 26484, 25, 16409, 257, 2176, 3124, 2438, 1912, 319, 4006]",1.0,51,ml_signal,30,Returns a specific color code based on condition,,40,def order_type_flag(order_type):,"[4299, 1502, 62, 4906, 62, 32109, 7, 2875, 62, 4906, 2599]"
🧠 ML Signal: Returns a different color code for other conditions,"[8582, 100, 254, 10373, 26484, 25, 16409, 257, 1180, 3124, 2438, 329, 584, 3403]",1.0,56,ml_signal,33,Returns a different color code for other conditions,,51,    else:,"[220, 220, 220, 2073, 25]"
