annotation,annotation_tokens,confidence,end_token,label,line,reason,start_token,text,tokens
✅ Best Practice: Explicitly importing all from a module can lead to namespace pollution; consider importing only necessary components.,"[26486, 227, 6705, 19939, 25, 11884, 306, 33332, 477, 422, 257, 8265, 460, 1085, 284, 25745, 12231, 26, 2074, 33332, 691, 3306, 6805, 13]",0.5,0,best_practice,2,Explicitly importing all from a module can lead to namespace pollution; consider importing only necessary components.,0,,[]
🧠 ML Signal: Usage of __all__ to manage module exports.,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 11593, 439, 834, 284, 6687, 8265, 15319, 13]",0.5,5,ml_signal,4,Usage of __all__ to manage module exports.,0,__all__ = [],"[834, 439, 834, 796, 17635]"
✅ Best Practice: Explicitly importing all from a module can lead to namespace pollution; consider importing only necessary components.,"[26486, 227, 6705, 19939, 25, 11884, 306, 33332, 477, 422, 257, 8265, 460, 1085, 284, 25745, 12231, 26, 2074, 33332, 691, 3306, 6805, 13]",0.5,11,best_practice,7,Explicitly importing all from a module can lead to namespace pollution; consider importing only necessary components.,5,# common code of the package,"[2, 2219, 2438, 286, 262, 5301]"
🧠 ML Signal: Usage of __all__ to manage module exports.,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 11593, 439, 834, 284, 6687, 8265, 15319, 13]",0.5,11,ml_signal,9,Usage of __all__ to manage module exports.,11,,[]
✅ Best Practice: Explicitly importing all from a module can lead to namespace pollution; consider importing only necessary components.,"[26486, 227, 6705, 19939, 25, 11884, 306, 33332, 477, 422, 257, 8265, 460, 1085, 284, 25745, 12231, 26, 2074, 33332, 691, 3306, 6805, 13]",0.5,25,best_practice,12,Explicitly importing all from a module can lead to namespace pollution; consider importing only necessary components.,11,from .algorithm import __all__ as _algorithm_all,"[6738, 764, 282, 42289, 1330, 11593, 439, 834, 355, 4808, 282, 42289, 62, 439]"
🧠 ML Signal: Usage of __all__ to manage module exports.,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 11593, 439, 834, 284, 6687, 8265, 15319, 13]",0.5,34,ml_signal,14,Usage of __all__ to manage module exports.,25,__all__ += _algorithm_all,"[834, 439, 834, 15853, 4808, 282, 42289, 62, 439]"
✅ Best Practice: Explicitly importing all from a module can lead to namespace pollution; consider importing only necessary components.,"[26486, 227, 6705, 19939, 25, 11884, 306, 33332, 477, 422, 257, 8265, 460, 1085, 284, 25745, 12231, 26, 2074, 33332, 691, 3306, 6805, 13]",0.5,41,best_practice,17,Explicitly importing all from a module can lead to namespace pollution; consider importing only necessary components.,34,from .top_stocks import *,"[6738, 764, 4852, 62, 29522, 1330, 1635]"
🧠 ML Signal: Usage of __all__ to manage module exports.,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 11593, 439, 834, 284, 6687, 8265, 15319, 13]",0.5,41,ml_signal,19,Usage of __all__ to manage module exports.,41,,[]
✅ Best Practice: Explicitly importing all from a module can lead to namespace pollution; consider importing only necessary components.,"[26486, 227, 6705, 19939, 25, 11884, 306, 33332, 477, 422, 257, 8265, 460, 1085, 284, 25745, 12231, 26, 2074, 33332, 691, 3306, 6805, 13]",0.5,48,best_practice,22,Explicitly importing all from a module can lead to namespace pollution; consider importing only necessary components.,41,# import all from submodule ma,"[2, 1330, 477, 422, 850, 21412, 17266]"
🧠 ML Signal: Usage of __all__ to manage module exports.,"[8582, 100, 254, 10373, 26484, 25, 29566, 286, 11593, 439, 834, 284, 6687, 8265, 15319, 13]",0.5,60,ml_signal,24,Usage of __all__ to manage module exports.,48,from .ma import __all__ as _ma_all,"[6738, 764, 2611, 1330, 11593, 439, 834, 355, 4808, 2611, 62, 439]"
